#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/342/671&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33420671
#Name: J/A+A/342/671
#Title: Early-type spiral galaxies kinematics (Corsini+ 1999)
#INFO	ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/342/671	    IVOID of underlying data collection
#INFO	creator=Funes J.G.S.J.	    First author or institution
#INFO	cites=bibcode:1999A&A...342..671F	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1999	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/342/671	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33420671	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_342_671_halpha:
#Name: J/A+A/342/671/halpha
#Title: H{alpha} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
      36	NGC 2775	 -72.0	1517	12	 15	 3	  6.0
      37	NGC 2775	 -67.2	1532	 9	  0	 1	  8.2
      38	NGC 2775	 -64.7	1537	 5	  0	 1	 14.5
      39	NGC 2775	 -62.3	1546	 4	 10	 1	 22.8
      40	NGC 2775	 -59.9	1546	 3	  0	 1	 26.5
      41	NGC 2775	 -57.5	1536	 6	 29	 1	 14.1
      42	NGC 2775	 -55.0	1540	 7	  0	 1	 10.9
      43	NGC 2775	 -52.6	1551	 4	  5	 1	 22.6
      44	NGC 2775	 -50.2	1554	 2	 13	 1	 40.7
      45	NGC 2775	 -47.7	1550	 2	  0	 1	 82.3
      46	NGC 2775	 -45.3	1545	 2	 15	 1	 56.6
      47	NGC 2775	 -42.9	1537	 3	 25	 1	 31.0
      48	NGC 2775	 -40.4	1539	 3	 19	 1	 28.1
      49	NGC 2775	 -38.0	1553	 3	 13	 1	 31.6
      50	NGC 2775	 -35.6	1541	 3	  0	 1	 28.0
      51	NGC 2775	 -33.2	1533	 4	  0	 1	 23.3
      52	NGC 2775	 -30.7	1530	 3	  8	 1	 33.5
      53	NGC 2775	 -28.3	1526	 3	 21	 1	 24.6
      54	NGC 2775	 -25.9	1514	 9	 11	 1	  8.1
      55	NGC 2775	 -23.4	1512	10	 42	 1	  7.5
      56	NGC 2775	 -21.0	1470	13	 19	 1	  5.6
      57	NGC 2775	 -11.3	1500	 9	 40	 1	  7.8
      58	NGC 2775	   5.7	1264	 4	 36	 1	 20.1
      59	NGC 2775	  17.9	1234	16	 41	 1	  4.3
      60	NGC 2775	  25.2	1183	 9	  0	 1	  8.6
      61	NGC 2775	  27.6	1166	 3	  0	 1	 27.8
      62	NGC 2775	  30.0	1144	 2	 45	 1	 36.5
      63	NGC 2775	  32.5	1159	 3	 44	 1	 32.8
      64	NGC 2775	  34.9	1166	 2	 28	 1	 45.3
      65	NGC 2775	  37.3	1164	 2	 33	 1	 74.9
      66	NGC 2775	  39.8	1158	 2	 21	 1	 76.6
      67	NGC 2775	  42.2	1150	 2	 22	 1	 49.4
      68	NGC 2775	  44.6	1153	 2	 21	 1	 54.6
      69	NGC 2775	  47.0	1153	 2	 15	 1	 46.0
      70	NGC 2775	  49.5	1150	 4	 21	 1	 23.4
      71	NGC 2775	  53.1	1151	 5	  0	 2	 17.5
      72	NGC 2775	  58.0	1151	 3	  0	 2	 23.7
      73	NGC 2775	  62.8	1137	 8	  0	 2	  9.2
      74	NGC 3281	 -49.3	3223	18	  0	 3	  3.9
      75	NGC 3281	 -45.7	3215	21	 52	 2	  3.2
      76	NGC 3281	 -37.2	3201	21	  0	 1	  3.2
      77	NGC 3281	 -34.8	3236	36	 16	 1	  1.8
      78	NGC 3281	 -32.3	3178	15	 21	 1	  4.8
      79	NGC 3281	 -29.9	3183	 7	  0	 1	 10.6
      80	NGC 3281	 -27.5	3174	 4	 15	 1	 19.2
      81	NGC 3281	 -25.0	3185	 7	  6	 1	 11.1
      82	NGC 3281	 -22.6	3175	 5	 25	 1	 15.4
      83	NGC 3281	 -20.2	3153	12	  0	 1	  5.7
      84	NGC 3281	 -17.8	3193	 9	 41	 1	  8.3
      85	NGC 3281	 -15.3	3207	 7	 35	 1	 11.0
      86	NGC 3281	 -12.9	3209	 9	 30	 1	  8.3
      87	NGC 3281	 -10.5	3230	 6	 76	 1	 12.1
      88	NGC 3281	  -8.0	3254	 5	 64	 1	 16.8
      89	NGC 3281	  -5.6	3272	 2	112	 1	 40.2
      90	NGC 3281	  -3.2	3354	 2	174	 1	189.8
      91	NGC 3281	  -0.8	3411	 2	159	 1	684.7
      92	NGC 3281	   1.7	3451	 2	139	 1	820.0
      93	NGC 3281	   4.1	3480	 2	116	 1	221.1
      94	NGC 3281	   6.5	3525	 2	105	 1	 44.1
      95	NGC 3281	   9.0	3545	 4	 56	 1	 19.9
      96	NGC 3281	  11.4	3560	 6	 36	 1	 12.0
      97	NGC 3281	  13.8	3569	 9	 62	 1	  8.4
      98	NGC 3281	  17.5	3561	15	 34	 2	  4.8
      99	NGC 3281	  21.1	3584	14	 50	 1	  5.0
     100	NGC 3281	  23.5	3555	17	 33	 1	  4.0
     101	NGC 3281	  26.0	3559	18	 34	 1	  3.8
     102	NGC 3281	  28.4	3557	14	 21	 1	  5.0
     103	IC 724  	 -55.7	5746	24	 65	 1	  2.8
     104	IC 724  	 -53.3	5726	12	 49	 1	  6.2
     105	IC 724  	 -50.9	5717	 7	 33	 1	 10.7
     106	IC 724  	 -48.5	5721	 7	 42	 1	 11.6
     107	IC 724  	 -46.0	5733	 4	 33	 1	 20.1
     108	IC 724  	 -43.6	5750	 3	 40	 1	 33.1
     109	IC 724  	 -41.2	5753	 3	 38	 1	 28.2
     110	IC 724  	 -38.7	5762	 6	 48	 1	 13.1
     111	IC 724  	 -36.3	5734	15	 62	 1	  4.6
     112	IC 724  	 -12.0	5664	10	 38	 1	  7.1
     113	IC 724  	  -9.6	5667	 7	 87	 1	 11.4
     114	IC 724  	  -7.1	5700	 6	 72	 1	 13.6
     115	IC 724  	  -4.7	5781	11	107	 1	  6.4
     116	IC 724  	  -2.3	5856	13	118	 1	  5.3
     117	IC 724  	   0.2	6071	 7	146	 1	 11.3
     118	IC 724  	   2.6	6167	 5	119	 1	 14.4
     119	IC 724  	   5.0	6241	 2	 67	 1	 34.5
     120	IC 724  	   7.4	6271	 3	 32	 1	 33.8
     121	IC 724  	   9.9	6271	 3	 53	 1	 30.3
     122	IC 724  	  12.3	6266	 7	 59	 1	 10.8
     123	IC 724  	  14.7	6253	12	 68	 1	  5.9
     124	IC 724  	  19.6	6240	20	 50	 1	  3.4
     125	IC 724  	  24.5	6189	23	  5	 1	  3.0
     126	IC 724  	  26.9	6191	13	 19	 1	  5.6
     127	IC 724  	  29.3	6179	11	  5	 1	  6.6
     128	IC 724  	  31.7	6196	24	 47	 1	  2.7
     129	IC 724  	  36.6	6185	13	 29	 1	  5.5
     130	IC 724  	  39.0	6189	 5	 38	 1	 17.4
     131	IC 724  	  41.5	6191	 2	 30	 1	 48.3
     132	IC 724  	  43.9	6194	 2	 33	 1	 70.3
     133	IC 724  	  46.3	6192	 2	 34	 1	 58.7
     134	IC 724  	  48.8	6196	 3	 33	 1	 29.5
     135	IC 724  	  51.2	6193	 7	 22	 1	 11.6
     136	IC 724  	  53.6	6208	10	 43	 1	  7.2
     137	IC 724  	  56.0	6186	23	 35	 1	  2.9
     138	NGC 4698	 -97.1	1248	13	 59	 5	  5.4
     139	NGC 4698	 -84.9	1233	 8	 55	 5	  9.9
     140	NGC 4698	 -72.8	1232	16	 14	 3	  4.5
     141	NGC 4698	 -66.7	1223	13	 24	 2	  5.5
     142	NGC 4698	 -52.2	1186	 8	  0	 2	  8.9
     143	NGC 4698	 -47.3	1116	13	 47	 2	  5.7
     144	NGC 4698	 -42.4	1094	12	 51	 2	  5.9
     145	NGC 4698	 -38.8	1098	21	 42	 1	  3.3
     146	NGC 4698	 -36.3	1156	29	  6	 1	  2.3
     147	NGC 4698	 -31.5	1143	12	  0	 1	  6.1
     148	NGC 4698	 -29.1	1112	25	 75	 1	  2.7
     149	NGC 4698	 -26.6	1156	12	 63	 1	  5.9
     150	NGC 4698	 -24.2	1138	 9	 34	 1	  8.5
     151	NGC 4698	 -21.8	1146	 8	 31	 1	  9.3
     152	NGC 4698	 -19.3	1142	 7	 40	 1	 10.4
     153	NGC 4698	 -16.9	1085	 4	 43	 1	 18.4
     154	NGC 4698	 -14.5	1129	 5	 24	 1	 16.5
     155	NGC 4698	 -12.1	1135	 4	 37	 1	 18.6
     156	NGC 4698	  -9.6	1130	 4	 36	 1	 18.3
     157	NGC 4698	  -7.2	1081	 3	 73	 1	 27.8
     158	NGC 4698	  -4.8	1038	 3	 45	 1	 27.9
     159	NGC 4698	  -2.3	1022	 2	 45	 1	 74.5
     160	NGC 4698	   0.1	1015	 2	 60	 1	127.8
     161	NGC 4698	   2.5	1002	 2	 61	 1	 49.8
     162	NGC 4698	   5.0	 981	 4	 51	 1	 20.0
     163	NGC 4698	   7.4	 915	 6	 62	 1	 12.4
     164	NGC 4698	   9.8	 930	12	 36	 1	  6.1
     165	NGC 4698	  12.3	 897	 9	 60	 1	  8.1
     166	NGC 4698	  14.7	 892	 8	 42	 1	  9.2
     167	NGC 4698	  17.1	 853	 6	 31	 1	 13.7
     168	NGC 4698	  19.5	 851	 7	 37	 1	 11.1
     169	NGC 4698	  22.0	 876	14	 38	 1	  5.1
     170	NGC 4698	  24.4	 833	19	 65	 1	  3.6
     171	NGC 4698	  29.3	 854	16	  8	 1	  4.4
     172	NGC 4698	  31.7	 862	10	  0	 1	  7.2
     173	NGC 4698	  36.5	 852	13	 34	 1	  5.4
     174	NGC 4698	  39.0	 818	20	 45	 1	  3.4
     175	NGC 4698	  41.4	 801	27	 47	 1	  2.4
     176	NGC 4698	  43.8	 801	22	 42	 1	  3.0
     177	NGC 4698	  46.3	 844	23	 28	 1	  2.9
     178	NGC 4698	  48.7	 791	35	 27	 1	  1.8
     179	NGC 4698	  52.3	 852	12	 28	 2	  5.8
     180	NGC 4698	  57.2	 796	11	  8	 2	  6.5
     181	NGC 4698	  62.1	 825	11	  0	 2	  6.3
     182	NGC 4698	  66.9	 789	 8	  9	 2	  9.4
     183	NGC 4698	  71.8	 790	 9	 47	 2	  8.4
     184	NGC 4698	  80.3	 804	 8	  0	 3	  9.3
     185	NGC 4698	  87.6	 820	14	  0	 3	  5.0
     186	NGC 4698	  94.9	 870	21	 12	 5	  3.3
     187	NGC 4845	 -62.3	1225	 6	 57	 1	 14.0
     188	NGC 4845	 -59.9	1251	 4	 29	 1	 21.1
     189	NGC 4845	 -57.5	1266	 4	 45	 1	 20.4
     190	NGC 4845	 -55.0	1247	 4	 30	 1	 19.1
     191	NGC 4845	 -52.6	1252	 9	 42	 1	  8.7
     192	NGC 4845	 -50.2	1251	 7	 37	 1	 11.8
     193	NGC 4845	 -47.8	1247	15	 48	 1	  4.6
     194	NGC 4845	 -45.3	1251	20	 49	 1	  3.4
     195	NGC 4845	 -42.9	1287	28	 65	 1	  2.4
     196	NGC 4845	 -40.5	1327	34	  0	 1	  1.9
     197	NGC 4845	 -38.0	1213	18	 53	 1	  3.8
     198	NGC 4845	 -35.6	1221	17	 39	 1	  4.0
     199	NGC 4845	 -30.7	1305	27	 45	 1	  2.4
     200	NGC 4845	 -28.3	1265	32	  9	 1	  2.0
     201	NGC 4845	 -25.9	1254	17	 17	 1	  4.1
     202	NGC 4845	 -23.5	1249	22	 47	 1	  3.0
     203	NGC 4845	 -21.0	1276	12	 17	 1	  6.2
     204	NGC 4845	 -18.6	1283	 8	 13	 1	  9.5
     205	NGC 4845	 -16.2	1283	 7	 16	 1	 10.7
     206	NGC 4845	 -13.7	1286	 9	 73	 1	  7.9
     207	NGC 4845	 -11.3	1285	 4	 37	 1	 22.1
     208	NGC 4845	  -8.9	1258	 2	 37	 1	 62.7
     209	NGC 4845	  -6.4	1235	 2	 51	 1	168.1
     210	NGC 4845	  -4.0	1202	 2	 59	 1	324.0
     211	NGC 4845	  -1.6	1132	 2	 66	 1	482.4
     212	NGC 4845	   0.9	1056	 2	 69	 1	577.5
     213	NGC 4845	   3.3	 984	 2	 55	 1	647.2
     214	NGC 4845	   5.7	 959	 2	 44	 1	346.0
     215	NGC 4845	   8.1	 938	 2	 35	 1	133.8
     216	NGC 4845	  10.6	 925	 2	 25	 1	112.7
     217	NGC 4845	  13.0	 916	 2	 19	 1	 47.5
     218	NGC 4845	  15.4	 925	 7	  0	 1	 10.1
     219	NGC 4845	  17.9	 916	12	 34	 1	  5.9
     220	NGC 4845	  20.3	 935	26	  0	 1	  2.5
     221	NGC 4845	  22.7	 911	34	 25	 1	  1.9
     222	NGC 4845	  25.1	 894	12	  6	 1	  5.9
     223	NGC 4845	  32.4	 941	18	  4	 1	  3.7
     224	NGC 4845	  34.9	 931	19	 61	 1	  3.5
     225	NGC 4845	  36.1	 950	14	 60	 2	  4.9
     226	NGC 4845	  39.7	 990	18	 51	 1	  3.8
     227	NGC 4845	  42.2	 942	21	 19	 1	  3.2
     228	NGC 4845	  44.6	 933	12	 25	 1	  5.7
     229	NGC 4845	  47.0	 935	 7	  8	 1	 11.8
     230	NGC 4845	  49.5	 941	 5	 33	 1	 16.5
     231	NGC 4845	  51.9	 966	 2	 25	 1	 35.0
     232	NGC 4845	  54.3	 962	 2	 29	 1	 38.7
     233	NGC 4845	  56.7	 951	 4	 24	 1	 22.7
     234	NGC 4845	  59.2	 953	 5	  0	 1	 15.5
     235	NGC 4845	  61.6	 980	17	  0	 1	  4.0
     236	NGC 4845	  65.3	 958	20	  0	 2	  3.4

#Table	J_A_A_342_671_nii6583:
#Name: J/A+A/342/671/nii6583
#Title: [NII] ({lambda}6583.4{AA} kinematics
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Galaxy name (1)	[ucd=meta.id;meta.main]
#Column	r	(F6.1)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity measured along the major axis	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion measured along the major axis	[ucd=phys.veloc.dispersion]
#Column	n	(I2)	Number of rebinned rows	[ucd=meta.number]
#Column	S/N	(F5.1)	? Signal-to-noise ratio	[ucd=stat.snr]
recno	Galaxy	r	HRV	e_HRV	sigma	n	S/N
 	 	arcsec	km/s	km/s	km/s	 	
--------	--------	------	----	--	---	--	-----
       1	NGC 2179	 -35.6	2733	18	 39	 2	  3.7
       2	NGC 2179	 -32.0	2664	35	 58	 1	  1.9
       3	NGC 2179	 -29.6	2694	27	  9	 1	  2.5
       4	NGC 2179	 -27.1	2696	10	 15	 1	  7.2
       5	NGC 2179	 -24.7	2717	12	 47	 1	  6.1
       6	NGC 2179	 -22.3	2678	14	 69	 1	  5.1
       7	NGC 2179	 -19.8	2709	 7	 48	 1	 11.0
       8	NGC 2179	 -17.4	2699	 4	 26	 1	 18.0
       9	NGC 2179	 -15.0	2694	 7	 53	 1	 11.3
      10	NGC 2179	 -12.6	2710	 7	 59	 1	 11.0
      11	NGC 2179	 -10.1	2705	 5	 65	 1	 16.0
      12	NGC 2179	  -7.7	2711	 3	 38	 1	 29.7
      13	NGC 2179	  -5.3	2717	 2	 39	 1	122.2
      14	NGC 2179	  -2.8	2748	 2	113	 1	122.8
      15	NGC 2179	  -0.4	2832	 2	163	 1	217.4
      16	NGC 2179	   2.0	2956	 2	129	 1	147.8
      17	NGC 2179	   4.5	3038	 2	 69	 1	108.4
      18	NGC 2179	   6.9	3059	 2	 33	 1	 55.6
      19	NGC 2179	   9.3	3057	 4	 62	 1	 20.4
      20	NGC 2179	  11.7	3058	 7	 52	 1	 10.2
      21	NGC 2179	  14.2	3062	 7	 52	 1	 10.1
      22	NGC 2179	  16.6	3052	 7	 35	 1	 10.9
      23	NGC 2179	  19.0	3065	 9	 46	 1	  8.6
      24	NGC 2179	  21.5	3051	 9	 32	 1	  8.7
      25	NGC 2179	  23.9	3068	14	 90	 1	  5.1
      26	NGC 2179	  26.3	3063	10	 54	 1	  7.4
      27	NGC 2179	  28.8	3072	 5	 16	 1	 15.4
      28	NGC 2179	  31.2	3065	 8	 32	 1	  9.2
      29	NGC 2179	  33.6	3068	23	 25	 1	  3.0
      30	NGC 2179	  36.1	3080	26	 24	 1	  2.5
      31	NGC 2179	  40.9	3052	26	  0	 3	  2.6
      32	NGC 2775	 -76.9	1529	10	  0	 5	  6.9
      33	NGC 2775	 -69.6	1531	21	 55	 1	  3.3
      34	NGC 2775	 -67.2	1521	13	  0	 1	  5.3
      35	NGC 2775	 -64.7	1536	10	 53	 1	  7.4
      36	NGC 2775	 -62.3	1545	 9	 69	 1	  7.8
      37	NGC 2775	 -59.9	1550	 7	 44	 1	 10.8
      38	NGC 2775	 -57.5	1542	 6	 30	 1	 12.1
      39	NGC 2775	 -55.0	1534	 7	 34	 1	 11.3
      40	NGC 2775	 -52.6	1545	 6	 32	 1	 12.3
      41	NGC 2775	 -50.2	1554	 5	 21	 1	 16.9
      42	NGC 2775	 -47.7	1547	 3	  0	 1	 23.9
      43	NGC 2775	 -45.3	1538	 5	 16	 1	 17.7
      44	NGC 2775	 -42.9	1546	 5	 10	 1	 16.0
      45	NGC 2775	 -40.4	1546	 5	 24	 1	 14.4
      46	NGC 2775	 -38.0	1541	 7	 42	 1	 11.5
      47	NGC 2775	 -35.6	1540	 6	 37	 1	 12.3
      48	NGC 2775	 -33.2	1533	 6	 32	 1	 13.9
      49	NGC 2775	 -30.7	1536	 5	 23	 1	 17.3
      50	NGC 2775	 -28.3	1531	 5	 27	 1	 14.8
      51	NGC 2775	 -25.9	1514	 6	 37	 1	 13.2
      52	NGC 2775	 -23.4	1513	 8	 45	 1	  9.9
      53	NGC 2775	 -21.0	1468	 9	 32	 1	  8.2
      54	NGC 2775	 -18.6	1446	10	 52	 1	  7.0
      55	NGC 2775	 -16.1	1438	13	 84	 1	  5.6
      56	NGC 2775	 -13.7	1527	 9	 39	 1	  7.8
      57	NGC 2775	 -13.7	1402	 8	 45	 1	 10.0
      58	NGC 2775	 -11.3	1501	 5	 52	 1	 17.4
      59	NGC 2775	  -8.9	1465	 4	 75	 1	 20.1
      60	NGC 2775	  -6.4	1484	 3	 69	 1	 30.5
      61	NGC 2775	  -4.0	1490	 3	 45	 1	 28.5
      62	NGC 2775	  -4.0	1473	 3	117	 1	 30.5
      63	NGC 2775	  -1.6	1404	 2	152	 1	 43.1
      64	NGC 2775	   0.9	1297	 2	 69	 1	 36.1
      65	NGC 2775	   3.3	1283	 2	 60	 1	 37.6
      66	NGC 2775	   5.7	1268	 2	 63	 1	 34.6
      67	NGC 2775	   8.2	1263	 4	 57	 1	 20.5
      68	NGC 2775	  10.6	1261	 7	 53	 1	 10.4
      69	NGC 2775	  15.4	1251	13	104	 1	  5.7
      70	NGC 2775	  20.3	1225	 8	 44	 1	  8.8
      71	NGC 2775	  22.7	1194	10	 58	 1	  7.6
      72	NGC 2775	  25.2	1173	 8	 41	 1	  9.1
      73	NGC 2775	  27.6	1169	 5	 33	 1	 14.4
      74	NGC 2775	  30.0	1157	 6	 17	 1	 13.2
      75	NGC 2775	  32.5	1162	 6	 37	 1	 12.8
      76	NGC 2775	  34.9	1168	 5	 45	 1	 16.8
      77	NGC 2775	  37.3	1169	 3	 28	 1	 24.0
      78	NGC 2775	  39.8	1155	 4	 27	 1	 19.4
      79	NGC 2775	  42.2	1156	 4	 22	 1	 18.7
      80	NGC 2775	  44.6	1156	 4	 33	 1	 18.0
      81	NGC 2775	  47.0	1160	 5	 18	 1	 17.1
      82	NGC 2775	  49.5	1147	 7	 29	 1	 11.4
      83	NGC 2775	  51.9	1157	11	 62	 1	  6.8
      84	NGC 2775	  54.3	1142	 9	 39	 1	  7.8
      85	NGC 2775	  56.8	1153	 9	 34	 1	  8.6
      86	NGC 2775	  59.2	1154	10	 27	 1	  7.5
      87	NGC 2775	  61.6	1163	15	 25	 1	  4.6
      88	NGC 2775	  66.5	1159	12	 64	 3	  5.7
      89	NGC 2775	  75.0	1148	21	 65	 2	  3.2
      90	NGC 3281	 -49.3	3191	16	 64	 3	  4.5
      91	NGC 3281	 -45.7	3195	 7	 22	 2	 10.1
      92	NGC 3281	 -40.8	3188	 8	 54	 2	  9.0
      93	NGC 3281	 -37.2	3175	11	 45	 1	  6.9
      94	NGC 3281	 -34.8	3179	 8	 69	 1	  9.1
      95	NGC 3281	 -32.3	3179	 9	 93	 1	  7.9
      96	NGC 3281	 -29.9	3169	 6	 55	 1	 12.4
      97	NGC 3281	 -27.5	3187	 4	 34	 1	 19.0
      98	NGC 3281	 -25.0	3179	 6	 79	 1	 12.6
      99	NGC 3281	 -22.6	3189	 6	 25	 1	 12.2
     100	NGC 3281	 -20.2	3196	 5	 91	 1	 15.4
     101	NGC 3281	 -17.8	3215	 4	 82	 1	 20.7
     102	NGC 3281	 -15.3	3215	 3	 72	 1	 24.9
     103	NGC 3281	 -12.9	3224	 3	 71	 1	 32.7
     104	NGC 3281	 -10.5	3241	 3	 86	 1	 30.2
     105	NGC 3281	  -8.0	3249	 2	 98	 1	 45.1
     106	NGC 3281	  -5.6	3310	 2	129	 1	 79.5
     107	NGC 3281	  -3.2	3331	 2	144	 1	282.7
     108	NGC 3281	  -0.8	3391	 2	143	 1	829.4
     109	NGC 3281	   1.7	3437	 2	136	 1	892.5
     110	NGC 3281	   4.1	3479	 2	119	 1	295.6
     111	NGC 3281	   6.5	3519	 2	112	 1	 89.6
     112	NGC 3281	   9.0	3541	 2	 81	 1	 43.0
