#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/408/873&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34080873
#Name: J/A+A/408/873
#Title: Gas and stellar kinematics in spirals (Corsini+, 2003)
#INFO	ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/408/873	    IVOID of underlying data collection
#INFO	creator=Corsini E.M.	    First author or institution
#INFO	cites=bibcode:2003A&A...408..873C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/408/873	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34080873	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_408_873_table3:
#Name: J/A+A/408/873/table3
#Title: Ionized-gas kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	r	(F5.1)	Distance from galaxy center	[ucd=pos.angDistance]
#Column	vg(r)	(I4)	Line-of-sight gas mean velocity	[ucd=phys.veloc;stat.mean]
#Column	e_vg(r)	(I2)	Error of v_g(r)_	[ucd=stat.error]
#Column	sigmag	(I3)	Line-of-sight gas velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigmag	(I3)	Error of sigma_g(r)_	[ucd=stat.error]
#Column	Simbad	(A6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Name	PA	r	vg(r)	e_vg(r)	sigmag	e_sigmag	Simbad	NED
      77	NGC3885	123	 14.3	 163	 3	 53	  8	Simbad	NED
      78	NGC3885	123	 15.1	 162	 3	 49	  7	Simbad	NED
      79	NGC3885	123	 15.9	 160	 3	 43	  8	Simbad	NED
      80	NGC3885	123	 16.7	 156	 3	 45	  9	Simbad	NED
      81	NGC3885	123	 17.6	 160	 3	 43	  8	Simbad	NED
      82	NGC3885	123	 18.4	 170	 3	 46	  8	Simbad	NED
      83	NGC3885	123	 19.2	 183	 3	 45	  7	Simbad	NED
      84	NGC3885	123	 20.0	 187	 3	 43	  7	Simbad	NED
      85	NGC3885	123	 20.8	 184	 2	 37	  7	Simbad	NED
      86	NGC3885	123	 21.7	 181	 3	 33	  9	Simbad	NED
      87	NGC3885	123	 22.5	 173	 3	 31	 10	Simbad	NED
      88	NGC3885	123	 23.3	 171	 4	 35	 12	Simbad	NED
      89	NGC3885	123	 24.1	 169	 5	 49	 13	Simbad	NED
      90	NGC3885	123	 24.9	 161	 7	 50	 17	Simbad	NED
      91	NGC3885	123	 25.8	 152	 9	 59	 23	Simbad	NED
      92	NGC3885	123	 26.6	 146	 9	 58	 25	Simbad	NED
      93	NGC3885	123	 27.4	 143	14	 69	 27	Simbad	NED
      94	NGC3885	123	 28.2	 146	15	 61	 34	Simbad	NED
      95	NGC3885	123	 29.0	 145	16	 61	 35	Simbad	NED
      96	NGC3885	123	 29.9	 142	20	 37	 50	Simbad	NED
      97	NGC3885	123	 30.7	 163	21	 65	 40	Simbad	NED
      98	NGC3885	123	 31.5	 140	20	 76	 40	Simbad	NED
      99	NGC3885	123	 33.1	 163	29	 76	 49	Simbad	NED
     100	NGC3885	123	 35.6	 154	23	 71	 45	Simbad	NED
     101	NGC3885	123	 46.9	 187	31	 69	 65	Simbad	NED
     102	NGC3885	 33	-13.8	   0	28	 60	 53	Simbad	NED
     103	NGC3885	 33	-12.2	 -17	16	 85	 27	Simbad	NED
     104	NGC3885	 33	-11.4	 -41	10	 77	 19	Simbad	NED
     105	NGC3885	 33	-10.6	 -28	11	 45	 26	Simbad	NED
     106	NGC3885	 33	 -9.7	 -14	 9	 59	 17	Simbad	NED
     107	NGC3885	 33	 -8.9	 -22	 6	 52	 12	Simbad	NED
     108	NGC3885	 33	 -8.1	 -15	 8	 55	 15	Simbad	NED
     109	NGC3885	 33	 -7.3	 -19	 4	 64	  9	Simbad	NED
     110	NGC3885	 33	 -6.5	 -13	 4	 72	  7	Simbad	NED
     111	NGC3885	 33	 -5.6	 -13	 3	 75	  5	Simbad	NED
     112	NGC3885	 33	 -4.8	 -18	 3	 81	  4	Simbad	NED
     113	NGC3885	 33	 -4.0	 -17	 2	 76	  4	Simbad	NED
     114	NGC3885	 33	 -3.2	 -20	 2	 69	  4	Simbad	NED
     115	NGC3885	 33	 -2.4	 -22	 2	 60	  4	Simbad	NED
     116	NGC3885	 33	 -1.5	 -18	 2	 53	  4	Simbad	NED
     117	NGC3885	 33	 -0.7	 -15	 2	 54	  4	Simbad	NED
     118	NGC3885	 33	  0.1	  -8	 2	 65	  3	Simbad	NED
     119	NGC3885	 33	  0.9	  -4	 2	 71	  3	Simbad	NED
     120	NGC3885	 33	  1.7	  -8	 2	 65	  3	Simbad	NED
     121	NGC3885	 33	  2.6	  -6	 2	 60	  4	Simbad	NED
     122	NGC3885	 33	  3.4	   0	 2	 58	  4	Simbad	NED
     123	NGC3885	 33	  4.2	   3	 2	 62	  4	Simbad	NED
     124	NGC3885	 33	  5.0	   6	 2	 70	  4	Simbad	NED
     125	NGC3885	 33	  5.8	  16	 3	 82	  4	Simbad	NED
     126	NGC3885	 33	  6.7	  15	 3	 79	  5	Simbad	NED
     127	NGC3885	 33	  7.5	  12	 4	 88	  6	Simbad	NED
     128	NGC3885	 33	  8.3	  16	 4	 83	  8	Simbad	NED
     129	NGC3885	 33	  9.1	  20	 7	 77	 12	Simbad	NED
     130	NGC3885	 33	  9.9	  16	10	 91	 17	Simbad	NED
     131	NGC3885	 33	 10.8	  12	 9	 57	 18	Simbad	NED
     132	NGC3885	 33	 11.6	  34	13	 78	 23	Simbad	NED
     133	NGC3885	 33	 12.4	  22	18	108	 29	Simbad	NED
     134	NGC3885	 33	 14.0	  42	20	 68	 36	Simbad	NED
     135	NGC3885	 33	 16.5	  38	37	132	 55	Simbad	NED
     136	NGC4224	 57	-51.9	-265	15	 29	 38	Simbad	NED
     137	NGC4224	 57	-48.4	-256	15	 33	 41	Simbad	NED
     138	NGC4224	 57	-47.6	-259	11	 24	 40	Simbad	NED
     139	NGC4224	 57	-46.7	-260	 7	 30	 22	Simbad	NED
     140	NGC4224	 57	-45.9	-257	 6	 37	 16	Simbad	NED
     141	NGC4224	 57	-45.1	-256	 5	 31	 15	Simbad	NED
     142	NGC4224	 57	-44.3	-260	 5	 32	 15	Simbad	NED
     143	NGC4224	 57	-43.5	-263	 6	 34	 16	Simbad	NED
     144	NGC4224	 57	-42.6	-245	17	 47	 39	Simbad	NED
     145	NGC4224	 57	-41.8	-259	11	 31	 28	Simbad	NED
     146	NGC4224	 57	-41.0	-241	20	 47	 81	Simbad	NED
     147	NGC4224	 57	-38.5	-221	19	 32	 59	Simbad	NED
     148	NGC4224	 57	-34.8	-209	12	 45	 39	Simbad	NED
     149	NGC4224	 57	-29.9	-191	14	 59	 28	Simbad	NED
     150	NGC4224	 57	-26.2	-181	22	 52	 47	Simbad	NED
     151	NGC4224	 57	-23.8	-163	20	 56	 38	Simbad	NED
     152	NGC4224	 57	-22.1	-153	17	 72	 32	Simbad	NED
     153	NGC4224	 57	-21.3	-158	22	 94	 36	Simbad	NED
     154	NGC4224	 57	-20.5	-178	28	107	 44	Simbad	NED
     155	NGC4224	 57	-19.7	-159	15	 77	 27	Simbad	NED
     156	NGC4224	 57	-18.9	-141	16	 80	 28	Simbad	NED
     157	NGC4224	 57	-18.0	-149	15	 69	 28	Simbad	NED
     158	NGC4224	 57	-17.2	-140	 9	 48	 20	Simbad	NED
     159	NGC4224	 57	-16.4	-113	 9	 63	 20	Simbad	NED
     160	NGC4224	 57	-15.6	-118	 8	 52	 17	Simbad	NED
     161	NGC4224	 57	-14.8	-124	 8	 44	 17	Simbad	NED
     162	NGC4224	 57	-13.9	-108	 7	 65	 14	Simbad	NED
     163	NGC4224	 57	-13.1	-113	 7	 68	 14	Simbad	NED
     164	NGC4224	 57	-12.3	-119	 7	 66	 15	Simbad	NED
     165	NGC4224	 57	-11.5	-121	 6	 57	 13	Simbad	NED
     166	NGC4224	 57	-10.7	-121	 5	 48	 12	Simbad	NED
     167	NGC4224	 57	 -9.8	-123	 5	 55	 10	Simbad	NED
     168	NGC4224	 57	 -9.0	-126	 5	 61	  9	Simbad	NED
     169	NGC4224	 57	 -8.2	-140	 4	 78	  8	Simbad	NED
     170	NGC4224	 57	 -7.4	-149	 4	 83	  6	Simbad	NED
     171	NGC4224	 57	 -6.6	-151	 3	 88	  6	Simbad	NED
     172	NGC4224	 57	 -5.7	-145	 3	 99	  5	Simbad	NED
     173	NGC4224	 57	 -4.9	-140	 3	110	  5	Simbad	NED
     174	NGC4224	 57	 -4.1	-128	 4	126	  6	Simbad	NED
     175	NGC4224	 57	 -3.3	-126	 4	137	  6	Simbad	NED
     176	NGC4224	 57	 -2.5	-108	 4	160	  6	Simbad	NED
     177	NGC4224	 57	 -1.6	 -91	 6	196	  8	Simbad	NED
     178	NGC4224	 57	 -1.6	 -91	 6	196	  8	Simbad	NED
     179	NGC4224	 57	 -0.8	 -47	 5	191	  7	Simbad	NED
     180	NGC4224	 57	  0.0	   0	 5	186	  7	Simbad	NED
     181	NGC4224	 57	  0.8	  31	 5	178	  7	Simbad	NED
     182	NGC4224	 57	  1.6	  60	 5	154	  7	Simbad	NED
     183	NGC4224	 57	  2.5	  90	 5	151	  7	Simbad	NED
     184	NGC4224	 57	  3.3	  99	 4	151	  6	Simbad	NED
     185	NGC4224	 57	  4.1	  98	 3	133	  5	Simbad	NED
     186	NGC4224	 57	  4.9	  98	 3	138	  5	Simbad	NED
     187	NGC4224	 57	  5.7	 106	 3	120	  5	Simbad	NED
     188	NGC4224	 57	  6.6	 116	 3	108	  5	Simbad	NED
     189	NGC4224	 57	  7.4	 127	 3	102	  5	Simbad	NED
     190	NGC4224	 57	  8.2	 131	 4	104	  6	Simbad	NED
     191	NGC4224	 57	  9.0	 124	 5	 86	  8	Simbad	NED
     192	NGC4224	 57	  9.8	 116	 6	 76	 11	Simbad	NED
     193	NGC4224	 57	 10.7	 107	 7	 82	 13	Simbad	NED
     194	NGC4224	 57	 11.5	  93	 7	 66	 16	Simbad	NED
     195	NGC4224	 57	 12.3	  98	 7	 50	 17	Simbad	NED
     196	NGC4224	 57	 13.1	 106	 7	 57	 15	Simbad	NED
     197	NGC4224	 57	 13.9	 106	 8	 63	 19	Simbad	NED
     198	NGC4224	 57	 14.8	 107	11	 63	 21	Simbad	NED
     199	NGC4224	 57	 15.6	 119	 8	 33	 24	Simbad	NED
     200	NGC4224	 57	 16.4	 120	12	 27	 38	Simbad	NED
     201	NGC4224	 57	 17.2	 127	16	 65	 29	Simbad	NED
     202	NGC4224	 57	 18.0	 133	20	 68	 37	Simbad	NED
     203	NGC4224	 57	 18.9	 158	19	 41	 43	Simbad	NED
     204	NGC4224	 57	 19.7	 164	21	 70	 38	Simbad	NED
     205	NGC4224	 57	 21.3	 142	24	 62	 45	Simbad	NED
     206	NGC4224	 57	 23.8	 169	24	 52	 49	Simbad	NED
     207	NGC4224	 57	 26.2	 186	22	 64	 40	Simbad	NED
     208	NGC4224	 57	 28.7	 186	32	 48	 66	Simbad	NED
     209	NGC4224	 57	 30.3	 229	35	 92	 56	Simbad	NED
     210	NGC4224	 57	 31.2	 170	24	 21	 77	Simbad	NED
     211	NGC4224	 57	 33.6	 158	24	106	 39	Simbad	NED
     212	NGC4224	 57	 36.1	 147	22	 88	 36	Simbad	NED
     213	NGC4224	 57	 45.5	 236	11	 45	 28	Simbad	NED
     214	NGC4224	147	 -4.9	  20	15	167	 24	Simbad	NED
     215	NGC4224	147	 -4.1	   9	 9	 97	 15	Simbad	NED
     216	NGC4224	147	 -3.3	 -18	 8	190	 12	Simbad	NED
     217	NGC4224	147	 -2.5	 -41	 6	228	  9	Simbad	NED
     218	NGC4224	147	 -1.7	   1	 5	225	  7	Simbad	NED
     219	NGC4224	147	 -0.8	  12	 5	211	  7	Simbad	NED
     220	NGC4224	147	  0.0	  21	 5	195	  7	Simbad	NED
     221	NGC4224	147	  0.8	  34	 5	179	  7	Simbad	NED
     222	NGC4224	147	  1.6	  32	 6	198	  9	Simbad	NED
     223	NGC4224	147	  2.4	  46	 8	174	 12	Simbad	NED
     224	NGC4224	147	  3.3	  45	 9	 95	 16	Simbad	NED
     225	NGC4224	147	  4.1	  47	13	 99	 21	Simbad	NED
     226	NGC4224	147	  4.9	  39	14	 90	 23	Simbad	NED
     227	NGC4224	147	  6.5	   6	16	 90	 28	Simbad	NED
     228	NGC4224	147	  9.0	  18	15	 51	 32	Simbad	NED
     229	NGC4235	 48	-45.5	-166	28	 35	 71	Simbad	NED
     230	NGC4235	 48	-37.3	-166	26	 43	 58	Simbad	NED
     231	NGC4235	 48	-30.8	-174	14	 45	 35	Simbad	NED
     232	NGC4235	 48	-27.9	-165	16	 49	 34	Simbad	NED
     233	NGC4235	 48	-27.1	-164	18	 63	 34	Simbad	NED
     234	NGC4235	 48	-26.2	-150	19	 57	 37	Simbad	NED
     235	NGC4235	 48	-25.4	-150	18	 65	 34	Simbad	NED
     236	NGC4235	 48	-24.6	-120	15	 61	 29	Simbad	NED
     237	NGC4235	 48	-23.8	-102	15	 73	 27	Simbad	NED
     238	NGC4235	 48	-23.0	-105	15	 89	 27	Simbad	NED
     239	NGC4235	 48	-22.1	-125	16	 71	 29	Simbad	NED
     240	NGC4235	 48	-21.3	-146	13	 68	 25	Simbad	NED
     241	NGC4235	 48	-20.5	-128	12	 82	 23	Simbad	NED
     242	NGC4235	 48	-19.7	-145	12	 87	 21	Simbad	NED
     243	NGC4235	 48	-18.9	-129	10	 79	 17	Simbad	NED
     244	NGC4235	 48	-18.0	-135	 9	 67	 19	Simbad	NED
     245	NGC4235	 48	-17.2	-136	10	 71	 19	Simbad	NED
     246	NGC4235	 48	-16.4	-137	 9	 63	 19	Simbad	NED
     247	NGC4235	 48	-15.6	-134	 8	 64	 16	Simbad	NED
     248	NGC4235	 48	-14.8	-135	 8	 88	 14	Simbad	NED
     249	NGC4235	 48	-13.9	-142	 8	 76	 14	Simbad	NED
     250	NGC4235	 48	-13.1	-119	 4	 25	  4	Simbad	NED
     251	NGC4235	 48	-12.3	-138	 7	 92	 12	Simbad	NED
     252	NGC4235	 48	-11.5	-146	 7	 90	 12	Simbad	NED
     253	NGC4235	 48	-10.7	-136	 6	 88	 11	Simbad	NED
     254	NGC4235	 48	 -9.8	-155	 6	103	 11	Simbad	NED
     255	NGC4235	 48	 -9.0	-148	 5	 87	  9	Simbad	NED
     256	NGC4235	 48	 -8.2	-153	 4	 86	  7	Simbad	NED
     257	NGC4235	 48	 -7.4	-159	 4	 92	  7	Simbad	NED
     258	NGC4235	 48	 -5.7	-162	 3	 84	  6	Simbad	NED
     259	NGC4235	 48	 -4.9	-160	 4	 93	  7	Simbad	NED
     260	NGC4235	 48	 -4.1	-142	 3	106	  4	Simbad	NED
     261	NGC4235	 48	 -3.3	-132	 2	125	  4	Simbad	NED
     262	NGC4235	 48	 -2.5	-112	 2	145	  3	Simbad	NED
     263	NGC4235	 48	 -1.6	 -79	 2	153	  3	Simbad	NED
     264	NGC4235	 48	 -0.8	 -37	 2	153	  3	Simbad	NED
     265	NGC4235	 48	  0.0	  -4	 2	178	  3	Simbad	NED
     266	NGC4235	 48	  0.8	  23	 2	165	  3	Simbad	NED
     267	NGC4235	 48	  1.6	  67	 2	161	  3	Simbad	NED
     268	NGC4235	 48	  2.5	 116	 2	145	  3	Simbad	NED
     269	NGC4235	 48	  3.3	 150	 2	124	  3	Simbad	NED
     270	NGC4235	 48	  4.1	 173	 2	 99	  4	Simbad	NED
     271	NGC4235	 48	  4.9	 186	 3	 96	  4	Simbad	NED
     272	NGC4235	 48	  5.7	 197	 3	 98	  4	Simbad	NED
     273	NGC4235	 48	  6.6	 211	 3	104	  5	Simbad	NED
     274	NGC4235	 48	  7.4	 222	 3	 98	  5	Simbad	NED
     275	NGC4235	 48	  8.2	 220	 4	 93	  6	Simbad	NED
     276	NGC4235	 48	  9.0	 217	 4	 92	  7	Simbad	NED
     277	NGC4235	 48	  9.8	 212	 4	 85	  7	Simbad	NED
     278	NGC4235	 48	 10.7	 203	 4	 70	  8	Simbad	NED
     279	NGC4235	 48	 11.5	 192	 5	 90	  8	Simbad	NED
     280	NGC4235	 48	 12.3	 194	 6	 81	 10	Simbad	NED
     281	NGC4235	 48	 13.1	 200	 6	 80	 11	Simbad	NED
     282	NGC4235	 48	 13.9	 200	 8	 94	 13	Simbad	NED
     283	NGC4235	 48	 14.8	 212	 7	 89	 14	Simbad	NED
     284	NGC4235	 48	 15.6	 224	 9	 72	 16	Simbad	NED
     285	NGC4235	 48	 16.4	 231	 9	 65	 17	Simbad	NED
     286	NGC4235	 48	 17.2	 227	11	 93	 19	Simbad	NED
     287	NGC4235	 48	 18.0	 250	11	 91	 18	Simbad	NED
     288	NGC4235	 48	 18.9	 251	12	 81	 21	Simbad	NED
     289	NGC4235	 48	 19.7	 246	12	105	 19	Simbad	NED
     290	NGC4235	 48	 20.5	 258	14	103	 23	Simbad	NED
     291	NGC4235	 48	 21.3	 262	19	107	 31	Simbad	NED
     292	NGC4235	 48	 22.1	 212	23	 96	 37	Simbad	NED
     293	NGC4235	 48	 23.0	 222	22	131	 34	Simbad	NED
     294	NGC4235	 48	 25.4	 190	33	 86	 53	Simbad	NED
     295	NGC4235	 48	 29.5	 229	27	 82	 45	Simbad	NED
     296	NGC4235	 48	 33.6	 272	22	 43	 50	Simbad	NED
     297	NGC4235	 48	 39.8	 263	26	 23	 88	Simbad	NED
     298	NGC4235	 48	 48.0	 300	26	 38	 74	Simbad	NED
     299	NGC4235	138	 -4.5	  11	 7	137	 11	Simbad	NED
     300	NGC4235	138	 -3.7	  24	 6	146	  9	Simbad	NED
     301	NGC4235	138	 -2.9	  24	 3	123	  4	Simbad	NED
     302	NGC4235	138	 -2.0	  20	 3	136	  4	Simbad	NED
     303	NGC4235	138	 -1.2	  12	 2	153	  3	Simbad	NED
     304	NGC4235	138	 -0.4	   2	 2	153	  3	Simbad	NED
     305	NGC4235	138	  0.4	   1	 2	152	  3	Simbad	NED
     306	NGC4235	138	  1.2	   1	 2	152	  3	Simbad	NED
     307	NGC4235	138	  2.1	  -4	 2	150	  3	Simbad	NED
     308	NGC4235	138	  2.9	   1	 3	134	  5	Simbad	NED
     309	NGC4235	138	  3.7	  -5	 4	135	  6	Simbad	NED
     310	NGC4235	138	  4.5	  -7	 6	125	  9	Simbad	NED
     311	NGC4586	115	-73.7	-132	23	 42	 38	Simbad	NED
     312	NGC4586	115	-71.6	-111	14	 18	 56	Simbad	NED
     313	NGC4586	115	-70.8	-103	26	 60	 49	Simbad	NED
