#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table7&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table7:
#Name: J/ApJ/933/47/table7
#Title: Rejected background contaminants distance results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[7.8/289] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-65/57] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/12] Host distance	[ucd=pos.distance]
#Column	D-SBF	(F5.2)	[3.7/25]? SBF lower 2{sigma} bound on distance	[ucd=pos.distance]
#Column	Tel	(a8)	SBF Source	[ucd=meta.ref]
#Column	Conf	(A5)	Confirmation criteria exception; see Section 5.3 (only 1 occurrence =True) (G1)	[ucd=meta.code]
#Column	vrec	(I4)	[307/5600]? Recessional velocity	[ucd=phys.veloc]
#Column	r_vrec	(A4)	Source for vrec (G2)	[ucd=meta.ref;phys.veloc]
#Column	l_D-trgb	(A1)	Limit flag on D-trgb	[ucd=meta.code.error;pos.distance]
#Column	D-trgb	(F5.2)	[3.8/9.7]? Distance, tip of the red giant branch	[ucd=pos.distance]
#Column	r_D-trgb	(A1)	Source for D-trgb (G2)	[ucd=meta.ref;pos.distance]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	D-SBF	Tel	Conf	vrec	r_vrec	l_D-trgb	D-trgb	r_D-trgb
      28	dw0937p2153   	144.370	+21.884	NGC2903	 9.00	13.46	GEMINI  	False	    	    	 	     	
      29	dw0937p2145   	144.375	+21.761	NGC2903	 9.00	15.14	GEMINI  	False	    	    	 	     	
      30	dw1001m0743   	150.381	-07.724	NGC3115	10.20	15.71	GEMINI  	False	    	    	 	     	
      31	dw1001m0640   	150.386	-06.668	NGC3115	10.20	19.85	GEMINI  	False	    	    	 	     	
      32	dw1001m0752   	150.405	-07.875	NGC3115	10.20	14.25	GEMINI  	False	    	    	 	     	
      33	dw1002m0635   	150.650	-06.586	NGC3115	10.20	14.59	GEMINI  	False	    	    	 	     	
      34	dw1002m0623   	150.664	-06.387	NGC3115	10.20	16.17	GEMINI  	False	    	    	 	     	
      35	dw1005m0609   	151.316	-06.156	NGC3115	10.20	18.57	GEMINI  	False	    	    	 	     	
      36	dw1007m0730   	151.905	-07.516	NGC3115	10.20	11.81	GEMINI  	False	    	    	 	     	
      37	dw1010m0833   	152.522	-08.561	NGC3115	10.20	12.44	GEMINI  	False	    	    	 	     	
      38	dw1041p2341   	160.314	+23.694	NGC3344	 9.82	14.07	HSC     	False	    	    	 	     	
      39	dw1042p2343   	160.510	+23.728	NGC3344	 9.82	17.95	HSC     	False	    	    	 	     	
      40	dw1040p1326   	160.241	+13.434	NGC3379	10.70	18.21	HSC     	False	    	    	 	     	
      41	dw1041p1320   	160.364	+13.343	NGC3379	10.70	14.79	HSC     	False	    	    	 	     	
      42	dw1042p1357   	160.611	+13.957	NGC3379	10.70	21.95	HSC     	False	    	    	 	     	
      43	dw1043p1411   	160.806	+14.193	NGC3379	10.70	11.65	HSC     	False	    	    	 	     	
      44	dw1044p1401   	161.130	+14.033	NGC3379	10.70	13.24	HSC     	False	    	    	 	     	
      45	dw1045p1406   	161.253	+14.106	NGC3379	10.70	13.41	HSC     	False	    	    	 	     	
      46	dw1045p1349   	161.298	+13.824	NGC3379	10.70	12.66	HSC     	False	    	    	 	     	
      47	dw1045p1140   	161.461	+11.681	NGC3379	10.70	14.51	HSC     	False	    	    	 	     	
      48	dw1046p1129   	161.578	+11.484	NGC3379	10.70	15.66	HSC     	False	    	    	 	     	
      49	UGC5889       	161.843	+14.070	NGC3379	10.70	     	        	     	 569	S   	 	 7.73	a
      50	dw1047p1206   	161.935	+12.114	NGC3379	10.70	17.92	HSC     	False	    	    	 	     	
      51	dw1048p1230   	162.107	+12.511	NGC3379	10.70	16.17	HSC     	False	    	    	 	     	
      52	dw1048p1134   	162.188	+11.572	NGC3379	10.70	18.54	HSC     	False	    	    	 	     	
      53	dw1049p1158   	162.267	+11.983	NGC3379	10.70	24.92	HSC     	False	    	    	 	     	
      54	dw1049p1225   	162.322	+12.422	NGC3379	10.70	14.19	HSC     	False	1377	S   	 	     	
      55	dw1049p1201   	162.356	+12.026	NGC3379	10.70	17.03	HSC     	False	    	    	 	     	
      56	dw1049p1404   	162.398	+14.071	NGC3379	10.70	11.07	CFHT    	False	    	    	 	     	
      57	dw1049p1217   	162.417	+12.287	NGC3379	10.70	18.84	HSC     	False	    	    	 	     	
      58	dw1050p1329   	162.538	+13.484	NGC3379	10.70	13.87	CFHT    	False	    	    	 	     	
      59	dw1100p0022   	165.122	-00.367	NGC3521	11.20	19.35	HSC     	False	    	    	 	     	
      60	dw1101p0023   	165.391	+00.389	NGC3521	11.20	12.20	HSC     	False	    	    	 	     	
      61	dw1102p0020   	165.742	-00.348	NGC3521	11.20	15.01	HSC     	False	    	    	 	     	
      62	dw1103m0134   	165.907	-01.570	NGC3521	11.20	14.65	HSC     	False	    	    	 	     	
      63	dw1105m0139   	166.263	-01.667	NGC3521	11.20	12.33	HSC     	False	    	    	 	     	
      64	dw1108m0101   	167.059	-01.030	NGC3521	11.20	15.93	HSC     	False	    	    	 	     	
      65	dw1102p5655   	165.544	+56.920	NGC3556	 9.55	12.89	CFHT    	False	    	    	 	     	
      66	dw1103p5622   	165.897	+56.351	NGC3556	 9.55	18.56	NONE    	False	    	    	 	     	
      67	dw1106p5644   	166.667	+56.737	NGC3556	 9.55	     	        	     	    	    	 	     	
      68	dw1119p1237   	169.777	+12.633	NGC3627	10.50	11.06	CFHT    	False	    	    	 	     	
      69	dw1214p4726   	183.521	+47.436	NGC4258	 7.20	12.39	CFHT    	False	    	    	 	     	
      70	dw1217p4639   	184.254	+46.653	NGC4258	 7.20	20.29	CFHT    	False	    	    	 	     	
      71	dw1217p4703   	184.289	+47.064	NGC4258	 7.20	 3.77	CFHT    	False	    	    	>	 9.70	h
      72	dw1217p4759   	184.383	+47.995	NGC4258	 7.20	 8.29	CFHT    	False	    	    	 	     	
      73	dw1217p4656   	184.497	+46.943	NGC4258	 7.20	10.63	CFHT    	False	    	    	 	     	
      74	dw1219p4718   	184.864	+47.312	NGC4258	 7.20	10.11	CFHT    	False	    	    	 	     	
      75	dw1219p4727   	184.888	+47.451	NGC4258	 7.20	12.69	CFHT    	False	    	    	 	     	
      76	dw1219p4705-n2	184.900	+47.093	NGC4258	 7.20	13.08	CFHT    	False	    	    	 	     	
      77	dw1220p4808   	185.073	+48.137	NGC4258	 7.20	12.69	CFHT    	False	    	    	 	     	
      78	dw1220p4700   	185.167	+47.001	NGC4258	 7.20	11.50	CFHT    	False	    	    	 	     	
      79	dw1220p4749   	185.204	+47.829	NGC4258	 7.20	12.67	CFHT    	False	    	    	 	     	
      80	dw1222p4755   	185.729	+47.929	NGC4258	 7.20	15.36	CFHT    	False	    	    	 	     	
      81	dw1224p4706   	186.048	+47.123	NGC4258	 7.20	 8.46	HSC     	False	    	    	 	     	
      82	dw1227m0053   	186.828	-00.883	NGC4517	 8.34	18.21	HSC     	False	    	    	 	     	
      83	dw1228p0149   	187.066	+01.829	NGC4517	 8.34	13.53	HSC     	False	    	    	 	     	
      84	dw1229m0100   	187.261	-01.000	NGC4517	 8.34	13.03	HSC     	False	    	    	 	     	
      85	dw1229p0006   	187.266	+00.104	NGC4517	 8.34	13.19	HSC     	False	1139	S   	 	     	
      86	dw1229p0144   	187.341	+01.736	NGC4517	 8.34	11.47	HSC     	False	    	    	 	     	
      87	dw1230m0025   	187.538	-00.417	NGC4517	 8.34	17.60	HSC     	False	2488	S   	 	     	
      88	dw1230p0052   	187.545	+00.874	NGC4517	 8.34	21.37	HSC     	False	    	    	 	     	
      89	dw1230p0044   	187.668	+00.746	NGC4517	 8.34	10.77	HSC     	False	    	    	 	     	
      90	dw1230p0029   	187.709	+00.499	NGC4517	 8.34	12.29	HSC     	False	    	    	 	     	
      91	dw1230m0059   	187.729	-00.997	NGC4517	 8.34	13.06	HSC     	False	    	    	 	     	
      92	dw1231p0203   	187.949	+02.065	NGC4517	 8.34	10.13	HSC     	False	    	    	 	     	
      93	dw1231m0058   	187.977	-00.968	NGC4517	 8.34	22.29	HSC     	False	    	    	 	     	
      94	dw1232p0029   	188.064	+00.489	NGC4517	 8.34	21.07	HSC     	False	    	    	 	     	
      95	dw1232p0143   	188.092	+01.729	NGC4517	 8.34	10.28	HSC     	False	    	    	 	     	
      96	dw1232p0022   	188.117	+00.390	NGC4517	 8.34	     	        	     	1532	S   	 	     	
      97	dw1232p0142   	188.127	+01.710	NGC4517	 8.34	16.52	HSC     	False	    	    	 	     	
      98	dw1232m0036   	188.173	-00.613	NGC4517	 8.34	13.34	HSC     	False	    	    	 	     	
      99	dw1232p0146   	188.183	+01.775	NGC4517	 8.34	13.14	HSC     	False	    	    	 	     	
     100	dw1232p0134   	188.194	+01.569	NGC4517	 8.34	11.19	HSC     	False	1535	S   	 	     	
     101	dw1233m0032   	188.283	-00.534	NGC4517	 8.34	12.75	HSC     	False	 751	S   	 	     	
     102	dw1233m0021   	188.290	-00.375	NGC4517	 8.34	13.24	HSC     	False	    	    	 	     	
     103	dw1233p0202   	188.326	+02.046	NGC4517	 8.34	11.77	HSC     	False	    	    	 	     	
     104	dw1233p0023-n2	188.494	+00.387	NGC4517	 8.34	12.46	HSC     	False	1559	S   	 	     	
     105	dw1234p0134   	188.536	+01.574	NGC4517	 8.34	14.43	HSC     	False	    	    	 	     	
     106	dw1234m0017   	188.724	-00.287	NGC4517	 8.34	22.76	HSC     	False	    	    	 	     	
     107	dw1235p0106   	188.762	+01.114	NGC4517	 8.34	14.01	HSC     	False	    	    	 	     	
     108	dw1235m0047   	188.777	-00.794	NGC4517	 8.34	10.89	HSC     	False	    	    	 	     	
     109	dw1235p0152   	188.993	+01.886	NGC4517	 8.34	11.68	HSC     	False	    	    	 	     	
     110	dw1236m0059   	189.032	-00.988	NGC4517	 8.34	15.08	HSC     	False	 959	S   	 	     	
     111	dw1236p0043   	189.049	+00.720	NGC4517	 8.34	13.56	HSC     	False	    	    	 	     	
     112	dw1236p0014   	189.091	+00.234	NGC4517	 8.34	21.71	HSC     	False	    	    	 	     	
     113	dw1236p0008   	189.151	+00.145	NGC4517	 8.34	18.17	HSC     	False	    	    	 	     	
     114	dw1236p0136   	189.229	+01.615	NGC4517	 8.34	13.86	HSC     	False	 579	S   	 	     	
     115	dw1236p0108   	189.236	+01.147	NGC4517	 8.34	19.83	HSC     	False	    	    	 	     	
     116	dw1236p0144   	189.244	+01.739	NGC4517	 8.34	13.39	HSC     	False	    	    	 	     	
     117	dw1237p0113   	189.318	+01.222	NGC4517	 8.34	10.48	HSC     	False	    	    	 	     	
     118	dw1237p0126   	189.327	+01.448	NGC4517	 8.34	11.67	HSC     	False	    	    	 	     	
     119	dw1237p0012   	189.328	+00.213	NGC4517	 8.34	12.69	HSC     	False	 863	S   	 	     	
     120	dw1237p0047-n2	189.343	+00.799	NGC4517	 8.34	14.25	HSC     	False	    	    	 	     	
     121	dw1237p0019   	189.452	+00.319	NGC4517	 8.34	18.53	HSC     	False	    	    	 	     	
     122	dw1237m0036   	189.473	-00.601	NGC4517	 8.34	12.37	HSC     	False	    	    	 	     	
     123	dw1238p0030   	189.695	+00.502	NGC4517	 8.34	14.13	HSC     	False	    	    	 	     	
     124	dw1239p0008   	189.788	+00.145	NGC4517	 8.34	11.12	HSC     	False	    	    	 	     	
     125	dw1239p0049   	189.915	+00.824	NGC4517	 8.34	12.83	HSC     	False	    	    	 	     	
     126	dw1239p0002   	189.948	+00.042	NGC4517	 8.34	12.48	HSC     	False	    	    	 	     	
     127	dw1240m0021   	190.037	-00.351	NGC4517	 8.34	14.50	HSC     	False	1710	S   	 	     	
     128	dw1240p0026   	190.202	+00.449	NGC4517	 8.34	14.33	HSC     	False	1667	S   	 	     	
     129	dw1235p2606   	188.985	+26.115	NGC4565	11.90	 7.03	CFHT    	True 	    	    	 	     	
     130	dw1238p2536   	189.727	+25.616	NGC4565	11.90	16.40	CFHT    	False	    	    	 	     	
     131	dw1237m1110   	189.425	-11.169	M104   	 9.55	10.55	CFHT    	False	    	    	 	     	
     132	dw1240m1155   	190.248	-11.930	M104   	 9.55	16.95	CFHT    	False	    	    	 	     	
     133	dw1241m1210   	190.263	-12.180	M104   	 9.55	12.52	CFHT    	False	    	    	 	     	
     134	dw1237p3305   	189.260	+33.084	NGC4631	 7.40	10.90	GEMINI  	False	    	    	 	     	
     135	dw1237p3330   	189.365	+33.513	NGC4631	 7.40	 8.18	GEMINI  	False	    	    	 	     	
     136	dw1238p3337   	189.574	+33.634	NGC4631	 7.40	11.57	GEMINI  	False	    	    	 	     	
     137	UGCA292       	189.668	+32.765	NGC4631	 7.40	     	        	     	 307	S   	 	 3.80	t
     138	dw1240p3239   	190.041	+32.659	NGC4631	 7.40	10.21	CFHT    	False	    	    	 	     	
     139	dw1242p3224   	190.507	+32.402	NGC4631	 7.40	 9.57	CFHT    	False	    	    	 	     	
     140	dw1242p3231   	190.618	+32.531	NGC4631	 7.40	     	        	     	    	    	 	     	
     141	dw1242p3227   	190.721	+32.456	NGC4631	 7.40	10.54	HSC     	False	    	    	 	     	
     142	dw1243p3229   	190.779	+32.491	NGC4631	 7.40	 8.65	CFHT    	False	    	    	 	     	
     143	dw1243p3232   	190.937	+32.534	NGC4631	 7.40	11.92	CFHT    	False	    	    	 	     	
     144	UGC7690       	188.112	+42.705	NGC4736	 4.20	     	        	     	 536	a   	 	     	
     145	UGCA290       	189.341	+38.744	NGC4736	 4.20	     	        	     	 458	S   	 	 6.14	a
     146	dw1240p3800   	190.010	+38.000	NGC4736	 4.20	     	        	     	 446	a   	 	     	
     147	dw1249p2155   	192.403	+21.918	NGC4826	 5.30	     	        	     	 519	S   	 	 6.31	a
     148	dw1254p1943   	193.605	+19.726	NGC4826	 5.30	 6.11	CFHT    	False	    	    	 	     	
     149	dw1301p2103   	195.252	+21.066	NGC4826	 5.30	14.12	HSC     	False	    	    	 	     	
     150	dw1327p4654   	201.906	+46.915	NGC5194	 8.58	14.91	HSC     	False	    	    	 	     	
     151	dw1327p4626   	201.971	+46.441	NGC5194	 8.58	12.44	HSC     	False	    	    	 	     	
     152	dw1328p4718   	202.091	+47.304	NGC5194	 8.58	11.74	HSC     	False	    	    	 	     	
     153	dw1329p4634   	202.463	+46.583	NGC5194	 8.58	22.21	HSC     	False	    	    	 	     	
     154	dw1329p4622   	202.474	+46.372	NGC5194	 8.58	 8.85	HSC     	False	5600	u   	 	     	
     155	dw1330p4708   	202.634	+47.138	NGC5194	 8.58	     	        	     	    	    	 	     	
     156	dw1330p4720   	202.685	+47.345	NGC5194	 8.58	17.27	HSC     	False	    	    	 	     	
     157	dw1331p4648   	202.798	+46.816	NGC5194	 8.58	11.66	HSC     	False	    	    	 	     	
     158	dw1332p4703   	203.191	+47.051	NGC5194	 8.58	14.10	HSC     	False	    	    	 	     	
     159	dw1333p4725   	203.438	+47.427	NGC5194	 8.58	13.14	CFHT    	False	    	    	 	     	
     160	dw1401p5421   	210.324	+54.354	NGC5457	 6.50	19.71	CFHT    	False	    	    	 	     	
     161	dw1401p5410   	210.395	+54.174	NGC5457	 6.50	 9.49	CFHT    	False	    	    	 	     	
     162	dw1402p5539   	210.583	+55.655	NGC5457	 6.50	10.60	CFHT    	False	    	    	 	     	
     163	dw1403p5557   	210.920	+55.961	NGC5457	 6.50	18.63	CFHT    	False	    	    	 	     	
     164	dw1404p5506   	211.104	+55.104	NGC5457	 6.50	12.67	CFHT    	False	    	    	 	     	
     165	dw1404p5316   	211.104	+53.270	NGC5457	 6.50	15.17	CFHT    	False	    	    	 	     	
     166	dw1404p5537   	211.113	+55.621	NGC5457	 6.50	20.28	CFHT    	False	    	    	 	     	
     167	dw1405p5519   	211.419	+55.324	NGC5457	 6.50	17.66	CFHT    	False	    	    	 	     	
     168	dw1405p5202   	211.440	+52.042	NGC5457	 6.50	16.64	CFHT    	False	    	    	 	     	
     169	dw1406p5550   	211.657	+55.838	NGC5457	 6.50	11.42	CFHT    	False	    	    	 	     	
     170	dw1407p5458   	211.777	+54.977	NGC5457	 6.50	11.03	CFHT    	False	    	    	 	     	
     171	dw1407p5449   	211.813	+54.831	NGC5457	 6.50	 9.21	CFHT    	False	    	    	 	     	
     172	dw1407p5504   	211.868	+55.083	NGC5457	 6.50	11.64	CFHT    	False	    	    	 	     	
     173	dw1407p5442   	211.892	+54.711	NGC5457	 6.50	11.68	CFHT    	False	    	    	 	     	
     174	dw1407p5452   	211.901	+54.874	NGC5457	 6.50	 8.37	CFHT    	False	    	    	 	     	
     175	dw1407p5400   	211.943	+54.001	NGC5457	 6.50	11.26	CFHT    	False	    	    	 	     	
     176	dw1407p5415   	211.943	+54.257	NGC5457	 6.50	 8.09	CFHT    	False	    	    	 	     	
     177	dw1407p5528   	211.972	+55.476	NGC5457	 6.50	 9.61	CFHT    	False	    	    	 	     	
     178	dw1408p5420   	212.005	+54.375	NGC5457	 6.50	 7.97	CFHT    	False	    	    	 	     	
     179	dw1408p5453   	212.128	+54.880	NGC5457	 6.50	12.05	CFHT    	False	    	    	 	     	
     180	dw1408p5452   	212.128	+54.880	NGC5457	 6.50	13.97	CFHT    	False	    	    	 	     	
     181	dw1408p5526   	212.141	+55.447	NGC5457	 6.50	13.36	CFHT    	False	    	    	 	     	
     182	dw1408p5517   	212.191	+55.287	NGC5457	 6.50	14.06	CFHT    	False	    	    	 	     	
     183	dw1408p5421   	212.195	+54.357	NGC5457	 6.50	 9.13	CFHT    	False	    	    	 	     	
     184	dw1409p5504   	212.257	+55.069	NGC5457	 6.50	10.19	CFHT    	False	    	    	 	     	
     185	dw1409p5452   	212.258	+54.863	NGC5457	 6.50	 9.85	CFHT    	False	    	    	 	     	
     186	dw1410p5522   	212.551	+55.373	NGC5457	 6.50	16.37	CFHT    	False	    	    	 	     	
     187	dw1410p5426   	212.554	+54.446	NGC5457	 6.50	11.09	CFHT    	False	    	    	 	     	
     188	dw1410p5445   	212.584	+54.764	NGC5457	 6.50	 8.70	CFHT    	False	    	    	 	     	
     189	dw1410p5553   	212.749	+55.891	NGC5457	 6.50	 7.72	CFHT    	False	    	    	 	     	
     190	dw1412p5608   	213.049	+56.142	NGC5457	 6.50	10.57	CFHT    	False	    	    	 	     	
     191	dw1413p5511   	213.257	+55.188	NGC5457	 6.50	14.06	CFHT    	False	    	    	 	     	
     192	dw1416p5529   	214.089	+55.490	NGC5457	 6.50	15.01	CFHT    	False	    	    	 	     	
     193	dw1912m6351   	288.097	-63.855	NGC6744	 8.95	10.62	DECAM   	False	    	    	 	     	
     194	dw1912m6339   	288.198	-63.665	NGC6744	 8.95	 9.67	DECAM   	False	    	    	 	     	
     195	dw1912m6445   	288.248	-64.764	NGC6744	 8.95	 9.49	DECAM   	False	    	    	 	     	
     196	dw1913m6449   	288.352	-64.817	NGC6744	 8.95	12.06	DECAM   	False	    	    	 	     	

