#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/NatAs/7.463&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1061000701
#Name: J/other/NatAs/7.463
#Title: Galaxies stellar and gas kinematic angles (Raimundo+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	creator=Raimundo S.I.	    First author or institution
#INFO	cites=bibcode:2023NatAs...7..463R	    Article or Data origin sources
#INFO	journal=NatA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/NatAs/7.463	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/dt/hkegd	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_NatAs_7_463_tabled1:
#Name: J/other/NatAs/7.463/tabled1
#Title: Summary of the main results for the of 1310 galaxies with measured stellar and gas kinematic angles
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[0/1309] Sequential number	[ucd=meta.record]
#Column	CatId	(I10)	Catalogue ID from the SAMI survey DR3	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F7.4)	Spectroscopic redshift	[ucd=src.redshift]
#Column	PAs	(F5.1)	Principal stellar kinematic axis (PAstellar)	[ucd=pos.posAng]
#Column	e_PAs	(F4.1)	3{sigma} uncertainty in PAstellar	[ucd=stat.error]
#Column	PAg	(F5.1)	Principal gas kinematic axis (PAgas)	[ucd=pos.posAng]
#Column	e_PAg	(F4.1)	3{sigma} uncertainty in PAgas	[ucd=stat.error]
#Column	DPA	(F5.1)	Difference in stellar-gas kinematic angles ({DELTA}PA=|PAstellar-PAgas|)	[ucd=pos.posAng]
#Column	e_DPA	(F4.1)	3{sigma} uncertainty in PA	[ucd=stat.error]
#Column	Flag	(A1)	[als] Flag for excitation mechanism (1)	[ucd=meta.code.error]
#Column	FAGN	(A2)	Flag for AGN detection (2)	[ucd=meta.code]
#Column	Type	(F4.1)	Morphological type as in the SAMI survey classification	[ucd=src.morph.type]
#Column	logMstar	(F10.7)	? Stellar mass	[ucd=phys.mass]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Seq	CatId	RAJ2000	DEJ2000	zsp	PAs	e_PAs	PAg	e_PAg	DPA	e_DPA	Flag	FAGN	Type	logMstar	SimbadName
      21	  20	    106908	217.8385	+00.9296	 0.0684	156.9	 3.0	165.9	 0.5	  9.1	 3.5	s	  	 2.5	10.7700000	GAMA 106908
      22	  21	    107137	218.6906	+00.8887	 0.0141	 43.2	 2.0	105.6	 3.0	 62.4	 5.0	a	  	 0.5	10.1600000	GAMA 107137
      23	  22	    107214	218.8964	+00.8888	 0.0301	333.9	 1.0	327.8	 0.5	  6.0	 1.5	s	  	 3.0	 9.8800000	GAMA 107214
      24	  23	    107395	219.8014	+00.9453	 0.0343	259.4	 4.0	257.4	 0.5	  2.0	 4.5	s	  	 3.0	 9.5800000	GAMA 107395
      25	  24	    107503	220.4432	+00.9205	 0.0334	257.4	 3.5	283.6	 1.0	 26.1	 4.5	s	  	 2.5	 9.6400000	GAMA 107503
      26	  25	    107509	220.5767	+00.8400	 0.0495	 20.1	 0.5	 21.1	 0.5	  1.0	 1.0	s	  	 2.0	10.6900000	GAMA 107509
      27	  26	    107528	220.5984	+00.9080	 0.0333	253.4	 2.5	247.4	 2.0	  6.0	 4.5	l	  	 0.0	11.0300000	GAMA 107528
      28	  27	    107594	221.0759	+00.8540	 0.0262	129.7	11.6	148.8	 0.5	 19.1	12.1	s	  	 3.0	 8.9300000	GAMA 107594
      29	  28	    107799	222.6743	+00.9324	 0.0431	 60.3	 5.5	 74.4	 0.5	 14.1	 6.0	s	  	 3.0	 9.6000000	GAMA 107799
      30	  29	    107824	222.8698	+00.9078	 0.0434	 39.2	 3.0	 31.2	 0.5	  8.1	 3.5	s	  	 2.0	10.3500000	GAMA 107824
      31	  30	    136238	174.2314	-01.7491	 0.0473	354.0	 2.0	357.0	 0.5	  3.0	 2.5	l	  	 0.5	10.8200000	GAMA 136238
      32	  31	    136263	174.3561	-01.7873	 0.0470	  1.0	 2.0	359.0	 0.5	  2.0	 2.5	a	  	 2.0	10.7400000	GAMA 136263
      33	  32	    136308	174.4956	-01.6946	 0.0788	223.2	 5.5	 45.2	 3.5	178.0	 9.1	l	  	 1.5	10.5100000	GAMA 136308
      34	  33	    136602	175.8722	-01.6680	 0.0446	135.8	 4.0	116.7	 0.5	 19.1	 4.5	 	  	 0.0	11.3700000	GAMA 136602
      35	  34	    136626	175.8266	-01.6294	 0.0459	201.1	 1.5	217.2	 0.5	 16.1	 2.0	s	  	 3.0	10.0100000	GAMA 136626
      36	  35	    136688	175.9122	-01.6469	 0.0429	358.0	 2.5	  2.0	 0.5	  4.0	 3.0	s	  	 2.0	10.4700000	GAMA 136688
      37	  36	    136842	176.2912	-01.7626	 0.0271	255.4	 7.5	 70.4	 3.5	175.0	11.1	a	  	 0.0	10.8000000	GAMA 136842
      38	  37	    136847	176.3126	-01.7028	 0.0278	 43.2	 1.0	 36.2	 0.5	  7.0	 1.5	a	  	 1.5	10.6500000	GAMA 136847
      39	  38	    136880	176.3371	-01.8128	 0.0268	240.3	 4.0	160.9	 9.1	 79.5	13.1	a	  	 1.5	 9.7800000	GAMA 136880
      40	  39	    137328	178.0572	-01.6466	 0.0844	 70.4	 9.1	 58.3	 0.5	 12.1	 9.6	s	  	 1.5	10.3000000	GAMA 137328
      41	  40	    137350	178.1907	-01.6494	 0.0195	111.6	11.1	 86.5	 0.5	 25.1	11.6	s	  	 3.0	 8.6700000	GAMA 137350
      42	  41	    137809	179.6894	-01.8060	 0.0879	 40.2	 2.0	 59.3	 0.5	 19.1	 2.5	a	bl	 2.0	10.7300000	GAMA 137809
      43	  42	    138047	180.6921	-01.7924	 0.0195	 94.5	 7.0	 75.4	 0.5	 19.1	 7.5	s	  	 3.0	 9.3500000	GAMA 138047
      44	  43	    138065	180.7124	-01.7859	 0.0205	340.9	 7.5	332.9	 1.5	  8.0	 9.1	s	  	 3.0	 9.4900000	GAMA 138065
      45	  44	    138066	180.7215	-01.7791	 0.0352	 97.5	 5.0	 80.5	 0.5	 17.1	 5.5	s	  	 3.0	 9.8500000	GAMA 138066
      46	  45	    138381	182.0687	-01.7825	 0.0212	110.6	 6.0	 98.5	 0.5	 12.1	 6.5	s	  	 3.0	 9.4000000	GAMA 138381
      47	  46	    139123	185.7926	-01.8381	 0.0765	105.6	 1.5	 97.5	 0.5	  8.1	 2.0	s	  	 1.5	10.7800000	GAMA 139123
      48	  47	    143227	174.8290	-01.3384	 0.0465	 92.5	 4.0	263.5	 7.0	170.9	11.1	 	  	 1.5	10.4900000	GAMA 143227
      49	  48	    143287	175.1574	-01.3514	 0.0456	 34.2	 4.0	 30.2	 0.5	  4.0	 4.5	s	  	 1.0	10.3300000	GAMA 143287
      50	  49	    143735	177.2813	-01.3665	 0.0811	281.6	 2.5	282.6	 0.5	  1.0	 3.0	s	  	 0.5	10.9500000	GAMA 143735
      51	  50	    143736	177.2880	-01.3624	 0.0811	281.6	 1.5	266.5	 2.0	 15.1	 3.5	 	  	 1.5	10.9600000	GAMA 143736
      52	  51	    143746	177.3554	-01.3816	 0.0806	318.8	 0.5	320.8	 0.5	  2.0	 1.0	 	  	 1.5	10.6600000	GAMA 143746
      53	  52	    143814	177.6514	-01.4096	 0.0198	306.7	16.1	288.6	 0.5	 18.1	16.6	s	  	 3.0	 9.3400000	GAMA 143814
      54	  53	    143918	178.2070	-01.2537	 0.0286	252.4	 1.0	258.4	 1.0	  6.0	 2.0	l	  	 1.0	 9.9800000	GAMA 143918
      55	  54	    144051	178.8777	-01.2614	 0.0193	178.0	 7.0	190.1	 0.5	 12.1	 7.5	s	  	 2.0	10.1600000	GAMA 144051
      56	  55	    144073	178.8926	-01.3545	 0.0820	205.1	 3.5	183.0	 0.5	 22.1	 4.0	s	  	 3.0	10.6000000	GAMA 144073
      57	  56	    144176	179.1825	-01.3619	 0.0183	177.0	 7.0	179.0	 0.5	  2.0	 7.5	s	  	 3.0	 9.3000000	GAMA 144176
      58	  57	    144178	179.1898	-01.2933	 0.0192	283.6	 7.0	284.6	 0.5	  1.0	 7.5	s	  	 3.0	 9.7300000	GAMA 144178
      59	  58	    144239	179.3826	-01.2529	 0.0183	133.7	 3.5	122.7	 0.5	 11.1	 4.0	s	  	 3.0	10.0600000	GAMA 144239
      60	  59	    144320	179.7335	-01.4304	 0.0520	355.0	 6.5	175.0	 0.5	180.0	 7.0	s	  	-9.0	10.2700000	GAMA 144320
      61	  60	    144327	179.6750	-01.3141	 0.0748	130.7	 2.5	133.7	 0.5	  3.0	 3.0	s	  	 2.0	10.7900000	GAMA 144327
      62	  61	    144402	179.9612	-01.3820	 0.0355	212.2	 2.0	230.3	 0.5	 18.1	 2.5	s	  	 2.5	10.2500000	GAMA 144402
      63	  62	    144498	180.2511	-01.3895	 0.0354	313.7	 3.0	309.7	 2.5	  4.0	 5.5	s	  	 1.0	 9.8600000	GAMA 144498
      64	  63	    144640	180.9373	-01.3804	 0.0823	339.9	 8.6	341.9	 2.5	  2.0	11.1	 	  	 1.0	11.0800000	GAMA 144640
      65	  64	    144690	181.0785	-01.3633	 0.0835	358.0	 1.5	 13.1	 3.0	 15.1	 4.5	s	  	 1.5	10.4000000	GAMA 144690
      66	  65	    144846	181.7898	-01.2526	 0.0374	178.0	 2.5	175.0	 0.5	  3.0	 3.0	s	  	 3.0	10.0200000	GAMA 144846
      67	  66	    145462	184.6727	-01.2562	 0.0803	 84.5	 4.5	 89.5	 0.5	  5.0	 5.0	s	  	 3.0	          	GAMA 145462
      68	  67	    145583	185.3245	-01.2541	 0.0217	101.6	 4.0	101.6	 0.5	  0.0	 4.5	s	  	 3.0	 9.3900000	GAMA 145583
      69	  68	    145729	185.9364	-01.3056	 0.0398	267.5	 3.0	264.5	 2.0	  3.0	 5.0	 	  	 1.5	10.4000000	GAMA 145729
      70	  69	     14697	212.6280	+00.6335	 0.1068	 11.1	 2.0	  5.0	 0.5	  6.0	 2.5	s	  	 2.0	10.9100000	GAMA 14697
      71	  70	     14753	212.9104	+00.7053	 0.1245	 84.5	 6.0	 95.5	 0.5	 11.1	 6.5	s	  	 2.0	          	GAMA 14753
      72	  71	     14812	212.9300	+00.7201	 0.0248	284.6	10.1	290.6	 0.5	  6.0	10.6	s	  	 2.5	 9.9900000	GAMA 14812
      73	  72	     15165	214.3812	+00.7716	 0.0775	150.8	 1.5	153.8	 0.5	  3.0	 2.0	l	  	 0.5	11.1500000	GAMA 15165
      74	  73	     15218	214.5986	+00.7321	 0.0257	135.8	 9.1	141.8	 0.5	  6.0	 9.6	s	  	 3.0	 9.1100000	GAMA 15218
      75	  74	     15220	214.6165	+00.7501	 0.0255	317.8	21.6	293.6	 0.5	 24.1	22.1	s	  	 3.0	 8.9800000	GAMA 15220
      76	  75	     15898	217.1874	+00.7115	 0.0568	141.8	 1.0	141.8	 0.5	  0.0	 1.5	s	  	 2.0	10.9400000	GAMA 15898
      77	  76	     16026	217.5345	+00.7035	 0.0538	161.9	 3.0	167.9	 0.5	  6.0	 3.5	s	  	 2.5	10.2300000	GAMA 16026
      78	  77	     16242	218.1344	+00.7715	 0.0341	205.1	 1.5	196.1	 0.5	  9.1	 2.0	s	  	 1.5	10.4500000	GAMA 16242
      79	  78	     16526	219.1860	+00.7101	 0.0562	149.8	 1.0	160.9	 8.0	 11.1	 9.1	s	  	 0.0	10.2600000	GAMA 16526
      80	  79	     16828	220.4529	+00.6870	 0.0063	176.0	 8.6	260.4	 1.0	 84.5	 9.6	s	  	 3.0	 8.9300000	GAMA 16828
      81	  80	     16926	220.9427	+00.7179	 0.0504	210.2	 2.5	214.2	 0.5	  4.0	 3.0	s	  	 1.0	10.2900000	GAMA 16926
      82	  81	     17273	222.7630	+00.6830	 0.0690	282.6	 3.0	280.6	 0.5	  2.0	 3.5	s	  	 3.0	10.4200000	GAMA 17273
      83	  82	     17314	223.0420	+00.7840	 0.0432	287.6	 1.0	285.6	 0.5	  2.0	 1.5	l	  	 2.0	10.4100000	GAMA 17314
      84	  83	    176955	174.9429	-01.8753	 0.0581	247.4	 1.5	249.4	 0.5	  2.0	 2.0	s	  	 2.5	10.6200000	GAMA 176955
      85	  84	    177010	175.2996	-01.9623	 0.0542	173.0	 1.0	186.0	 7.0	 13.1	 8.1	 	  	 1.5	10.5500000	GAMA 177010
      86	  85	    177143	175.9004	-01.9750	 0.0480	208.2	 1.5	209.2	 0.5	  1.0	 2.0	l	  	 2.0	10.4400000	GAMA 177143
      87	  86	    177303	176.3433	-01.8767	 0.0270	164.9	 2.0	163.9	 0.5	  1.0	 2.5	 	  	 2.0	10.4300000	GAMA 177303
      88	  87	    178197	179.5762	-01.9588	 0.0207	 13.1	 3.0	359.0	 0.5	 14.1	 3.5	s	  	 2.0	10.0700000	GAMA 178197
      89	  88	    179584	185.5560	-01.9116	 0.0716	112.6	 2.0	107.6	 0.5	  5.0	 2.5	s	  	 2.5	10.5200000	GAMA 179584
      90	  89	    179588	185.6390	-02.0255	 0.1138	264.5	 1.0	266.5	 0.5	  2.0	 1.5	 	  	 2.0	          	LEDA 1103635
      91	  90	    184122	175.0566	-01.5480	 0.0467	203.1	 0.5	201.1	 0.5	  2.0	 1.0	s	  	 2.0	10.5400000	GAMA 184122
      92	  91	    184230	175.6488	-01.5442	 0.0735	232.3	 4.5	250.4	 0.5	 18.1	 5.0	s	  	 3.0	10.4100000	GAMA 184230
      93	  92	    184368	176.2103	-01.6013	 0.0284	 60.3	 1.0	 59.3	 0.5	  1.0	 1.5	s	  	 2.0	10.7400000	GAMA 184368
      94	  93	    184415	176.3420	-01.5652	 0.0284	271.5	 6.5	268.5	 0.5	  3.0	 7.0	s	  	 3.0	 9.5600000	GAMA 184415
      95	  94	    184648	177.4014	-01.4555	 0.0187	 58.3	 2.0	263.5	16.6	154.9	18.6	 	  	 0.0	10.6000000	GAMA 184648
      96	  95	    184689	177.5014	-01.4634	 0.0803	308.7	 1.5	295.6	12.1	 13.1	13.6	 	  	 1.5	11.0700000	GAMA 184689
      97	  96	    185190	179.4946	-01.5577	 0.0202	185.0	 7.0	210.2	 0.5	 25.1	 7.5	s	  	 3.0	 9.0100000	GAMA 185190
      98	  97	    185224	179.5898	-01.4584	 0.0817	154.9	 0.5	149.8	 1.0	  5.0	 1.5	l	  	 1.0	10.9800000	GAMA 185224
      99	  98	    185282	179.7915	-01.5540	 0.0520	 21.1	 3.0	 18.1	 0.5	  3.0	 3.5	s	  	 2.0	10.1100000	GAMA 185282
     100	  99	    185365	180.0116	-01.6147	 0.0522	 26.1	 3.5	 31.2	 0.5	  5.0	 4.0	a	  	 0.5	10.3900000	GAMA 185365
     101	 100	    185510	180.5913	-01.4539	 0.0205	 24.1	 3.0	 24.1	 0.5	  0.0	 3.5	s	  	 3.0	 9.4000000	GAMA 185510
     102	 101	    185532	180.6943	-01.5934	 0.0202	239.3	 1.5	251.4	 0.5	 12.1	 2.0	s	  	 3.0	 9.2800000	GAMA 185532
     103	 102	    185795	181.9016	-01.5541	 0.0513	 55.3	 5.0	 55.3	 0.5	  0.0	 5.5	s	  	 3.0	10.1800000	GAMA 185795
     104	 103	    185914	182.4554	-01.4717	 0.1113	358.0	 1.5	  3.0	 0.5	  5.0	 2.0	l	  	 0.5	11.1600000	GAMA 185914
     105	 104	    186012	182.6942	-01.5690	 0.1008	200.1	 0.5	141.8	 3.5	 58.3	 4.0	l	  	 0.0	11.0300000	GAMA 186012
     106	 105	    186380	184.2579	-01.4798	 0.0204	 30.2	11.6	212.2	 4.0	178.0	15.6	s	  	 3.0	 8.9300000	GAMA 186380
     107	 106	    186470	184.6530	-01.5168	 0.0691	130.7	 4.0	192.1	23.1	 61.3	27.1	 	  	 1.0	10.4900000	GAMA 186470
     108	 107	    186573	185.0969	-01.5176	 0.0683	137.8	 1.5	150.8	 8.0	 13.1	 9.6	 	  	 1.5	10.4000000	GAMA 186573
     109	 108	    186803	185.9250	-01.4762	 0.0251	293.6	 4.0	264.5	 0.5	 29.2	 4.5	s	  	 2.5	 9.7700000	GAMA 186803
     110	 109	    197419	135.2073	-00.7143	 0.0406	  7.0	 9.6	 23.1	 0.5	 16.1	10.1	s	  	 3.0	 9.3000000	GAMA 197419
     111	 110	    197555	135.8028	-00.7529	 0.0483	148.8	 1.0	150.8	 0.5	  2.0	 1.5	 	  	 2.0	10.7700000	GAMA 197555
     112	 111	    197866	137.4462	-00.6518	 0.0544	337.9	 2.5	340.9	 0.5	  3.0	 3.0	s	  	 2.0	10.3000000	GAMA 197866
     113	 112	    198591	140.1562	-00.6795	 0.0116	 47.3	 6.5	 59.3	 0.5	 12.1	 7.0	s	  	 3.0	 9.6100000	GAMA 198591
     114	 113	    198771	140.8153	-00.7280	 0.0117	310.7	20.6	287.6	 0.5	 23.1	21.1	s	  	 3.0	 9.4300000	GAMA 198771
     115	 114	    198817	140.9750	-00.6826	 0.0554	256.4	 3.0	264.5	 0.5	  8.1	 3.5	s	  	 2.0	10.0900000	GAMA 198817
     116	 115	    202309	129.0775	-00.3496	 0.0573	327.8	 7.5	309.7	 0.5	 18.1	 8.0	s	  	 3.0	 9.4100000	GAMA 202309
     117	 116	    202354	129.3083	-00.2748	 0.0374	294.6	 1.0	246.4	 0.5	 48.3	 1.5	s	  	 3.0	 9.7400000	GAMA 202354
     118	 117	    202398	129.4604	-00.2621	 0.0512	325.8	 7.0	316.8	 0.5	  9.1	 7.5	l	  	 2.0	10.6000000	GAMA 202398
     119	 118	    202399	129.4573	-00.2516	 0.0518	119.7	 2.5	 71.4	 1.5	 48.3	 4.0	l	  	 1.0	10.9500000	GAMA 202399
     120	 119	    202443	129.7121	-00.3337	 0.0522	136.8	 0.5	117.7	 0.5	 19.1	 1.0	s	  	 2.0	10.1800000	GAMA 202443
     121	 120	    202636	130.6172	-00.2835	 0.0513	 86.5	10.6	 84.5	12.6	  2.0	23.1	s	  	 3.0	 9.7300000	GAMA 202636
     122	 121	    202673	130.6528	-00.2310	 0.0499	 31.2	 1.0	 30.2	 0.5	  1.0	 1.5	s	  	 2.5	10.5400000	GAMA 202673
     123	 122	    202745	130.9334	-00.2122	 0.0499	176.0	 2.5	177.0	 1.0	  1.0	 3.5	s	  	 1.5	10.6500000	GAMA 202745
     124	 123	    203114	132.6360	-00.2528	 0.0698	117.7	 0.5	124.7	 3.0	  7.0	 3.5	 	  	 2.0	10.9100000	GAMA 203114
     125	 124	    204093	136.6042	-00.2378	 0.0950	 57.3	 1.0	 44.2	 4.0	 13.1	 5.0	 	  	 1.0	10.9200000	GAMA 204093
     126	 125	    204096	136.5211	-00.2604	 0.0399	 94.5	 3.5	102.6	 0.5	  8.0	 4.0	s	  	 3.0	 9.9800000	GAMA 204096
     127	 126	    204490	138.3918	-00.2527	 0.0702	 93.5	 2.0	 93.5	 1.5	  0.0	 3.5	 	  	 2.0	10.9300000	GAMA 204490
     128	 127	    204799	139.4617	-00.2785	 0.0174	 46.3	 1.5	 54.3	 0.5	  8.0	 2.0	l	  	 2.0	10.3600000	GAMA 204799
     129	 128	    204877	139.8850	-00.2999	 0.0541	190.1	 7.0	156.9	 3.5	 33.2	10.6	s	  	 0.0	10.2100000	GAMA 204877
     130	 129	    204906	139.9206	-00.3643	 0.0549	155.9	11.6	167.9	 3.0	 12.1	14.6	l	  	 2.0	10.3600000	GAMA 204906
     131	 130	    204983	140.3073	-00.2304	 0.0549	324.8	 1.5	326.8	 0.5	  2.0	 2.0	s	  	 1.0	10.5200000	GAMA 204983
     132	 131	    205020	140.3727	-00.2689	 0.0257	 70.4	 2.0	 60.3	 1.5	 10.1	 3.5	 	  	 1.5	10.3100000	GAMA 205020
     133	 132	    205097	140.6430	-00.3918	 0.0557	 84.5	 2.0	 83.5	 0.5	  1.0	 2.5	s	  	 2.0	10.4700000	GAMA 205097
     134	 133	    205166	140.7075	-00.2746	 0.0550	229.3	 6.5	221.2	 0.5	  8.0	 7.0	 	  	 1.5	 9.8400000	GAMA 205166
