#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:42 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/907/85/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19070085
#Name: J/ApJ/907/85
#Title: The SAGA Survey. II. Satellite systems around galaxies (Mao+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	creator=Mao Y.-Y.	    First author or institution
#INFO	cites=bibcode:2021ApJ...907...85M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/907/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19070085	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_907_85_table2:
#Name: J/ApJ/907/85/table2
#Title: *List of host galaxies in 36 complete SAGA systems
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a11)	Host galaxy, common name	[ucd=meta.id;meta.main]
#Column	SAGA	(a13)	SAGA name	[ucd=meta.id]
#Column	RAJ2000	(F7.3)	[20/355] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-60/53] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RVel	(I4)	[1659/2865] Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	[25.3/39.8] Distance	[ucd=pos.distance]
#Column	KMAG	(F6.2)	[-24.6/-23] Absolute, dereddened K-band magnitude	[ucd=phot.mag]
#Column	Pcov	(A3)	Photometric coverage (1)	[ucd=phot]
#Column	Scov	(F5.1)	[80/100] Spectroscopic coverage, within the SAGA primary targeting region	[ucd=meta.code]
#Column	Nsat	(I1)	[0/9] Number of confirmed satellites (2)	[ucd=meta.number]
#Column	Fsat	(I1)	[0/1] Number of satellites below mag. limit (2)	[ucd=meta.number]
#Column	Psat	(F5.2)	[0.06/2.54] Unconfirmed potential satellites (2)	[ucd=meta.number]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Gal	SAGA	RAJ2000	DEJ2000	RVel	Dist	KMAG	Pcov	Scov	Nsat	Fsat	Psat	Simbad
      24	NGC 5869   	Ynglinga     	227.456	+00.470	2074	30.1	-23.66	S-L	 91.8	0	0	 1.40	Simbad
      25	NGC 5962   	Gilgamesh    	234.132	+16.608	1963	27.9	-23.70	S-L	 94.9	2	0	 0.85	Simbad
      26	NGC 6181   	Odyssey      	248.088	+19.824	2370	33.6	-23.97	S-L	 97.4	9	1	 0.77	Simbad
      27	NGC 6278   	Arya         	255.210	+23.011	2795	39.3	-23.98	S-L	100.0	9	0	 0.07	Simbad
      28	NGC 6909   	Moana        	306.912	-47.027	2778	35.6	-23.52	-D-	 85.3	4	0	 0.39	Simbad
      29	NGC 7029   	Ozymandias   	317.967	-49.284	2783	38.1	-24.35	-D-	 89.5	5	0	 2.04	Simbad
      30	NGC 7079   	Middlemarch  	323.147	-44.068	2653	36.4	-24.22	-D-	 96.3	4	0	 0.06	Simbad
      31	ESO 288-025	Bilbo        	329.824	-43.867	2493	34.1	-23.12	-D-	 95.0	2	0	 0.33	Simbad
      32	NGC 7166   	Frodo        	330.137	-43.390	2458	33.5	-24.08	-D-	 81.8	6	0	 1.43	Simbad
      33	PGC 068743 	OBrother     	335.913	-03.432	2865	39.1	-23.81	S-L	 98.0	5	0	 0.53	Simbad
      34	NGC 7328   	PiPatel      	339.372	+10.532	2824	38.9	-23.32	S-L	 84.2	1	0	 0.14	Simbad
      35	NGC 7541   	Catch22      	348.683	+04.534	2680	38.1	-24.57	S-L	 94.9	5	1	 0.79	Simbad
      36	NGC 7716   	AnaK         	354.131	+00.297	2558	34.6	-23.38	SDL	 93.3	2	0	 1.02	Simbad

