#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/922/267/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19220267
#Name: J/ApJ/922/267
#Title: Dwarf galaxies photometry & structures (Carlsten+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/922/267	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2021ApJ...922..267C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/922/267	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19220267	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-12-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_922_267_table4:
#Name: J/ApJ/922/267/table4
#Title: The Local Volume (LV) field dwarf photometry
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a15)	Dwarf name	[ucd=meta.id;meta.main]
#Column	Host	(A5)	Host type ("FIELD" or "LG")	[ucd=obs.field]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-61.4/80.2] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	gmag	(F5.2)	[10.5/19.3]? Apparent g-band magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F5.2)	[0.08/0.12]? Uncertainty in gmag	[ucd=stat.error;phot.mag]
#Column	rimag	(F5.2)	[10.2/19.1]? Apparent r- or i- band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	e_rimag	(F5.2)	[0.09/0.12]? Uncertainty in rimag	[ucd=stat.error;phot.mag]
#Column	gMag	(F6.2)	[-16.3/-10.3]? Absolute g-band magnitude	[ucd=phys.magAbs;em.opt.B]
#Column	e_gMag	(F5.2)	[0.08/0.12]? Uncertainty in gMag	[ucd=stat.error;phot.mag]
#Column	VMag	(F6.2)	[-16.5/-10.4] Absolute V-band magnitude (G2)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F5.2)	[0.09/0.2] Uncertainty in VMag	[ucd=stat.error;phot.mag]
#Column	logMs	(F5.2)	[5.5/8.5] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMs	(F5.2)	[0.06/0.2] Uncertainty in logMs	[ucd=stat.error]
#Column	mu0V	(F5.2)	[19.1/26.18] V-band central surface brightness	[ucd=phot.mag.sb;em.opt.V]
#Column	e_mu0V	(F5.2)	[0.1/0.3]? Uncertainty in mu0V	[ucd=stat.error]
#Column	Re	(F6.1)	[157/4299] Effective radius of galaxy model	[ucd=phys.size.radius;meta.modelled]
#Column	e_Re	(F5.1)	[12/208]? Uncertainty in Re	[ucd=stat.error]
#Column	ell	(F5.2)	[0.05/0.87] Measured ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F5.2)	[0.02/0.1] Uncertainty in ell	[ucd=stat.error]
#Column	ETG	(A5)	Early-type galaxy? (always "False")	[ucd=meta.code.class]
#Column	Filt	(A4)	Filters used ("gi", "gr" or "None")	[ucd=meta.code;instr.filter]
#Column	Tel	(A6)	Instrument+Telescope used ("DECALS", "CFHT" or "MCCONN")	[ucd=instr.setup]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
recno	Name	Host	RAJ2000	DEJ2000	gmag	e_gmag	rimag	e_rimag	gMag	e_gMag	VMag	e_VMag	logMs	e_logMs	mu0V	e_mu0V	Re	e_Re	ell	e_ell	ETG	Filt	Tel	SimbadName	NED	LEDA
      18	PiscesB        	FIELD	019.7987	+11.1213	16.99	 0.09	16.77	 0.10	-12.76	 0.09	-12.89	 0.09	 6.73	 0.08	22.50	 0.12	 445.2	 26.8	 0.55	 0.03	False	gr  	DECALS	[TGG2015] Pisces B           	NED	LEDA
      19	AGC112521      	FIELD	025.2823	+27.3239	17.93	 0.10	17.55	 0.10	-10.99	 0.10	-11.21	 0.10	 6.31	 0.08	24.11	 0.13	 397.0	 27.9	 0.50	 0.03	False	gr  	DECALS	AGC112521                    	NED	LEDA
      20	KK13           	FIELD	025.5717	+26.3669	16.06	 0.09	15.71	 0.09	-13.41	 0.09	-13.62	 0.09	 7.22	 0.08	21.96	 0.11	 516.7	 28.0	 0.51	 0.02	False	gr  	DECALS	[KK98a] 13                   	NED	LEDA
      21	KK14           	FIELD	026.1772	+27.2883	16.91	 0.09	16.70	 0.09	-12.33	 0.09	-12.46	 0.09	 6.54	 0.08	23.17	 0.12	 449.7	 26.7	 0.24	 0.03	False	gr  	DECALS	[KK98a] 14                   	NED	LEDA
      22	ESO245-005     	FIELD	026.2672	-43.5972	12.18	 0.08	11.92	 0.09	-16.12	 0.08	-16.27	 0.09	 8.14	 0.07	22.58	 0.11	2300.8	109.2	 0.40	 0.02	False	gr  	DECALS	ESO245-005                   	NED	LEDA
      23	KK15           	FIELD	026.6755	+26.8015	17.62	 0.10	17.38	 0.10	-12.07	 0.10	-12.21	 0.10	 6.48	 0.08	23.51	 0.12	 570.9	 37.8	 0.67	 0.03	False	gr  	DECALS	[KK98a] 15                   	NED	LEDA
      24	UGC01281       	FIELD	027.3824	+32.5887	13.02	 0.08	12.68	 0.09	-15.59	 0.08	-15.79	 0.09	 8.08	 0.08	21.22	 0.11	2046.5	 97.9	 0.87	 0.02	False	gr  	DECALS	UGC01281                     	NED	LEDA
      25	KK16           	FIELD	028.8353	+27.9526	15.95	 0.09	15.64	 0.09	-12.80	 0.09	-12.98	 0.09	 6.91	 0.08	22.35	 0.11	 543.5	 29.2	 0.64	 0.02	False	gr  	DECALS	[KK98a] 16                   	NED	LEDA
      26	KK17           	FIELD	030.0426	+28.8305	16.93	 0.09	16.60	 0.09	-11.57	 0.09	-11.77	 0.09	 6.45	 0.08	23.56	 0.12	 403.4	 24.1	 0.52	 0.03	False	gr  	DECALS	[KK98a] 17                   	NED	LEDA
      27	ESO115-021     	FIELD	039.4464	-61.3372	12.94	 0.08	12.61	 0.09	-15.59	 0.08	-15.79	 0.09	 8.06	 0.08	21.63	 0.11	2358.8	112.7	 0.87	 0.02	False	gr  	DECALS	ESO115-021                   	NED	LEDA
      28	ESO199-007     	FIELD	044.5174	-49.3824	16.37	 0.09	16.20	 0.09	-12.53	 0.09	-12.63	 0.09	 6.56	 0.08	22.39	 0.11	 479.7	 26.8	 0.63	 0.02	False	gr  	DECALS	ESO199-007                   	NED	LEDA
      29	NGC1311        	FIELD	050.0302	-52.1867	12.88	 0.08	12.56	 0.09	-15.84	 0.08	-16.03	 0.09	 8.14	 0.08	20.16	 0.11	 940.2	 44.9	 0.67	 0.02	False	gr  	DECALS	NGC1311                      	NED	LEDA
      30	IC1959         	FIELD	053.3016	-50.4132	12.91	 0.08	12.56	 0.09	-16.05	 0.08	-16.26	 0.09	 8.27	 0.08	20.63	 0.11	1177.2	 56.2	 0.75	 0.02	False	gr  	DECALS	IC1959                       	NED	LEDA
      31	PGC013294      	FIELD	053.9866	-45.1917	16.19	 0.09	15.91	 0.09	-13.12	 0.09	-13.28	 0.09	 6.97	 0.08	21.51	 0.11	 245.7	 13.5	 0.12	 0.02	False	gr  	DECALS	PGC013294                    	NED	LEDA
      32	NGC1705        	FIELD	073.5576	-53.3615	13.15	 0.08	12.90	 0.09	-15.64	 0.08	-15.79	 0.09	 7.93	 0.08	19.10	 0.11	 301.6	 14.5	 0.17	 0.02	False	gr  	DECALS	NGC1705                      	NED	LEDA
      33	HIPASSJ0457-42 	FIELD	074.2444	-42.8005	14.98	 0.09	14.87	 0.09	-14.23	 0.09	-14.30	 0.09	 7.10	 0.08	21.75	 0.11	 571.5	 28.8	 0.50	 0.02	False	gr  	DECALS	HIPASSJ0457-42               	NED	LEDA
      34	ESO553-046     	FIELD	081.7744	-20.6777	14.41	 0.09	14.21	 0.09	-14.72	 0.09	-14.84	 0.09	 7.48	 0.08	20.24	 0.11	 348.0	 17.2	 0.35	 0.02	False	gr  	DECALS	ESO553-046                   	NED	LEDA
      35	HIPASSJ0607-34 	FIELD	091.8319	-34.2042	14.09	 0.09	13.81	 0.09	-15.83	 0.09	-15.99	 0.09	 8.06	 0.08	19.60	 0.11	 634.0	 31.0	 0.49	 0.02	False	gr  	DECALS	HIPASSJ0607-34               	NED	LEDA
      36	ESO121-020     	FIELD	093.9790	-57.7256	15.35	 0.09	15.23	 0.09	-13.57	 0.09	-13.64	 0.09	 6.87	 0.08	22.95	 0.11	 604.7	 31.1	 0.29	 0.02	False	gr  	DECALS	ESO121-020                   	NED	LEDA
      37	KKH37          	FIELD	101.9405	+80.1235	15.53	 0.09	15.10	 0.09	-12.15	 0.09	-12.40	 0.09	 6.86	 0.08	22.34	 0.11	 308.2	 16.0	 0.33	 0.02	False	gr  	DECALS	[KKH2001] 37                 	NED	LEDA
      38	UGC03600       	FIELD	103.9156	+39.0949	15.10	 0.09	14.73	 0.09	-14.94	 0.09	-15.16	 0.09	 7.86	 0.07	21.88	 0.11	1577.8	 80.1	 0.74	 0.02	False	gr  	DECALS	UGC03600                     	NED	LEDA
      39	UGC03698       	FIELD	107.3284	+44.3806	15.10	 0.09	14.66	 0.09	-15.16	 0.09	-15.42	 0.09	 8.08	 0.08	22.17	 0.11	 936.4	 47.5	 0.33	 0.02	False	gr  	DECALS	UGC03698                     	NED	LEDA
      40	DDO043         	FIELD	112.0730	+40.7699	14.69	 0.09	14.38	 0.09	-15.41	 0.09	-15.59	 0.09	 7.94	 0.08	22.43	 0.11	1347.0	 67.1	 0.44	 0.02	False	gr  	DECALS	DDO043                       	NED	LEDA
      41	NGC2366        	FIELD	112.2241	+69.2127	11.37	 0.08	11.11	 0.09	-16.21	 0.08	-16.36	 0.09	 8.17	 0.08	21.78	 0.11	2465.6	116.4	 0.66	 0.02	False	gr  	DECALS	NGC2366                      	NED	LEDA
      42	DDO046         	FIELD	115.3580	+40.1111	14.51	 0.09	14.29	 0.09	-15.57	 0.09	-15.70	 0.09	 7.85	 0.08	23.44	 0.11	1703.0	 84.3	 0.11	 0.02	False	gr  	DECALS	DDO046                       	NED	LEDA
      43	DDO047         	FIELD	115.4816	+16.8022	13.57	 0.09	13.26	 0.09	-15.99	 0.09	-16.17	 0.09	 8.17	 0.08	22.53	 0.11	4298.9	207.4	 0.63	 0.02	False	gr  	DECALS	DDO047                       	NED	LEDA
      44	KK65           	FIELD	115.6334	+16.5611	15.01	 0.09	14.69	 0.09	-14.50	 0.09	-14.69	 0.09	 7.59	 0.07	21.64	 0.11	 856.7	 43.3	 0.64	 0.02	False	gr  	DECALS	[KK98a] 65                   	NED	LEDA
      45	KKH40          	FIELD	116.7369	+51.2959	15.88	 0.09	15.57	 0.09	-13.95	 0.09	-14.13	 0.09	 7.36	 0.08	23.02	 0.11	 770.8	 41.2	 0.33	 0.02	False	gr  	DECALS	[KKH2001] 40                 	NED	LEDA
      46	UGC04115       	FIELD	119.2589	+14.3902	14.31	 0.09	14.03	 0.09	-15.17	 0.09	-15.34	 0.09	 7.80	 0.07	22.33	 0.11	1240.4	 61.0	 0.55	 0.02	False	gr  	DECALS	UGC04115                     	NED	LEDA
      47	KDG052         	FIELD	125.9854	+71.0308	16.45	 0.09	16.32	 0.09	-11.22	 0.09	-11.30	 0.09	 5.94	 0.08	24.90	 0.11	 398.8	 22.4	 0.17	 0.02	False	gr  	CFHT  	KDG052                       	NED	LEDA
      48	DDO052         	FIELD	127.1187	+41.8558	14.79	 0.09	14.34	 0.09	-15.18	 0.09	-15.44	 0.09	 8.11	 0.07	23.05	 0.11	2169.3	108.5	 0.41	 0.02	False	gr  	DECALS	DDO052                       	NED	LEDA
      49	DDO053         	FIELD	128.5362	+66.1771	14.32	 0.09	14.09	 0.09	-13.51	 0.09	-13.64	 0.09	 7.04	 0.08	23.41	 0.11	 907.3	 44.6	 0.35	 0.02	False	gr  	DECALS	DDO053                       	NED	LEDA
      50	AGC182595      	FIELD	132.8004	+27.8802	16.76	 0.09	16.45	 0.09	-12.88	 0.09	-13.06	 0.09	 6.94	 0.08	21.99	 0.12	 369.3	 21.5	 0.29	 0.02	False	gr  	DECALS	AGC182595                    	NED	LEDA
      51	LSBCD564m08    	FIELD	135.7239	+20.0748	16.60	 0.09	16.18	 0.09	-13.13	 0.09	-13.37	 0.09	 7.23	 0.08	23.71	 0.11	 713.6	 40.9	 0.05	 0.02	False	gr  	DECALS	ESDO 564-08                  	NED	LEDA
      52	LSBCD634-03    	FIELD	137.2239	+14.5837	17.41	 0.09	16.97	 0.10	-12.50	 0.09	-12.76	 0.10	 7.01	 0.08	23.10	 0.12	 676.8	 43.3	 0.29	 0.03	False	gr  	DECALS	ESDO 634-03                  	NED	LEDA
      53	LVJ0913+1937   	FIELD	138.4125	+19.6187	16.56	 0.09	16.26	 0.09	-12.91	 0.09	-13.08	 0.09	 6.92	 0.08	21.51	 0.11	 342.5	 19.5	 0.54	 0.02	False	gr  	DECALS	[KMK2013] LV J0913+1937      	NED	LEDA
      54	UGC04879       	FIELD	139.0120	+52.8419	13.37	 0.09	12.85	 0.09	-12.31	 0.09	-12.51	 0.09	 6.76	 0.06	21.51	 0.11	 282.1	 13.6	 0.44	 0.02	False	gi  	CFHT  	UGC04879                     	NED	LEDA
      55	AGC198508      	FIELD	140.7366	+24.9463	16.96	 0.09	16.64	 0.09	-13.13	 0.09	-13.32	 0.09	 7.06	 0.08	21.84	 0.12	 392.7	 23.5	 0.52	 0.03	False	gr  	DECALS	AGC198508                    	NED	LEDA
      56	UGC04998       	FIELD	141.3016	+68.3832	14.20	 0.09	13.58	 0.09	-15.38	 0.09	-15.74	 0.09	 8.49	 0.08	21.77	 0.11	1148.5	 56.3	 0.38	 0.02	False	gr  	DECALS	UGC04998                     	NED	LEDA
      57	UGC05209       	FIELD	146.2670	+32.2384	15.86	 0.09	15.55	 0.09	-14.19	 0.09	-14.37	 0.09	 7.45	 0.08	23.02	 0.11	 870.8	 46.4	 0.32	 0.02	False	gr  	DECALS	UGC05209                     	NED	LEDA
      58	UGC05288       	FIELD	147.8211	+07.8278	14.09	 0.09	13.73	 0.09	-16.22	 0.09	-16.43	 0.09	 8.35	 0.08	20.26	 0.11	1212.0	 59.2	 0.54	 0.02	False	gr  	DECALS	UGC05288                     	NED	LEDA
      59	DDO068         	FIELD	149.1905	+28.8260	14.56	 0.09	14.49	 0.09	-15.96	 0.09	-16.01	 0.09	 7.74	 0.08	21.77	 0.11	1717.3	 85.1	 0.57	 0.02	False	gr  	DECALS	DDO068                       	NED	LEDA
      60	LVJ1000p3032   	FIELD	150.1524	+30.5361	17.73	 0.10	17.37	 0.10	-12.12	 0.10	-12.26	 0.10	 6.48	 0.07	21.76	 0.13	 177.6	 12.0	 0.18	 0.03	False	gi  	CFHT  	[KMK2013] LV J1000+3032      	NED	LEDA
      61	UGC05427       	FIELD	151.1701	+29.3645	14.36	 0.09	14.02	 0.09	-15.91	 0.09	-16.11	 0.09	 8.20	 0.08	21.31	 0.11	1226.0	 60.3	 0.38	 0.02	False	gr  	DECALS	UGC05427                     	NED	LEDA
      62	UGC05423       	FIELD	151.3778	+70.3649	14.66	 0.09	14.28	 0.09	-15.08	 0.09	-15.31	 0.09	 7.95	 0.08	21.71	 0.11	 861.8	 42.9	 0.41	 0.02	False	gr  	DECALS	UGC05423                     	NED	LEDA
      63	CKT2009d1009+70	FIELD	152.3944	+70.5488	17.98	 0.10	17.67	 0.10	-11.79	 0.10	-11.97	 0.10	 6.50	 0.08	24.63	 0.13	 544.3	 38.7	 0.25	 0.03	False	gr  	DECALS	[CKT2009] dJ1009+70          	NED	LEDA
      64	LVJ1017+2922   	FIELD	154.3599	+29.3698	15.98	 0.09	15.61	 0.09	-14.03	 0.09	-14.25	 0.09	 7.50	 0.08	21.63	 0.11	 502.4	 27.1	 0.27	 0.02	False	gr  	DECALS	[WTK2001] J101726.48+292210.6	NED	LEDA
      65	AGC731448      	FIELD	155.9374	+27.1110	16.24	 0.09	16.02	 0.09	-13.70	 0.09	-13.83	 0.09	 7.10	 0.08	19.91	 0.11	 299.3	 16.5	 0.44	 0.02	False	gr  	DECALS	AGC731448                    	NED	LEDA
      66	AGC731457      	FIELD	157.9825	+28.0259	16.27	 0.09	16.06	 0.09	-13.84	 0.09	-13.96	 0.09	 7.15	 0.08	21.32	 0.11	 342.3	 18.9	 0.18	 0.02	False	gr  	DECALS	AGC731457                    	NED	LEDA
      67	UGC05797       	FIELD	159.8553	+01.7182	14.70	 0.09	14.39	 0.09	-15.39	 0.09	-15.57	 0.09	 7.94	 0.08	21.16	 0.11	 602.6	 30.0	 0.23	 0.02	False	gr  	DECALS	UGC05797                     	NED	LEDA
      68	UGC06456       	FIELD	172.0011	+78.9937	14.45	 0.09	14.35	 0.09	-13.88	 0.09	-13.94	 0.09	 6.96	 0.08	20.72	 0.11	 340.7	 16.8	 0.27	 0.02	False	gr  	DECALS	UGC06456                     	NED	LEDA
      69	UGC06541       	FIELD	173.3704	+49.2391	14.32	 0.09	14.09	 0.09	-13.81	 0.09	-13.95	 0.09	 7.16	 0.08	21.51	 0.11	 378.8	 18.6	 0.46	 0.02	False	gr  	DECALS	UGC06541                     	NED	LEDA
      70	NGC3741        	FIELD	174.0255	+45.2850	14.29	 0.09	14.13	 0.09	-13.25	 0.09	-13.34	 0.09	 6.82	 0.08	20.97	 0.11	 252.7	 12.4	 0.25	 0.02	False	gr  	DECALS	NGC3741                      	NED	LEDA
      71	UGC06757       	FIELD	176.7450	+61.3363	15.73	 0.09	15.53	 0.09	-12.58	 0.09	-12.71	 0.09	 6.63	 0.08	22.02	 0.11	 429.4	 22.7	 0.61	 0.02	False	gr  	DECALS	UGC06757                     	NED	LEDA
