#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/474/1307&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74741307
#Name: J/MNRAS/474/1307
#Title: S0 galaxies morpho-kinematic properties (Mendez-Abreu+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	creator=Mendez-Abreu J.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.474.1307M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/474/1307	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74741307	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_474_1307_tablea1:
#Name: J/MNRAS/474/1307/tablea1
#Title: Structural parameters of the bulge structures in our galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Band	(A1)	[griz] SDSS band	[ucd=instr.bandpass]
#Column	SuBre	(F4.1)	Effective surface brightness in Band	[ucd=phot.mag.sb]
#Column	e_SuBre	(F4.1)	Error in effective surface brightness in Band	[ucd=stat.error]
#Column	re	(F4.1)	Effective radius in Band in arcsec	[ucd=phys.angSize]
#Column	e_re	(F4.1)	Error in effective radius in Band in arcsec	[ucd=stat.error]
#Column	rek	(F4.1)	Effective radius in Band in kpc	[ucd=phys.size.radius]
#Column	e_rek	(F4.1)	Error in effective radius in Band in kpc	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index in Band	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	Error on Sersic index in Band	[ucd=stat.error]
#Column	qbulge	(F5.2)	Bulge axis ratio in Band	[ucd=phys.size.axisRatio]
#Column	e_qbulge	(F5.2)	Error in Bulge axis ratio in Band	[ucd=stat.error]
#Column	PA	(I3)	Position angle of the bulge in Band	[ucd=pos.posAng]
#Column	e_PA	(I1)	Error on position angle of the bulge in Band	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Band	SuBre	e_SuBre	re	e_re	rek	e_rek	n	e_n	qbulge	e_qbulge	PA	e_PA	Simbad	_RA	_DE
      20	NGC0842      	r	18.2	 0.1	 2.4	 0.1	 0.6	 0.1	 2.5	 0.1	 0.66	 0.02	139	3	Simbad	032.46164	-07.76240
      21	NGC0842      	i	17.7	 0.1	 2.2	 0.1	 0.5	 0.1	 2.6	 0.1	 0.64	 0.02	138	3	Simbad	032.46164	-07.76240
      22	NGC0924      	g	20.2	 0.3	 3.1	 0.6	 0.9	 0.2	 4.0	 0.6	 0.72	 0.05	 51	6	Simbad	036.69509	+20.49751
      23	NGC0924      	r	20.0	 0.3	 4.8	 0.6	 1.3	 0.3	 4.8	 0.7	 0.65	 0.05	 56	6	Simbad	036.69509	+20.49751
      24	NGC0924      	i	19.1	 0.3	 3.7	 0.8	 1.0	 0.2	 5.5	 0.8	 0.64	 0.05	 58	6	Simbad	036.69509	+20.49751
      25	NGC1211      	g	20.6	 0.1	 6.3	 0.4	 1.2	 0.1	 2.4	 0.1	 0.91	 0.02	169	3	Simbad	046.71842	-00.79446
      26	NGC1211      	r	19.5	 0.1	 4.8	 0.4	 1.0	 0.1	 2.2	 0.1	 0.99	 0.02	175	3	Simbad	046.71842	-00.79446
      27	NGC1211      	i	19.3	 0.1	 6.1	 0.4	 1.2	 0.1	 2.5	 0.1	 0.94	 0.02	164	3	Simbad	046.71842	-00.79446
      28	NGC1349      	g	20.5	 0.2	 2.2	 0.2	 0.9	 0.1	 1.5	 0.1	 0.94	 0.01	 98	3	Simbad	052.86476	+04.38087
      29	NGC1349      	r	20.3	 0.2	 3.6	 0.2	 1.4	 0.2	 3.0	 0.2	 0.95	 0.01	 98	3	Simbad	052.86476	+04.38087
      30	NGC1349      	i	19.4	 0.2	 3.2	 0.4	 1.3	 0.1	 2.4	 0.1	 0.94	 0.01	 98	3	Simbad	052.86476	+04.38087
      31	NGC1645      	g	18.5	 0.3	 1.9	 0.4	 0.6	 0.1	 0.8	 0.1	 0.67	 0.05	 89	6	Simbad	071.02665	-05.46567
      32	NGC1645      	r	18.1	 0.3	 1.8	 0.4	 0.6	 0.1	 0.9	 0.1	 0.63	 0.05	 89	6	Simbad	071.02665	-05.46567
      33	NGC1645      	i	17.6	 0.3	 1.8	 0.4	 0.6	 0.1	 0.9	 0.1	 0.62	 0.05	 88	6	Simbad	071.02665	-05.46567
      34	NGC1665      	g	19.5	 0.1	 2.1	 0.2	 0.4	 0.1	 2.8	 0.1	 0.77	 0.01	 52	2	Simbad	072.07117	-05.42760
      35	NGC1665      	r	18.9	 0.1	 2.3	 0.2	 0.4	 0.1	 3.0	 0.1	 0.79	 0.01	 56	2	Simbad	072.07117	-05.42760
      36	NGC1665      	i	18.7	 0.1	 2.5	 0.2	 0.4	 0.1	 3.4	 0.1	 0.79	 0.01	 54	2	Simbad	072.07117	-05.42760
      37	NGC2476      	g	19.0	 0.1	 2.4	 0.2	 0.6	 0.1	 2.3	 0.1	 0.70	 0.02	145	4	Simbad	119.18828	+39.92788
      38	NGC2476      	r	18.0	 0.1	 2.3	 0.2	 0.6	 0.1	 2.3	 0.1	 0.70	 0.02	142	4	Simbad	119.18828	+39.92788
      39	NGC2476      	i	17.7	 0.1	 2.5	 0.2	 0.6	 0.1	 2.3	 0.1	 0.70	 0.02	144	4	Simbad	119.18828	+39.92788
      40	NGC2592      	g	19.4	 0.1	 3.4	 0.3	 0.5	 0.1	 2.3	 0.1	 0.82	 0.01	 58	2	Simbad	126.78355	+25.97031
      41	NGC2592      	r	18.8	 0.1	 4.0	 0.3	 0.6	 0.1	 3.3	 0.1	 0.78	 0.01	 58	2	Simbad	126.78355	+25.97031
      42	NGC2592      	i	18.1	 0.1	 3.5	 0.3	 0.5	 0.1	 2.6	 0.1	 0.79	 0.01	 58	2	Simbad	126.78355	+25.97031
      43	NGC2880      	g	20.6	 0.1	 9.1	 0.5	 1.2	 0.1	 3.1	 0.1	 0.75	 0.01	132	3	Simbad	142.39424	+62.49062
      44	NGC2880      	r	19.8	 0.1	 8.9	 0.5	 1.1	 0.1	 3.2	 0.1	 0.78	 0.01	131	3	Simbad	142.39424	+62.49062
      45	NGC2880      	i	19.2	 0.1	 7.8	 0.4	 1.0	 0.1	 2.9	 0.1	 0.79	 0.01	129	3	Simbad	142.39424	+62.49062
      46	NGC3158      	g	20.7	 0.1	 8.4	 0.6	 3.9	 0.3	 2.4	 0.1	 0.77	 0.01	 71	2	Simbad	153.46053	+38.76491
      47	NGC3158      	r	19.8	 0.1	 7.9	 0.6	 3.6	 0.3	 2.2	 0.1	 0.78	 0.01	 71	2	Simbad	153.46053	+38.76491
      48	NGC3158      	i	19.4	 0.1	 8.0	 0.6	 3.7	 0.3	 2.3	 0.1	 0.78	 0.01	 71	2	Simbad	153.46053	+38.76491
      49	NGC3300      	g	19.0	 0.2	 1.6	 0.2	 0.4	 0.1	 1.1	 0.1	 0.76	 0.03	180	3	Simbad	159.16017	+14.17111
      50	NGC3300      	r	18.2	 0.2	 1.6	 0.2	 0.4	 0.1	 1.1	 0.1	 0.73	 0.03	177	3	Simbad	159.16017	+14.17111
      51	NGC3300      	i	17.9	 0.2	 1.7	 0.2	 0.4	 0.1	 1.2	 0.1	 0.74	 0.03	176	3	Simbad	159.16017	+14.17111
      52	NGC4003      	g	20.1	 0.3	 2.7	 0.6	 1.2	 0.2	 1.3	 0.2	 0.65	 0.05	166	6	Simbad	179.49593	+23.12488
      53	NGC4003      	r	19.2	 0.3	 2.8	 0.6	 1.2	 0.3	 1.6	 0.2	 0.63	 0.05	166	6	Simbad	179.49593	+23.12488
      54	NGC4003      	i	19.1	 0.3	 3.2	 0.7	 1.4	 0.3	 1.4	 0.2	 0.68	 0.05	166	6	Simbad	179.49593	+23.12488
      55	NGC5473      	g	18.7	 0.1	 2.9	 0.1	 0.5	 0.1	 1.5	 0.1	 0.91	 0.01	138	2	Simbad	211.18011	+54.89264
      56	NGC5473      	r	17.8	 0.1	 2.9	 0.1	 0.5	 0.1	 1.6	 0.1	 0.92	 0.01	136	2	Simbad	211.18011	+54.89264
      57	NGC5473      	i	17.5	 0.1	 2.9	 0.1	 0.5	 0.1	 1.6	 0.1	 0.92	 0.01	137	2	Simbad	211.18011	+54.89264
      58	NGC5481      	g	19.1	 0.1	 2.6	 0.2	 0.3	 0.1	 3.1	 0.2	 0.93	 0.02	114	4	Simbad	211.67196	+50.72329
      59	NGC5481      	r	19.0	 0.1	 2.5	 0.2	 0.3	 0.1	 2.8	 0.1	 0.94	 0.02	115	4	Simbad	211.67196	+50.72329
      60	NGC5481      	i	18.3	 0.1	 2.5	 0.2	 0.3	 0.1	 3.0	 0.2	 0.92	 0.02	114	4	Simbad	211.67196	+50.72329
      61	NGC5784      	g	20.7	 0.1	 7.3	 0.5	 2.7	 0.2	 3.1	 0.1	 0.67	 0.01	 75	2	Simbad	223.56857	+42.55777
      62	NGC5784      	r	19.3	 0.1	 5.2	 0.5	 1.9	 0.1	 2.6	 0.1	 0.69	 0.01	 74	2	Simbad	223.56857	+42.55777
      63	NGC5784      	i	18.7	 0.1	 4.7	 0.3	 1.7	 0.1	 2.5	 0.1	 0.71	 0.01	 75	2	Simbad	223.56857	+42.55777
      64	NGC5794      	g	18.7	 0.3	 2.0	 0.4	 0.5	 0.1	 1.9	 0.3	 0.87	 0.05	  2	5	Simbad	223.97348	+49.72609
      65	NGC5794      	r	19.2	 0.3	 2.2	 0.4	 0.6	 0.1	 2.0	 0.3	 0.95	 0.05	  3	5	Simbad	223.97348	+49.72609
      66	NGC5794      	i	18.4	 0.3	 2.3	 0.5	 0.6	 0.1	 2.2	 0.3	 0.98	 0.05	176	5	Simbad	223.97348	+49.72609
      67	NGC5876      	g	19.3	 0.1	 2.9	 0.2	 0.7	 0.1	 1.4	 0.1	 0.69	 0.02	 52	3	Simbad	227.38158	+54.50649
      68	NGC5876      	r	18.4	 0.1	 2.8	 0.2	 0.7	 0.1	 1.5	 0.1	 0.68	 0.02	 50	3	Simbad	227.38158	+54.50649
      69	NGC5876      	i	17.9	 0.1	 2.8	 0.2	 0.7	 0.1	 1.6	 0.1	 0.67	 0.02	 51	3	Simbad	227.38158	+54.50649
      70	NGC6278      	g	19.3	 0.1	 2.9	 0.2	 0.6	 0.1	 2.4	 0.1	 0.81	 0.02	123	3	Simbad	255.20968	+23.01104
      71	NGC6278      	r	18.2	 0.1	 2.7	 0.2	 0.6	 0.1	 2.4	 0.1	 0.81	 0.02	122	3	Simbad	255.20968	+23.01104
      72	NGC6278      	i	17.8	 0.1	 2.8	 0.2	 0.6	 0.1	 2.3	 0.1	 0.80	 0.02	123	3	Simbad	255.20968	+23.01104
      73	NGC6427      	g	19.8	 0.3	 3.6	 0.7	 0.9	 0.2	 2.9	 0.4	 0.71	 0.05	 38	6	Simbad	265.91081	+25.49393
      74	NGC6427      	r	18.4	 0.3	 2.7	 0.7	 0.6	 0.1	 2.3	 0.3	 0.70	 0.05	 36	6	Simbad	265.91081	+25.49393
      75	NGC6427      	i	18.2	 0.3	 3.0	 0.6	 0.7	 0.1	 2.4	 0.3	 0.70	 0.05	 34	6	Simbad	265.91081	+25.49393
      76	NGC6945      	g	19.4	 0.2	 2.5	 0.3	 0.6	 0.1	 2.4	 0.2	 0.72	 0.03	113	3	Simbad	309.75251	-04.97254
      77	NGC6945      	r	19.1	 0.2	 3.2	 0.3	 0.8	 0.1	 3.7	 0.3	 0.68	 0.03	116	3	Simbad	309.75251	-04.97254
      78	NGC6945      	i	19.0	 0.2	 3.9	 0.5	 1.0	 0.1	 3.7	 0.3	 0.68	 0.03	118	3	Simbad	309.75251	-04.97254
      79	NGC7611      	g	17.8	 0.2	 1.2	 0.1	 0.2	 0.1	 1.6	 0.1	 0.77	 0.03	137	3	Simbad	349.90259	+08.06321
      80	NGC7611      	r	17.1	 0.2	 1.3	 0.1	 0.3	 0.1	 1.5	 0.1	 0.79	 0.03	143	3	Simbad	349.90259	+08.06321
      81	NGC7611      	i	16.6	 0.2	 1.2	 0.2	 0.3	 0.1	 1.7	 0.1	 0.76	 0.03	142	3	Simbad	349.90259	+08.06321
      82	NGC7619      	g	20.6	 0.1	10.8	 0.3	 2.6	 0.1	 3.0	 0.1	 0.74	 0.00	 90	1	Simbad	350.06052	+08.20629
      83	NGC7619      	r	19.6	 0.1	10.5	 0.3	 2.5	 0.1	 3.0	 0.1	 0.73	 0.00	 90	1	Simbad	350.06052	+08.20629
      84	NGC7619      	i	19.6	 0.1	13.0	 0.4	 3.1	 0.1	 3.5	 0.1	 0.73	 0.00	 90	1	Simbad	350.06052	+08.20629
      85	NGC7623      	g	19.7	 0.2	 3.9	 0.5	 0.9	 0.1	 1.9	 0.2	 0.75	 0.03	173	5	Simbad	350.12501	+08.39578
      86	NGC7623      	r	19.0	 0.2	 4.0	 0.5	 1.0	 0.1	 2.0	 0.2	 0.76	 0.03	173	5	Simbad	350.12501	+08.39578
      87	NGC7623      	i	18.5	 0.2	 4.0	 0.5	 0.9	 0.1	 1.9	 0.2	 0.75	 0.03	173	5	Simbad	350.12501	+08.39578
      88	NGC7671      	g	18.8	 0.1	 1.8	 0.1	 0.5	 0.1	 2.0	 0.1	 0.87	 0.02	147	3	Simbad	351.83054	+12.46739
      89	NGC7671      	r	17.8	 0.1	 1.7	 0.1	 0.5	 0.1	 2.1	 0.1	 0.82	 0.02	142	3	Simbad	351.83054	+12.46739
      90	NGC7671      	i	17.3	 0.1	 1.7	 0.1	 0.5	 0.1	 1.8	 0.1	 0.82	 0.02	142	3	Simbad	351.83054	+12.46739
      91	UGC01271     	g	19.5	 0.3	 1.9	 0.4	 0.6	 0.1	 1.7	 0.2	 0.72	 0.05	 90	6	Simbad	027.25026	+13.21111
      92	UGC01271     	r	18.4	 0.3	 1.7	 0.4	 0.5	 0.1	 1.3	 0.2	 0.70	 0.05	 90	6	Simbad	027.25026	+13.21111
      93	UGC01271     	i	18.3	 0.3	 2.0	 0.4	 0.6	 0.1	 1.7	 0.2	 0.73	 0.05	 92	6	Simbad	027.25026	+13.21111
      94	UGC02222     	g	21.0	 0.3	 4.7	 0.9	 1.5	 0.3	 3.2	 0.5	 0.67	 0.05	 93	6	Simbad	041.29032	+32.98972
      95	UGC02222     	r	19.8	 0.3	 3.9	 0.9	 1.2	 0.2	 3.1	 0.4	 0.69	 0.05	 94	6	Simbad	041.29032	+32.98972
      96	UGC02222     	i	19.6	 0.3	 4.9	 1.0	 1.5	 0.3	 3.5	 0.5	 0.68	 0.05	 92	6	Simbad	041.29032	+32.98972
      97	UGC09629     	g	19.8	 0.2	 2.3	 0.3	 1.2	 0.1	 1.8	 0.1	 0.73	 0.01	125	3	Simbad	224.29706	+52.34600
      98	UGC09629     	r	18.9	 0.2	 2.3	 0.3	 1.2	 0.1	 2.0	 0.1	 0.71	 0.01	124	3	Simbad	224.29706	+52.34600
      99	UGC09629     	i	18.7	 0.2	 2.6	 0.3	 1.3	 0.1	 2.3	 0.1	 0.73	 0.01	124	3	Simbad	224.29706	+52.34600
     100	UGC11228     	g	19.5	 0.3	 2.4	 0.5	 1.0	 0.2	 1.6	 0.2	 0.67	 0.05	172	6	Simbad	276.19277	+41.49273
     101	UGC11228     	r	18.5	 0.3	 2.4	 0.5	 0.9	 0.2	 1.6	 0.2	 0.65	 0.05	171	6	Simbad	276.19277	+41.49273
     102	UGC11228     	i	18.4	 0.3	 2.7	 0.6	 1.1	 0.2	 2.5	 0.4	 0.62	 0.05	172	6	Simbad	276.19277	+41.49273

#Table	J_MNRAS_474_1307_tablea2:
#Name: J/MNRAS/474/1307/tablea2
#Title: Structural parameters of the disc structures in our galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Band	(A1)	[griz] SDSS band	[ucd=instr.bandpass]
#Column	SuBr0	(F4.1)	Central surface brightness in Band	[ucd=phot.mag.sb]
#Column	e_SuBr0	(F4.1)	Error on central surface brightness in Band	[ucd=stat.error]
#Column	h	(F4.1)	Scalelength in Band in arcsec	[ucd=instr.bandpass]
#Column	e_h	(F4.1)	Error on scalelength in Band in arcsec	[ucd=stat.error]
#Column	hk	(F4.1)	Scalelength in Band in kpc	[ucd=phys.angSize;src]
#Column	e_hk	(F4.1)	Error on scalelength in Band in kpc	[ucd=stat.error]
#Column	rbreak	(I2)	? Break radius in Band in arcsec	[ucd=phys.angSize;src]
#Column	e_rbreak	(I1)	? Error on break radius in Band in arcsec	[ucd=stat.error]
#Column	rbreakk	(F4.1)	? Break radius in Band in kpc	[ucd=phys.size.radius]
#Column	e_rbreakk	(F4.1)	? Error on break radius in Band in kpc	[ucd=stat.error]
#Column	h0	(I2)	? Outer scalelength in Band in arcsec	[ucd=phys.angSize;src]
#Column	e_h0	(I1)	? Error on outer scalelength in Band in arcsec	[ucd=stat.error]
#Column	h0k	(F4.1)	? Outer scalelength in Band in kpc	[ucd=phys.angSize;src]
#Column	e_h0k	(F4.1)	? Error on outer scalelength in Band in kpc	[ucd=stat.error]
#Column	qdisc	(F5.2)	Axis ratio in Band	[ucd=phys.size.axisRatio]
#Column	e_qdisc	(F5.2)	Error on axis ratio in Band	[ucd=stat.error]
#Column	PA	(I3)	Position angle of the disc in Band	[ucd=pos.posAng]
#Column	e_PA	(I1)	Error on position angle of the disc in Band	[ucd=stat.error]
recno	Galaxy	Band	SuBr0	e_SuBr0	h	e_h	hk	e_hk	rbreak	e_rbreak	rbreakk	e_rbreakk	h0	e_h0	h0k	e_h0k	qdisc	e_qdisc	PA	e_PA
 	 	 	mag/arcsec2	mag/arcsec2	arcsec	arcsec	arcsec	arcsec	arcsec	arcsec	kpc	kpc	arcsec	arcsec	kpc	kpc	 	 	deg	deg
--------	-------------	-	----	----	----	----	----	----	--	-	----	----	--	-	----	----	-----	-----	---	-
       1	MCG-01-52-012	g	20.5	 0.2	 8.1	 0.5	 2.0	 0.1	  	 	    	    	  	 	    	    	 0.79	 0.03	 44	4
       2	MCG-01-52-012	r	20.7	 0.2	 8.0	 0.5	 2.0	 0.1	  	 	    	    	  	 	    	    	 0.79	 0.03	 47	4
       3	MCG-01-52-012	i	19.8	 0.2	 7.8	 0.5	 1.9	 0.1	  	 	    	    	  	 	    	    	 0.80	 0.03	 43	4
       4	IC2341       	g	20.6	 0.1	 9.7	 0.4	 3.3	 0.1	32	2	11.1	 0.6	14	2	 4.9	 0.6	 0.52	 0.01	  2	2
       5	IC2341       	r	19.9	 0.1	 9.9	 0.4	 3.4	 0.1	33	2	11.2	 0.6	15	2	 5.4	 0.7	 0.52	 0.01	  2	2
       6	IC2341       	i	19.6	 0.1	10.0	 0.4	 3.4	 0.1	32	2	11.0	 0.6	15	2	 5.2	 0.7	 0.53	 0.01	  2	2
       7	NGC0364      	g	21.1	 0.2	12.6	 0.5	 4.0	 0.2	  	 	    	    	  	 	    	    	 0.72	 0.02	 33	2
       8	NGC0364      	r	20.3	 0.2	12.6	 0.5	 4.0	 0.2	  	 	    	    	  	 	    	    	 0.72	 0.02	 33	2
       9	NGC0364      	i	19.9	 0.2	12.8	 0.5	 4.1	 0.2	  	 	    	    	  	 	    	    	 0.72	 0.02	 33	2
      10	NGC0515      	g	20.6	 0.2	11.4	 0.5	 3.7	 0.2	  	 	    	    	  	 	    	    	 0.75	 0.02	103	2
      11	NGC0515      	r	20.9	 0.2	11.2	 0.5	 3.6	 0.2	  	 	    	    	  	 	    	    	 0.74	 0.02	105	2
      12	NGC0515      	i	19.9	 0.2	11.7	 0.5	 3.8	 0.2	  	 	    	    	  	 	    	    	 0.76	 0.02	104	2
