#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table6&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table6:
#Name: J/ApJ/933/47/table6
#Title: Confirmed dwarf satellite distance results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[11.78/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-64.3/56] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/12] Host distance	[ucd=pos.distance]
#Column	D-SBF	(F5.2)	[3.3/13]? Surface brightness fluctuation (SBF) distance	[ucd=pos.distance]
#Column	lb2Dist	(F5.2)	[1.8/11.5]? Lower 2{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	lb1Dist	(F5.2)	[2.7/12]? Lower 1{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	ub1Dist	(F5.2)	[4.3/15]? Upper 1{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	ub2Dist	(F5.2)	[5.5/18]? Upper 2{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	SNR	(F5.2)	[3.2/83]? SBF Signal-to-noise ratio	[ucd=stat.snr]
#Column	Tel	(a8)	SBF Source (1)	[ucd=meta.ref]
#Column	Conf	(A5)	Confirmation criteria exception (G1)	[ucd=meta.code]
#Column	vrec	(I4)	[140/1353]? Recessional velocity	[ucd=phys.veloc]
#Column	r_vrec	(A4)	Source for vrec (G2)	[ucd=meta.ref;phys.veloc]
#Column	D-trgb	(F5.2)	[3/11]? Distance, tip of the red giant branch	[ucd=pos.distance]
#Column	r_D-trgb	(A1)	Source for D-trgb (G2)	[ucd=meta.ref;pos.distance]
#Column	UV	(I3)	Display the GALEX photometry for this satellite (link to Table 10)	[ucd=meta.ref.url]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	D-SBF	lb2Dist	lb1Dist	ub1Dist	ub2Dist	SNR	Tel	Conf	vrec	r_vrec	D-trgb	r_D-trgb	UV
      41	dw0317m4058   	049.372	-40.973	NGC1291	 9.08	 7.08	 5.12	 6.06	 8.27	 9.78	 5.07	DECAM   	False	    	    	     	 	  1
      42	dw0317m4141   	049.408	-41.696	NGC1291	 9.08	10.39	 8.75	 9.54	11.32	12.30	 8.11	MAGELLAN	False	    	    	     	 	  1
      43	dw0318m4101   	049.680	-41.024	NGC1291	 9.08	 8.10	 6.00	 7.02	 9.25	10.46	 6.87	DECAM   	False	    	    	     	 	  1
      44	dw0318m4211   	049.696	-42.199	NGC1291	 9.08	 7.32	 5.60	 6.41	 8.44	 9.84	 5.01	MAGELLAN	False	    	    	     	 	  1
      45	dw0319m4126   	049.930	-41.448	NGC1291	 9.08	 8.33	 6.56	 7.44	 9.31	10.33	 7.04	MAGELLAN	False	    	    	     	 	  1
      46	dw0320m4048   	050.141	-40.805	NGC1291	 9.08	 7.04	 5.50	 6.24	 8.00	 9.25	 5.13	MAGELLAN	False	    	    	     	 	  1
      47	dw0321m4159   	050.352	-41.998	NGC1291	 9.08	 8.80	 6.95	 7.84	 9.85	11.04	10.77	DECAM   	False	    	    	     	 	  1
      48	dw0323m4040   	050.817	-40.678	NGC1291	 9.08	 7.68	 5.61	 6.64	 8.75	 9.94	 7.68	DECAM   	False	    	    	     	 	  1
      49	dw0325m4113   	051.410	-41.230	NGC1291	 9.08	 8.70	 6.93	 7.79	 9.75	10.98	 5.87	MAGELLAN	False	    	    	     	 	  1
      50	NGC1792       	076.308	-37.979	NGC1808	 9.29	     	     	     	     	     	     	        	     	1217	S   	     	 	  0
      51	dw0506m3739   	076.600	-37.650	NGC1808	 9.29	 9.76	 7.57	 8.65	11.06	12.61	 5.68	GEMINI  	False	    	    	     	 	  1
      52	dw0507m3629   	076.776	-36.483	NGC1808	 9.29	10.90	 8.96	 9.92	11.96	13.19	 7.64	MAGELLAN	False	    	    	     	 	  1
      53	dw0507m3739   	076.853	-37.652	NGC1808	 9.29	 8.20	 6.09	 7.09	 9.44	10.90	 5.56	DECAM   	False	    	    	     	 	  1
      54	dw0507m3744   	076.967	-37.738	NGC1808	 9.29	 9.78	 7.95	 8.84	10.79	11.92	 7.27	HSC     	False	    	    	     	 	  1
      55	dw0507m3800   	076.981	-38.013	NGC1808	 9.29	10.42	 8.73	 9.59	11.18	11.91	18.28	GEMINI  	False	    	    	     	 	  1
      56	dw0508m3818   	077.032	-38.310	NGC1808	 9.29	     	     	     	     	     	     	        	     	1022	S   	     	 	  1
      57	dw0508m3617   	077.127	-36.287	NGC1808	 9.29	10.99	 8.82	 9.87	12.29	13.91	 6.23	GEMINI  	False	    	    	     	 	  1
      58	dw0508m3808   	077.137	-38.141	NGC1808	 9.29	10.12	 7.49	 8.76	11.65	13.41	 6.10	DECAM   	False	    	    	     	 	  1
      59	NGC1827       	077.521	-36.961	NGC1808	 9.29	     	     	     	     	     	     	        	     	1040	S   	     	 	  1
      60	dw0848p3226   	132.166	+32.444	NGC2683	 9.40	 7.30	 4.91	 6.06	 8.69	10.31	 5.60	HSC     	False	    	    	     	 	  1
      61	dw0852p3347   	133.201	+33.799	NGC2683	 9.40	     	     	     	     	     	     	        	     	    	    	     	 	  1
      62	dw0853p3318   	133.362	+33.305	NGC2683	 9.40	10.46	 8.53	 9.45	11.60	12.85	 9.30	HSC     	False	 380	a   	     	 	  1
      63	dw0855p3336   	133.794	+33.615	NGC2683	 9.40	 8.72	 6.84	 7.76	 9.70	10.67	14.25	HSC     	False	    	    	     	 	  1
      64	dw0855p3333   	133.845	+33.557	NGC2683	 9.40	 8.51	 6.75	 7.61	 9.38	10.21	24.46	HSC     	False	    	    	 9.29	a	  1
      65	dw0856p3155   	134.108	+31.917	NGC2683	 9.40	 9.11	 7.00	 8.03	10.13	11.17	16.68	HSC     	False	    	    	     	 	  1
      66	dw0929p2213   	142.478	+22.218	NGC2903	 9.00	 9.83	 7.07	 8.34	11.50	13.45	 9.37	HSC     	False	    	    	     	 	  1
      67	dw0930p1959   	142.554	+19.991	NGC2903	 9.00	 9.04	 8.05	 8.53	 9.56	10.12	16.54	GEMINI  	False	 560	S   	     	 	  1
      68	dw0930p2143   	142.667	+21.724	NGC2903	 9.00	 8.58	 7.08	 7.74	 9.64	10.93	 5.68	CFHT    	False	 582	f   	     	 	  1
      69	dw0932p1952   	143.099	+19.875	NGC2903	 9.00	 7.99	 6.47	 7.26	 8.69	 9.39	17.52	GEMINI  	False	    	    	     	 	  1
      70	UGC5086       	143.203	+21.466	NGC2903	 9.00	 8.67	 6.91	 7.79	 9.59	10.53	 9.21	CFHT    	False	 515	S   	     	 	  1
      71	dw0933p2030   	143.307	+20.515	NGC2903	 9.00	 9.38	 8.07	 8.74	10.02	10.66	13.04	GEMINI  	False	    	    	     	 	  1
      72	dw0936p2135   	144.089	+21.599	NGC2903	 9.00	 8.19	 6.91	 7.53	 8.91	 9.69	 8.03	GEMINI  	False	    	    	     	 	  1
      73	dw1000m0741   	150.004	-07.688	NGC3115	10.20	 8.92	 7.35	 8.15	 9.67	10.38	19.16	GEMINI  	False	    	    	     	 	  1
      74	dw1000m0821   	150.044	-08.357	NGC3115	10.20	 9.29	 7.70	 8.51	10.03	10.77	16.60	GEMINI  	False	    	    	     	 	  1
      75	dw1000m0831   	150.229	-08.530	NGC3115	10.20	11.35	 8.99	10.11	12.75	14.29	 6.64	GEMINI  	False	    	    	     	 	  1
      76	dw1001m0631   	150.390	-06.525	NGC3115	10.20	     	     	     	     	     	     	        	     	 749	S   	     	 	  1
      77	dw1001m0814   	150.409	-08.249	NGC3115	10.20	     	     	     	     	     	     	        	     	 447	S   	 9.95	g	  1
      78	dw1002m0818   	150.504	-08.310	NGC3115	10.20	10.70	 8.20	 9.41	12.21	14.04	 5.33	GEMINI  	False	    	    	     	 	  0
      79	dw1002m0642   	150.657	-06.708	NGC3115	10.20	 9.25	 6.86	 7.98	10.72	12.45	 5.25	GEMINI  	False	    	    	     	 	  1
      80	dw1004m0737   	150.995	-07.641	NGC3115	10.20	10.79	 8.89	 9.80	11.83	12.92	 7.99	GEMINI  	False	    	    	     	 	  1
      81	dw1004m0657   	151.157	-06.959	NGC3115	10.20	 8.75	 7.13	 7.90	 9.73	10.89	 6.25	GEMINI  	False	    	    	     	 	  1
      82	dw1005m0744   	151.396	-07.750	NGC3115	10.20	     	     	     	     	     	     	        	     	 721	a   	     	 	  1
      83	dw1005m0758   	151.423	-07.982	NGC3115	10.20	     	     	     	     	     	     	        	     	 712	S   	     	 	  1
      84	dw1006m0730   	151.553	-07.500	NGC3115	10.20	10.18	 8.01	 9.04	11.46	12.82	 6.47	GEMINI  	False	    	    	     	 	  1
      85	dw1006m0732   	151.611	-07.549	NGC3115	10.20	10.52	 8.44	 9.43	11.77	13.27	 6.21	GEMINI  	False	    	    	     	 	  1
      86	dw1006m0730-n2	151.640	-07.510	NGC3115	10.20	 8.33	 6.68	 7.50	 9.23	10.28	 7.04	GEMINI  	False	    	    	     	 	  1
      87	dw1007m0835   	151.814	-08.586	NGC3115	10.20	 8.23	 5.85	 7.00	 9.59	11.10	 5.58	GEMINI  	False	    	    	     	 	  0
      88	dw1007m0715   	151.834	-07.263	NGC3115	10.20	 8.96	 7.39	 8.15	 9.80	10.72	 8.63	GEMINI  	False	    	    	     	 	  0
      89	dw1007m0830   	151.946	-08.504	NGC3115	10.20	11.07	 9.29	10.16	12.05	13.07	10.88	GEMINI  	False	    	    	     	 	  1
      90	dw1042p2415   	160.592	+24.250	NGC3344	 9.82	10.03	 8.09	 9.08	10.96	11.90	29.09	HSC     	False	    	    	     	 	  1
      91	dw1042p2501   	160.681	+25.025	NGC3344	 9.82	10.57	 7.24	 8.78	12.68	15.14	 7.59	HSC     	False	    	    	     	 	  1
      92	dw1045p2427   	161.379	+24.466	NGC3344	 9.82	 9.76	 7.35	 8.50	11.12	12.54	 8.16	HSC     	False	    	    	     	 	  1
      93	dw1039p1238   	159.929	+12.635	NGC3379	10.70	     	     	     	     	     	     	        	     	 780	a   	     	 	  1
      94	UGC5812       	160.235	+12.473	NGC3379	10.70	     	     	     	     	     	     	        	     	1010	S   	     	 	  1
      95	dw1042p1220   	160.502	+12.335	NGC3379	10.70	     	     	     	     	     	     	        	     	 779	S   	     	 	  1
      96	dw1042p1208   	160.643	+12.151	NGC3379	10.70	     	     	     	     	     	     	        	     	    	    	10.20	h	  1
      97	dw1042p1359   	160.689	+13.990	NGC3379	10.70	10.51	 8.72	 9.59	11.53	12.71	 7.49	HSC     	False	    	    	     	 	  1
      98	dw1043p1410   	160.795	+14.180	NGC3379	10.70	11.92	10.33	11.10	12.79	13.69	12.14	HSC     	False	    	    	     	 	  1
      99	dw1043p1415   	160.957	+14.255	NGC3379	10.70	12.24	10.36	11.31	13.17	14.08	13.50	HSC     	False	    	    	     	 	  1
     100	M95           	160.990	+11.704	NGC3379	10.70	     	     	     	     	     	     	        	     	 768	S   	     	 	  0
     101	dw1044p1359   	161.108	+13.999	NGC3379	10.70	10.60	 8.51	 9.48	11.94	13.60	 5.59	HSC     	False	    	    	     	 	  1
     102	dw1044p1356   	161.147	+13.940	NGC3379	10.70	11.13	 9.23	10.21	11.99	12.78	25.62	HSC     	False	 633	S   	     	 	  1
     103	dw1044p1351   	161.159	+13.859	NGC3379	10.70	11.49	 9.51	10.50	12.51	13.56	 9.84	HSC     	False	    	    	     	 	  1
     104	dw1044p1351b  	161.160	+13.856	NGC3379	10.70	10.65	 8.97	 9.86	11.40	12.20	15.54	HSC     	False	    	    	     	 	  1
     105	dw1044p1154   	161.239	+11.916	NGC3379	10.70	 9.99	 8.84	 9.40	10.63	11.38	20.91	HSC     	False	 871	S   	     	 	  1
     106	dw1046p1257   	161.559	+12.961	NGC3379	10.70	12.45	10.40	11.45	13.47	14.43	12.15	HSC     	False	    	    	10.00	h	  1
     107	dw1046p1401   	161.603	+14.024	NGC3379	10.70	11.08	 7.78	 9.28	13.06	15.41	 7.95	CFHT    	False	    	    	 9.50	h	  1
     108	dw1046p1145   	161.626	+11.756	NGC3379	10.70	11.02	 9.45	10.25	11.76	12.43	46.43	HSC     	False	    	    	     	 	  1
     109	dw1046p1219   	161.672	+12.327	NGC3379	10.70	10.99	 9.02	10.04	11.84	12.67	53.15	HSC     	False	 980	S   	     	 	  1
     110	M96           	161.691	+11.820	NGC3379	10.70	     	     	     	     	     	     	        	     	 903	S   	     	 	  0
     111	dw1046p1244   	161.720	+12.742	NGC3379	10.70	11.17	 9.86	10.49	11.86	12.63	22.27	HSC     	False	 618	S   	     	 	  1
     112	dw1046p1247   	161.727	+12.789	NGC3379	10.70	11.68	 9.58	10.66	12.65	13.57	22.92	HSC     	False	    	    	     	 	  1
     113	dw1046p1259   	161.739	+12.998	NGC3379	10.70	 8.48	 6.86	 7.72	 9.19	 9.87	30.23	HSC     	True 	 833	S   	10.20	h	  1
     114	dw1047p1257   	161.752	+12.960	NGC3379	10.70	11.56	 9.48	10.54	12.53	13.46	14.82	HSC     	False	    	    	     	 	  1
     115	dw1047p1153   	161.775	+11.878	NGC3379	10.70	 9.35	 6.90	 8.04	10.87	12.82	 5.03	HSC     	False	    	    	     	 	  0
     116	dw1047p1248   	161.805	+12.802	NGC3379	10.70	10.72	 9.14	 9.93	11.52	12.32	12.86	HSC     	False	    	    	10.20	h	  1
     117	dw1047p1202   	161.919	+12.049	NGC3379	10.70	11.24	 9.03	10.12	12.43	13.73	 7.57	HSC     	False	    	    	10.60	h	  1
     118	dw1047p1258   	161.926	+12.975	NGC3379	10.70	11.00	 9.41	10.24	11.74	12.44	25.59	HSC     	False	    	    	     	 	  1
     119	NGC3377       	161.926	+13.986	NGC3379	10.70	     	     	     	     	     	     	        	     	 696	S   	     	 	  0
     120	dw1048p1158   	162.055	+11.968	NGC3379	10.70	11.03	 9.23	10.16	11.91	12.75	16.13	HSC     	False	    	    	10.40	h	  1
     121	NGC3384       	162.070	+12.629	NGC3379	10.70	     	     	     	     	     	     	        	     	 732	S   	     	 	  0
     122	dw1048p1154   	162.104	+11.912	NGC3379	10.70	10.75	 8.78	 9.77	11.80	12.86	 8.73	HSC     	False	    	    	     	 	  1
     123	dw1048p1303   	162.149	+13.060	NGC3379	10.70	10.90	 8.96	 9.97	11.84	12.83	10.88	HSC     	False	    	    	10.60	h	  1
     124	dw1048p1259   	162.217	+12.995	NGC3379	10.70	11.81	 9.98	10.84	12.99	14.30	 7.31	HSC     	False	    	    	     	 	  1
     125	dw1048p1407   	162.224	+14.124	NGC3379	10.70	12.67	 8.87	10.61	14.93	17.49	11.71	CFHT    	False	 638	S   	     	 	  1
     126	dw1049p1247   	162.298	+12.793	NGC3379	10.70	11.91	10.25	11.08	12.76	13.65	12.84	HSC     	False	    	    	     	 	  1
     127	dw1049p1233   	162.358	+12.552	NGC3379	10.70	11.48	 9.37	10.44	12.52	13.53	10.88	HSC     	False	    	    	10.80	h	  1
     128	UGC5944       	162.579	+13.272	NGC3379	10.70	11.30	 7.88	 9.52	13.23	15.32	31.70	CFHT    	False	1073	a   	     	 	  1
     129	dw1050p1213   	162.600	+12.218	NGC3379	10.70	11.19	 9.12	10.12	12.34	13.62	 7.23	HSC     	False	    	    	     	 	  1
     130	dw1050p1221   	162.613	+12.360	NGC3379	10.70	10.32	 8.90	 9.64	10.97	11.60	68.28	HSC     	False	    	    	10.00	h	  1
     131	dw1050p1236   	162.649	+12.609	NGC3379	10.70	11.25	 9.47	10.32	12.21	13.15	10.40	HSC     	False	    	    	     	 	  1
     132	NGC3412       	162.722	+13.412	NGC3379	10.70	     	     	     	     	     	     	        	     	 865	S   	     	 	  0
     133	dw1051p1320   	162.756	+13.334	NGC3379	10.70	10.89	 7.62	 9.17	12.83	14.82	13.75	CFHT    	False	 657	S   	     	 	  1
     134	dw1051p1250   	162.838	+12.849	NGC3379	10.70	10.34	 8.64	 9.53	11.08	11.79	82.91	HSC     	False	 630	S   	     	 	  1
     135	dw1051p1406   	162.881	+14.115	NGC3379	10.70	     	     	     	     	     	     	        	     	 830	S   	     	 	  1
     136	dw1052p1102   	163.081	+11.043	NGC3379	10.70	     	     	     	     	     	     	        	     	 824	S   	     	 	  1
     137	dw1104p0004   	166.161	+00.082	NGC3521	11.20	11.68	 9.54	10.60	12.84	14.18	 7.82	HSC     	False	    	    	     	 	  1
     138	dw1104p0003   	166.168	+00.058	NGC3521	11.20	10.18	 8.60	 9.40	10.97	11.72	13.97	HSC     	False	 835	a   	     	 	  1
