#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/907/85/table3&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19070085
#Name: J/ApJ/907/85
#Title: The SAGA Survey. II. Satellite systems around galaxies (Mao+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	creator=Mao Y.-Y.	    First author or institution
#INFO	cites=bibcode:2021ApJ...907...85M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/907/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19070085	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_907_85_table3:
#Name: J/ApJ/907/85/table3
#Title: List of 127 satellites in 34 complete SAGA systems
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a11)	Host galaxy, common name	[ucd=meta.id.assoc]
#Column	objID	(a19)	Object ID (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	[20/355] Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-60/54] Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I3)	[15/298] Projected distance to the host galaxy	[ucd=pos.distance]
#Column	dRVel	(I4)	[-259/259] Difference in heliocentric velocity, satellite-host	[ucd=phys.veloc;arith.diff]
#Column	rmag	(F5.2)	[12.7/21.7] dereddened r-band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	RMAG	(F5.1)	[-20.2/-10.7] k-corrected, absolute r-band magnitude (2)	[ucd=phys.magAbs]
#Column	g-r	(F5.2)	[0.06/0.69] dereddened, g-r color (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	mu	(F5.2)	[19.4/25.8] effective surface brightness (1)	[ucd=phot.mag.sb]
#Column	Mass	(F5.2)	[5.65/10.1] log, stellar mass (3)	[ucd=phys.mass]
#Column	Ha	(A1)	[YN] Presence of the H{alpha}>2Angstroms	[ucd=meta.code]
#Column	Ref	(a6)	Redshift source (4)	[ucd=meta.bib]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
recno	Gal	objID	RAJ2000	DEJ2000	Dist	dRVel	rmag	RMAG	g-r	mu	Mass	Ha	Ref	SimbadName
      21	UGC 04906  	LS-595052-1940     	139.4253	+53.0271	 21	 -96	17.70	-15.1	 0.42	23.15	 7.75	Y	MMT   	DELS 8001595052002084
      22	UGC 04906  	LS-595921-1395     	139.3098	+53.2298	154	 259	18.74	-14.1	 0.42	24.03	 7.34	Y	MMT+  	DELS 8001595921001454
      23	NGC 2962   	NSA-192008         	144.8430	+04.9524	264	 -87	15.50	-17.2	 0.34	20.69	 8.51	Y	SDSS+ 	NSAID v1 192008
      24	NGC 2962   	NSA-191990         	145.2345	+05.0449	 73	-108	16.17	-16.5	 0.25	23.64	 8.15	Y	ALFALF	NSAID v1 191990
      25	NGC 2962   	NSA-82770          	145.0880	+04.7351	274	   5	17.38	-15.3	 0.20	22.66	 7.61	Y	SDSS+ 	NSAID v1 82770
      26	NGC 2962   	LS-361164-2394     	145.1227	+05.2311	 73	 160	18.60	-14.1	 0.48	24.47	 7.42	Y	PAL   	DELS 8000361164001713
      27	NGC 2967   	NSA-195            	145.3209	+00.7711	248	  65	16.85	-15.5	 0.33	20.64	 7.83	Y	SDSS  	NSAID v1 195
      28	NGC 2967   	LS-330948-4542     	145.1122	+00.0426	259	  -5	21.68	-10.7	 0.10	24.86	 5.65	Y	ALFALF	DELS 8000330948003438
      29	NGC 3689   	LS-474605-827      	172.0746	+25.6697	 18	 240	17.50	-15.5	 0.60	23.73	 8.11	N	MMT   	DELS 8000474605000773
      30	NGC 3689   	LS-473304-3777     	172.0184	+25.5538	 76	-168	17.60	-15.4	 0.47	24.48	 7.93	N	PAL   	DELS 8000473304003738
      31	NGC 3976   	NSA-328500         	179.0103	+06.6779	 46	 -16	14.97	-17.8	 0.48	21.71	 8.91	N	SDSS  	NSAID v1 328500
      32	NGC 3976   	NSA-328502         	179.2801	+06.6755	186	 -10	16.97	-15.8	 0.40	23.26	 8.01	Y	SDSS+ 	NSAID v1 328502
      33	NGC 4158   	NSA-542307         	182.9907	+20.0279	150	 -37	14.39	-18.4	 0.36	20.20	 9.02	Y	SDSS+ 	NSAID v1 542307
      34	NGC 4158   	1237668298203070473	182.4280	+20.0469	230	  60	16.75	-16.1	 0.37	23.31	 8.09	Y	ALFALF	SDSS J120942.73+200248.9
      35	NGC 4158   	LS-446799-3923     	182.6898	+20.5927	270	 118	18.16	-14.6	 0.25	23.80	 7.39	Y	MMT   	DELS 8000446799003745
      36	NGC 4158   	LS-444092-4124     	182.8481	+20.0633	 78	 -84	19.78	-13.0	 0.29	23.25	 6.78	Y	MMT   	DELS 8000444092003986
      37	NGC 4158   	LS-444093-4832     	183.1177	+20.1081	197	  16	19.84	-13.0	 0.32	23.99	 6.79	Y	MMT   	DELS 8000444093004677
      38	NGC 4348   	LS-310953-4341     	185.5829	-03.4094	203	 -48	20.31	-12.1	 0.13	23.78	 6.23	Y	AAT   	DELS 8000310953004705
      39	NGC 4454   	NSA-19694          	187.2117	-02.0609	 74	 160	14.30	-18.4	 0.62	20.70	 9.31	Y	SDSS+ 	NSAID v1 19694
      40	NGC 4454   	LS-321038-4238     	187.5895	-01.6383	297	-152	16.91	-15.8	 0.23	24.25	 7.84	Y	2dF   	DELS 8000321038003934
      41	NGC 4454   	NSA-628407         	187.2415	-01.6030	208	 204	18.48	-14.3	 0.61	23.42	 7.63	Y	NSA   	NSAID v1 628407
      42	NGC 4454   	LS-321038-2612     	187.5592	-01.7291	250	-163	19.88	-12.9	 0.35	23.93	 6.78	Y	AAT   	DELS 8000321038002417
      43	NGC 5297   	NSA-677369         	206.5777	+43.8514	 15	-154	13.96	-18.8	 0.50	20.80	 9.32	Y	SDSS  	NSAID v1 677369
      44	NGC 5297   	NSA-265851         	207.0967	+43.7087	245	-139	14.96	-17.8	 0.31	21.73	 8.72	Y	SDSS  	NSAID v1 265851
      45	NGC 5297   	LS-558703-937      	206.6083	+43.4521	260	  54	16.58	-16.2	 0.33	23.89	 8.09	Y	MMT   	SDSS J134626.09+432708.9
      46	NGC 5297   	1237661852013166857	206.9900	+43.5872	248	  82	17.75	-15.0	 0.53	23.00	 7.84	N	PAL   	SDSS J134757.60+433513.9
      47	NGC 5297   	LS-561826-172      	206.2129	+44.1393	238	  63	19.03	-13.7	 0.50	22.96	 7.30	N	MMT   	DELS 8001561826000228
      48	NGC 5297   	LS-561826-1312     	206.2337	+44.2385	279	  55	19.58	-13.2	 0.30	25.48	 6.85	Y	MMT   	DELS 8001561826001527
      49	NGC 5297   	LS-561826-847      	206.2622	+44.1987	251	 144	19.74	-13.0	 0.37	22.82	 6.87	N	MMT   	DELS 8001561826000984
      50	NGC 5347   	LS-513578-3277     	208.2657	+33.5912	 67	 149	18.19	-14.5	 0.41	22.59	 7.51	Y	MMT   	DELS 8001513578003296
      51	NGC 5347   	LS-513579-159      	208.4808	+33.3850	101	  33	18.72	-14.0	 0.42	23.72	 7.31	Y	MMT   	DELS 8001513579000155
      52	NGC 5448   	NSA-339206         	210.2074	+49.5161	277	-169	14.55	-18.1	 0.39	24.33	 8.92	Y	SDSS  	NSAID v1 339206
      53	NGC 5448   	NSA-630990         	210.2220	+49.3748	220	-165	15.06	-17.6	 0.42	23.43	 8.74	Y	NSA   	NSAID v1 630990
      54	NGC 5448   	NSA-339202         	210.1000	+49.4443	281	 -26	15.62	-17.0	 0.44	22.28	 8.55	Y	SDSS  	NSAID v1 339202
      55	NGC 5448   	NSA-339134         	210.8700	+48.9655	136	 -18	16.79	-15.8	 0.47	23.45	 8.10	Y	SDSS  	NSAID v1 339134
      56	NGC 5448   	LS-582565-481      	210.8297	+49.4151	149	  17	18.18	-14.5	 0.33	25.29	 7.39	Y	MMT   	DELS 8001582565000477
      57	NGC 5602   	NSA-208848         	215.4049	+50.3903	 93	  75	14.14	-18.5	 0.69	20.35	 9.43	Y	SDSS  	NSAID v1 208848
      58	NGC 5602   	NSA-208508         	215.4590	+50.3884	 80	 169	16.52	-16.2	 0.36	22.34	 8.10	Y	SDSS  	NSAID v1 208508
      59	NGC 5602   	NSA-208516         	214.8035	+50.4409	295	   0	17.50	-15.2	 0.39	23.26	 7.75	Y	SDSS  	NSAID v1 208516
      60	NGC 5602   	1237659119323119642	215.4408	+50.5062	 52	 -65	17.53	-15.1	 0.38	22.91	 7.73	Y	MMT   	SDSS J142145.79+503022.1
      61	NGC 5602   	LS-587209-635      	215.5340	+50.6674	100	-180	18.32	-14.4	 0.52	25.73	 7.56	N	MMT   	DELS 8001587209000607
      62	NGC 5604   	LS-311074-3415     	215.9066	-03.4513	246	 -60	18.08	-14.9	 0.24	25.46	 7.48	Y	AAT   	DELS 8000311074003425
      63	NGC 5604   	LS-312512-3375     	215.8357	-03.1983	233	  20	19.50	-13.5	 0.32	23.39	 6.99	Y	AAT   	DELS 8000312512003375
      64	NGC 5604   	LS-312514-628      	216.3962	-03.3346	170	 233	20.04	-12.9	 0.32	24.82	 6.78	Y	AAT   	DELS 8000312514000643
      65	NGC 5690   	NSA-74334          	219.9139	+02.5818	262	-111	15.97	-16.1	 0.37	22.77	 8.12	Y	SDSS+ 	NSAID v1 74334
      66	NGC 5690   	NSA-74161          	218.9589	+02.6061	256	-188	16.08	-16.0	 0.27	23.74	 7.96	Y	SDSS+ 	NSAID v1 74161
      67	NGC 5690   	LS-342766-1926     	219.6106	+01.9336	185	  66	17.93	-14.2	 0.65	23.30	 7.64	N	GAMA  	DELS 8000342766001230
      68	NGC 5750   	NSA-14784          	221.3160	-00.1599	105	  30	14.87	-17.2	 0.42	21.78	 8.57	Y	SDSS+ 	NSAID v1 14784
      69	NGC 5792   	NSA-171561         	225.0054	-01.0913	202	 -36	14.73	-17.5	 0.26	20.74	 8.56	Y	SDSS+ 	NSAID v1 171561
      70	NGC 5792   	NSA-171385         	224.5327	-01.3126	113	  38	15.21	-17.1	 0.57	21.68	 8.70	Y	SDSS+ 	NSAID v1 171385
      71	NGC 5792   	LS-328387-73       	224.9713	-00.6169	298	-132	16.94	-15.3	 0.34	24.20	 7.76	Y	AAT   	DELS 8000328387000094
      72	NGC 5962   	NSA-685595         	234.1329	+16.4405	 81	 -68	14.28	-18.0	 0.51	22.05	 8.99	Y	SDSS+ 	NSAID v1 685595
      73	NGC 5962   	NSA-571923         	233.7870	+16.8704	205	  27	15.39	-16.8	 0.37	22.66	 8.40	Y	SDSS+ 	NSAID v1 571923
      74	NGC 6181   	NSA-337507         	247.8399	+20.1841	251	 193	13.24	-19.4	 0.57	21.35	 9.65	Y	NSA   	NSAID v1 337507
      75	NGC 6181   	NSA-337485         	248.3932	+19.9461	183	  84	15.63	-17.0	 0.40	20.02	 8.49	Y	SDSS  	NSAID v1 337485
      76	NGC 6181   	1237662698115432544	248.0513	+19.6957	 77	 100	16.66	-16.0	 0.38	22.22	 8.07	Y	AAT+  	SDSS J163212.32+194144.6
      77	NGC 6181   	LS-444337-4335     	247.8755	+20.0948	197	 119	16.72	-15.9	 0.31	24.29	 7.97	Y	SDSS  	DELS 8000444337004007
      78	NGC 6181   	NSA-633453         	247.8259	+20.2109	269	  78	16.89	-15.8	 0.34	23.44	 7.93	Y	NSA   	NSAID v1 633453
      79	NGC 6181   	LS-442982-4210     	248.1526	+19.8095	 36	 -84	17.30	-15.3	 0.38	24.34	 7.81	Y	MMT   	DELS 8000442982003815
      80	NGC 6181   	LS-442983-1849     	248.5809	+19.7198	279	  66	18.03	-14.6	 0.34	24.79	 7.48	Y	AAT+  	DELS 8000442983001641
      81	NGC 6181   	1237662224092496776	248.1954	+19.8670	 64	  99	18.59	-14.1	 0.23	23.04	 7.13	Y	MMT   	SDSS J163246.88+195201.2
      82	NGC 6181   	LS-444338-475      	248.2119	+19.9001	 81	  57	19.14	-13.5	 0.45	24.37	 7.15	N	PAL   	DELS 8000444338000453
      83	NGC 6181   	LS-442982-3970     	248.1636	+19.7923	 45	-124	20.84	-11.8	 0.10	23.92	 6.08	Y	MMT   	DELS 8000442982003596
      84	NGC 6278   	NSA-343657         	255.1879	+23.0440	 26	 -48	13.88	-19.1	 0.39	19.96	 9.33	Y	SDSS  	NSAID v1 343657
      85	NGC 6278   	NSA-687367         	255.0608	+23.1063	114	 189	14.16	-18.8	 0.25	22.22	 9.06	Y	SDSS  	NSAID v1 687367
      86	NGC 6278   	NSA-343463         	255.5795	+23.0765	237	 128	15.83	-17.2	 0.27	20.66	 8.41	Y	SDSS  	NSAID v1 343463
      87	NGC 6278   	NSA-343648         	255.5052	+23.1634	213	 218	15.93	-17.1	 0.23	22.87	 8.32	Y	SDSS  	NSAID v1 343648
      88	NGC 6278   	1237662301379166288	255.3735	+22.7311	218	  15	17.27	-15.7	 0.37	22.03	 7.95	Y	SDSS  	SDSS J170129.64+224352.0
      89	NGC 6278   	NSA-633932         	255.1382	+22.8660	109	-167	17.70	-15.3	 0.30	22.62	 7.70	Y	NSA   	NSAID v1 633932
      90	NGC 6278   	LS-459131-5790     	255.3576	+22.8730	133	  32	19.06	-13.9	 0.39	24.43	 7.26	Y	MMT   	DELS 8000459131005849
      91	NGC 6278   	LS-461785-3431     	254.9681	+23.2804	239	 150	19.16	-13.8	 0.44	23.51	 7.27	Y	MMT   	DELS 8000461785003465
      92	NGC 6278   	LS-459129-1060     	254.9390	+22.6673	291	  82	19.95	-13.0	 0.35	24.29	 6.85	Y	MMT   	DELS 8000459129001203
      93	NGC 6909   	DES-168457190      	306.9106	-46.9880	 24	 205	15.82	-16.9	 0.63	21.48	 8.72	N	AAT   	DES 168457190
      94	NGC 6909   	DES-170146699      	307.5227	-47.1748	273	 -63	16.24	-16.5	 0.48	21.26	 8.39	Y	AAT   	DES 170146699
      95	NGC 6909   	DES-168455364      	306.2666	-46.9370	279	  50	18.19	-14.6	 0.52	23.87	 7.66	N	AAT   	DES 168455364
      96	NGC 6909   	DES-168615265      	306.6276	-47.4109	266	 -75	18.20	-14.6	 0.39	22.06	 7.51	Y	AAT   	DES 168615265
      97	NGC 7029   	DES-188054728      	317.9267	-49.1875	 66	 162	17.35	-15.6	 0.62	22.84	 8.15	N	AAT   	DES 188054728
      98	NGC 7029   	DES-188072275      	318.0170	-49.4633	121	  12	17.53	-15.4	 0.63	23.64	 8.10	N	AAT   	DES 188072275
      99	NGC 7029   	DES-188072825      	317.9191	-49.4568	116	  45	17.71	-15.2	 0.52	21.97	 7.91	Y	2dF   	DES 188072825
     100	NGC 7029   	DES-191931631      	318.1685	-49.6251	242	-155	17.90	-15.0	 0.42	22.31	 7.73	Y	AAT   	DES 191931631
     101	NGC 7029   	DES-188058282      	317.7678	-49.2384	 91	 -86	18.14	-14.8	 0.49	22.37	 7.70	Y	AAT   	DES 188058282
     102	NGC 7079   	DES-206747419      	323.6315	-44.3144	270	-113	13.16	-19.7	 0.39	21.95	 9.54	Y	6dF   	DES 206747419
     103	NGC 7079   	DES-201237392      	322.8677	-43.9600	144	  57	15.89	-16.9	 0.51	22.28	 8.58	Y	AAT   	DES 201237392
     104	NGC 7079   	DES-203016260      	322.9709	-43.6539	274	 -77	16.85	-16.0	 0.36	23.52	 8.04	N	AAT   	DES 203016260
     105	NGC 7079   	DES-203024920      	322.9955	-43.7851	192	-232	17.55	-15.3	 0.46	23.42	 7.87	Y	AAT   	DES 203024920
     106	ESO 288-025	DES-247129294      	330.2345	-43.8028	179	  21	16.90	-15.8	 0.44	23.19	 8.05	Y	AAT   	DES 247129294
     107	ESO 288-025	DES-247126789      	329.7579	-43.7531	 73	  84	18.38	-14.3	 0.31	22.65	 7.31	Y	AAT   	DES 247126789
     108	NGC 7166   	DES-219806824      	330.1490	-43.1405	145	-187	14.59	-18.0	 0.47	22.27	 8.98	Y	6dF   	DES 219806824
     109	NGC 7166   	DES-247094045      	330.5277	-43.2685	180	 185	16.32	-16.3	 0.26	22.03	 8.06	Y	6dF   	DES 247094045
     110	NGC 7166   	DES-72187492       	330.7073	-43.4457	244	  55	16.61	-16.0	 0.39	23.98	 8.09	Y	AAT   	DES 72187492
     111	NGC 7166   	DES-247096912      	330.4219	-43.3113	129	 181	16.98	-15.7	 0.56	25.00	 8.13	Y	AAT   	DES 247096912
     112	NGC 7166   	DES-247092888      	330.5717	-43.2322	206	-132	18.21	-14.4	 0.45	23.52	 7.52	Y	AAT   	DES 247092888
     113	NGC 7166   	DES-219810437      	330.3291	-43.1353	169	-259	19.39	-13.2	 0.15	23.46	 6.71	Y	AAT   	DES 219810437
     114	PGC 068743 	NSA-636065         	336.0479	-03.4834	 98	 -17	13.42	-19.5	 0.40	22.55	 9.51	Y	6dF   	NSAID v1 636065
     115	PGC 068743 	NSA-636047         	335.8363	-03.6598	164	 195	14.86	-18.1	 0.57	21.65	 9.12	Y	6dF   	NSAID v1 636047
     116	PGC 068743 	LS-312992-1567     	335.9799	-03.2706	118	  14	15.94	-17.0	 0.59	22.20	 8.72	Y	AAT   	DELS 8000312992002157
     117	PGC 068743 	LS-311554-3218     	335.9729	-03.4296	 40	 -85	17.84	-15.1	 0.63	23.28	 8.00	N	MMT   	DELS 8000311554004511
     118	PGC 068743 	LS-310115-2825     	335.9540	-03.7010	185	 -30	19.54	-13.4	 0.22	24.25	 6.87	Y	AAT   	DELS 8000310115004339
     119	NGC 7328   	LS-390486-3250     	339.3833	+10.3132	148	 -21	18.90	-14.1	 0.38	24.01	 7.29	N	PAL   	DELS 8000390486003212
     120	NGC 7541   	NSA-637123         	348.6438	+04.4984	 34	  11	12.71	-20.2	 0.67	19.85	10.07	Y	ALFALF	NSAID v1 637123
     121	NGC 7541   	LS-359104-131      	348.6965	+04.6396	 70	 182	14.40	-18.5	 0.25	23.86	 8.93	Y	ALFALF	DELS 8000359104000040
     122	NGC 7541   	LS-356233-3798     	348.7769	+04.3732	123	 -13	15.31	-17.6	 0.52	23.21	 8.86	Y	MMT   	DELS 8000356233003977
     123	NGC 7541   	LS-357669-3767     	348.8745	+04.6131	137	  68	16.13	-16.8	 0.37	24.18	 8.37	Y	ALFALF	DELS 8000357669003849
     124	NGC 7541   	LS-357668-2728     	348.6214	+04.5073	 44	-121	18.01	-14.9	 0.48	23.47	 7.74	N	AAT   	DELS 8000357668002801
     125	NGC 7541   	LS-360540-737      	348.5546	+04.9151	267	 125	20.77	-12.1	 0.06	24.29	 6.18	Y	MMT   	DELS 8000360540000761
     126	NGC 7716   	NSA-31702          	354.3508	+00.3910	144	 119	13.70	-19.0	 0.39	23.33	 9.29	Y	SDSS+ 	NSAID v1 31702
     127	NGC 7716   	NSA-31683          	354.1952	+00.6234	200	  59	15.61	-17.1	 0.41	22.84	 8.55	Y	SDSS+ 	NSAID v1 31683

