#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table10&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table10:
#Name: J/ApJ/933/47/table10
#Title: GALEX photometry for confirmed satellites
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	RAJ2000	(F8.4)	[11.8/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-64.3/71.5] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_NUVmag	(A1)	Limit flag on NUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.200-300nm]
#Column	NUVmag	(F5.2)	[12.4/24.2] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.200-300nm]
#Column	e_NUVmag	(F5.2)	[0.05/0.8]? Uncertainty in NUVmag (1)	[ucd=stat.error;phot.mag;em.UV.200-300nm]
#Column	l_FUVmag	(A1)	Limit flag on FUVmag (1)	[ucd=meta.code.error;phot.mag;em.UV.100-200nm]
#Column	FUVmag	(F5.2)	[12.5/24.5] GALEX FUV magnitude (1)	[ucd=phot.mag;em.UV.100-200nm]
#Column	e_FUVmag	(F5.2)	[0.05/0.7]? Uncertainty in FUVmag (1)	[ucd=stat.error;phot.mag;em.UV.100-200nm]
#Column	GALEX	(a28)	GALEX imaging dataset in the MAST archive	[ucd=meta.dataset]
recno	Name	Host	RAJ2000	DEJ2000	l_NUVmag	NUVmag	e_NUVmag	l_FUVmag	FUVmag	e_FUVmag	GALEX
      26	dw0242p3838   	NGC1023	040.6028	+38.6352	>	22.81	     	>	23.04	     	NGA_NGC1023
      27	dw0309m4104   	NGC1291	047.3549	-41.0826	 	22.92	 0.57	>	23.33	     	GI1_047015_ESO300_G014
      28	dw0309m4101   	NGC1291	047.4093	-41.0312	 	14.74	 0.05	 	15.07	 0.05	GI1_047015_ESO300_G014
      29	dw0310m4000   	NGC1291	047.5432	-40.0035	 	17.22	 0.05	 	17.41	 0.05	GI1_009006_NGC1249
      30	dw0315m4040   	NGC1291	048.7908	-40.6674	 	21.95	 0.52	>	22.33	     	NGA_NGC1291
      31	dw0317m4142   	NGC1291	049.2560	-41.7001	 	20.36	 0.10	 	22.34	 0.66	NGA_NGC1291
      32	dw0317m4058   	NGC1291	049.3725	-40.9728	 	21.40	 0.66	>	22.12	     	NGA_NGC1291
      33	dw0317m4141   	NGC1291	049.4083	-41.6962	 	20.17	 0.17	>	22.00	     	NGA_NGC1291
      34	dw0318m4101   	NGC1291	049.6796	-41.0240	 	22.13	 0.19	>	23.40	     	NGA_NGC1291
      35	dw0318m4211   	NGC1291	049.6961	-42.1993	>	22.15	     	>	22.10	     	AIS_424_1_02
      36	dw0319m4126   	NGC1291	049.9305	-41.4480	 	20.20	 0.09	 	21.52	 0.44	NGA_NGC1291
      37	dw0320m4048   	NGC1291	050.1412	-40.8048	>	21.25	     	>	21.35	     	AIS_424_1_01
      38	dw0321m4159   	NGC1291	050.3521	-41.9982	 	18.53	 0.08	 	18.94	 0.14	AIS_424_1_07
      39	dw0323m4040   	NGC1291	050.8173	-40.6777	 	19.74	 0.12	>	21.68	     	AIS_424_1_01
      40	dw0325m4113   	NGC1291	051.4098	-41.2304	>	21.03	     	>	21.13	     	AIS_424_1_06
      41	dw0506m3739   	NGC1808	076.6002	-37.6499	 	23.55	 0.55	>	23.39	     	LGAL_NGC1808
      42	dw0507m3629   	NGC1808	076.7765	-36.4834	>	21.65	     	>	21.60	     	AIS_414_1_21
      43	dw0507m3739   	NGC1808	076.8530	-37.6518	 	22.58	 0.69	>	22.59	     	LGAL_NGC1808
      44	dw0507m3744   	NGC1808	076.9674	-37.7385	 	20.59	 0.05	 	23.11	 0.43	LGAL_NGC1808
      45	dw0507m3800   	NGC1808	076.9808	-38.0125	 	20.97	 0.05	 	21.70	 0.14	LGAL_NGC1808
      46	dw0508m3818   	NGC1808	077.0318	-38.3098	 	14.16	 0.05	 	14.66	 0.10	GI1_009064_HPJ0508m38
      47	dw0508m3617   	NGC1808	077.1269	-36.2869	>	22.06	     	>	21.66	     	AIS_414_1_21
      48	dw0508m3808   	NGC1808	077.1369	-38.1405	 	20.58	 0.05	 	22.92	 0.46	GI1_009064_HPJ0508m38
      49	NGC1827       	NGC1808	077.5208	-36.9611	 	14.48	 0.05	 	15.24	 0.05	GI2_121004_LGG127_POS2
      50	dw0848p3226   	NGC2683	132.1660	+32.4442	 	22.11	 0.54	>	22.71	     	MISGCSAN_04470_1209
      51	dw0852p3347   	NGC2683	133.2006	+33.7990	 	18.45	 0.05	 	18.98	 0.08	GI4_095011_NGC2683
      52	dw0853p3318   	NGC2683	133.3617	+33.3052	 	20.56	 0.08	 	21.12	 0.13	GI4_095011_NGC2683
      53	dw0855p3336   	NGC2683	133.7936	+33.6155	>	22.79	     	>	22.74	     	GI4_095011_NGC2683
      54	dw0855p3333   	NGC2683	133.8454	+33.5572	 	19.90	 0.10	>	21.82	     	GI4_095011_NGC2683
      55	dw0856p3155   	NGC2683	134.1080	+31.9172	>	21.42	     	>	21.90	     	AIS_215_1_36
      56	dw0929p2213   	NGC2903	142.4777	+22.2181	>	22.14	     	>	22.59	     	AIS_192_1_40
      57	dw0930p1959   	NGC2903	142.5540	+19.9913	 	18.64	 0.05	 	19.16	 0.10	AIS_192_1_58
      58	dw0930p2143   	NGC2903	142.6666	+21.7240	 	20.35	 0.12	 	20.63	 0.21	AIS_192_1_40
      59	dw0932p1952   	NGC2903	143.0991	+19.8754	>	21.63	     	>	21.53	     	AIS_192_1_57
      60	UGC5086       	NGC2903	143.2034	+21.4656	 	19.87	 0.07	 	22.04	 0.46	NGA_NGC2903
      61	dw0933p2030   	NGC2903	143.3069	+20.5152	 	20.20	 0.17	 	21.32	 0.62	AIS_192_1_51
      62	dw0936p2135   	NGC2903	144.0891	+21.5993	 	20.51	 0.06	 	21.05	 0.10	NGA_LSBC_F565
      63	NGC2976       	M81    	146.8146	+67.9164	 	12.84	 0.05	 	13.28	 0.05	NGA_NGC2976
      64	IC2574        	M81    	157.1413	+68.4328	 	12.43	 0.05	 	12.55	 0.05	NGA_IC2574
      65	ddo82         	M81    	157.6524	+70.6183	 	15.69	 0.05	 	16.58	 0.05	GI1_047041_UGC05692
      66	kdg61         	M81    	149.2612	+68.5917	 	18.90	 0.10	>	21.25	     	GI2_024001_NGC3077_Stream
      67	BK5N          	M81    	151.1679	+68.2556	 	20.79	 0.18	 	21.44	 0.44	GI3_061018_UGC05442
      68	IKN           	M81    	152.0246	+68.3992	 	18.42	 0.17	>	20.19	     	NGA_NGC3077
      69	FM1           	M81    	146.2917	+68.7650	 	19.78	 0.05	>	22.30	     	GI2_024002_NGC2976_stream
      70	kdg64         	M81    	151.7579	+67.8275	 	18.31	 0.05	>	21.59	     	GI3_061018_UGC05442
      71	f8d1          	M81    	146.1962	+67.4386	 	18.75	 0.14	>	20.19	     	GI3_061016_KK77
      72	d1014p68      	M81    	153.7325	+68.7575	 	21.67	 0.45	>	21.95	     	NGA_NGC3077
      73	KK77          	M81    	147.5417	+67.5067	 	18.38	 0.11	 	18.98	 0.19	GI3_061016_KK77
      74	kdg63         	M81    	151.2804	+66.5550	 	18.40	 0.07	>	20.87	     	GI3_061017_UGC05428
      75	d0958p66      	M81    	149.7021	+66.8497	 	17.83	 0.05	 	18.38	 0.12	AIS_74_1_08
      76	ddo78         	M81    	156.6163	+67.6567	 	17.99	 0.11	>	19.22	     	AIS_118_1_80
      77	d1028p70      	M81    	157.1654	+70.2336	 	17.66	 0.05	 	17.95	 0.05	GI1_047041_UGC05692
      78	d1041p70      	M81    	160.3200	+70.1508	>	21.25	     	>	21.03	     	AIS_118_1_61
      79	HS117         	M81    	155.3550	+71.1161	>	19.77	     	>	19.58	     	AIS_118_1_43
      80	d0944p71      	M81    	146.1433	+71.4825	 	19.66	 0.07	>	21.73	     	NGA_HolmbergI
      81	d0926p70      	M81    	141.6163	+70.5067	 	19.94	 0.14	 	20.33	 0.15	GI1_005007_J092810p702308
      82	HO1           	M81    	145.1346	+71.1864	 	14.67	 0.05	 	14.82	 0.05	NGA_HolmbergI
      83	d0934p70      	M81    	143.5154	+70.2158	 	20.96	 0.19	>	21.43	     	GI1_005007_J092810p702308
      84	dw1000m0741   	NGC3115	150.0039	-07.6875	>	22.60	     	>	22.69	     	WDST_GD_108
      85	dw1000m0821   	NGC3115	150.0436	-08.3574	 	19.83	 0.33	>	20.21	     	AIS_315_1_89
      86	dw1000m0831   	NGC3115	150.2289	-08.5305	 	21.35	 0.72	>	21.49	     	AIS_315_1_96
      87	dw1001m0631   	NGC3115	150.3901	-06.5249	 	17.51	 0.05	 	17.74	 0.05	GI1_009005_HPJ1001m06
      88	dw1001m0814   	NGC3115	150.4092	-08.2487	 	17.43	 0.05	 	18.02	 0.10	AIS_315_1_88
      89	dw1002m0642   	NGC3115	150.6570	-06.7083	>	23.56	     	>	23.69	     	GI1_009005_HPJ1001m06
      90	dw1004m0737   	NGC3115	150.9948	-07.6409	>	21.97	     	>	21.90	     	NGA_NGC3115
      91	dw1004m0657   	NGC3115	151.1572	-06.9585	 	21.89	 0.53	>	22.16	     	NGA_NGC3115
      92	dw1005m0744   	NGC3115	151.3961	-07.7498	 	19.50	 0.15	>	21.62	     	NGA_NGC3115
      93	dw1005m0758   	NGC3115	151.4233	-07.9817	 	17.85	 0.05	 	20.21	 0.23	NGA_NGC3115
      94	dw1006m0730   	NGC3115	151.5528	-07.5001	 	21.81	 0.22	>	22.81	     	NGA_NGC3115
      95	dw1006m0732   	NGC3115	151.6109	-07.5490	>	22.76	     	>	22.74	     	NGA_NGC3115
      96	dw1006m0730-n2	NGC3115	151.6404	-07.5096	 	22.56	 0.71	>	22.54	     	NGA_NGC3115
      97	dw1007m0830   	NGC3115	151.9464	-08.5042	>	21.75	     	>	21.37	     	AIS_315_1_87
      98	dw1042p2415   	NGC3344	160.5916	+24.2505	>	20.92	     	>	21.15	     	AIS_482_1_41
      99	dw1042p2501   	NGC3344	160.6815	+25.0250	>	23.35	     	>	23.34	     	NGA_NGC3344
     100	dw1045p2427   	NGC3344	161.3793	+24.4657	>	21.43	     	>	21.61	     	AIS_482_1_41
     101	dw1039p1238   	NGC3379	159.9290	+12.6348	 	19.64	 0.05	 	20.49	 0.09	GI4_042054_AOHI103942p124103
     102	UGC5812       	NGC3379	160.2355	+12.4728	 	17.31	 0.05	 	17.74	 0.05	GI4_042054_AOHI103942p124103
     103	dw1042p1220   	NGC3379	160.5015	+12.3351	 	17.98	 0.05	 	18.47	 0.05	GI5_002010_AGC202019
     104	dw1042p1208   	NGC3379	160.6431	+12.1509	 	20.20	 0.14	>	21.89	     	NGA_NGC3351
     105	dw1042p1359   	NGC3379	160.6886	+13.9905	>	22.95	     	>	22.39	     	AIS_312_1_27
     106	dw1043p1410   	NGC3379	160.7948	+14.1799	 	22.31	 0.64	>	22.53	     	AIS_312_1_17
     107	dw1043p1415   	NGC3379	160.9572	+14.2554	>	22.27	     	>	21.76	     	AIS_312_1_27
     108	dw1044p1359   	NGC3379	161.1075	+13.9988	>	22.38	     	>	22.31	     	AIS_312_1_27
     109	dw1044p1356   	NGC3379	161.1471	+13.9396	 	19.44	 0.10	>	20.96	     	AIS_312_1_27
     110	dw1044p1351   	NGC3379	161.1588	+13.8591	 	21.86	 0.56	>	22.00	     	AIS_312_1_27
     111	dw1044p1351b  	NGC3379	161.1602	+13.8557	>	22.10	     	>	21.78	     	AIS_312_1_27
     112	dw1044p1154   	NGC3379	161.2394	+11.9162	 	19.39	 0.05	 	19.60	 0.05	NGA_NGC3351
     113	dw1046p1257   	NGC3379	161.5590	+12.9606	>	23.01	     	>	23.31	     	GI4_042055_J104657p125223
     114	dw1046p1401   	NGC3379	161.6027	+14.0242	 	20.38	 0.11	>	22.43	     	GI3_084014_J104728p135322
     115	dw1046p1145   	NGC3379	161.6260	+11.7557	>	21.98	     	>	22.60	     	NGA_NGC3368
     116	dw1046p1219   	NGC3379	161.6722	+12.3270	 	20.64	 0.11	>	22.57	     	NGA_NGC3368
     117	dw1046p1244   	NGC3379	161.7204	+12.7421	 	20.11	 0.27	 	19.90	 0.15	LeoRingC
     118	dw1046p1247   	NGC3379	161.7275	+12.7886	 	22.00	 0.11	>	23.67	     	LeoRingC
     119	dw1046p1259   	NGC3379	161.7393	+12.9984	 	20.31	 0.08	>	22.33	     	LeoRingN
     120	dw1047p1257   	NGC3379	161.7525	+12.9604	>	23.59	     	>	23.34	     	LeoRingN
     121	dw1047p1248   	NGC3379	161.8051	+12.8022	 	21.77	 0.17	>	22.86	     	LeoRingN
     122	dw1047p1202   	NGC3379	161.9190	+12.0487	 	22.35	 0.25	>	23.50	     	LeoRingS
     123	dw1047p1258   	NGC3379	161.9255	+12.9754	 	22.55	 0.15	>	23.58	     	LeoRingN
     124	dw1048p1158   	NGC3379	162.0547	+11.9684	 	23.22	 0.35	>	23.79	     	LeoRingS
     125	dw1048p1154   	NGC3379	162.1039	+11.9123	>	22.30	     	>	22.65	     	LeoRingS
     126	dw1048p1303   	NGC3379	162.1492	+13.0598	 	22.80	 0.36	>	23.32	     	LeoRingN
     127	dw1048p1259   	NGC3379	162.2174	+12.9954	>	22.98	     	>	23.11	     	LeoRingN
     128	dw1048p1407   	NGC3379	162.2240	+14.1245	 	19.34	 0.05	 	21.91	 0.32	GI3_046021_NGC3419
     129	dw1049p1247   	NGC3379	162.2977	+12.7925	 	22.53	 0.13	>	23.89	     	LeoRingN
     130	dw1049p1233   	NGC3379	162.3580	+12.5525	 	22.54	 0.23	>	23.25	     	LeoRingN
     131	UGC5944       	NGC3379	162.5791	+13.2719	 	18.82	 0.05	>	22.42	     	LeoRingN
     132	dw1050p1213   	NGC3379	162.6004	+12.2182	>	23.85	     	>	24.03	     	GI3_079014_M105
     133	dw1050p1221   	NGC3379	162.6132	+12.3598	>	22.28	     	>	22.18	     	LeoRingC
     134	dw1050p1236   	NGC3379	162.6486	+12.6093	>	23.82	     	>	23.74	     	LeoRingN
     135	dw1051p1320   	NGC3379	162.7563	+13.3336	 	20.11	 0.05	 	21.92	 0.25	LeoRingN
     136	dw1051p1250   	NGC3379	162.8378	+12.8490	 	19.62	 0.05	 	21.28	 0.14	LeoRingN
     137	dw1051p1406   	NGC3379	162.8807	+14.1149	 	21.40	 0.09	 	23.21	 0.46	GI3_046021_NGC3419
     138	dw1052p1102   	NGC3379	163.0812	+11.0433	 	19.78	 0.05	 	22.59	 0.52	GI4_042056_AOHI105336p110034
     139	dw1104p0004   	NGC3521	166.1606	+00.0815	>	23.73	     	>	23.93	     	MISDR1_12637_0277
     140	dw1104p0003   	NGC3521	166.1676	+00.0581	 	20.02	 0.06	 	21.49	 0.22	MISDR1_12637_0277
     141	dw1104p0005   	NGC3521	166.1711	+00.0936	 	22.81	 0.69	>	23.35	     	MISDR1_12637_0277
     142	dw1105p0006   	NGC3521	166.4217	+00.1163	 	18.28	 0.25	 	20.07	 0.59	MISDR1_12637_0277
     143	dw1106m0126   	NGC3521	166.5313	-01.4476	>	21.17	     	>	20.81	     	AIS_314_1_76
     144	dw1106m0052   	NGC3521	166.6084	-00.8797	 	21.56	 0.16	>	22.27	     	MISWZN11_12676_0315
     145	dw1107m0038   	NGC3521	166.7760	-00.6338	>	23.59	     	>	22.91	     	MISWZN11_12676_0315
     146	dw110m0011    	NGC3521	166.8051	-00.1869	>	22.35	     	>	22.40	     	MISDR1_12637_0277
     147	dw1109m0016   	NGC3521	167.3283	-00.2771	>	22.28	     	>	22.23	     	MISDR1_12675_0278
     148	dw1110p0037   	NGC3521	167.6231	+00.6169	 	21.26	 0.20	>	22.62	     	MISDR1_12675_0278
     149	dw1111p0049   	NGC3521	167.8493	+00.8315	>	22.20	     	>	22.26	     	MISDR1_12674_0279
     150	dw1119p5543   	NGC3556	169.9523	+55.7224	 	18.52	 0.05	 	19.03	 0.14	AIS_92_1_32
     151	dw1114p1238   	NGC3627	168.6877	+12.6477	 	18.99	 0.05	 	19.22	 0.05	GI4_095041_NGC3593
     152	dw1117p1305   	NGC3627	169.2544	+13.0993	 	18.30	 0.05	 	19.11	 0.05	GI3_041004_NGC3623
     153	dw1118p1233   	NGC3627	169.6759	+12.5614	 	20.99	 0.11	>	23.15	     	GI3_041004_NGC3623
     154	dw1118p1348   	NGC3627	169.7234	+13.8054	 	22.03	 0.16	>	23.56	     	NGA_NGC3628_cen
     155	dw1119p1419   	NGC3627	169.8029	+14.3272	 	18.86	 0.13	 	20.18	 0.38	AIS_232_1_03
     156	dw1119p1157   	NGC3627	169.8098	+11.9524	 	17.79	 0.05	 	17.90	 0.05	GI4_042061_AOHI111914p115707
     157	dw1119p1417   	NGC3627	169.8161	+14.2901	 	19.99	 0.15	 	20.60	 0.32	AIS_232_1_03
     158	dw1119p1404   	NGC3627	169.8397	+14.0755	 	20.57	 0.55	>	21.30	     	AIS_232_1_03
     159	dw1120p1332   	NGC3627	170.0666	+13.5488	>	21.84	     	>	23.15	     	NGA_NGC3628_cen
     160	dw1121p1326   	NGC3627	170.4037	+13.4471	>	23.19	     	>	22.88	     	NGA_NGC3627
     161	dw1122p1258   	NGC3627	170.6002	+12.9795	 	20.21	 0.05	 	21.93	 0.24	NGA_NGC3627
     162	IC2782        	NGC3627	170.7307	+13.4413	 	18.50	 0.06	 	21.00	 0.60	AIS_232_1_10
     163	IC2791        	NGC3627	170.9066	+12.8960	 	19.22	 0.05	 	19.83	 0.06	NGA_NGC3627
     164	dw1124p1240   	NGC3627	171.1445	+12.6743	>	21.09	     	>	21.17	     	AIS_232_1_19
     165	NGC4248       	NGC4258	184.4591	+47.4092	 	16.04	 0.05	 	16.82	 0.05	PS_NGC4258_MOS23
     166	LVJ1218+4655  	NGC4258	184.5465	+46.9172	 	18.17	 0.05	 	18.36	 0.05	PS_NGC4258_MOS23
     167	dw1219p4743   	NGC4258	184.7757	+47.7302	 	21.88	 0.14	>	23.69	     	PS_NGC4258_MOS23
     168	UGC7356       	NGC4258	184.7875	+47.0899	 	18.87	 0.06	 	21.31	 0.27	PS_NGC4258_MOS23
     169	dw1220p4729   	NGC4258	185.1256	+47.4906	>	23.76	     	>	24.07	     	PS_NGC4258_MOS23
     170	dw1220p4649   	NGC4258	185.2286	+46.8302	 	21.37	 0.12	>	22.70	     	GI4_095048_NGC4258
     171	dw1223p4739   	NGC4258	185.9424	+47.6589	 	21.40	 0.08	 	23.68	 0.58	PS_NGC4258_MOS24
     172	dw1227p0136   	NGC4517	186.9438	+01.5998	 	16.36	 0.05	 	16.48	 0.05	GI4_002002_HI_1225p01
     173	dw1231p0140   	NGC4517	187.7660	+01.6758	 	17.49	 0.05	 	17.74	 0.05	NGA_NGC4536
     174	dw1232p0015   	NGC4517	188.1505	+00.2625	 	21.30	 0.06	>	23.59	     	GI1_033005_NGC4517
     175	dw1236m0025   	NGC4517	189.1755	-00.4305	 	20.58	 0.05	 	20.89	 0.10	GI3_121006_J123543m001325
     176	dw1238p0028   	NGC4517	189.5586	+00.4771	>	21.31	     	>	21.60	     	AIS_228_1_92
     177	dw1238m0035   	NGC4517	189.7051	-00.5978	>	21.59	     	>	21.82	     	AIS_229_1_05
     178	dw1238m0105   	NGC4517	189.7086	-01.0868	>	22.25	     	>	22.52	     	AIS_229_1_06
     179	dw1239m0039   	NGC4517	189.7608	-00.6644	 	18.56	 0.11	 	18.64	 0.14	AIS_229_1_05
     180	NGC4592       	NGC4517	189.8273	-00.5318	 	13.77	 0.05	 	14.14	 0.05	AIS_229_1_05
     181	dw1234p2531   	NGC4565	188.6007	+25.5221	 	20.62	 0.45	>	21.35	     	AIS_222_1_35
     182	NGC4562       	NGC4565	188.8948	+25.8503	 	16.22	 0.05	 	16.67	 0.05	GI1_033001_NGC4565
     183	IC3571        	NGC4565	189.0835	+26.0843	 	18.08	 0.05	 	18.28	 0.05	GI1_033001_NGC4565
