#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/469/2539&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74692539
#Name: J/MNRAS/469/2539
#Title: New classification of CALIFA galaxies (Kalinova+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/469/2539	    IVOID of underlying data collection
#INFO	creator=Kalinova V.	    First author or institution
#INFO	cites=bibcode:2017MNRAS.469.2539K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/469/2539	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74692539	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_469_2539_tableb:
#Name: J/MNRAS/469/2539/tableb
#Title: Properties of the 238 (E1-Sdm) CALIFA galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Type	(A3)	Hubble type based on by-eye morphological classification from Walcher et al. (2014, Cat. J/A+A/589/A1)	[ucd=meta.note;src.morph.type]
#Column	Dist	(I3)	Hubble flow (Galactocentric) distances (1)	[ucd=pos.distance]
#Column	PA	(I3)	Average photometric position angle (2)	[ucd=pos.posAng;stat.mean]
#Column	eps	(F5.2)	Average photometric ellipticity (2)	[ucd=src.ellipticity]
#Column	Incl	(I2)	Inclination (3)	[ucd=src.orbital.inclination]
#Column	Re	(I2)	Effective (half-light) radius measured via growth curve analysis (Walcher et al., 2014, Cat. J/A+A/589/A1)	[ucd=phys.angSize]
#Column	Rmax	(I2)	Radial extent of the stellar kinematic data (Falcon-Barroso et al., 2017, Cat. J/A+A/597/A48)	[ucd=phys.angSize]
#Column	Rmax/Re	(F4.1)	Radial extent of the stellar kinematic data in terms of effective radius	[ucd=spect.dopplerVeloc]
#Column	Vsys	(I4)	Systemic velocity of the galaxies (4)	[ucd=phys.veloc]
#Column	(M/L)dyn	(F6.3)	Median of the posterior distributions of the dynamical mass-to-light ratios, from JAM-MCMC model	[ucd=phys.composition.massLightRatio]
#Column	E_(M/L)dyn	(F6.3)	Error on (M/L)dyn, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_(M/L)dyn	(F6.3)	Error on (M/L)dyn, lower value (6)	[ucd=stat.error]
#Column	betaz	(F6.3)	Median of the posterior distributions of the azimuthal velocity anisotropies, from JAM-MCMC model.	[ucd=stat.fit.param]
#Column	E_betaz	(F6.3)	Error on betaz, upper value (5)	[ucd=stat.error;stat.max]
#Column	e_betaz	(F6.3)	Error on betaz, lower value (6)	[ucd=stat.error]
#Column	CVC	(A1)	Circular velocity curve class (10)	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	Simbad	_RA	_DE
      23	NGC 0023     	Sb 	 65	157	 0.33	63	17	26	 1.5	4570	 1.801	 0.034	 0.018	 0.519	 0.011	 0.023	1	Simbad	002.47255	+25.92374
      24	NGC 0155     	E1 	 86	170	 0.18	48	15	25	 1.7	6182	 4.534	 0.018	 0.016	 0.342	 0.006	 0.010	2	Simbad	008.66702	-10.76654
      25	NGC 0160     	Sa 	 74	 51	 0.47	59	22	35	 1.6	5183	 5.868	 0.034	 0.016	 0.494	 0.004	 0.006	3	Simbad	009.01708	+23.95792
      26	NGC 0171     	Sb 	 54	 84	 0.04	23	26	32	 1.2	3879	 1.683	 0.034	 0.012	 0.457	 0.035	 0.194	1	Simbad	009.33967	-19.93425
      27	NGC 0177     	Sab	 53	190	 0.75	77	13	37	 2.8	3810	 5.498	 0.023	 0.026	 0.079	 0.011	 0.013	2	Simbad	009.39306	-22.54925
      28	NGC 0192     	Sab	 58	166	 0.57	72	22	39	 1.8	4192	 3.791	 0.011	 0.009	 0.507	 0.005	 0.011	1	Simbad	009.80580	+00.86414
      29	NGC 0214     	Sbc	 64	 52	 0.29	56	18	31	 1.7	4501	 2.608	 0.015	 0.013	-0.030	 0.024	 0.019	0	Simbad	010.36676	+25.49940
      30	NGC 0216     	Sd 	 21	208	 0.65	73	20	35	 1.8	1544	 3.301	 0.039	 0.039	 0.559	 0.014	 0.017	0	Simbad	010.36202	-21.04803
      31	NGC 0217     	Sa 	 55	113	 0.76	79	23	41	 1.8	3989	 5.593	 0.016	 0.014	 0.349	 0.004	 0.006	2	Simbad	010.39122	-10.02141
      32	NGC 0237     	Sc 	 58	178	 0.38	52	15	35	 2.3	4125	 2.732	 0.017	 0.015	 0.595	 0.009	 0.024	0	Simbad	010.86617	-00.12487
      33	NGC 0257     	Sc 	 74	 89	 0.38	52	21	40	 1.9	5273	 3.448	 0.012	 0.010	 0.056	 0.016	 0.030	1	Simbad	012.00629	+08.29708
      34	NGC 0429     	Sa 	 78	 14	 0.72	78	 6	29	 4.8	5650	 3.948	 0.029	 0.018	 0.432	 0.006	 0.008	2	Simbad	018.23939	-00.34491
      35	NGC 0444     	Scd	 68	159	 0.76	78	23	32	 1.4	4770	 6.327	 0.065	 0.052	 0.694	 0.009	 0.017	0	Simbad	018.95660	+31.08023
      36	NGC 0499     	E5 	 62	 71	 0.34	54	21	31	 1.5	4359	 6.672	 0.100	 0.029	 0.727	 0.002	 0.013	3	Simbad	020.79792	+33.46020
      37	NGC 0504     	S0 	 60	 48	 0.66	76	 8	30	 3.8	4236	 7.243	 0.020	 0.020	 0.122	 0.006	 0.007	2	Simbad	020.86627	+33.20436
      38	NGC 0517     	S0 	 60	 17	 0.52	66	10	34	 3.4	4122	 5.136	 0.042	 0.023	 0.712	 0.002	 0.006	2	Simbad	021.18252	+33.42959
      39	NGC 0528     	S0 	 68	 58	 0.49	61	12	28	 2.3	4773	 5.408	 0.017	 0.015	 0.517	 0.005	 0.012	2	Simbad	021.38989	+33.67141
      40	NGC 0529     	E4 	 68	179	 0.18	35	12	37	 3.1	4791	 5.811	 0.022	 0.014	 0.063	 0.013	 0.014	2	Simbad	021.41792	+34.71293
      41	NGC 0551     	Sbc	 73	140	 0.62	67	19	44	 2.3	5124	 4.714	 0.032	 0.021	 0.388	 0.007	 0.023	0	Simbad	021.91930	+37.18300
      42	NGC 0681     	Sa 	 24	 67	 0.32	86	30	37	 1.2	1743	 6.745	 0.050	 0.041	-0.010	 0.010	 0.011	1	Simbad	027.29506	-10.42634
      43	NGC 0741     	E1 	 77	 86	 0.21	38	35	32	 0.9	5524	 8.999	 0.024	 0.021	 0.265	 0.007	 0.009	3	Simbad	029.08733	+05.62882
      44	NGC 0755     	Scd	 23	 49	 0.67	76	28	39	 1.4	1655	 4.933	 0.044	 0.042	 0.447	 0.009	 0.011	0	Simbad	029.09452	-09.06143
      45	NGC 0768     	Sc 	 97	 35	 0.55	67	15	34	 2.3	6898	 7.081	 0.041	 0.036	 0.093	 0.014	 0.014	2	Simbad	029.67064	+00.52921
      46	NGC 0774     	S0 	 64	169	 0.18	49	12	26	 2.2	4595	 4.691	 0.027	 0.013	 0.554	 0.005	 0.008	2	Simbad	029.89473	+14.00821
      47	NGC 0776     	Sb 	 69	 67	 0.05	29	19	32	 1.7	4866	 1.976	 0.020	 0.015	-0.334	 0.084	 0.089	1	Simbad	029.97716	+23.64429
      48	NGC 0781     	Sa 	 49	 12	 0.71	79	 8	32	 4.0	3482	 2.738	 0.011	 0.010	 0.413	 0.005	 0.009	0	Simbad	030.03740	+12.65611
      49	NGC 0810     	E5 	106	 28	 0.32	61	17	20	 1.2	7716	12.168	 0.047	 0.058	 0.275	 0.007	 0.008	2	Simbad	031.36901	+13.25163
      50	NGC 0932     	S0a	 57	 71	 0.10	29	18	33	 1.8	4066	 3.314	 0.014	 0.010	 0.036	 0.026	 0.034	1	Simbad	036.97785	+20.33264
      51	NGC 1056     	Sa 	 22	154	 0.32	70	14	37	 2.6	1556	 3.115	 0.029	 0.018	 0.252	 0.008	 0.016	0	Simbad	040.70120	+28.57427
      52	NGC 1060     	E3 	 72	 81	 0.17	42	27	26	 1.0	5132	 5.797	 0.043	 0.024	 0.788	 0.002	 0.008	3	Simbad	040.81269	+32.42501
      53	NGC 1167     	S0 	 69	 73	 0.18	38	24	30	 1.2	4885	 5.198	 0.016	 0.015	 0.591	 0.003	 0.008	3	Simbad	045.42649	+35.20565
      54	NGC 1349     	E6 	 90	 43	 0.14	32	17	21	 1.2	6525	 5.395	 0.031	 0.034	 0.440	 0.012	 0.032	3	Simbad	052.86476	+04.38087
      55	NGC 1542     	Sab	 50	130	 0.54	70	15	23	 1.5	3687	 5.259	 0.046	 0.033	 0.776	 0.004	 0.007	0	Simbad	064.30898	+04.78166
      56	NGC 1645     	S0a	 66	 85	 0.59	66	13	39	 3.0	4749	 6.579	 0.017	 0.015	-0.050	 0.007	 0.010	2	Simbad	071.02665	-05.46567
      57	NGC 1677     	Scd	 36	133	 0.73	77	12	29	 2.4	2725	 4.317	 0.060	 0.053	 0.465	 0.015	 0.025	0	Simbad	072.71699	-04.89271
      58	NGC 2253     	Sbc	 50	  5	 0.25	41	15	36	 2.4	3527	 9.701	 0.067	 0.043	 0.815	 0.001	 0.001	2	Simbad	100.81119	+65.67749
      59	NGC 2347     	Sbc	 62	  5	 0.38	56	18	42	 2.3	4408	 4.306	 0.021	 0.032	 0.599	 0.005	 0.024	2	Simbad	109.01703	+64.71154
      60	NGC 2410     	Sb 	 64	 34	 0.71	76	21	37	 1.8	4638	 5.487	 0.018	 0.016	 0.205	 0.010	 0.012	2	Simbad	113.75941	+32.82216
      61	NGC 2449     	Sab	 66	134	 0.56	66	16	33	 2.1	4842	 4.078	 0.014	 0.011	-0.095	 0.013	 0.018	0	Simbad	116.83456	+26.93016
      62	NGC 2476     	E6 	 51	140	 0.28	51	 9	22	 2.4	3628	 4.097	 0.026	 0.023	 0.398	 0.009	 0.021	2	Simbad	119.18828	+39.92788
      63	NGC 2481     	S0 	 29	 20	 0.50	74	 9	34	 3.8	2147	 4.241	 0.016	 0.013	 0.447	 0.004	 0.035	2	Simbad	119.30718	+23.76769
      64	NGC 2486     	Sab	 63	 93	 0.42	56	15	29	 1.9	4602	 5.837	 0.034	 0.032	-0.019	 0.028	 0.031	1	Simbad	119.48537	+25.16088
      65	NGC 2553     	Sb 	 64	 65	 0.46	61	 9	19	 2.1	4622	 7.403	 0.035	 0.035	-0.264	 0.017	 0.016	2	Simbad	124.39598	+20.90323
      66	NGC 2554     	S0a	 56	146	 0.35	49	19	38	 2.0	4064	 5.097	 0.013	 0.010	-0.029	 0.006	 0.008	3	Simbad	124.47282	+23.47211
      67	NGC 2592     	E4 	 26	 49	 0.20	51	 9	28	 3.1	1937	 6.868	 0.013	 0.013	-0.029	 0.006	 0.007	2	Simbad	126.78355	+25.97031
      68	NGC 2604     	Sd 	 28	179	 0.08	22	26	36	 1.4	2048	 4.619	 0.047	 0.044	 0.552	 0.024	 0.034	0	Simbad	128.34607	+29.53862
      69	NGC 2639     	Sa 	 46	128	 0.38	61	17	38	 2.2	3149	 4.334	 0.011	 0.023	 0.579	 0.003	 0.020	2	Simbad	130.90872	+50.20554
      70	NGC 2730     	Scd	 51	 77	 0.23	49	24	39	 1.6	3762	 4.926	 0.045	 0.031	 0.377	 0.015	 0.021	0	Simbad	135.56600	+16.83820
      71	NGC 2880     	E7 	 22	140	 0.36	54	18	36	 2.0	1553	 4.365	 0.010	 0.008	 0.032	 0.006	 0.008	1	Simbad	142.39424	+62.49062
      72	NGC 2906     	Sbc	 28	 81	 0.45	58	19	33	 1.7	2110	 5.364	 0.021	 0.018	 0.390	 0.010	 0.014	1	Simbad	143.02603	+08.44191
      73	NGC 2916     	Sbc	 50	 18	 0.36	56	26	40	 1.5	3678	 4.480	 0.010	 0.009	-0.403	 0.022	 0.019	1	Simbad	143.73997	+21.70526
      74	NGC 2918     	E6 	 93	 74	 0.34	53	12	28	 2.3	6653	 6.008	 0.018	 0.015	 0.424	 0.003	 0.006	2	Simbad	143.93347	+31.70541
      75	NGC 3057     	Sdm	 23	191	 0.38	81	32	34	 1.1	1508	 6.614	 0.107	 0.101	-0.307	 0.036	 0.046	0	Simbad	151.41377	+80.28567
      76	NGC 3106     	Sab	 84	169	 0.01	25	21	32	 1.5	6111	 4.023	 0.014	 0.014	 0.017	 0.033	 0.034	1	Simbad	151.02188	+31.18546
      77	NGC 3160     	Sab	 95	148	 0.68	75	15	36	 2.4	6777	 8.517	 0.039	 0.046	 0.488	 0.007	 0.010	2	Simbad	153.47964	+38.84293
      78	NGC 3300     	S0a	 41	174	 0.45	59	13	32	 2.5	2989	 4.728	 0.021	 0.013	 0.027	 0.010	 0.014	2	Simbad	159.16014	+14.17154
      79	NGC 3381     	Sd 	 22	 54	 0.13	63	24	42	 1.8	1594	 2.305	 0.034	 0.027	 0.350	 0.010	 0.012	0	Simbad	162.10333	+34.71141
      80	NGC 3615     	E5 	 91	 42	 0.40	53	15	18	 1.2	6581	 5.669	 0.039	 0.028	 0.572	 0.006	 0.013	3	Simbad	169.52775	+23.39728
      81	NGC 3811     	Sbc	 43	174	 0.29	48	21	39	 1.9	3064	 3.817	 0.014	 0.012	 0.120	 0.013	 0.013	1	Simbad	175.31940	+47.69073
      82	NGC 3815     	Sbc	 50	 65	 0.57	71	14	34	 2.4	3655	 5.177	 0.021	 0.019	 0.257	 0.007	 0.009	0	Simbad	175.41379	+24.80053
      83	NGC 3994     	Sbc	 42	  8	 0.44	68	 9	26	 2.9	3115	 5.358	 0.034	 0.027	 0.441	 0.006	 0.010	2	Simbad	179.40361	+32.27762
      84	NGC 4003     	S0a	 89	159	 0.36	64	14	22	 1.6	6499	 4.037	 0.025	 0.021	 0.557	 0.008	 0.031	1	Simbad	179.49593	+23.12488
      85	NGC 4047     	Sbc	 48	 97	 0.19	38	16	33	 2.1	3381	 3.801	 0.025	 0.017	 0.699	 0.006	 0.019	2	Simbad	180.71120	+48.63621
      86	NGC 4149     	Sa 	 43	 84	 0.73	81	18	36	 2.0	3030	 6.325	 0.033	 0.029	 0.405	 0.010	 0.017	0	Simbad	182.63689	+58.30382
      87	NGC 4185     	Sbc	 53	164	 0.34	52	30	38	 1.3	3831	 5.304	 0.033	 0.020	 0.398	 0.009	 0.016	0	Simbad	183.34253	+28.51092
      88	NGC 4210     	Sb 	 39	 95	 0.26	43	21	36	 1.7	2694	 4.544	 0.016	 0.014	-0.447	 0.044	 0.046	0	Simbad	183.81603	+65.98530
      89	NGC 4470     	Sc 	 31	  1	 0.32	71	15	33	 2.2	2309	 1.636	 0.024	 0.015	 0.001	 0.019	 0.021	0	Simbad	187.40753	+07.82425
      90	NGC 4644     	Sb 	 69	 56	 0.67	76	12	29	 2.4	4933	 6.180	 0.021	 0.021	-0.680	 0.037	 0.033	0	Simbad	190.67771	+55.14554
      91	NGC 4711     	Sbc	 56	 42	 0.47	67	17	33	 1.9	4027	 4.202	 0.019	 0.018	 0.128	 0.010	 0.014	0	Simbad	192.19109	+35.33275
      92	NGC 4816     	E1 	 95	 79	 0.27	52	30	30	 1.0	6813	 9.178	 0.024	 0.024	 0.430	 0.004	 0.004	3	Simbad	194.05057	+27.74557
      93	NGC 4956     	E1 	 66	 38	 0.12	30	 9	21	 2.3	4683	 2.730	 0.011	 0.009	-0.138	 0.025	 0.024	2	Simbad	196.25394	+35.17804
      94	NGC 4961     	Scd	 35	100	 0.33	49	15	33	 2.2	2549	 5.201	 0.036	 0.035	 0.632	 0.007	 0.010	0	Simbad	196.44824	+27.73423
      95	NGC 5000     	Sbc	 77	115	 0.29	63	16	30	 1.9	5586	 2.499	 0.015	 0.014	 0.365	 0.008	 0.012	0	Simbad	197.44772	+28.90696
      96	NGC 5029     	E6 	121	146	 0.37	51	25	28	 1.1	8563	 9.458	 0.026	 0.025	 0.326	 0.005	 0.005	3	Simbad	198.15663	+47.06329
      97	NGC 5056     	Sc 	 77	181	 0.48	63	15	38	 2.5	5534	 4.376	 0.016	 0.012	-0.182	 0.017	 0.019	0	Simbad	199.05137	+30.95030
      98	NGC 5218     	Sab	 42	 95	 0.33	57	18	36	 2.0	2906	 4.542	 0.042	 0.018	 0.768	 0.002	 0.006	2	Simbad	203.04345	+62.76781
      99	NGC 5378     	Sb 	 43	 77	 0.25	42	24	34	 1.4	2925	 5.601	 0.028	 0.025	 0.612	 0.004	 0.013	1	Simbad	209.21259	+37.79723
     100	NGC 5480     	Scd	 27	186	 0.19	46	25	41	 1.6	1906	 2.780	 0.025	 0.018	 0.430	 0.014	 0.022	0	Simbad	211.58967	+50.72500
     101	NGC 5485     	E5 	 28	171	 0.24	45	31	38	 1.2	1902	 6.688	 0.017	 0.019	 0.522	 0.003	 0.010	3	Simbad	211.79713	+55.00152
     102	NGC 5520     	Sbc	 27	 64	 0.50	61	12	34	 2.8	1879	 4.934	 0.023	 0.019	 0.330	 0.009	 0.014	0	Simbad	213.09502	+50.34846
     103	NGC 5614     	Sa 	 54	133	 0.19	36	18	35	 1.9	3818	 3.792	 0.015	 0.013	 0.008	 0.013	 0.012	2	Simbad	216.03163	+34.85889
     104	NGC 5630     	Sdm	 38	 93	 0.66	75	22	38	 1.7	2642	 5.805	 0.043	 0.038	 0.198	 0.023	 0.026	0	Simbad	216.90242	+41.25782
     105	NGC 5633     	Sbc	 34	193	 0.33	49	13	35	 2.7	2333	 3.157	 0.021	 0.027	 0.596	 0.010	 0.084	0	Simbad	216.86817	+46.14653
     106	NGC 5657     	Sbc	 54	165	 0.62	71	10	39	 3.9	3881	 4.961	 0.017	 0.016	-0.177	 0.014	 0.014	2	Simbad	217.68184	+29.18064
     107	NGC 5682     	Scd	 33	129	 0.65	77	26	38	 1.5	2278	13.554	 0.158	 0.142	 0.501	 0.014	 0.020	0	Simbad	218.68735	+48.67026
     108	NGC 5720     	Sbc	108	131	 0.31	49	16	27	 1.7	7687	 5.211	 0.017	 0.019	 0.059	 0.011	 0.013	1	Simbad	219.63868	+50.81525
     109	NGC 5732     	Sbc	 53	 39	 0.47	60	14	32	 2.3	3768	 5.972	 0.064	 0.055	 0.317	 0.017	 0.020	0	Simbad	220.16247	+38.63769
     110	NGC 5784     	S0 	 75	190	 0.31	59	13	29	 2.2	5418	 6.000	 0.013	 0.011	-0.035	 0.004	 0.005	2	Simbad	223.56857	+42.55777
