#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/927/44/table4&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19270044
#Name: J/ApJ/927/44
#Title: ELVES II: early-type satellites phot. & GC data (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/927/44	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...927...44C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/927/44	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19270044	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_927_44_table4:
#Name: J/ApJ/927/44/table4
#Title: Dwarf photometry and globular cluster (GC) results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Satellite name	[ucd=meta.id;meta.main]
#Column	Host	(A8)	Host galaxy name	[ucd=meta.id.parent]
#Column	Dist	(F5.2)	[0/11.9] Host distance	[ucd=pos.distance;pos.heliocentric]
#Column	logM	(F5.2)	[5.58/8.47] Log of dwarf's stellar mass	[ucd=phys.mass]
#Column	Ngc	(F4.1)	[-6.5/16.2]? GC abundance from the simple background-subtraction analysis	[ucd=phys.abund]
#Column	e_Ngc	(F4.1)	[0/14.1]? Lower uncertainty on Ngc	[ucd=stat.error;stat.min;phys.abund]
#Column	E_Ngc	(F4.1)	[0/6.6]? Upper uncertainty on Ngc	[ucd=stat.error;stat.max;phys.abund]
#Column	Filt	(A2)	Filter combination (g/r or g/i)	[ucd=meta.id;instr.filter]
#Column	Source	(A6)	Source of data (CFHT/MegaCam, DECaLS...)	[ucd=meta.id;instr]
#Column	papI	(I3)	Display data from Paper I (Carlsten+ 2022, J/ApJ/933/47)	[ucd=meta.ref.url]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Carlsten+ 2022, J/ApJ/933/47 (Paper I) or from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
recno	Name	Host	Dist	logM	Ngc	e_Ngc	E_Ngc	Filt	Source	papI	SimbadName	_RA	_DE
      20	dw0933p2030   	NGC 2903	 9.00	 6.99	 0.0	 1.9	 0.0	gr	DECaLS	  1	[CGG2021] dw0933p2030   	143.30690	+20.51520
      21	dw0932p1952   	NGC 2903	 9.00	 6.44	 0.0	 0.0	 0.0	gr	DECaLS	  1	[CGG2021] dw0932p1952   	143.09910	+19.87540
      22	dw1300p1843   	NGC 4826	 5.30	 6.62	 0.0	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1300p1843   	195.12950	+18.71770
      23	dw1302p2159   	NGC 4826	 5.30	 7.10	 0.0	 1.6	 0.0	gr	DECaLS	  0	[CGG2021] dw1302p2159   	195.67446	+21.99739
      24	dw1252p2215   	NGC 4826	 5.30	 5.68	 0.0	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw1252p2215   	193.02370	+22.26540
      25	dw1258p2329   	NGC 4826	 5.30	 5.83	 0.0	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1258p2329   	194.71390	+23.48990
      26	dw0221p4221   	NGC 891 	 9.12	 7.11	 0.0	 1.6	 1.6	gr	CFHT  	  1	[CGG2021] dw0221p4221   	035.30100	+42.36400
      27	dw0222p4242   	NGC 891 	 9.12	 6.96	-6.5	 4.8	 3.3	gr	CFHT  	  1	[CGG2021] dw0222p4242   	035.72980	+42.71230
      28	dw1232p0015   	NGC 4517	 8.34	 7.03	 0.0	 1.6	 0.0	gi	HSC   	  1	[CGG2021] dw1232p0015   	188.15050	+00.26250
      29	dw1238m0035   	NGC 4517	 8.34	 6.13	 0.0	 0.0	 0.0	gi	HSC   	  1	[CGG2021] dw1238m0035   	189.70510	-00.59780
      30	dw1238p0028   	NGC 4517	 8.34	 6.00	 0.0	 1.6	 0.0	gi	HSC   	  1	[CGG2021] dw1238p0028   	189.55860	+00.47710
      31	dw1238m0105   	NGC 4517	 8.34	 5.65	 0.0	 0.0	 0.0	gi	HSC   	  1	[CGG2021] dw1238m0105   	189.70860	-01.08680
      32	dw1907m6342   	NGC 6744	 8.95	 6.71	 1.8	 3.3	 1.8	gi	DECam 	  1	[CGG2021] dw1907m6342   	286.84390	-63.70640
      33	dw1906m6357   	NGC 6744	 8.95	 7.46	10.5	 3.5	 3.5	gi	DECam 	  1	[CGG2021] dw1906m6357   	286.74150	-63.96360
      34	dw1913m6154   	NGC 6744	 8.95	 7.50	 3.4	 3.4	 3.4	gi	DECam 	  0	[CGG2021] dw1913m6154   	         	
      35	dw1905m6316   	NGC 6744	 8.95	 6.69	 1.7	 3.5	 1.7	gi	DECam 	  1	[CGG2021] dw1905m6316   	286.48310	-63.27210
      36	dw1310p4153   	NGC 5055	 8.87	 6.48	 0.0	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1310p4153   	197.67430	+41.89080
      37	dw1312p4158   	NGC 5055	 8.87	 6.23	 0.0	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1312p4158   	198.07720	+41.97550
      38	dw1312p4147   	NGC 5055	 8.87	 8.10	 9.7	 4.8	 3.2	gr	DECaLS	  0	[CGG2021] dw1312p4147   	198.24538	+41.78558
      39	dw1313p4202   	NGC 5055	 8.87	 6.87	-1.7	 1.7	 1.7	gr	DECaLS	  1	[CGG2021] dw1313p4202   	198.41610	+42.04310
      40	dw1315p4123   	NGC 5055	 8.87	 5.74	 0.0	 1.7	 0.0	gr	DECaLS	  1	[CGG2021] dw1315p4123   	198.81580	+41.39670
      41	dw1315p4130   	NGC 5055	 8.87	 6.92	-1.8	 1.8	 2.5	gr	DECaLS	  1	[CGG2021] dw1315p4130   	198.87420	+41.50220
      42	dw1321p4226   	NGC 5055	 8.87	 6.06	 0.0	 0.0	 0.0	gr	DECaLS	  1	[CGG2021] dw1321p4226   	200.37080	+42.43340
      43	Sgr           	MW      	 0.00	 8.12	 2.0	 0.0	 0.0	  	      	  0	NAME Sgr dSph           	283.82917	-30.54528
      44	Fnx           	MW      	 0.00	 7.50	 4.0	 0.0	 0.0	  	      	  0	NAME Fornax dSph        	039.99708	-34.44917
      45	Leo1          	MW      	 0.00	 6.78	 0.0	 0.0	 0.0	  	      	  0	NAME Leo I dSph         	152.11717	+12.30650
      46	Scl           	MW      	 0.00	 6.36	 0.0	 0.0	 0.0	  	      	  0	NAME Sculptor dSph      	015.03917	-33.70889
      47	Leo2          	MW      	 0.00	 5.89	 0.0	 0.0	 0.0	  	      	  0	NAME Leo II dSph        	168.36721	+22.15281
      48	Umi           	MW      	 0.00	 5.58	 0.0	 0.0	 0.0	  	      	  0	NAME UMi dSph           	227.28333	+67.22250
      49	Car           	MW      	 0.00	 5.76	 0.0	 0.0	 0.0	  	      	  0	NAME Carina dSph        	100.40292	-50.96611
      50	NGC 147       	M31     	 0.78	 8.01	 7.0	 0.0	 0.0	  	      	  0	NGC 147                 	008.30050	+48.50874
      51	NGC 185       	M31     	 0.78	 8.05	 4.0	 0.0	 0.0	  	      	  0	NGC 185                 	009.74142	+48.33751
      52	AndI          	M31     	 0.78	 6.81	 0.0	 0.0	 0.0	  	      	  0	AndI                    	011.41583	+38.04111
      53	AndIII        	M31     	 0.78	 6.08	 0.0	 0.0	 0.0	  	      	  0	AndIII                  	008.89083	+36.49778
      54	AndV          	M31     	 0.78	 5.81	 0.0	 0.0	 0.0	  	      	  0	AndV                    	017.57125	+47.62806
      55	AndXXXII      	M31     	 0.78	 6.98	 0.0	 0.0	 0.0	  	      	  0	AndXXXII                	008.99750	+51.55972
      56	AndXV         	M31     	 0.78	 5.74	 0.0	 0.0	 0.0	  	      	  0	AndXV                   	018.57792	+38.11750
      57	AndII         	M31     	 0.78	 7.12	 0.0	 0.0	 0.0	  	      	  0	AndII                   	019.12417	+33.41917
      58	AndVII        	M31     	 0.78	 7.39	 0.0	 0.0	 0.0	  	      	  0	AndVII                  	351.62917	+50.67583
      59	AndXXXI       	M31     	 0.78	 6.74	 0.0	 0.0	 0.0	  	      	  0	AndXXXI                 	344.56792	+41.29111
      60	AndVI         	M31     	 0.78	 6.64	 0.0	 0.0	 0.0	  	      	  0	AndVI                   	357.94292	+24.58250
      61	dw0133p1543   	NGC 628 	 9.77	 6.22	 0.0	 0.0	 0.0	gr	DECaLS	  1	[CGG2021] dw0133p1543   	023.48420	+15.73140
      62	dw0134p1544   	NGC 628 	 9.77	 7.07	 0.0	 3.7	 1.9	gr	DECaLS	  1	[CGG2021] dw0134p1544   	023.55370	+15.74630
      63	dw0136p1628   	NGC 628 	 9.77	 7.10	 0.0	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw0136p1628   	024.08420	+16.47010
      64	dw0137p1537   	NGC 628 	 9.77	 7.17	 0.0	 1.7	 0.0	gr	DECaLS	  1	[CGG2021] dw0137p1537   	024.32360	+15.63290
      65	dw0137p1607   	NGC 628 	 9.77	 6.24	 0.0	 1.6	 0.0	gr	DECaLS	  1	[CGG2021] dw0137p1607   	024.41560	+16.13200
      66	KDG61         	M81     	 3.61	 7.51	-0.8	 2.3	 2.3	gr	DECaLS	  0	K68 61                  	149.26125	+68.59167
      67	BK5N          	M81     	 3.61	 6.65	 0.8	 2.4	 0.8	gr	DECaLS	  1	BK 5N                   	151.16790	+68.25560
      68	IKN           	M81     	 3.61	 7.67	 1.6	 1.6	 4.2	gr	DECaLS	  1	NAME IKN                	152.02460	+68.39920
      69	Fm1           	M81     	 3.61	 7.17	-2.3	 2.3	 0.8	gr	DECaLS	  0	NAME F6D1               	146.29167	+68.76500
      70	KDG64         	M81     	 3.61	 7.60	-3.1	 3.1	 1.6	gr	DECaLS	  0	K68 64                  	151.75792	+67.82750
      71	F8D1          	M81     	 3.61	 6.73	 0.0	 3.2	 1.6	gr	DECaLS	  0	NAME F8D1               	146.19625	+67.43861
      72	KK77          	M81     	 3.61	 7.63	 4.6	 4.1	 1.0	gr	DECaLS	  1	[KK98a] 77              	147.54170	+67.50670
      73	D1006p67      	M81     	 3.61	 5.69	 0.0	 1.5	 0.0	gr	DECaLS	  0	[CKT2009] dJ1006+67     	151.69250	+67.20111
      74	KDG63         	M81     	 3.61	 7.51	 4.7	 3.1	 0.2	gr	DECaLS	  0	K68 63                  	151.27667	+66.55889
      75	DDO78         	M81     	 3.61	 7.89	-4.8	 3.9	 4.8	gr	DECaLS	  0	DDO 78                  	156.61625	+67.65667
      76	HS117         	M81     	 3.61	 6.82	 0.0	 1.6	 1.6	gr	DECaLS	  1	[LSK86] 117             	155.35500	+71.11610
      77	D0944p71      	M81     	 3.61	 7.18	-1.6	 1.6	 1.6	gr	DECaLS	  0	[CKT2009] dJ0944+71     	146.14333	+71.48250
      78	BK6N          	M81     	 3.61	 6.70	-3.1	 1.6	 3.1	gr	DECaLS	  0	BK 6N                   	158.63292	+66.01167
      79	D0934p70      	M81     	 3.61	 6.03	-1.6	 1.6	 1.6	gr	DECaLS	  0	[CKT2009] dJ0934+70     	143.51542	+70.21583
      80	dw1237m1125   	M104    	 9.55	 6.77	 0.0	 1.7	 0.0	gi	CFHT  	  1	[CGG2021] dw1237m1125   	189.29850	-11.43320
      81	dw1239m1159   	M104    	 9.55	 6.08	-1.6	 1.6	 1.6	gi	CFHT  	  1	[CGG2021] dw1239m1159   	189.78770	-11.98670
      82	dw1239m1143   	M104    	 9.55	 7.56	 1.6	 1.8	 1.6	gi	CFHT  	  1	[CGG2021] dw1239m1143   	189.81360	-11.71890
      83	dw1239m1113   	M104    	 9.55	 6.88	 0.0	 3.2	 0.0	gi	CFHT  	  1	[CGG2021] dw1239m1113   	189.88660	-11.22680
      84	dw1239m1120   	M104    	 9.55	 6.07	 0.0	 1.6	 0.0	gi	CFHT  	  1	[CGG2021] dw1239m1120   	189.96450	-11.34130
      85	dw1239m1144   	M104    	 9.55	 7.06	 3.1	 7.9	 3.1	gi	CFHT  	  1	[CGG2021] dw1239m1144   	189.97870	-11.74600
      86	dw1240m1118   	M104    	 9.55	 7.80	-0.8	 2.4	 2.4	gi	CFHT  	  1	[CGG2021] dw1240m1118   	190.03920	-11.31390
      87	dw1240m1140   	M104    	 9.55	 6.92	    	    	    	gi	CFHT  	  1	[CGG2021] dw1240m1140   	190.07330	-11.67930
      88	dw1241m1131   	M104    	 9.55	 6.04	 0.0	 1.7	 0.0	gi	CFHT  	  1	[CGG2021] dw1241m1131   	190.26170	-11.52880
      89	dw1241m1153   	M104    	 9.55	 6.71	 1.6	 1.6	 1.0	gi	CFHT  	  1	[CGG2021] dw1241m1153   	190.30020	-11.89160
      90	dw1241m1155   	M104    	 9.55	 7.13	-3.1	 1.6	 3.1	gi	CFHT  	  1	[CGG2021] dw1241m1155   	190.32810	-11.92540
      91	dw0233p3852   	NGC 1023	10.40	 6.49	 2.5	 2.5	 4.1	gi	CFHT  	  0	[CGG2021] dw0233p3852   	038.42792	+38.87222
      92	dw0237p3836   	NGC 1023	10.40	 6.74	 0.0	 1.6	 1.6	gi	CFHT  	  1	[CGG2021] dw0237p3836   	039.41440	+38.60030
      93	dw0239p3926   	NGC 1023	10.40	 6.72	-0.8	 2.5	 2.4	gi	CFHT  	  1	[CGG2021] dw0239p3926   	039.83250	+39.43390
      94	dw0239p3903   	NGC 1023	10.40	 5.68	 0.0	 1.6	 0.0	gi	CFHT  	  1	[CGG2021] dw0239p3903   	039.84320	+39.05540
      95	dw0239p3902   	NGC 1023	10.40	 6.02	 0.0	 1.6	 0.0	gi	CFHT  	  1	[CGG2021] dw0239p3902   	039.94600	+39.04730
      96	CenA-mm-dw1   	NGC 5128	 3.66	 7.36	    	    	    	gr	DECam 	  0	[CSC2014] CenA-MM-Dw1   	202.55833	-41.89333
      97	CenA-mm-dw2   	NGC 5128	 3.66	 6.35	    	    	    	gr	DECam 	  0	[CSC2014] CenA-MM-Dw2   	202.48892	-41.87294
      98	CenA-mm-dw4   	NGC 5128	 3.66	 6.19	    	    	    	gr	DECam 	  0	[CSC2014] CenA-MM-Dw4   	200.75833	-41.78611
      99	CenA-mm-dw8   	NGC 5128	 3.66	 6.58	    	    	    	gr	DECam 	  0	[CSC2014] CenA-MM-Dw8   	203.39167	-41.60778
     100	CenA-mm-dw11  	NGC 5128	 3.66	 5.87	    	    	    	gr	DECam 	  0	[CSC2014] CenA-MM-Dw11  	200.41708	-43.08250
     101	dw1323-40B    	NGC 5128	 3.66	 6.02	    	    	    	gr	DECam 	  0	[MJB2015] dw1323-40b    	200.97917	-40.83583
     102	dw1323-40     	NGC 5128	 3.66	 6.23	    	    	    	gr	DECam 	  1	[MJB2015] dw1323-40     	201.24210	-40.76220
     103	dw1342-43     	NGC 5128	 3.66	 6.21	    	    	    	gr	DECam 	  0	[MJB2015] dw1342-43     	205.68333	-43.25528
     104	ESO269-066    	NGC 5128	 3.66	 8.00	    	    	    	gr	DECam 	  1	ESO269-066              	198.28750	-44.89000
     105	KK189         	NGC 5128	 3.66	 6.82	    	    	    	gr	DECam 	  1	[KK98a] 189             	198.18750	-41.83190
     106	KK197         	NGC 5128	 3.66	 7.96	    	    	    	gr	DECam 	  1	[KK98a] 197             	200.50420	-42.53560
     107	KK213         	NGC 5128	 3.66	 6.51	    	    	    	gr	DECam 	  0	[KK98a] 213             	205.90000	-43.76972
     108	KKS55         	NGC 5128	 3.66	 7.14	    	    	    	gr	DECam 	  1	[KK2000b] 55            	200.55000	-42.73080
     109	dw1335-29     	NGC 5236	 4.70	 5.88	    	    	    	gr	DECam 	  1	[MJB2015] dw1335-29     	203.94170	-29.70670
     110	dw1340-30     	NGC 5236	 4.70	 6.22	    	    	    	gi	DECam 	  1	[MJB2015] dw1340-30     	205.07920	-30.35970
     111	KK208         	NGC 5236	 4.70	 7.50	    	    	    	gr	DECam 	  1	[KK98a] 208             	204.15000	-29.57080
     112	KK218         	NGC 5236	 4.70	 6.76	    	    	    	gr	DECam 	  1	[KK98a] 218             	206.66670	-29.97810
     113	dw1122p1326   	NGC 3627	10.50	 8.47	16.2	 3.2	 1.6	gr	DECaLS	  0	[CGG2021] dw1122p1326   	170.72997	+13.44073
     114	dw1122p1258   	NGC 3627	10.50	 7.52	 0.0	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1122p1258   	170.60020	+12.97950
     115	dw1119p1419   	NGC 3627	10.50	 7.59	11.9	 4.4	 3.4	gr	DECaLS	  1	[CGG2021] dw1119p1419   	169.80290	+14.32720
     116	dw1119p1404   	NGC 3627	10.50	 7.68	14.4	 1.7	 1.6	gi	HSC   	  1	[CGG2021] dw1119p1404   	169.83970	+14.07550
     117	dw1118p1233   	NGC 3627	10.50	 7.49	-1.6	 1.6	 1.6	gr	DECaLS	  1	[CGG2021] dw1118p1233   	169.67590	+12.56140
     118	dw1120p1332   	NGC 3627	10.50	 7.38	-4.7	14.1	 6.6	gi	HSC   	  1	[CGG2021] dw1120p1332   	170.06660	+13.54880
     119	dw1118p1348   	NGC 3627	10.50	 6.40	 0.0	 3.2	 1.6	gi	HSC   	  1	[CGG2021] dw1118p1348   	169.72340	+13.80540
     120	dw1121p1326   	NGC 3627	10.50	 6.67	 1.6	 3.2	 1.6	gi	HSC   	  1	[CGG2021] dw1121p1326   	170.40370	+13.44710
     121	dw1050p1316   	NGC 3379	10.70	 8.38	15.5	 5.0	 3.4	gr	DECaLS	  0	[CGG2021] dw1050p1316   	162.57900	+13.27186
     122	dw1048p1408   	NGC 3379	10.70	 8.30	 6.8	 3.4	 1.7	gr	DECaLS	  0	[CGG2021] dw1048p1408   	162.22397	+14.12452
     123	dw1052p1102   	NGC 3379	10.70	 8.05	 1.6	 3.3	 1.6	gr	DECaLS	  1	[CGG2021] dw1052p1102   	163.08120	+11.04330
     124	dw1051p1250   	NGC 3379	10.70	 7.86	 4.9	 3.3	 3.3	gr	DECaLS	  1	[CGG2021] dw1051p1250   	162.83780	+12.84900
     125	dw1044p1356   	NGC 3379	10.70	 7.72	 3.2	 4.7	 3.2	gi	HSC   	  1	[CGG2021] dw1044p1356   	161.14710	+13.93960
     126	dw1051p1320   	NGC 3379	10.70	 7.87	 3.4	 3.4	 5.1	gr	DECaLS	  1	[CGG2021] dw1051p1320   	162.75630	+13.33360
     127	dw1046p1219   	NGC 3379	10.70	 7.66	 3.1	 3.1	 1.6	gi	HSC   	  1	[CGG2021] dw1046p1219   	161.67220	+12.32700
     128	dw1052p1501   	NGC 3379	10.70	 7.64	 0.0	 1.7	 0.0	gr	DECaLS	  0	[CGG2021] dw1052p1501   	         	
     129	dw1050p1221   	NGC 3379	10.70	 7.21	 3.2	 4.7	 1.6	gi	HSC   	  1	[CGG2021] dw1050p1221   	162.61320	+12.35980
     130	dw1042p1208   	NGC 3379	10.70	 7.59	 0.0	 3.4	 3.4	gr	DECaLS	  1	[CGG2021] dw1042p1208   	160.64310	+12.15090
     131	dw1046p1401   	NGC 3379	10.70	 7.51	 5.1	 3.4	 1.7	gr	DECaLS	  1	[CGG2021] dw1046p1401   	161.60270	+14.02420
     132	dw1046p1259   	NGC 3379	10.70	 7.22	 1.6	 1.6	 3.2	gi	HSC   	  1	[CGG2021] dw1046p1259   	161.73930	+12.99840
     133	dw1051p1406   	NGC 3379	10.70	 7.26	 1.8	 1.8	 0.0	gr	DECaLS	  1	[CGG2021] dw1051p1406   	162.88070	+14.11490
     134	dw1055p1220   	NGC 3379	10.70	 7.38	 7.8	 3.9	 2.0	gr	DECaLS	  0	[CGG2021] dw1055p1220   	         	
     135	dw1046p1145   	NGC 3379	10.70	 6.83	-1.6	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1046p1145   	161.62600	+11.75570
     136	dw1047p1248   	NGC 3379	10.70	 6.45	 4.8	 3.2	 1.6	gi	HSC   	  1	[CGG2021] dw1047p1248   	161.80510	+12.80220
     137	dw1046p1247   	NGC 3379	10.70	 6.99	 0.0	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1046p1247   	161.72750	+12.78860
     138	dw1046p1257   	NGC 3379	10.70	 6.80	 1.6	 1.6	 1.6	gi	HSC   	  1	[CGG2021] dw1046p1257   	161.55900	+12.96060
