#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/485/4726&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74854726
#Name: J/MNRAS/485/4726
#Title: An all-sky view of the Orphan Stream (Koposov+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/485/4726	    IVOID of underlying data collection
#INFO	creator=Koposov S.E.	    First author or institution
#INFO	cites=bibcode:2019MNRAS.485.4726K	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/485/4726	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74854726	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_MNRAS_485_4726_table15:
#Name: J/MNRAS/485/4726/table15
#Title: Subset of the likely Orphan RRL selected (Table 1 and 5)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	RA_ICRS	(F9.5)	Right ascension (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F9.5)	Declination (ICRS) at Ep=2015.5 (1)	[ucd=pos.eq.dec;meta.main]
#Column	EBV	(F8.5)	Colour excess E(B-V)	[ucd=phot.color.excess]
#Column	pmRA	(F8.5)	Proper motion in right ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F8.5)	Error on pmRA (1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F8.5)	Proper motion in declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F8.5)	Error on pmDE (1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDEcor	(F8.5)	Correlation between proper motion in right ascension and in declination (1)	[ucd=stat.correlation]
#Column	Gmag	(F8.5)	Gaia DR2 G-band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F8.5)	Gaia DR2 BP-RP colour index (1)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	E(BP/RP)	(F8.5)	Gaia DR2 BP/RP excess factor (1)	[ucd=arith.factor]
#Column	Dist	(F8.5)	Heliocentric distance	[ucd=pos.distance]
#Column	GaiaDR2	(I19)	Gaia DR2 source identifier	[ucd=meta.id;meta.main]
#Column	Period	(F15.12)	? Light-curve period	[ucd=time.period]
#Column	Type	(A4)	Bailey type	[ucd=meta.code;src.var]
#Column	r_Type	(I1)	References for Type (1)	[ucd=meta.note]
#Column	Note	(a8)	Reference legend (Gaia, PS1 or ThisWork)	[ucd=meta.note]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F9.5)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F9.5)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	RA_ICRS	DE_ICRS	EBV	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDEcor	Gmag	BP-RP	E(BP/RP)	Dist	GaiaDR2	Period	Type	r_Type	Note	SimbadName	_RA.icrs	_DE.icrs
      20	167.34775	-15.07546	 0.06156	-2.28929	 0.15179	 2.06937	 0.10754	-0.06268	16.83272	 0.65361	 1.20448	16.24030	3563015842679686016	 0.574557363000	RRab	1	Gaia    	Gaia DR2 3563015842679686016	167.34776	-15.07547
      21	151.50522	+21.82554	 0.03384	-0.78582	 0.27019	-0.33367	 0.24231	-0.14232	17.91225	 0.62680	 1.22129	27.48432	 629555928290572032	 0.638744894000	RRab	2	PS1     	Gaia DR2  629555928290572032	151.50522	+21.82554
      22	142.54132	+42.57047	 0.01543	-0.22522	 0.47019	-0.98255	 0.50666	-0.45614	18.90634	 0.69670	 1.18603	44.28556	 814497323135652864	 0.649164124240	RRab	1	Gaia    	Gaia DR2  814497323135652864	142.54132	+42.57047
      23	140.12198	+54.10379	 0.03168	-0.15588	 0.35015	-1.56738	 0.31210	-0.02901	18.81611	 0.64840	 1.27610	41.76752	1023198786299871232	 0.555709072638	RRab	1	Gaia    	Gaia DR2 1023198786299871232	140.12198	+54.10380
      24	152.07167	+23.92788	 0.03057	-1.18731	 0.39252	-0.35309	 0.41098	-0.24335	18.14781	 0.50269	 1.25621	30.73858	 630417842327675776	 0.414717000000	RRc 	3	ThisWork	                            	152.07168	+23.92788
      25	164.39612	-11.11750	 0.03209	-2.11267	 0.16141	 1.51235	 0.12338	-0.11429	16.99855	 0.54504	 1.25869	18.07761	3757113798562328192	 0.523862524851	RRab	1	Gaia    	Gaia DR2 3757113798562328192	164.39613	-11.11751
      26	173.69669	-39.18555	 0.12746	-2.64258	 0.11326	 2.77581	 0.08617	 0.10446	17.07862	 0.53355	 1.21040	16.97688	5385327207462696576	 0.294440764524	RRc 	1	Gaia    	Gaia DR2 5385327207462696576	173.69670	-39.18556
      27	145.02660	+37.00932	 0.01337	-0.87904	 0.44303	-0.30132	 0.56648	-0.45360	18.55273	 0.36671	 1.22084	37.71170	 799758408422199808	 0.397279824600	RRc 	2	PS1     	Gaia DR2  799758408422199808	145.02660	+37.00932
      28	329.88286	-42.18328	 0.01459	 0.22748	 0.45898	-1.67182	 0.50341	 0.72315	18.88724	 0.52603	 1.16501	43.93671	6571622703903285504	 0.553421005413	RRab	1	Gaia    	Gaia DR2 6571622703903285504	329.88286	-42.18327
      29	247.75212	-77.75820	 0.12259	-3.87268	 0.13698	-1.35224	 0.18064	 0.11702	17.49852	 0.73981	 1.22677	20.70366	5780410292560380416	 0.283989475649	RRc 	1	Gaia    	Gaia DR2 5780410292560380416	247.75220	-77.75819
      30	247.34927	-75.09767	 0.08312	-3.82436	 0.11876	-1.49176	 0.13862	 0.08902	17.30255	 0.66369	 1.21637	19.71406	5781359514697291136	 0.658566060062	RRab	1	Gaia    	Gaia DR2 5781359514697291136	247.34933	-75.09766
      31	141.25173	+47.49112	 0.01356	-0.27824	 0.41034	-0.30729	 0.35590	-0.16343	18.96890	 0.41554	 1.20086	45.66928	 819624487591169152	 0.331421423081	RRc 	1	Gaia    	Gaia DR2  819624487591169152	141.25173	+47.49112
      32	319.78552	-59.63933	 0.03677	 0.04774	 0.24946	-2.40415	 0.30998	-0.00855	18.21809	 0.66849	 1.25276	31.54465	6453152043996824192	 0.602898801809	RRab	1	Gaia    	Gaia DR2 6453152043996824192	319.78552	-59.63932
      33	327.33970	-51.35767	 0.02268	-0.22001	 0.27348	-2.51701	 0.40315	 0.19433	18.46899	 0.64645	 1.20423	35.93378	6558596892727989120	 0.623363324684	RRab	1	Gaia    	Gaia DR2 6558596892727989120	327.33970	-51.35766
      34	320.98853	-57.71460	 0.04996	-0.00958	 0.20391	-2.74561	 0.33210	 0.04462	18.07281	 0.58117	 1.25618	29.09926	6459418126403945984	 0.642578897945	RRab	1	Gaia    	Gaia DR2 6459418126403945984	320.98853	-57.71459
      35	167.72188	-12.63235	 0.05288	-2.83128	 0.16798	 1.54463	 0.10875	 0.09172	16.75244	 0.68289	 1.22711	15.79355	3565774796527976448	 0.740523920256	RRab	1	Gaia    	Gaia DR2 3565774796527976448	167.72189	-12.63236
      36	143.84044	+47.09110	 0.01177	-0.34598	 0.41280	-0.95477	 0.45189	-0.43553	18.91636	 0.52789	 1.21139	44.66101	 824562836691917312	 0.530806041592	RRab	1	Gaia    	Gaia DR2  824562836691917312	143.84044	+47.09110
      37	147.54667	+40.74388	 0.01173	-0.82121	 0.29041	-0.48026	 0.29405	-0.41195	18.52646	 0.68678	 1.22200	37.32211	 807301298706617600	 0.742521734698	RRab	1	Gaia    	Gaia DR2  807301298706617600	147.54667	+40.74388
      38	167.13144	-14.77177	 0.05708	-2.12161	 0.19489	 1.74331	 0.12555	 0.20169	17.01696	 0.63617	 1.23812	17.76139	3563038794985305216	 0.561084000000	RRab	3	ThisWork	Gaia DR2 3563038794985305216	167.13145	-14.77178
      39	152.21651	+24.69005	 0.03879	-0.65169	 0.30962	-0.41628	 0.30570	-0.28617	18.17705	 0.62454	 1.20926	30.88879	 726584152949948544	 0.750429000000	RRab	3	ThisWork	Gaia DR2  726584152949948544	152.21651	+24.69005
      40	158.49380	+09.23573	 0.02863	-1.46321	 0.23713	 0.25771	 0.21328	-0.11484	17.40842	 0.61766	 1.30014	21.91210	3869822918754406272	 0.554092392300	RRab	2	PS1     	Gaia DR2 3869822918754406272	158.49381	+09.23573
      41	267.79230	-76.56836	 0.20055	-3.34683	 0.15823	-2.67085	 0.19433	 0.05004	17.90054	 0.83309	 1.24485	22.96462	5800846326775334400	 0.535733559570	RRab	1	Gaia    	Gaia DR2 5800846326775334400	267.79236	-76.56835
      42	331.88499	-39.41081	 0.02175	 0.14771	 0.38762	-0.96689	 0.39949	 0.62903	18.77631	 0.27912	 1.32238	41.43681	6573531627887214464	 0.555280011808	RRab	1	Gaia    	Gaia DR2 6573531627887214464	331.88499	-39.41081
      43	175.71430	-35.90597	 0.09716	-3.23593	 0.10262	 2.67912	 0.07246	 0.04288	16.72466	 0.76456	 1.19805	14.88751	3464530597611669504	 0.620135095138	RRab	1	Gaia    	Gaia DR2 3464530597611669504	175.71432	-35.90598
      44	329.59061	-50.53795	 0.02347	 0.52182	 0.25350	-2.30677	 0.39381	 0.20357	18.41985	 0.64505	 1.21255	35.10054	6558318720582370048	 0.680730294301	RRab	1	Gaia    	Gaia DR2 6558318720582370048	329.59061	-50.53794
      45	146.05782	+40.22071	 0.01816	-0.49033	 0.41206	-0.61469	 0.41288	-0.65674	18.43470	 0.59155	 1.30953	35.53812	 801408324401633664	 0.711549712809	RRab	1	Gaia    	Gaia DR2  801408324401633664	146.05782	+40.22071
      46	267.04233	-75.53590	 0.14161	-3.23888	 0.17031	-2.50422	 0.20386	-0.00273	17.69168	 0.64400	 1.20114	22.18439	5801415431419230080	 0.504211021860	RRd 	1	Gaia    	Gaia DR2 5801415431419230080	267.04239	-75.53589
      47	304.19753	-68.87835	 0.04345	-1.03127	 0.14279	-3.68942	 0.23405	 0.25562	17.86386	 0.56875	 1.25636	26.61007	6423112870930751360	 0.522206307005	RRab	1	Gaia    	Gaia DR2 6423112870930751360	304.19754	-68.87833
      48	331.52847	-40.15266	 0.01549	 0.77188	 0.39586	-1.87559	 0.47370	 0.57100	19.13544	 0.67100	 1.29555	49.21043	6573347154749453952	 0.558093618832	RRab	1	Gaia    	Gaia DR2 6573347154749453952	331.52847	-40.15265
      49	176.61156	-42.09019	 0.13042	-2.98034	 0.11445	 2.81675	 0.08204	 0.18666	17.08764	 0.63056	 1.22977	16.99494	5380847251631779840	 0.381575886107	RRc 	1	Gaia    	Gaia DR2 5380847251631779840	176.61158	-42.09020
      50	268.91128	-74.90337	 0.08591	-2.94603	 0.13392	-2.74432	 0.13482	 0.10318	17.63866	 0.77866	 1.25014	22.94710	5802903448609104256	 0.576606658669	RRab	1	Gaia    	Gaia DR2 5802903448609104256	268.91133	-74.90336
      51	145.12360	+42.05335	 0.01267	-0.10801	 0.36264	-0.88807	 0.33772	-0.38901	18.71530	 0.49231	 1.27374	40.67332	 813706568116922752	 0.382793914300	RRc 	2	PS1     	Gaia DR2  813706568116922752	145.12360	+42.05335
      52	150.54433	+24.25796	 0.03189	-0.92263	 0.30950	 0.05515	 0.27456	-0.19595	17.98927	 0.63699	 1.14281	28.53504	 642444953347420416	 0.618701330774	RRab	1	Gaia    	Gaia DR2  642444953347420416	150.54433	+24.25796
      53	327.54905	-51.23164	 0.02216	-0.13025	 0.30800	-2.40474	 0.39688	 0.29842	18.69285	 0.66321	 1.27065	39.85755	6558604486230228608	 0.567683593542	RRab	1	Gaia    	Gaia DR2 6558604486230228608	327.54905	-51.23163
      54	146.44757	+37.55324	 0.01467	-0.26625	 0.32548	-0.82152	 0.34458	-0.49336	18.66680	 0.68931	 1.32257	39.69152	 799823623206083328	 0.624025467900	RRab	2	PS1     	Gaia DR2  799823623206083328	146.44757	+37.55324
      55	148.36049	+30.02346	 0.01639	-0.51726	 0.50818	-0.69023	 0.34313	 0.27592	18.37035	 0.64395	 1.23444	34.56437	 744466232107315712	 0.591050253186	RRab	1	Gaia    	Gaia DR2  744466232107315712	148.36049	+30.02346
      56	335.81226	-34.50514	 0.02217	 0.63183	 0.60856	-0.52144	 0.64057	 0.43581	19.42708	 0.63882	 1.27840	55.89226	6599638913013339392	 0.635942883065	RRab	1	Gaia    	Gaia DR2 6599638913013339392	335.81226	-34.50514
      57	171.19013	-27.76613	 0.07364	-2.88244	 0.15070	 2.61477	 0.09628	 0.31740	16.89053	 0.59968	 1.25065	16.46925	3483495523923399296	 0.552175483617	RRab	1	Gaia    	Gaia DR2 3483495523923399296	171.19014	-27.76614
      58	327.12382	-52.00115	 0.01510	 0.31890	 0.24274	-1.95925	 0.34290	 0.22488	18.45911	 0.64171	 1.16691	36.05515	6558452822344919552	 0.596182544665	RRab	1	Gaia    	Gaia DR2 6558452822344919552	327.12382	-52.00114
      59	144.52811	+37.58107	 0.01331	-0.98668	 0.48599	-0.36530	 0.50943	-0.63679	18.83659	 0.52836	 1.23607	42.98090	 800538438905600640	 0.372234031586	RRc 	1	Gaia    	Gaia DR2  800538438905600640	144.52812	+37.58107
      60	247.54504	-76.97389	 0.12077	-4.24213	 0.14412	-1.42999	 0.18942	 0.40898	17.47683	 0.74797	 1.24071	20.53687	5780542680635866624	 0.634540234823	RRab	1	Gaia    	Gaia DR2 5780542680635866624	247.54512	-76.97388
      61	143.48258	+39.13402	 0.01535	-0.49116	 0.46944	-0.39515	 0.47327	-0.57898	18.87084	 0.59140	 1.20920	43.57103	 812926670775689984	 0.527917152350	RRab	1	Gaia    	Gaia DR2  812926670775689984	143.48258	+39.13402
      62	147.34280	+33.39162	 0.01256	-0.89009	 0.36677	-0.34943	 0.31087	-0.58053	18.61434	 0.55572	 1.36762	38.82981	 793696212405717504	 0.552315391755	RRab	1	Gaia    	Gaia DR2  793696212405717504	147.34280	+33.39162
      63	171.58361	-22.22269	 0.03415	-2.73000	 0.13841	 1.98889	 0.09074	 0.01267	16.76332	 0.61209	 1.20046	16.18672	3535318805475705728	 0.627119716092	RRab	1	Gaia    	Gaia DR2 3535318805475705728	171.58362	-22.22270
      64	320.69355	-57.23450	 0.03962	-0.04173	 0.17568	-2.20466	 0.31591	-0.01801	18.15965	 0.70201	 1.32127	30.61557	6459633390164952064	 0.600332862444	RRab	1	Gaia    	Gaia DR2 6459633390164952064	320.69355	-57.23449
      65	241.99105	-75.41771	 0.06592	-4.27061	 0.11710	-1.02270	 0.14049	 0.18789	17.47512	 0.58986	 1.19633	21.73173	5781680224196646016	 0.366052504421	RRab	1	Gaia    	Gaia DR2 5781680224196646016	241.99112	-75.41771
      66	147.19268	+37.13167	 0.01325	-0.42913	 0.45418	-0.68540	 0.40366	-0.59551	18.61864	 0.65718	 1.21236	38.87870	 799585024885253632	 0.624403693172	RRab	1	Gaia    	Gaia DR2  799585024885253632	147.19268	+37.13167
      67	169.22173	-19.06353	 0.07024	-2.46678	 0.16012	 2.11038	 0.10365	 0.13769	16.77024	 0.75561	 1.20334	15.63717	3545871608841048832	 0.653333409016	RRab	1	Gaia    	Gaia DR2 3545871608841048832	169.22174	-19.06354
      68	304.19140	-70.29200	 0.04461	-0.99156	 0.15174	-3.56114	 0.18146	-0.19560	17.77044	 0.53172	 1.31837	25.45867	6422773538450871680	 0.597720044465	RRab	1	Gaia    	Gaia DR2 6422773538450871680	304.19141	-70.29198
      69	318.52474	-62.09448	 0.03187	-0.13792	 0.14748	-2.74600	 0.26375	 0.01247	17.98571	 0.50018	 1.21791	28.48874	6451721201411909760	 0.509169686861	RRd 	1	Gaia    	Gaia DR2 6451721201411909760	318.52474	-62.09447
      70	323.55587	-53.26748	 0.01512	 0.08318	 0.24955	-1.93242	 0.32644	 0.12254	18.39423	 0.63681	 1.24282	34.99299	6465069032054917632	 0.652284663741	RRab	1	Gaia    	Gaia DR2 6465069032054917632	323.55587	-53.26747
      71	144.29504	+43.42943	 0.01380	-0.72284	 0.32795	-0.48010	 0.40038	-0.29993	18.83109	 0.45243	 1.26800	42.85010	 814812268794932608	 0.491271169451	RRd 	1	Gaia    	Gaia DR2  814812268794932608	144.29504	+43.42943
      72	150.24351	+25.82617	 0.03376	-0.69205	 0.30171	-0.60196	 0.28318	-0.25605	17.92979	 0.71392	 1.28539	27.70957	 643637614225731200	 0.708132405200	RRab	2	PS1     	Gaia DR2  643637614225731200	150.24351	+25.82617
      73	167.30176	-17.88829	 0.04026	-1.98405	 0.19484	 1.81564	 0.11483	 0.03750	16.85548	 0.50686	 1.21528	16.78096	3558990363108389760	 0.506172279690	RRd 	1	Gaia    	Gaia DR2 3558990363108389760	167.30177	-17.88830
      74	144.32147	+38.43118	 0.01414	-0.79782	 0.34867	-0.85292	 0.33079	-0.41711	18.58629	 0.65397	 1.23344	38.26816	 800813454251637888	 0.683009818964	RRab	1	Gaia    	Gaia DR2  800813454251637888	144.32147	+38.43118
      75	154.82491	+18.22602	 0.03187	-1.11772	 0.32356	 0.14551	 0.32311	-0.17144	17.86421	 0.48125	 1.32397	26.93858	 623982645584012928	 0.578446360900	RRab	2	PS1     	Gaia DR2  623982645584012928	154.82491	+18.22602
      76	148.83521	+33.38853	 0.01796	-0.51536	 0.25517	-0.61842	 0.21431	-0.35357	18.05915	 0.67577	 1.23135	29.90037	 794965598579903872	 0.711318588907	RRab	1	Gaia    	Gaia DR2  794965598579903872	148.83521	+33.38853
      77	327.50938	-51.39986	 0.02485	 0.10774	 0.28658	-1.63985	 0.39574	 0.28716	18.54388	 0.52525	 1.26186	37.11012	6558584317063723392	 0.653380924242	RRab	1	Gaia    	Gaia DR2 6558584317063723392	327.50938	-51.39985
