#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:08:59 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:08:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable2&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table2:
#Name: J/A+A/661/A7/table2
#Title: X-ray observable measurements of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID (HHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	ExtLike	(F5.1)	Extent likelihood	[ucd=stat.likelihood]
#Column	DetLike	(F6.1)	Detection likelihood	[ucd=stat.likelihood]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	R500	(F6.3)	R500	[ucd=phys.angSize;src]
#Column	T500	(F6.3)	Temperature within R500	[ucd=phys.temperature]
#Column	e_T500	(F6.3)	Minus side error bar on T500	[ucd=stat.error]
#Column	E_T500	(F6.3)	Plus side error bar on T500	[ucd=stat.error;stat.max]
#Column	l_Lx500	(A1)	Limit flag on Lx500	[ucd=meta.code.error]
#Column	Lx500	(F7.3)	Soft band lumin within R500 (in 10^42^erg/s)	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lx500	(F7.3)	? Minus side error bar on Lx500	[ucd=stat.error]
#Column	E_Lx500	(F8.3)	? Minus side error bar on Lx500	[ucd=stat.error;stat.max]
#Column	l_Lbol500	(A1)	Limit flag on Lbol500	[ucd=meta.code.error]
#Column	Lbol500	(F8.3)	Bolometric lumin within R500	[ucd=phys.luminosity]
#Column	e_Lbol500	(F8.3)	? Minus side error bar on Lbol500	[ucd=stat.error]
#Column	E_Lbol500	(F8.3)	? Plus side error bar on Lbol500	[ucd=stat.error;stat.max]
#Column	l_Mgas500	(A1)	Limit flag on Mgas500	[ucd=meta.code.error]
#Column	Mgas500	(F7.4)	Gas mass within R500	[ucd=phys.mass]
#Column	e_Mgas500	(F8.4)	? Minus side error bar on Mgas500	[ucd=stat.error]
#Column	E_Mgas500	(F8.4)	? Plus side error bar on Mgas500	[ucd=stat.error;stat.max]
#Column	l_Yx500	(A1)	Limit flag on Yx500	[ucd=meta.code.error]
#Column	Yx500	(F9.4)	Yx (gas mass times mean X-ray spectral temperature) within R500	[ucd=arith.factor;pos.distance]
#Column	e_Yx500	(F9.4)	? Minus side error bar on Yx500	[ucd=stat.error]
#Column	E_Yx500	(F9.4)	? Plus side error bar on Yx500	[ucd=stat.error;stat.max]
#Column	Tcex500	(F6.3)	Temperature within 0.15*R500-R500	[ucd=phys.temperature]
#Column	e_Tcex500	(F6.3)	Minus side error bar on Tcex500	[ucd=stat.error]
#Column	E_Tcex500	(F6.3)	Plus side error bar on Tcex500	[ucd=stat.error;stat.max]
#Column	l_Lxcex500	(A1)	Limit flag on Lxcex500	[ucd=meta.code.error]
#Column	Lxcex500	(F7.3)	Soft band lumin within 0.15*R500-R500	[ucd=phys.luminosity;em.X-ray]
#Column	e_Lxcex500	(F7.3)	? Minus side error bar on Lxcex500	[ucd=stat.error]
#Column	E_Lxcex500	(F8.3)	? Plus side error bar on Lxcex500	[ucd=stat.error;stat.max]
#Column	l_Lbolcex500	(A1)	Limit flag on Lbolcex500	[ucd=meta.code.error]
#Column	Lbolcex500	(F11.3)	Bolometric lumin within 0.15*R500-R500	[ucd=phys.luminosity]
#Column	e_Lbolcex500	(F7.2)	? Minus side error bar on Lbolcex500	[ucd=stat.error]
#Column	E_Lbolcex500	(F8.3)	? Plus side error bar on Lbolcex500	[ucd=stat.error;stat.max]
#Column	Texp	(I4)	Vignetted exposure at cluster center	[ucd=time.expo]
recno	ID	ID-SRC	RAJ2000	DEJ2000	ExtLike	DetLike	z	R500	T500	e_T500	E_T500	l_Lx500	Lx500	e_Lx500	E_Lx500	l_Lbol500	Lbol500	e_Lbol500	E_Lbol500	l_Mgas500	Mgas500	e_Mgas500	E_Mgas500	l_Yx500	Yx500	e_Yx500	E_Yx500	Tcex500	e_Tcex500	E_Tcex500	l_Lxcex500	Lxcex500	e_Lxcex500	E_Lxcex500	l_Lbolcex500	Lbolcex500	e_Lbolcex500	E_Lbolcex500	Texp
      16	083149.4+005230	 5463	127.9559	+00.8751	 13.1	  41.5	 0.398	 2.204	 1.840	 0.550	 1.750	 	 12.800	  2.700	   3.800	 	  30.900	   7.100	  10.200	 	 2.7200	  1.3500	  0.9800	<	  14.0000	         	         	 2.400	 1.200	 3.500	<	  9.300	       	        	<	     27.000	       	        	1205
      17	083153.6+012530	 2600	127.9734	+01.4253	 48.4	  94.5	 0.269	 3.209	 2.410	 0.400	 1.140	 	 25.100	  2.600	   2.900	 	  64.200	   7.400	  11.300	 	10.4000	  1.4000	  1.5000	 	  25.6000	   5.7000	  12.2000	 2.720	 0.710	 1.540	 	 17.500	  2.400	   3.200	 	     47.100	   7.50	  11.400	1207
      18	083204.4+041907	 3593	128.0185	+04.3188	 66.0	 118.6	 0.197	 4.511	 2.540	 0.360	 0.950	 	 40.900	  4.500	   3.600	 	 105.000	  12.000	  14.000	 	18.1000	  2.1000	  2.4000	 	  46.8000	   8.9000	  16.8000	 2.560	 0.620	 1.210	 	 34.700	  4.400	   3.100	 	     89.000	  13.00	  14.000	 524
      19	083228.0-000656	 7396	128.1169	-00.1157	 13.6	  42.4	 0.421	 2.026	 3.400	 1.300	 3.300	 	 18.200	  5.400	   6.400	 	  53.000	  16.000	  26.000	 	 6.7000	  2.9000	  1.8000	 	  20.9000	   9.1000	  23.5000	 3.700	 1.400	 5.800	<	 22.000	       	        	<	     82.000	       	        	1204
      20	083238.8-003200	 8565	128.1617	-00.5336	 15.8	  32.6	 0.399	 2.122	 6.200	 3.400	10.300	 	 17.000	  2.800	   3.500	 	  66.000	  20.000	  46.000	 	 7.4000	  1.4000	  1.4000	<	 200.0000	         	         	 4.000	 1.800	 5.800	 	 14.000	  3.100	   3.500	 	     44.000	  12.00	  23.000	1213
      21	083249.9+031737	10398	128.2082	+03.2939	  7.7	  29.0	 0.828	 1.363	 3.900	 2.300	10.400	<	 76.000	       	        	<	 300.000	        	        	 	 7.5000	  3.7000	  3.3000	<	 180.0000	         	         	 6.700	 3.700	14.600	<	 51.000	       	        	<	    260.000	       	        	1166
      22	083310.2+030136	15959	128.2928	+03.0269	  6.7	  18.4	 0.748	 1.376	 1.730	 0.400	 0.830	 	 39.000	 13.000	  19.000	 	  95.000	  31.000	  43.000	 	 7.4000	  2.2000	  3.0000	 	  13.1000	   4.6000	   7.8000	 1.720	 0.340	 0.640	 	 37.000	 13.000	  16.000	 	     89.000	  31.00	  38.000	1206
      23	083315.5+000623	 6869	128.3148	+00.1065	 16.5	  42.0	 0.470	 1.970	 1.030	 0.190	 0.390	 	 41.300	  8.000	   8.300	 	  82.000	  15.000	  16.000	 	10.6000	  1.8000	  2.0000	 	  10.8000	   2.7000	   5.5000	 1.190	 0.210	 0.400	 	 33.100	  7.200	   7.900	 	     68.000	  15.00	  17.000	1212
      24	083321.1+012644	 2879	128.3382	+01.4456	 18.7	  43.6	 0.566	 1.912	 8.200	 5.300	12.200	 	 65.700	  9.100	  10.900	 	 284.000	  91.000	 187.000	 	16.2000	  2.3000	  2.6000	<	 540.0000	         	         	 6.800	 3.800	11.600	 	 47.000	  8.300	   9.700	 	    190.000	  55.00	 133.000	1214
      25	083322.6-011128	 6302	128.3444	-01.1912	 11.6	  22.5	 0.288	 2.489	 2.160	 0.580	 0.930	 	 12.500	  2.700	   2.500	 	  30.900	   7.100	   7.000	 	 5.1000	  1.3000	  1.2000	 	  10.9000	   3.7000	   6.2000	 2.300	 0.700	 1.460	 	  9.000	  2.600	   2.200	 	     22.800	   6.80	   6.800	1185
      26	083330.4+050427	 2528	128.3767	+05.0744	 50.1	 122.2	 0.213	 3.476	 2.190	 0.400	 0.870	 	 17.600	  2.700	   2.800	 	  43.400	   6.800	   8.800	 	 7.8000	  1.2000	  1.4000	 	  17.4000	   4.3000	   7.7000	 2.270	 0.480	 0.930	 	 12.500	  2.100	   3.100	 	     31.400	   5.90	   9.900	 891
      27	083341.0-002943	 6767	128.4211	-00.4954	  7.2	  32.3	 0.318	 2.067	 1.610	 0.480	 1.670	<	 19.000	       	        	<	  45.000	        	        	<	 5.8000	        	        	<	  15.0000	         	         	 3.500	 2.000	 7.200	<	 12.000	       	        	<	     43.000	       	        	1187
      28	083345.8+004208	 2984	128.4409	+00.7025	 29.3	  90.5	 0.384	 2.344	 2.330	 0.490	 0.670	 	 33.600	  5.800	   5.300	 	  85.000	  16.000	  15.000	 	 9.5000	  2.5000	  2.2000	 	  21.8000	   6.8000	   9.3000	 2.350	 0.570	 1.290	 	 22.900	  5.600	   4.400	 	     58.000	  15.00	  13.000	1204
      29	083401.5-001337	 4258	128.5065	-00.2271	  8.3	  23.2	 0.314	 0.629	 7.900	 4.600	11.400	<	  6.600	       	        	<	  34.000	        	        	<	 0.7300	        	        	<	  11.0000	         	         	 6.200	 4.000	 8.100	<	  4.200	       	        	<	     20.000	       	        	1184
      30	083402.5+023437	 6409	128.5105	+02.5772	  9.2	  36.8	 0.362	 2.020	 5.000	 3.100	10.000	 	 11.600	  2.800	   2.900	 	  39.000	  13.000	  32.000	 	 2.9000	  1.0000	  1.1000	<	  76.0000	         	         	 3.200	 1.500	 6.200	 	  6.100	  3.000	   3.100	 	     18.100	   8.90	  12.300	1205
      31	083403.7+012131	 4634	128.5155	+01.3588	 15.4	  65.4	 0.671	 1.676	 4.200	 1.600	 3.600	 	 66.000	 25.000	  33.000	 	 214.000	  84.000	 125.000	<	21.0000	        	        	<	 120.0000	         	         	 7.500	 4.300	14.400	<	 78.000	       	        	<	    380.000	       	        	1207
      32	083412.7+035856	 1092	128.5530	+03.9825	 20.7	  20.6	 0.201	 2.785	 5.800	 2.400	12.100	 	  9.900	  2.000	   3.300	 	  40.000	  14.000	  33.000	 	 3.9300	  0.7800	  0.8600	 	  23.0000	  11.0000	  49.0000	 8.600	 5.000	11.500	 	  6.900	  1.500	   1.700	 	     31.000	  11.00	  22.000	1187
      33	083422.7+034537	 3240	128.5946	+03.7603	 10.0	  77.7	 0.338	 2.222	 1.500	 0.230	 0.420	 	 14.100	  2.400	   2.300	 	  31.300	   5.600	   5.500	<	 5.7000	        	        	<	  10.0000	         	         	 1.370	 0.220	 0.370	<	 10.000	       	        	<	     23.000	       	        	1193
      34	083427.0-015612	12633	128.6129	-01.9369	 13.4	  21.8	 0.573	 1.661	 6.400	 3.200	 9.900	 	 25.700	  5.800	   6.600	 	 103.000	  31.000	  69.000	 	 9.1000	  1.8000	  2.0000	<	 260.0000	         	         	 4.000	 2.100	 9.500	 	 25.000	  5.900	   6.600	 	     81.000	  21.00	  57.000	1574
      35	083431.0+034208	 8206	128.6296	+03.7023	  6.8	  18.1	 0.215	 2.188	 5.000	 3.000	12.000	 	  3.060	  0.750	   1.030	 	  11.100	   4.100	  10.000	 	 1.5900	  0.3900	  0.5000	<	  49.0000	         	         	 5.600	 3.200	14.700	 	  2.950	  0.720	   0.980	 	     11.200	   4.20	  10.700	1205
      36	083435.6+050159	 4593	128.6484	+05.0332	  7.7	  62.3	 0.091	 3.805	 2.480	 0.910	 1.280	 	  0.650	  0.300	   0.390	 	   1.660	   0.800	   1.150	<	 1.4000	        	        	<	   3.8000	         	         	 0.850	 0.150	 0.720	<	  1.600	       	        	<	      3.200	       	        	1266
      37	083457.7+052033	 9892	128.7406	+05.3425	 15.4	  19.3	 0.410	 2.103	 2.260	 0.570	 1.080	 	 13.500	  3.300	   4.000	 	  34.300	   8.800	  10.500	 	 5.4000	  1.6000	  1.5000	 	  12.0000	   4.2000	   7.3000	 3.100	 1.200	 2.800	 	  9.300	  2.600	   3.600	 	     26.900	   8.40	  13.600	 985
      38	083503.2+010756	 3874	128.7636	+01.1325	 36.9	  85.8	 0.296	 2.696	 4.200	 1.800	 8.200	 	 22.600	  2.900	   3.700	 	  74.000	  17.000	  50.000	 	 9.4000	  1.3000	  1.6000	 	  40.0000	  18.0000	  82.0000	 2.280	 0.450	 0.670	 	 18.800	  3.100	   3.300	 	     46.600	   7.60	   9.500	1188
      39	083509.0+001542	 1360	128.7876	+00.2619	 74.8	 213.1	 0.597	 2.239	 2.850	 0.630	 0.750	 	153.000	 18.000	  17.000	 	 407.000	  49.000	  48.000	 	24.1000	  3.1000	  2.6000	 	  68.0000	  15.0000	  20.0000	 2.930	 0.720	 2.930	 	106.000	 17.000	  17.000	 	    298.000	  50.00	  71.000	1192
      40	083532.5+030911	 3198	128.8858	+03.1533	 10.8	  81.0	 0.267	 2.380	 2.460	 0.670	 1.660	 	  7.800	  2.100	   1.800	 	  20.600	   5.900	   6.700	<	 4.5000	        	        	 	   6.6000	   3.2000	   5.8000	 3.000	 1.200	 6.300	<	  6.900	       	        	<	     25.000	       	        	1209
      41	083615.7+024420	12572	129.0655	+02.7390	  6.3	  18.6	 0.569	 1.514	11.100	 6.600	 9.800	 	 15.300	  5.900	   6.100	 	  77.000	  35.000	  52.000	 	 5.5000	  2.5000	  1.8000	<	 190.0000	         	         	11.200	 5.100	10.200	<	 22.000	       	        	<	    140.000	       	        	1196
      42	083626.4+043821	 5783	129.1100	+04.6394	 17.0	  51.6	 0.574	 1.832	 6.500	 3.300	12.100	 	 42.400	  9.000	  10.100	 	 172.000	  52.000	 121.000	 	 9.7000	  3.0000	  3.5000	<	 310.0000	         	         	 6.000	 2.900	14.000	 	 26.100	  8.600	  11.500	 	    104.000	  40.00	  81.000	1221
      43	083651.3+030002	  197	129.2138	+03.0006	153.5	 747.9	 0.192	 4.648	 2.560	 0.380	 0.630	 	 51.800	  2.000	   2.300	 	 133.000	   8.000	  12.000	 	16.2000	  1.3000	  1.6000	 	  41.8000	   7.0000	  10.8000	 2.320	 0.290	 0.360	 	 31.500	  1.900	   2.300	 	     79.000	   5.60	   6.800	1203
      44	083654.6+025954	16471	129.2277	+02.9984	 10.9	  14.0	 0.191	 3.550	 2.640	 0.300	 0.570	 	 49.000	  2.000	   2.200	 	 127.000	   7.000	  10.000	 	11.5000	  1.3000	  1.4000	 	  30.8000	   5.1000	   7.1000	 2.970	 0.560	 0.790	 	 33.200	  1.700	   1.900	 	     89.500	   7.00	   9.400	1197
      45	083713.3+034110	10475	129.3055	+03.6862	  6.2	  19.4	 1.000	 1.241	 2.260	 0.880	 3.960	 	 79.000	 24.000	  34.000	 	 219.000	  62.000	  78.000	 	12.2000	  3.1000	  3.2000	 	  28.0000	  11.0000	  38.0000	 2.800	 1.100	 3.000	 	 61.000	 23.000	  27.000	 	    180.000	  69.00	  69.000	1206
