#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T06:09:35 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T06:09:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F661%2FA7%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610007
#Name: J/A+A/661/A7
#Title: X-ray properties of eFEDS clusters and groups (Bahar+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a7	    IVOID of underlying data collection
#INFO	creator=Bahar Y.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...7B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A7	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610007	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A7_table1:
#Name: J/A+A/661/A7/table1
#Title: Electron density model parameters of eFEDS clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A15)	Cluster ID	[ucd=meta.id;meta.main]
#Column	ID-SRC	(I5)	Unique source ID	[ucd=meta.id]
#Column	n0	(F6.3)	n0 parameter of Vikhlinin06 model (1)	[ucd=phys.density]
#Column	e_n0	(F6.3)	Minus side error bar on n0	[ucd=stat.error]
#Column	E_n0	(F7.3)	Plus side error bar on n0	[ucd=stat.error;stat.max]
#Column	rs	(F5.1)	rs parameter of Vikhlinin06 model (1)	[ucd=phys.size.radius]
#Column	e_rs	(F5.1)	Minus side error bar on rs	[ucd=stat.error]
#Column	E_rs	(F5.1)	Plus side error bar on rs	[ucd=stat.error;stat.max]
#Column	epsilon	(F5.2)	epsilon parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_epsilon	(F5.2)	Minus side error bar on epsilon	[ucd=stat.error]
#Column	E_epsilon	(F5.2)	Plus side error bar on epsilon	[ucd=stat.error;stat.max]
#Column	beta	(F6.3)	beta parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_beta	(F6.3)	Minus side error bar on beta	[ucd=stat.error]
#Column	E_beta	(F6.3)	Plus side error bar on beta	[ucd=stat.error;stat.max]
#Column	alpha	(F5.2)	alpha parameter of Vikhlinin06 model (1)	[ucd=stat.param;meta.modelled]
#Column	e_alpha	(F5.2)	Minus side error bar on alpha	[ucd=stat.error;pos.eq.ra]
#Column	E_alpha	(F5.2)	Plus side error bar on alpha	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	ID	ID-SRC	n0	e_n0	E_n0	rs	e_rs	E_rs	epsilon	e_epsilon	E_epsilon	beta	e_beta	E_beta	alpha	e_alpha	E_alpha	Simbad
      35	083431.0+034208	 8206	 0.124	 0.028	  0.062	510.0	160.0	160.0	 2.40	 1.70	 1.80	 1.590	 0.770	 0.630	 0.24	 0.17	 0.26	Simbad
      36	083435.6+050159	 4593	 0.390	 0.240	 24.300	128.0	 94.0	284.0	 2.30	 1.70	 1.90	 1.530	 0.860	 0.690	 1.15	 0.80	 1.56	Simbad
      37	083457.7+052033	 9892	 4.000	 3.600	 12.300	 88.0	 35.0	 52.0	 2.60	 1.70	 1.70	 1.640	 0.790	 0.600	 0.93	 0.65	 0.77	Simbad
      38	083503.2+010756	 3874	 0.480	 0.320	  1.820	213.0	 72.0	 90.0	 2.80	 1.80	 1.50	 1.500	 0.770	 0.690	 1.51	 0.54	 0.29	Simbad
      39	083509.0+001542	 1360	30.000	22.000	 46.000	 91.0	 26.0	 31.0	 2.60	 1.70	 1.70	 1.670	 0.670	 0.570	 0.78	 0.50	 0.59	Simbad
      40	083532.5+030911	 3198	 0.440	 0.310	  5.840	101.0	 54.0	 54.0	 2.50	 1.70	 1.70	 1.410	 0.730	 0.770	 2.24	 0.50	 0.34	Simbad
      41	083615.7+024420	12572	 1.040	 0.810	  7.540	 95.0	 56.0	 65.0	 2.70	 1.80	 1.70	 1.610	 0.790	 0.620	 1.39	 0.87	 0.89	Simbad
      42	083626.4+043821	 5783	 1.900	 1.600	 13.900	100.0	 39.0	 57.0	 2.70	 1.70	 1.60	 1.530	 0.690	 0.690	 1.74	 0.78	 0.43	Simbad
      43	083651.3+030002	  197	 5.700	 3.800	 20.900	112.0	 52.0	 66.0	 1.25	 0.90	 1.11	 0.610	 0.190	 0.320	 1.72	 0.31	 0.16	Simbad
      44	083654.6+025954	16471	 5.700	 3.800	 20.800	112.0	 52.0	 66.0	 1.25	 0.90	 1.11	 0.610	 0.190	 0.320	 1.72	 0.31	 0.16	Simbad
      45	083713.3+034110	10475	 3.000	 2.400	 20.200	107.0	 45.0	 73.0	 2.60	 1.70	 1.70	 1.700	 0.830	 0.580	 1.11	 0.74	 0.70	Simbad
      46	083723.6+012413	 4731	 0.630	 0.450	  3.450	179.0	 70.0	 82.0	 2.30	 1.60	 1.70	 1.520	 0.750	 0.700	 1.57	 0.60	 0.33	Simbad
      47	083743.8-014128	 5321	 3.600	 3.100	 35.000	108.0	 57.0	109.0	 2.30	 1.50	 1.80	 1.300	 0.660	 0.830	 1.42	 0.85	 0.48	Simbad
      48	083757.1-014217	 6303	 1.110	 0.830	 22.530	 61.0	 47.0	 99.0	 2.40	 1.60	 1.80	 1.530	 0.750	 0.670	 1.37	 0.94	 1.36	Simbad
      49	083759.5-003643	 2456	 0.193	 0.076	  0.390	178.0	 66.0	 52.0	 1.60	 1.20	 2.00	 0.760	 0.350	 0.830	 2.28	 0.18	 0.19	Simbad
      50	083802.9+015626	 4511	 4.900	 3.900	  9.900	126.0	 48.0	 62.0	 2.50	 1.70	 1.80	 1.360	 0.760	 0.780	 0.93	 0.58	 0.53	Simbad
      51	083806.9-003600	 5386	 0.188	 0.072	  0.261	420.0	160.0	150.0	 3.00	 2.10	 1.60	 1.550	 0.820	 0.620	 0.53	 0.37	 0.58	Simbad
      52	083807.6+002501	19692	 0.340	 0.160	  0.470	373.0	108.0	 99.0	 2.70	 1.70	 1.60	 1.580	 0.750	 0.640	 0.76	 0.43	 0.35	Simbad
      53	083809.4-020450	10843	 5.400	 4.800	 36.000	 66.0	 36.0	 47.0	 3.10	 2.30	 1.50	 1.580	 0.940	 0.680	 1.10	 0.80	 1.17	Simbad
      54	083810.1+031520	 3035	 0.168	 0.063	  0.453	176.0	 76.0	 62.0	 0.61	 0.49	 1.92	 0.458	 0.097	 0.498	 2.14	 0.20	 0.19	Simbad
      55	083811.8-015934	   53	 7.200	 5.100	 19.900	 98.0	 35.0	 40.0	 2.60	 1.70	 1.60	 1.570	 0.780	 0.650	 2.39	 0.21	 0.19	Simbad
      56	083817.4+041821	 6136	 0.173	 0.072	  0.340	260.0	 94.0	 84.0	 2.00	 1.40	 1.90	 1.030	 0.530	 0.910	 1.68	 0.26	 0.21	Simbad
      57	083817.5-021704	 6195	 0.460	 0.210	  1.060	252.0	 88.0	 89.0	 2.10	 1.50	 2.00	 1.160	 0.600	 0.830	 1.56	 0.33	 0.25	Simbad
      58	083834.1+020643	 3905	 2.300	 1.700	  7.200	134.0	 48.0	 44.0	 1.90	 1.40	 2.10	 1.310	 0.660	 0.810	 1.41	 0.57	 0.45	Simbad
      59	083840.3+044416	 8186	 0.410	 0.260	  1.840	207.0	 81.0	 94.0	 2.40	 1.60	 1.80	 1.420	 0.740	 0.720	 1.28	 0.63	 0.36	Simbad
      60	083840.6-004134	 7463	 0.520	 0.330	  1.010	231.0	 78.0	 90.0	 2.50	 1.60	 1.70	 1.640	 0.800	 0.620	 0.72	 0.48	 0.51	Simbad
      61	083856.9+030743	 7902	 3.800	 3.500	 20.200	 73.0	 34.0	 47.0	 2.50	 1.80	 1.90	 1.660	 0.800	 0.610	 1.32	 0.96	 0.87	Simbad
      62	083857.5+020846	 1806	 0.760	 0.470	  1.860	266.0	109.0	 95.0	 2.30	 1.60	 2.00	 1.400	 0.720	 0.730	 1.49	 0.34	 0.23	Simbad
      63	083858.5-015032	 6026	 0.960	 0.820	  8.320	 84.0	 44.0	 62.0	 2.40	 1.80	 1.90	 1.730	 0.940	 0.600	 1.52	 1.03	 0.96	Simbad
      64	083859.3+022841	 3315	 2.000	 1.700	 15.300	113.0	 46.0	 68.0	 2.50	 1.70	 1.60	 1.590	 0.750	 0.630	 1.64	 0.87	 0.44	Simbad
      65	083900.6+020057	  736	 4.200	 2.600	 10.100	 85.0	 33.0	 28.0	 2.40	 1.70	 1.70	 0.800	 0.330	 0.890	 2.07	 0.32	 0.23	Simbad
      66	083903.5-011454	 7445	 1.050	 0.790	  2.340	181.0	 62.0	 79.0	 2.70	 1.80	 1.60	 1.590	 0.740	 0.620	 0.89	 0.60	 0.65	Simbad
      67	083914.7-021226	 5360	12.700	 9.200	 46.300	 34.0	 10.0	 10.0	 1.56	 0.46	 0.50	 0.470	 0.100	 0.230	 1.55	 0.86	 0.64	Simbad
      68	083916.7-020552	 7669	 5.600	 3.000	  6.500	 42.4	  6.2	  7.2	 0.61	 0.28	 0.26	 0.610	 0.110	 0.160	 1.34	 0.36	 0.37	Simbad
      69	083917.9-020839	15489	 0.300	 0.180	  1.020	199.0	 70.0	 86.0	 2.00	 1.50	 1.90	 1.680	 0.780	 0.570	 1.03	 0.65	 0.60	Simbad
      70	083921.0-014149	12407	 1.900	 1.200	  2.700	146.0	 40.0	 45.0	 2.53	 0.98	 1.25	 0.880	 0.390	 0.600	 0.80	 0.47	 0.57	Simbad
      71	083927.0-021357	10377	 0.310	 0.160	  1.060	190.0	120.0	140.0	 2.90	 2.10	 1.50	 1.410	 0.810	 0.800	 0.98	 0.69	 0.96	Simbad
      72	083929.0+043001	 3677	 1.600	 1.400	 13.600	123.0	 52.0	 68.0	 2.60	 1.60	 1.60	 1.480	 0.760	 0.690	 1.54	 0.93	 0.49	Simbad
      73	083929.6-015005	15946	 1.180	 0.960	  3.860	172.0	 71.0	 84.0	 2.30	 1.60	 2.10	 1.460	 0.830	 0.800	 0.86	 0.64	 0.69	Simbad
      74	083930.3-014348	 6979	 0.690	 0.530	  2.780	147.0	 55.0	 87.0	 3.10	 1.80	 1.40	 1.800	 0.760	 0.490	 1.29	 0.80	 0.65	Simbad
      75	083933.8-014044	  356	 6.700	 2.300	  3.700	159.0	 27.0	 29.0	 1.74	 0.86	 0.96	 0.960	 0.210	 0.280	 1.16	 0.24	 0.23	Simbad
      76	083936.0+011445	 2898	 1.700	 1.600	 51.000	 83.0	 43.0	 91.0	 2.50	 1.70	 1.80	 1.320	 0.680	 0.770	 1.86	 1.11	 0.43	Simbad
      77	083937.8+014631	 7652	 1.400	 1.100	  6.700	136.0	 50.0	 64.0	 2.70	 1.70	 1.60	 1.650	 0.770	 0.590	 1.31	 0.72	 0.50	Simbad
      78	083940.8+010416	 2832	 0.240	 0.120	  0.510	247.0	 83.0	 76.0	 2.50	 1.70	 1.70	 1.280	 0.640	 0.810	 1.82	 0.25	 0.18	Simbad
      79	083945.5+031556	 7213	 5.300	 5.100	 57.900	 47.0	 22.0	 42.0	 2.60	 1.80	 1.70	 1.670	 0.770	 0.580	 1.62	 1.08	 0.87	Simbad
      80	083955.0+022425	 3270	 0.620	 0.480	  1.850	153.0	 55.0	 97.0	 2.50	 1.60	 1.70	 1.340	 0.670	 0.830	 0.80	 0.55	 0.62	Simbad
      81	084000.0-013109	 7217	 1.060	 0.730	  4.800	150.0	 80.0	 92.0	 1.60	 1.20	 2.10	 0.820	 0.390	 0.880	 1.27	 0.68	 0.38	Simbad
      82	084001.6+042452	 4839	 0.500	 0.350	  4.370	128.0	 54.0	 57.0	 2.30	 1.70	 1.90	 1.490	 0.760	 0.660	 1.91	 0.70	 0.31	Simbad
      83	084003.2+003008	 2568	 0.680	 0.530	 18.550	 57.0	 46.0	111.0	 2.70	 1.70	 1.60	 1.530	 0.760	 0.690	 1.33	 1.00	 1.54	Simbad
      84	084004.8+013751	10272	 1.900	 1.500	  6.600	 98.0	 39.0	 54.0	 2.70	 1.80	 1.60	 1.730	 0.840	 0.580	 1.05	 0.69	 0.70	Simbad
      85	084006.1+025913	 2388	 1.400	 1.100	  6.400	159.0	 61.0	 76.0	 2.50	 1.70	 1.70	 1.670	 0.780	 0.590	 1.52	 0.62	 0.35	Simbad
      86	084011.6+034837	 5544	12.000	11.000	 49.000	 60.0	 26.0	 41.0	 2.40	 1.60	 1.60	 1.430	 0.720	 0.700	 1.34	 0.89	 0.81	Simbad
      87	084016.6+033951	 6282	 5.200	 4.700	 26.800	 83.0	 36.0	 59.0	 2.60	 1.80	 1.60	 1.640	 0.770	 0.590	 1.19	 0.77	 0.79	Simbad
      88	084021.6-022948	 5406	 0.134	 0.040	  0.158	307.0	 94.0	113.0	 2.30	 1.80	 1.90	 1.050	 0.560	 0.960	 1.42	 0.35	 0.27	Simbad
      89	084021.6+020132	 5639	 1.130	 0.860	  2.900	181.0	 63.0	 76.0	 2.60	 1.70	 1.60	 1.620	 0.730	 0.600	 0.92	 0.59	 0.54	Simbad
      90	084034.5+023638	  250	 0.490	 0.260	  1.050	156.0	 45.0	 34.0	 2.00	 1.40	 2.00	 0.890	 0.370	 0.820	 2.56	 0.17	 0.16	Simbad
      91	084035.8+044036	 5844	16.000	15.000	110.000	 53.0	 23.0	 45.0	 2.40	 1.80	 1.90	 1.540	 0.710	 0.660	 1.64	 1.18	 0.86	Simbad
      92	084044.7+024108	 8131	 6.100	 5.300	 28.200	111.0	 45.0	 75.0	 2.70	 1.90	 1.60	 1.530	 0.780	 0.660	 1.23	 0.71	 0.57	Simbad
      93	084051.7+014122	 7662	 2.600	 2.100	  6.600	142.0	 47.0	 71.0	 2.80	 1.70	 1.50	 1.670	 0.780	 0.570	 1.00	 0.62	 0.54	Simbad
      94	084058.4+050407	 7625	27.000	25.000	176.000	 62.0	 31.0	 36.0	 2.60	 1.80	 1.70	 1.600	 0.840	 0.610	 1.30	 0.94	 1.04	Simbad
      95	084102.1+044734	 6014	 0.202	 0.094	  0.612	237.0	 88.0	 81.0	 2.10	 1.50	 1.90	 1.350	 0.720	 0.760	 1.56	 0.41	 0.27	Simbad
      96	084105.5+031639	 1906	 0.680	 0.510	  2.640	181.0	 69.0	 86.0	 2.60	 1.80	 1.60	 1.530	 0.720	 0.630	 1.79	 0.42	 0.24	Simbad
      97	084107.2+050459	 4300	17.000	15.000	 65.000	 38.0	 14.0	 21.0	 1.32	 0.89	 1.01	 0.790	 0.290	 0.360	 1.53	 0.77	 0.73	Simbad
      98	084110.8+005200	 5702	 2.200	 2.000	 39.400	 64.0	 32.0	 52.0	 3.10	 2.10	 1.50	 1.790	 0.850	 0.520	 1.67	 1.22	 0.82	Simbad
      99	084111.8-001946	 7983	 2.700	 2.100	  5.800	148.0	 53.0	 66.0	 2.50	 1.60	 1.70	 1.630	 0.680	 0.630	 0.75	 0.52	 0.64	Simbad
     100	084116.5+020700	 9822	 6.800	 5.900	 52.100	 53.0	 31.0	 33.0	 1.47	 0.90	 1.01	 0.960	 0.440	 0.640	 1.10	 0.74	 1.10	Simbad
     101	084124.1-023350	 9149	 0.850	 0.650	  5.090	136.0	 56.0	 61.0	 2.60	 1.70	 1.60	 1.560	 0.710	 0.630	 1.43	 0.75	 0.45	Simbad
     102	084124.7+004636	 6605	 1.900	 1.600	 11.400	 91.0	 39.0	 42.0	 2.80	 1.80	 1.50	 1.300	 0.660	 0.780	 1.65	 0.84	 0.54	Simbad
     103	084129.0+002645	 5591	 0.215	 0.098	  2.378	163.0	115.0	 71.0	 0.25	 0.19	 0.57	 0.383	 0.037	 0.135	 2.09	 0.22	 0.20	Simbad
     104	084134.1+043503	 7544	 0.510	 0.340	  3.400	140.0	100.0	110.0	 2.60	 1.80	 1.70	 1.520	 0.750	 0.690	 0.95	 0.66	 0.92	Simbad
     105	084135.0+010150	 1644	 2.300	 2.000	 22.800	 92.0	 38.0	 51.0	 2.40	 1.60	 1.80	 1.690	 0.720	 0.580	 1.98	 0.73	 0.39	Simbad
     106	084135.7-005048	 4430	 3.400	 2.900	 34.200	 58.0	 24.0	 31.0	 2.50	 1.70	 1.70	 1.460	 0.720	 0.700	 2.00	 0.97	 0.71	Simbad
     107	084142.9+002841	 8433	 0.300	 0.190	  2.110	204.0	 93.0	 98.0	 1.90	 1.40	 2.10	 1.320	 0.690	 0.730	 1.36	 0.82	 0.33	Simbad
     108	084146.3-021339	18047	 0.610	 0.470	  2.480	143.0	 67.0	 88.0	 2.50	 1.70	 1.60	 1.570	 0.780	 0.650	 1.09	 0.65	 0.54	Simbad
     109	084146.5+045612	 2796	 0.450	 0.240	  1.570	240.0	140.0	170.0	 2.20	 1.60	 1.90	 1.450	 0.800	 0.730	 0.65	 0.46	 0.76	Simbad
     110	084148.1+004911	 3008	 2.200	 1.900	 63.200	 76.0	 37.0	 60.0	 3.00	 2.10	 1.50	 1.260	 0.660	 0.930	 2.00	 1.35	 0.48	Simbad
