#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:30:55 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:30:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FApJS%2F172%2F599%2Ftable1&-out=AGC,OName,RAJ2000,DEJ2000,TT,r23.5,r.83,Isb,ell,e_ell,Imag,e_Imag,TF&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21720599
#Name: J/ApJS/172/599
#Title: SFI++ II. A new I-band Tully-Fisher catalog (Springob+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/172/599	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2007ApJS..172..599S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/172/599	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21720599	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_172_599_table1:
#Name: J/ApJS/172/599/table1
#Title: Additional photometric parameters
#Column	AGC	(I6)	Entry number in the UGC or AGC (G1)	[ucd=meta.id;meta.main]
#Column	OName	(A8)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	TT	(I2)	Morphological type code T	[ucd=meta.code;src.morph]
#Column	r23.5	(F5.1)	Isophotal radius at a surface magnitude of 23.5 mag/arcsec2	[ucd=phys.angSize]
#Column	r.83	(F5.1)	Optical radius containing 83% of the light	[ucd=phys.angSize;src]
#Column	Isb	(F6.2)	Surface magnitude at outermost I isophote	[ucd=phot.mag.sb;em.opt.I]
#Column	ell	(F6.3)	Disk ellipticity	[ucd=src.ellipticity]
#Column	e_ell	(F6.3)	Error on the Ellip	[ucd=stat.error]
#Column	Imag	(F6.2)	Observed I-band magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Imag	(F5.2)	Error on Imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	TF	(A1)	[*] Code indicating inclusion in TF sample	[ucd=meta.note]
AGC	OName	RAJ2000	DEJ2000	TT	r23.5	r.83	Isb	ell	e_ell	Imag	e_Imag	TF
    40	478-024 	00 05 48.4	+27 26 56	 3	 37.6	 26.4	 23.56	 0.410	 0.018	 12.84	 0.03	
    41	M+401022	00 05 56.0	+22 29 31	 5	 27.8	 27.5	 23.39	 0.694	 0.009	 14.55	 0.05	
400739	DC000363	00 06 22.5	-50 10 00	 3	 15.6	 11.4	 24.32	 0.597	 0.067	 14.91	 0.03	
    51	408-031 	00 06 40.3	+05 06 48	 4	 28.3	 20.5	 24.52	 0.335	 0.024	 13.12	 0.03	
100040	408-033 	00 06 47.7	+04 56 13	 4	 22.7	 19.2	 24.12	 0.300	 0.016	 13.90	 0.05	
    53	456-031 	00 06 50.3	+19 19 17	 4	 17.9	 21.8	 24.15	 0.161	 0.011	 14.42	 0.06	
 20073	193 G 26	00 06 52.7	-50 24 53	-2	 16.7	 13.4	 25.37	 0.394	 0.049	 14.81	 0.04	
100044	433-023 	00 07 11.7	+13 45 59	 3	 24.0	 21.3	 23.83	 0.717	 0.038	 14.99	 0.05	
    57	N   1   	00 07 15.9	+27 42 28	 3	 35.3	 25.8	 24.37	 0.467	 0.013	 12.81	 0.02	
    60	N7831   	00 07 19.5	+32 36 32	 3	 57.1	 39.8	 23.95	 0.689	 0.059	 12.09	 0.02	
    65	N7836   	00 08 01.6	+33 04 13	 3	 28.5	 15.5	 24.08	 0.336	 0.061	 12.42	 0.02	
    68	478-029 	00 08 10.2	+27 00 13	 3	 24.1	 17.3	 24.09	 0.345	 0.118	 13.28	 0.02	
    69	478-030 	00 08 10.9	+27 31 39	 5	 34.1	 30.4	 23.50	 0.282	 0.031	 13.16	 0.06	
 20096	111 G 14	00 08 18.2	-59 30 53	 5	 41.8	 39.9	 23.67	 0.453	 0.033	 12.89	 0.05	*
 20097	N   7   	00 08 21.3	-29 55 03	 5	 71.6	 63.9	 24.90	 0.779	 0.049	 12.99	 0.04	
101097	        	00 08 23.9	+33 01 42	 5	 23.1	 23.7	 23.87	 0.799	 0.015	 15.68	 0.06	
 20098	N  10   	00 08 33.2	-33 51 29	 5	 69.9	 51.6	 23.92	 0.455	 0.019	 11.33	 0.02	
 20099	193 G 30	00 08 39.9	-50 37 05	 5	 25.0	 19.5	 24.11	 0.733	 0.014	 14.67	 0.04	
    77	N  13   	00 08 47.7	+33 25 57	 3	 78.7	 48.3	 22.91	 0.768	 0.017	 11.79	 0.02	
    76	M+401029	00 08 49.3	+24 32 24	 3	 26.6	 30.8	 24.06	 0.693	 0.007	 14.80	 0.07	
 20103	349 G 33	00 09 04.2	-32 54 54	 3	 39.2	 25.7	 23.84	 0.711	 0.026	 13.03	 0.03	
    79	478-032 	00 09 04.4	+25 37 05	 5	 31.9	 41.2	 23.96	 0.284	 0.026	 13.73	 0.14	
    86	N  22   	00 09 48.2	+27 49 55	 3	 39.2	 31.9	 24.50	 0.305	 0.055	 12.61	 0.03	
 20112	I1532   	00 09 51.4	-64 22 18	 5	 52.7	 47.7	 24.10	 0.710	 0.022	 13.42	 0.05	
    89	N  23   	00 09 53.3	+25 55 26	 3	 75.5	 46.7	 24.08	 0.305	 0.080	 10.82	 0.03	
 20114	N  24   	00 09 56.3	-24 57 53	 5	172.7	126.0	 24.32	 0.742	 0.004	 10.23	 0.04	
    92	499-059 	00 10 01.9	+28 12 36	 3	 31.7	 25.5	 24.43	 0.261	 0.075	 13.02	 0.04	
    91	499-058 	00 10 03.3	+28 08 59	 3	 34.1	 26.4	 24.67	 0.722	 0.031	 13.58	 0.03	*
101063	        	00 10 18.7	+29 08 17	 4	 16.1	 14.6	 23.97	 0.768	 0.012	 16.29	 0.05	
 20117	241 G 21	00 10 19.9	-46 25 05	 5	 60.5	 41.2	 25.70	 0.711	 0.036	 12.06	 0.04	
    94	N  26   	00 10 26.0	+25 49 55	 3	 48.8	 36.9	 24.57	 0.349	 0.060	 12.23	 0.04	
    95	499-062 	00 10 26.4	+28 59 16	 5	 37.9	 26.6	 23.96	 0.766	 0.030	 13.84	 0.03	
    96	N  27   	00 10 32.7	+28 59 47	 3	 40.5	 27.5	 24.13	 0.560	 0.035	 12.52	 0.03	
101121	n95     	00 10 34.4	+06 11 00	 3	 20.0	 10.7	 23.28	 0.687	 0.029	 14.73	 0.03	
    98	N  21   	00 10 40.8	+32 58 57	 3	 39.5	 25.6	 23.37	 0.439	 0.061	 12.51	 0.02	
   100	N  29   	00 10 47.0	+33 21 09	 4	 46.4	 33.9	 25.10	 0.503	 0.061	 12.27	 0.03	
 20127	349 G 38	00 11 12.7	-33 34 48	 3	 54.5	 35.8	 22.97	 0.583	 0.034	 12.16	 0.03	
   105	499-071 	00 11 14.3	+28 54 23	 0	 42.8	 29.6	 23.18	 0.130	 0.089	 12.42	 0.03	
   106	N  36   	00 11 22.4	+06 23 21	 3	 71.8	 60.5	 24.47	 0.492	 0.033	 11.63	 0.04	
 20130	293 G 45	00 11 24.1	-41 23 48	 5	 41.2	 40.8	 25.29	 0.769	 0.026	 14.24	 0.04	*
101105	        	00 11 27.8	+27 47 25	 3	 19.1	 14.1	 24.09	 0.682	 0.049	 14.65	 0.02	
   108	499-072 	00 11 45.1	+28 29 56	 3	 29.7	 21.5	 23.34	 0.493	 0.008	 13.39	 0.03	
   111	433-033 	00 12 09.0	+12 02 42	 3	 30.5	 25.0	 23.89	 0.631	 0.032	 14.02	 0.03	
   113	478-041 	00 12 15.7	+22 19 16	 1	 33.1	 22.4	 24.20	 0.561	 0.069	 12.79	 0.03	
   139	382-035 	00 14 31.8	-00 44 16	 5	 45.9	 41.6	 24.92	 0.570	 0.036	 12.93	 0.05	
   140	N  52   	00 14 40.2	+18 34 55	 3	 69.2	 45.1	 23.85	 0.742	 0.092	 11.95	 0.02	
   148	456-048 	00 15 51.4	+16 05 22	 3	 57.2	 38.2	 22.94	 0.759	 0.032	 12.55	 0.02	
100811	        	00 15 55.3	+16 00 15	 5	 25.4	 20.4	 23.83	 0.789	 0.013	 15.17	 0.04	*
   149	433-039 	00 15 57.5	+14 04 34	 1	 25.0	 19.8	 24.56	 0.644	 0.028	 14.14	 0.03	
100921	        	00 16 01.1	+16 01 33	 3	 16.2	 14.6	 23.98	 0.369	 0.070	 14.71	 0.04	
   152	499-093 	00 16 28.5	+29 55 25	 5	 33.7	 41.5	 23.55	 0.670	 0.011	 14.24	 0.08	
   155	408-044 	00 16 44.2	+07 04 35	 3	 46.3	 27.2	 23.51	 0.740	 0.027	 12.16	 0.01	
   158	534-009 	00 17 05.1	+42 09 40	 3	 44.6	 37.8	 24.52	 0.714	 0.024	 13.44	 0.03	
 20206	539 G  5	00 17 09.0	-19 18 02	 3	 48.9	 35.4	 24.21	 0.342	 0.023	 11.88	 0.04	
   163	408-045 	00 17 19.2	+06 43 20	 5	 22.7	 24.1	 23.62	 0.319	 0.035	 14.21	 0.06	
   164	456-053 	00 17 23.8	+18 05 02	 4	 47.5	 40.5	 24.30	 0.647	 0.089	 13.05	 0.05	*
400180	N  64   	00 17 30.3	-06 49 29	 4	 42.7	 28.9	 24.56	 0.409	 0.124	 12.42	 0.03	
   166	499-100 	00 17 35.8	+30 12 17	 5	 42.2	 38.6	 24.23	 0.554	 0.022	 13.28	 0.08	
   165	478-051 	00 17 41.8	+24 40 03	 2	 30.1	 22.9	 23.73	 0.672	 0.065	 13.66	 0.02	
   167	N  63   	00 17 45.5	+11 27 01	 3	 51.4	 31.4	 23.59	 0.409	 0.039	 11.23	 0.02	
100146	478-052 	00 17 59.7	+24 33 45	 4	 32.3	 34.7	 22.74	 0.293	 0.052	 13.12	 0.06	
100151	456-055 	00 18 25.2	+18 31 02	 5	 21.3	 18.1	 23.34	 0.272	 0.041	 14.02	 0.04	
   179	478-053 	00 19 00.6	+23 28 34	 5	 28.0	 26.5	 24.33	 0.476	 0.025	 13.87	 0.09	
 20224	N  66   	00 19 04.8	-22 55 20	 3	 42.5	 31.6	 24.05	 0.517	 0.047	 12.40	 0.03	
 20226	473 G 11	00 19 09.3	-24 31 20	 5	 35.5	 29.2	 23.93	 0.551	 0.022	 13.37	 0.03	
 20236	150 G  1	00 20 05.9	-54 31 26	 5	 31.1	 25.1	 24.26	 0.421	 0.096	 13.43	 0.04	
   195	I  13   	00 20 20.1	+07 41 00	 4	 39.6	 32.3	 24.04	 0.703	 0.024	 13.53	 0.05	
   205	457-009 	00 21 20.7	+17 20 25	 3	 25.6	 19.5	 23.42	 0.592	 0.069	 14.17	 0.03	
100187	N  86   	00 21 28.6	+22 33 27	 0	 24.7	 12.9	 23.06	 0.590	 0.008	 13.07	 0.02	*
100184	I1546   	00 21 28.9	+22 30 24	 4	 39.2	 23.4	 22.21	 0.696	 0.028	 13.29	 0.03	
   207	500-006 	00 21 31.1	+29 39 43	 3	 33.5	 25.2	 23.72	 0.713	 0.019	 13.92	 0.03	
100188	M+402010	00 21 33.6	+22 35 35	 4	 40.9	 26.1	 24.88	 0.656	 0.071	 13.31	 0.03	
100841	n96     	00 22 01.3	+23 49 32	 3	 17.7	 18.1	 24.45	 0.603	 0.046	 15.18	 0.05	*
   209	N  93   	00 22 03.4	+22 24 27	 3	 54.3	 37.7	 24.54	 0.419	 0.051	 11.67	 0.03	*
   210	479-016 	00 22 05.0	+23 44 12	 3	 30.7	 25.4	 23.68	 0.543	 0.022	 13.80	 0.04	
   214	N  95   	00 22 13.6	+10 29 28	 5	 47.1	 32.1	 24.15	 0.248	 0.043	 11.52	 0.06	
   215	500-008 	00 22 26.4	+29 30 13	 2	 48.6	 35.0	 23.27	 0.379	 0.058	 12.35	 0.04	
 20273	539 G 12	00 22 57.1	-22 07 09	 3	 19.5	 16.6	 24.36	 0.524	 0.047	 14.76	 0.03	
   228	479-023 	00 23 56.6	+24 18 21	 4	 31.0	 24.8	 23.95	 0.371	 0.032	 13.16	 0.05	
   231	N 100   	00 24 02.6	+16 29 10	 5	101.8	 77.7	 24.10	 0.833	 0.009	 12.15	 0.03	
   234	500-017 	00 24 46.4	+29 33 35	 5	 29.1	 26.5	 23.72	 0.564	 0.021	 14.10	 0.06	
   237	409-010 	00 24 59.9	+06 39 52	 1	 32.9	 19.0	 23.40	 0.556	 0.033	 13.09	 0.03	*
   238	500-018 	00 25 03.3	+31 20 39	 3	 56.7	 39.2	 23.39	 0.711	 0.030	 12.61	 0.02	
   240	409-011 	00 25 10.2	+06 29 26	 3	 38.3	 28.8	 24.58	 0.485	 0.036	 13.03	 0.03	
100229	409-012 	00 25 24.8	+06 42 22	 3	 19.2	 14.3	 24.09	 0.359	 0.019	 14.04	 0.03	
 20291	294 G  9	00 25 25.4	-41 36 10	 5	 27.2	 21.8	 23.24	 0.735	 0.009	 14.61	 0.04	
   244	479-027 	00 25 30.0	+24 48 39	 4	 32.3	 25.5	 24.52	 0.500	 0.009	 13.45	 0.07	
400228	M-102011	00 25 47.6	-02 17 04	 5	 68.4	 51.4	 24.07	 0.803	 0.035	 12.69	 0.03	
 20302	N 115   	00 26 46.7	-33 40 36	 5	 57.3	 47.2	 24.54	 0.629	 0.032	 12.60	 0.04	
   260	434-013 	00 27 02.9	+11 35 02	 5	 74.0	 54.5	 24.51	 0.778	 0.012	 12.36	 0.04	
   272	383-019 	00 27 49.8	-01 12 00	 5	 41.2	 47.5	 23.88	 0.573	 0.007	 13.53	 0.10	
100244	383-020 	00 27 52.1	+03 28 36	 3	 36.9	 45.9	 23.17	 0.791	 0.010	 14.65	 0.11	
   275	383-021 	00 27 58.6	+02 30 26	 3	 39.2	 35.5	 24.37	 0.452	 0.065	 13.00	 0.05	
   279	500-026 	00 28 15.3	+30 48 09	 3	 55.3	 37.7	 23.47	 0.702	 0.021	 12.57	 0.03	
   278	479-034 	00 28 21.2	+27 22 08	 4	 34.2	 25.9	 24.19	 0.701	 0.034	 13.89	 0.04	
   281	383-023 	00 28 22.1	+02 31 36	 5	 30.1	 28.5	 24.33	 0.594	 0.011	 14.12	 0.05	
   284	500-029 	00 28 34.4	+33 16 19	 5	 32.9	 33.6	 24.37	 0.266	 0.048	 13.35	 0.08	
   294	        	00 29 23.3	+31 22 55	 5	 35.3	 37.9	 24.07	 0.864	 0.019	 15.24	 0.08	
100269	434-016 	00 29 38.3	+11 36 01	 5	 22.8	 19.2	 23.83	 0.327	 0.077	 14.01	 0.08	
   299	500-035 	00 29 53.4	+31 23 35	 5	 32.3	 28.6	 24.27	 0.458	 0.024	 13.54	 0.06	
 20329	N 134   	00 30 21.1	-33 14 44	 5	225.2	138.9	 23.57	 0.726	 0.010	  9.19	 0.03	
 20336	410 G 16	00 30 46.8	-29 20 26	20	 25.9	 19.7	 24.37	 0.393	 0.057	 13.58	 0.03	
400257	M-102025	00 31 14.0	-07 50 27	 4	 40.1	 28.5	 23.74	 0.447	 0.032	 12.72	 0.03	
 20344	N 143   	00 31 16.0	-22 33 38	 3	 29.8	 19.3	 23.85	 0.611	 0.103	 13.13	 0.02	
   310	500-037 	00 31 17.8	+28 59 35	 5	 34.9	 28.7	 24.16	 0.731	 0.034	 14.18	 0.07	
 20349	539 G 14	00 31 28.5	-19 45 50	 5	 48.8	 39.9	 24.56	 0.863	 0.009	 14.01	 0.04	
400261	M-202040	00 31 35.5	-10 30 22	 4	 44.4	 32.9	 23.57	 0.678	 0.083	 12.69	 0.03	
400265	N 145   	00 31 45.3	-05 09 11	 5	 52.8	 45.6	 24.23	 0.261	 0.133	 11.88	 0.03	
400814	n95     	00 31 56.7	-10 15 08	 4	 20.3	 13.5	 23.52	 0.743	 0.015	 14.83	 0.03	
 20362	79 G  3 	00 32 01.9	-64 14 27	 4	 85.5	 71.2	 24.78	 0.703	 0.127	 11.84	 0.03	*
   319	500-041 	00 32 12.1	+31 40 53	 4	 42.8	 66.7	 23.63	 0.516	 0.032	 13.43	 0.11	
 20363	294 G 21	00 32 13.7	-41 22 57	 4	 46.7	 29.9	 23.87	 0.588	 0.017	 12.24	 0.02	
   320	M+002066	00 32 30.9	+02 34 26	 5	 32.7	 28.9	 24.10	 0.788	 0.002	 14.78	 0.05	
   321	479-037 	00 32 32.4	+23 23 40	 5	 30.6	 27.6	 24.28	 0.698	 0.015	 14.38	 0.05	
100293	500-042 	00 32 44.4	+30 45 02	 3	 34.9	 30.2	 24.00	 0.509	 0.035	 13.35	 0.05	
   323	434-021 	00 32 50.5	+11 44 10	 3	 33.9	 25.6	 23.70	 0.710	 0.044	 13.57	 0.02	
100295	500-043 	00 32 52.9	+30 39 03	 3	 22.0	 15.0	 24.16	 0.461	 0.062	 13.69	 0.03	
400274	M-202051	00 33 10.2	-13 08 46	 4	 32.1	 25.0	 24.47	 0.482	 0.048	 13.30	 0.04	
   327	409-033 	00 33 15.4	+07 54 17	 4	 27.6	 23.9	 23.41	 0.581	 0.036	 14.12	 0.06	
   329	383-035 	00 33 36.2	+02 40 50	 5	 43.4	 72.7	 23.43	 0.468	 0.054	 13.31	 0.13	
100303	479-040 	00 33 36.3	+23 24 05	 5	 26.1	 19.6	 24.03	 0.535	 0.016	 13.96	 0.03	
400279	N 151   	00 34 02.4	-09 42 20	 4	115.5	 71.0	 22.96	 0.435	 0.083	 10.51	 0.03	
 20385	N 150   	00 34 15.7	-27 48 18	 5	 95.3	 58.1	 25.04	 0.500	 0.037	 10.43	 0.03	
400285	I1555   	00 34 33.1	-30 01 10	20	 38.1	 34.8	 24.56	 0.408	 0.016	 13.14	 0.04	*
400290	N 157   	00 34 46.6	-08 23 47	 5	126.1	 83.8	 23.91	 0.322	 0.037	  9.45	 0.02	
   344	519-013 	00 34 51.2	+39 32 41	 5	 27.4	 34.6	 23.72	 0.366	 0.006	 14.07	 0.09	
   346	500-047 	00 34 56.0	+31 56 55	 4	 32.8	 24.9	 23.66	 0.567	 0.006	 13.54	 0.03	
400783	n96     	00 35 18.1	-08 27 50	 4	 15.8	 11.1	 23.55	 0.783	 0.014	 15.82	 0.03	*
   351	I  34   	00 35 36.5	+09 07 25	 1	 75.6	 48.5	 23.85	 0.606	 0.036	 11.47	 0.03	
   353	409-045 	00 35 39.4	+08 59 50	 5	 32.7	 27.8	 24.42	 0.563	 0.033	 13.72	 0.08	
400305	M-202064	00 36 02.8	-09 53 14	 5	 32.3	 29.0	 24.05	 0.332	 0.104	 13.42	 0.05	*
   356	N 160   	00 36 04.0	+23 57 31	 1	 75.8	 56.7	 24.16	 0.467	 0.028	 11.29	 0.03	
   357	457-020 	00 36 10.1	+21 27 51	 4	 23.6	 18.6	 23.51	 0.491	 0.044	 14.22	 0.04	
   359	409-047 	00 36 10.6	+04 38 06	 3	 28.5	 20.2	 24.05	 0.693	 0.025	 14.03	 0.03	
   364	457-022 	00 36 45.1	+21 33 59	 3	 41.7	 24.1	 22.79	 0.632	 0.044	 12.57	 0.03	
 20417	410 G 27	00 36 51.1	-28 22 30	 5	 43.8	 39.9	 24.67	 0.508	 0.061	 12.95	 0.04	
 20423	242 G 18	00 37 06.6	-46 38 35	 5	 45.0	 43.8	 24.32	 0.392	 0.020	 12.73	 0.04	
   369	N 173   	00 37 12.5	+01 56 30	 4	 66.4	 55.0	 24.36	 0.283	 0.077	 11.55	 0.05	*
 20425	N 172   	00 37 14.3	-22 35 05	 6	 49.5	 38.1	 24.27	 0.718	 0.029	 13.07	 0.04	
   376	        	00 37 54.1	+32 41 20	 5	 25.1	 21.1	 23.87	 0.767	 0.015	 15.12	 0.04	
