#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-04T12:31:21 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:31:21	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/413/813/atlas3d&-out.max=99999&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74130813
#Name: J/MNRAS/413/813
#Title: ATLAS3D project. I. (Cappellari+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/413/813	    IVOID of underlying data collection
#INFO	creator=Cappellari M.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.413..813C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/413/813	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74130813	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_413_813_atlas3d:
#Name: J/MNRAS/413/813/atlas3d
#Title: The Atlas^3D^ sample (E and S0) and spiral galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	T	(A1)	Simbad column added by the CDS	[ucd=meta.code;src.morph]
#Column	Gal	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SBF	(I1)	[0/2] 1 if the galaxy is in Tonry et al. (2001ApJ...546..681T) and 2 if it is in Mei et al. (2007ApJ...655..144M) or both	[ucd=meta.id]
#Column	NED-D	(I2)	Number of redshift-independent distance determinations listed in the NED-D catalogue, excluding the ones based on kinematical scaling relations	[ucd=meta.number]
#Column	Virgo	(I1)	[0/1] 1 if the galaxies is contained within a sphere of radius R=3.5Mpc from the centre of the cluster (1)	[ucd=meta.code]
#Column	Vhel	(I4)	Heliocentric velocity (2)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F4.1)	Distance (3)	[ucd=pos.distance;pos.heliocentric]
#Column	KMAG	(F6.2)	Total absolute K magnitude (4)	[ucd=phys.magAbs;em.IR.K]
#Column	AB	(F5.2)	B-band foreground galactic extinction from Schlegel et al. (1998ApJ...500..525S)	[ucd=phys.absorption]
#Column	T-type	(F4.1)	Morphological T type from HyperLeda (5)	[ucd=src.morph.type]
#Column	log(Re)	(F5.2)	Projected half-light effective radius (6)	[ucd=phys.angSize]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref]
recno	T	Gal	RAJ2000	DEJ2000	SBF	NED-D	Virgo	Vhel	Dist	KMAG	AB	T-type	log(Re)	SimbadName	NED	LEDA
      24	E	NGC1266   	049.003120	-02.427370	0	 0	0	2170	29.9	-22.93	 0.43	-2.1	 1.31	NGC1266  	NED	LEDA
      25	E	NGC1289   	049.707592	-01.973354	0	 0	0	2792	38.4	-23.46	 0.37	-2.1	 1.26	NGC1289  	NED	LEDA
      26	E	NGC1665   	072.071098	-05.427655	0	 0	0	2745	37.5	-23.63	 0.26	-1.8	 1.50	NGC1665  	NED	LEDA
      27	E	NGC2481   	119.307182	+23.767693	0	 0	0	2157	32.0	-23.38	 0.28	 0.4	 1.02	NGC2481  	NED	LEDA
      28	E	NGC2549   	124.743111	+57.803108	1	 1	0	1051	12.3	-22.43	 0.28	-2.0	 1.28	NGC2549  	NED	LEDA
      29	E	NGC2577   	125.681137	+22.553040	0	 0	0	2062	30.8	-23.41	 0.23	-3.0	 1.15	NGC2577  	NED	LEDA
      30	E	NGC2592   	126.783669	+25.970339	1	 1	0	1979	25.0	-22.88	 0.25	-4.8	 1.09	NGC2592  	NED	LEDA
      31	E	NGC2594   	126.821609	+25.878935	0	 0	0	2362	35.1	-22.36	 0.24	 0.0	 0.82	NGC2594  	NED	LEDA
      32	E	NGC2679   	132.887192	+30.865419	0	 0	0	2027	31.1	-22.81	 0.14	-2.0	 1.35	NGC2679  	NED	LEDA
      33	E	NGC2685   	133.894791	+58.734409	0	 0	0	 875	16.7	-22.78	 0.27	-1.0	 1.41	NGC2685  	NED	LEDA
      34	E	NGC2695   	133.612778	-03.067101	1	 3	0	1833	31.5	-23.64	 0.08	-2.1	 1.21	NGC2695  	NED	LEDA
      35	E	NGC2698   	133.902222	-03.183882	0	 0	0	1900	27.1	-23.32	 0.08	-1.0	 1.10	NGC2698  	NED	LEDA
      36	E	NGC2699   	133.953415	-03.127507	1	 3	0	1868	26.2	-22.72	 0.08	-5.0	 1.06	NGC2699  	NED	LEDA
      37	E	NGC2764   	137.072983	+21.443447	0	 0	0	2706	39.6	-23.19	 0.17	-2.0	 1.09	NGC2764  	NED	LEDA
      38	E	NGC2768   	137.906265	+60.037209	1	 5	0	1353	21.8	-24.71	 0.20	-4.4	 1.80	NGC2768  	NED	LEDA
      39	E	NGC2778   	138.101639	+35.027424	1	 1	0	2025	22.3	-22.23	 0.09	-4.8	 1.20	NGC2778  	NED	LEDA
      40	E	NGC2824   	139.759277	+26.269999	0	 0	0	2758	40.7	-22.93	 0.14	-2.0	 0.86	NGC2824  	NED	LEDA
      41	E	NGC2852   	140.810684	+40.163879	0	 0	0	1781	28.5	-22.18	 0.06	 1.0	 0.85	NGC2852  	NED	LEDA
      42	E	NGC2859   	141.077286	+34.513378	0	 0	0	1690	27.0	-24.13	 0.09	-1.2	 1.43	NGC2859  	NED	LEDA
      43	E	NGC2880   	142.394241	+62.490620	1	 1	0	1554	21.3	-22.98	 0.14	-2.7	 1.32	NGC2880  	NED	LEDA
      44	E	NGC2950   	145.646317	+58.851219	1	 1	0	1322	14.5	-22.93	 0.07	-2.0	 1.19	NGC2950  	NED	LEDA
      45	E	NGC2962   	145.224609	+05.165820	0	 3	0	1967	34.0	-24.01	 0.25	-1.1	 1.39	NGC2962  	NED	LEDA
      46	E	NGC2974   	145.638611	-03.699116	1	 3	0	1887	20.9	-23.62	 0.23	-4.2	 1.58	NGC2974  	NED	LEDA
      47	E	NGC3032   	148.034119	+29.236279	1	 2	0	1562	21.4	-22.01	 0.07	-1.9	 1.12	NGC3032  	NED	LEDA
      48	E	NGC3073   	150.216843	+55.618935	1	 1	0	1173	32.8	-21.78	 0.05	-2.8	 1.13	NGC3073  	NED	LEDA
      49	E	NGC3098   	150.569458	+24.711092	0	 0	0	1397	23.0	-22.72	 0.16	-1.5	 1.12	NGC3098  	NED	LEDA
      50	E	NGC3156   	153.171692	+03.129320	1	 3	0	1338	21.8	-22.15	 0.15	-2.5	 1.24	NGC3156  	NED	LEDA
      51	E	NGC3182   	154.887558	+58.205818	0	 0	0	2118	34.0	-23.19	 0.05	 0.4	 1.32	NGC3182  	NED	LEDA
      52	E	NGC3193   	154.603683	+21.893978	1	 3	0	1381	33.1	-24.63	 0.11	-4.8	 1.42	NGC3193  	NED	LEDA
      53	E	NGC3226   	155.862549	+19.898439	1	 3	0	1315	22.9	-23.24	 0.10	-4.8	 1.49	NGC3226  	NED	LEDA
      54	E	NGC3230   	155.933090	+12.567883	0	 0	0	2795	40.8	-24.18	 0.16	-1.8	 1.26	NGC3230  	NED	LEDA
      55	E	NGC3245   	156.826523	+28.507435	1	 1	0	1326	20.3	-23.69	 0.11	-2.1	 1.40	NGC3245  	NED	LEDA
      56	E	NGC3248   	156.939270	+22.847170	0	 0	0	1481	24.6	-22.43	 0.09	-2.0	 1.20	NGC3248  	NED	LEDA
      57	E	NGC3301   	159.233459	+21.882166	0	 0	0	1339	22.8	-23.28	 0.10	-0.4	 1.30	NGC3301  	NED	LEDA
      58	E	NGC3377   	161.926666	+13.985640	1	10	0	 690	10.9	-22.76	 0.15	-4.8	 1.55	NGC3377  	NED	LEDA
      59	E	NGC3379   	161.956665	+12.581630	1	15	0	 918	10.3	-23.80	 0.11	-4.8	 1.60	NGC3379  	NED	LEDA
      60	E	NGC3384   	162.070404	+12.629300	1	10	0	 733	11.3	-23.52	 0.12	-2.7	 1.51	NGC3384  	NED	LEDA
      61	E	NGC3400   	162.689590	+28.468929	0	 0	0	1441	24.7	-21.82	 0.08	 0.7	 1.23	NGC3400  	NED	LEDA
      62	E	NGC3412   	162.722137	+13.412142	1	 5	0	 860	11.0	-22.55	 0.12	-2.0	 1.49	NGC3412  	NED	LEDA
      63	E	NGC3414   	162.817673	+27.974968	1	 1	0	1470	24.5	-23.98	 0.11	-2.0	 1.38	NGC3414  	NED	LEDA
      64	E	NGC3457   	163.702591	+17.621157	1	 1	0	1148	20.1	-21.89	 0.13	-5.0	 1.13	NGC3457  	NED	LEDA
      65	E	NGC3458   	164.006042	+57.116970	0	 0	0	1877	30.9	-23.12	 0.04	-2.0	 1.06	NGC3458  	NED	LEDA
      66	E	NGC3489   	165.077454	+13.901258	1	 5	0	 695	11.7	-22.99	 0.07	-1.2	 1.35	NGC3489  	NED	LEDA
      67	E	NGC3499   	165.796280	+56.221664	0	 0	0	1535	26.4	-21.88	 0.04	 0.0	 0.94	NGC3499  	NED	LEDA
      68	E	NGC3522   	166.668549	+20.085621	0	 1	0	1228	25.5	-21.67	 0.10	-4.9	 1.01	NGC3522  	NED	LEDA
      69	E	NGC3530   	167.168411	+57.230160	0	 0	0	1894	31.2	-22.00	 0.04	 0.0	 0.87	NGC3530  	NED	LEDA
      70	E	NGC3595   	168.856461	+47.447147	0	 0	0	2177	34.7	-23.28	 0.09	-3.3	 1.15	NGC3595  	NED	LEDA
      71	E	NGC3599   	168.862305	+18.110369	1	 3	0	 839	19.8	-22.22	 0.09	-2.0	 1.37	NGC3599  	NED	LEDA
      72	E	NGC3605   	169.194260	+18.017141	1	 3	0	 661	20.1	-21.83	 0.09	-4.5	 1.23	NGC3605  	NED	LEDA
      73	E	NGC3607   	169.227737	+18.051809	1	 4	0	 942	22.2	-24.74	 0.09	-3.1	 1.59	NGC3607  	NED	LEDA
      74	E	NGC3608   	169.245697	+18.148531	1	 4	0	1226	22.3	-23.65	 0.09	-4.8	 1.47	NGC3608  	NED	LEDA
      75	E	NGC3610   	169.605316	+58.786247	1	 4	0	1707	20.8	-23.69	 0.04	-4.2	 1.20	NGC3610  	NED	LEDA
      76	E	NGC3613   	169.650543	+57.999924	1	 3	0	2051	28.3	-24.26	 0.05	-4.7	 1.42	NGC3613  	NED	LEDA
      77	E	NGC3619   	169.840088	+57.757683	0	 0	0	1560	26.8	-23.57	 0.08	-0.9	 1.42	NGC3619  	NED	LEDA
      78	E	NGC3626   	170.015808	+18.356791	1	 1	0	1486	19.5	-23.30	 0.08	-1.0	 1.41	NGC3626  	NED	LEDA
      79	E	NGC3630   	170.070786	+02.964170	0	 0	0	1499	25.0	-23.16	 0.18	-1.5	 1.10	NGC3630  	NED	LEDA
      80	E	NGC3640   	170.278549	+03.234764	1	 4	0	1298	26.3	-24.60	 0.19	-4.9	 1.49	NGC3640  	NED	LEDA
      81	E	NGC3641   	170.286621	+03.194489	1	 1	0	1780	25.9	-21.85	 0.18	-4.9	 0.97	NGC3641  	NED	LEDA
      82	E	NGC3648   	170.631195	+39.876972	0	 0	0	1970	31.9	-23.06	 0.09	-2.0	 1.12	NGC3648  	NED	LEDA
      83	E	NGC3658   	170.992706	+38.562424	0	 0	0	2039	32.7	-23.45	 0.09	-2.2	 1.28	NGC3658  	NED	LEDA
      84	E	NGC3665   	171.181793	+38.762791	0	 0	0	2069	33.1	-24.92	 0.08	-2.1	 1.49	NGC3665  	NED	LEDA
      85	E	NGC3674   	171.610870	+57.048290	0	 0	0	2055	33.4	-23.23	 0.06	-1.9	 1.05	NGC3674  	NED	LEDA
      86	E	NGC3694   	172.225571	+35.413857	0	 0	0	2243	35.2	-22.35	 0.10	-5.0	 1.02	NGC3694  	NED	LEDA
      87	E	NGC3757   	174.261765	+58.415649	0	 0	0	1245	22.6	-22.15	 0.06	-2.0	 0.95	NGC3757  	NED	LEDA
      88	E	NGC3796   	175.129776	+60.298958	0	 0	0	1250	22.7	-21.84	 0.06	 0.0	 1.06	NGC3796  	NED	LEDA
      89	E	NGC3838   	176.057205	+57.948101	0	 0	0	1308	23.5	-22.52	 0.05	 0.0	 1.04	NGC3838  	NED	LEDA
      90	E	NGC3941   	178.230667	+36.986378	1	 2	0	 930	11.9	-23.06	 0.09	-2.0	 1.40	NGC3941  	NED	LEDA
      91	E	NGC3945   	178.307190	+60.675560	0	 0	0	1281	23.2	-24.31	 0.12	-1.2	 1.45	NGC3945  	NED	LEDA
      92	E	NGC3998   	179.484039	+55.453564	1	 2	0	1048	13.7	-23.33	 0.07	-2.1	 1.30	NGC3998  	NED	LEDA
      93	E	NGC4026   	179.854950	+50.961689	1	 2	0	 985	13.2	-23.03	 0.09	-1.8	 1.31	NGC4026  	NED	LEDA
      94	E	NGC4036   	180.362045	+61.895699	0	 0	0	1385	24.6	-24.40	 0.10	-2.6	 1.46	NGC4036  	NED	LEDA
      95	E	NGC4078   	181.198456	+10.595537	0	 0	0	2546	38.1	-22.99	 0.11	-2.0	 0.92	NGC4078  	NED	LEDA
      96	E	NGC4111   	181.763031	+43.065392	1	 1	0	 792	14.6	-23.27	 0.06	-1.4	 1.08	NGC4111  	NED	LEDA
      97	E	NGC4119   	182.040176	+10.378720	0	 0	1	1656	16.5	-22.60	 0.12	-1.3	 1.60	NGC4119  	NED	LEDA
      98	E	NGC4143   	182.400360	+42.534218	1	 2	0	 946	15.5	-23.10	 0.05	-1.9	 1.39	NGC4143  	NED	LEDA
      99	E	NGC4150   	182.640228	+30.401487	1	 4	0	 208	13.4	-21.65	 0.08	-2.1	 1.20	NGC4150  	NED	LEDA
     100	E	NGC4168   	183.071808	+13.205354	0	 1	0	2286	30.9	-24.03	 0.16	-4.8	 1.48	NGC4168  	NED	LEDA
     101	E	NGC4179   	183.217087	+01.299673	0	 0	1	1300	16.5	-23.18	 0.14	-1.9	 1.30	NGC4179  	NED	LEDA
     102	E	NGC4191   	183.459915	+07.200842	0	 0	0	2646	39.2	-23.10	 0.09	-1.8	 1.06	NGC4191  	NED	LEDA
     103	E	NGC4203   	183.770935	+33.197243	1	 2	0	1087	14.7	-23.44	 0.05	-2.7	 1.47	NGC4203  	NED	LEDA
     104	E	NGC4215   	183.977142	+06.401132	0	 0	0	2011	31.5	-23.43	 0.07	-0.9	 1.18	NGC4215  	NED	LEDA
     105	E	NGC4233   	184.282043	+07.624434	0	 1	0	2306	33.9	-23.88	 0.10	-2.0	 1.19	NGC4233  	NED	LEDA
     106	E	NGC4249   	184.497650	+05.598720	0	 0	0	2618	38.7	-21.98	 0.09	-1.3	 1.10	NGC4249  	NED	LEDA
     107	E	NGC4251   	184.534607	+28.175299	1	 1	0	1066	19.1	-23.68	 0.10	-1.9	 1.29	NGC4251  	NED	LEDA
     108	E	NGC4255   	184.734100	+04.785923	0	 0	0	1995	31.2	-22.99	 0.09	-1.9	 1.10	NGC4255  	NED	LEDA
     109	E	NGC4259   	184.842468	+05.376242	0	 0	0	2497	37.2	-22.19	 0.08	-2.0	 0.89	NGC4259  	NED	LEDA
     110	E	NGC4261   	184.846924	+05.824710	1	 5	0	2212	30.8	-25.18	 0.08	-4.8	 1.58	NGC4261  	NED	LEDA
     111	E	NGC4262   	184.877426	+14.877717	2	 1	1	1375	15.4	-22.60	 0.16	-2.7	 1.10	NGC4262  	NED	LEDA
     112	E	NGC4264   	184.899078	+05.846804	0	 0	0	2518	37.5	-23.00	 0.08	-1.1	 1.14	NGC4264  	NED	LEDA
     113	E	NGC4267   	184.938675	+12.798356	2	 1	1	1021	15.8	-23.18	 0.20	-2.7	 1.58	NGC4267  	NED	LEDA
     114	E	NGC4268   	184.946762	+05.283650	0	 0	0	2034	31.7	-23.05	 0.08	-0.3	 1.20	NGC4268  	NED	LEDA
     115	E	NGC4270   	184.955978	+05.463371	0	 0	0	2331	35.2	-23.69	 0.08	-2.0	 1.21	NGC4270  	NED	LEDA
     116	E	NGC4278   	185.028320	+29.280619	1	 9	0	 620	15.6	-23.80	 0.13	-4.8	 1.50	NGC4278  	NED	LEDA
     117	E	NGC4281   	185.089691	+05.386430	0	 1	0	2671	24.4	-24.01	 0.09	-1.5	 1.34	NGC4281  	NED	LEDA
     118	E	NGC4283   	185.086609	+29.310898	1	 3	0	1056	15.3	-21.80	 0.11	-4.8	 1.09	NGC4283  	NED	LEDA
     119	E	NGC4324   	185.775726	+05.250488	0	 0	1	1665	16.5	-22.61	 0.10	-0.9	 1.30	NGC4324  	NED	LEDA
     120	E	NGC4339   	185.895599	+06.081713	1	 3	1	1266	16.0	-22.49	 0.11	-4.7	 1.48	NGC4339  	NED	LEDA
     121	E	NGC4340   	185.897141	+16.722195	0	 2	1	 933	18.4	-23.01	 0.11	-1.2	 1.57	NGC4340  	NED	LEDA
     122	E	NGC4342   	185.912598	+07.053936	0	 0	1	 761	16.5	-22.07	 0.09	-3.4	 0.82	NGC4342  	NED	LEDA
     123	E	NGC4346   	185.866425	+46.993881	1	 1	0	 832	13.9	-22.55	 0.05	-2.0	 1.29	NGC4346  	NED	LEDA
     124	E	NGC4350   	185.990891	+16.693356	0	 2	1	1210	15.4	-23.13	 0.12	-1.8	 1.23	NGC4350  	NED	LEDA
     125	E	NGC4365   	186.117615	+07.317520	2	13	0	1243	23.3	-25.21	 0.09	-4.8	 1.72	NGC4365  	NED	LEDA
     126	E	NGC4371   	186.230957	+11.704288	2	 1	1	 933	17.0	-23.45	 0.16	-1.3	 1.47	NGC4371  	NED	LEDA
     127	E	NGC4374   	186.265747	+12.886960	2	13	1	1017	18.5	-25.12	 0.18	-4.3	 1.72	NGC4374  	NED	LEDA
     128	E	NGC4377   	186.301285	+14.762218	2	 1	1	1338	17.8	-22.43	 0.17	-2.6	 1.13	NGC4377  	NED	LEDA
     129	E	NGC4379   	186.311386	+15.607498	2	 2	1	1074	15.8	-22.24	 0.10	-2.8	 1.27	NGC4379  	NED	LEDA
     130	E	NGC4382   	186.350220	+18.191080	2	 7	1	 746	17.9	-25.13	 0.13	-1.3	 1.82	NGC4382  	NED	LEDA
     131	E	NGC4387   	186.423813	+12.810359	2	 3	1	 565	17.9	-22.13	 0.14	-4.9	 1.20	NGC4387  	NED	LEDA
     132	E	NGC4406   	186.549225	+12.945970	2	15	1	-224	16.8	-25.04	 0.13	-4.8	 1.97	NGC4406  	NED	LEDA
     133	E	NGC4417   	186.710938	+09.584117	2	 1	1	 828	16.0	-22.86	 0.11	-1.9	 1.25	NGC4417  	NED	LEDA
     134	E	NGC4425   	186.805664	+12.734803	0	 0	1	1908	16.5	-22.09	 0.13	-0.6	 1.38	NGC4425  	NED	LEDA
     135	E	NGC4429   	186.860657	+11.107540	0	 0	1	1104	16.5	-24.32	 0.14	-1.1	 1.62	NGC4429  	NED	LEDA
     136	E	NGC4434   	186.902832	+08.154311	2	 5	0	1070	22.4	-22.55	 0.10	-4.8	 1.16	NGC4434  	NED	LEDA
     137	E	NGC4435   	186.918762	+13.079021	2	 0	1	 791	16.7	-23.83	 0.13	-2.1	 1.49	NGC4435  	NED	LEDA
     138	E	NGC4442   	187.016220	+09.803620	2	 1	1	 547	15.3	-23.63	 0.09	-1.9	 1.44	NGC4442  	NED	LEDA
     139	E	NGC4452   	187.180417	+11.755000	0	 2	1	 188	15.6	-21.88	 0.13	-2.0	 1.30	NGC4452  	NED	LEDA
     140	E	NGC4458   	187.239716	+13.241916	2	 8	1	 677	16.4	-21.76	 0.10	-4.8	 1.37	NGC4458  	NED	LEDA
     141	E	NGC4459   	187.250107	+13.978580	2	 3	1	1192	16.1	-23.89	 0.19	-1.4	 1.56	NGC4459  	NED	LEDA
     142	E	NGC4461   	187.262543	+13.183857	0	 0	1	1924	16.5	-23.08	 0.10	-0.8	 1.40	NGC4461  	NED	LEDA
     143	E	NGC4472   	187.444992	+08.000410	2	18	1	 981	17.1	-25.78	 0.10	-4.8	 1.98	NGC4472  	NED	LEDA
