galaxy	point_index	observed_speed_km_s	observed_speed_error_km_s
GASS10019	12	1.157000000000e+02	1.260000000000e+01
GASS10019	13	1.295000000000e+02	1.430000000000e+01
GASS10019	14	1.099000000000e+02	1.610000000000e+01
GASS10019	15	1.365000000000e+02	1.740000000000e+01
GASS10019	16	1.268000000000e+02	1.040000000000e+01
GASS10019	17	1.388000000000e+02	9.500000000000e+00
GASS10019	18	1.376000000000e+02	5.800000000000e+00
GASS10019	19	1.368000000000e+02	5.000000000000e+00
GASS10019	20	1.501000000000e+02	6.000000000000e+00
GASS10019	21	1.389000000000e+02	6.700000000000e+00
GASS10019	22	1.379000000000e+02	4.100000000000e+00
GASS10019	23	1.458000000000e+02	4.400000000000e+00
GASS10019	24	1.327000000000e+02	8.000000000000e+00
GASS10404	2	2.372000000000e+01	1.200000000000e+01
GASS10404	3	3.878000000000e+01	1.150000000000e+01
GASS10404	4	4.362000000000e+01	8.700000000000e+00
GASS10404	5	4.328000000000e+01	1.360000000000e+01
GASS10404	6	5.442000000000e+01	1.150000000000e+01
GASS10404	7	5.138000000000e+01	1.050000000000e+01
GASS10404	8	6.742000000000e+01	1.010000000000e+01
GASS10404	9	6.608000000000e+01	9.000000000000e+00
GASS10404	10	7.902000000000e+01	8.500000000000e+00
GASS10404	11	7.278000000000e+01	7.600000000000e+00
GASS10404	12	7.972000000000e+01	7.100000000000e+00
GASS10404	13	9.778000000000e+01	7.300000000000e+00
GASS10404	14	9.942000000000e+01	5.800000000000e+00
GASS10404	15	9.568000000000e+01	5.300000000000e+00
GASS10404	16	9.762000000000e+01	5.600000000000e+00
GASS10404	17	1.154800000000e+02	4.900000000000e+00
GASS10404	18	1.042200000000e+02	4.200000000000e+00
GASS10404	19	1.004800000000e+02	3.900000000000e+00
GASS10404	20	1.009200000000e+02	3.500000000000e+00
GASS10404	21	9.758000000000e+01	3.000000000000e+00
GASS10404	22	1.041200000000e+02	3.000000000000e+00
GASS10404	23	9.778000000000e+01	2.700000000000e+00
GASS10404	24	8.852000000000e+01	2.500000000000e+00
GASS10404	25	1.227800000000e+02	2.400000000000e+00
GASS10404	26	1.029200000000e+02	2.500000000000e+00
GASS10404	27	1.124800000000e+02	2.700000000000e+00
GASS10404	28	1.183200000000e+02	2.900000000000e+00
GASS10404	29	1.184800000000e+02	3.000000000000e+00
GASS10404	30	9.882000000000e+01	3.400000000000e+00
GASS10404	31	1.277800000000e+02	3.800000000000e+00
GASS10404	32	1.257200000000e+02	4.300000000000e+00
GASS10404	33	1.328800000000e+02	4.500000000000e+00
GASS10404	34	1.143200000000e+02	4.800000000000e+00
GASS10404	35	1.380800000000e+02	5.700000000000e+00
GASS10404	36	1.194200000000e+02	6.500000000000e+00
GASS10404	37	1.025800000000e+02	6.600000000000e+00
GASS10404	38	1.069200000000e+02	8.600000000000e+00
GASS10404	39	1.213800000000e+02	7.400000000000e+00
GASS10404	40	1.037800000000e+02	8.800000000000e+00
GASS10404	41	1.526200000000e+02	9.800000000000e+00
GASS10404	42	1.034800000000e+02	1.000000000000e+01
GASS10404	43	1.627200000000e+02	9.700000000000e+00
GASS10404	44	1.504800000000e+02	1.070000000000e+01
GASS10404	45	1.427800000000e+02	1.390000000000e+01
GASS10404	46	1.587800000000e+02	1.400000000000e+01
GASS10404	47	1.529200000000e+02	1.110000000000e+01
GASS10404	48	1.567800000000e+02	1.020000000000e+01
GASS10404	49	1.660200000000e+02	1.110000000000e+01
GASS10404	50	1.394800000000e+02	1.400000000000e+01
GASS10827	2	1.563000000000e+01	1.020000000000e+01
GASS10827	3	2.197000000000e+01	8.200000000000e+00
GASS10827	4	2.433000000000e+01	1.150000000000e+01
GASS10827	5	5.657000000000e+01	9.900000000000e+00
GASS10827	6	3.963000000000e+01	8.700000000000e+00
GASS10827	7	8.307000000000e+01	6.900000000000e+00
GASS10827	8	6.193000000000e+01	5.700000000000e+00
GASS10827	9	4.757000000000e+01	5.100000000000e+00
GASS10827	10	5.613000000000e+01	4.500000000000e+00
GASS10827	11	6.733000000000e+01	3.900000000000e+00
GASS10827	12	5.857000000000e+01	3.800000000000e+00
GASS10827	13	7.003000000000e+01	3.800000000000e+00
GASS10827	14	8.123000000000e+01	4.100000000000e+00
GASS10827	15	7.753000000000e+01	4.200000000000e+00
GASS10827	16	1.013300000000e+02	4.600000000000e+00
GASS10827	17	1.164300000000e+02	5.200000000000e+00
GASS10827	18	8.343000000000e+01	5.800000000000e+00
GASS10827	19	1.400300000000e+02	6.800000000000e+00
GASS10827	20	1.342300000000e+02	8.100000000000e+00
GASS10827	21	1.325300000000e+02	1.050000000000e+01
GASS10827	22	1.330300000000e+02	1.020000000000e+01
GASS10827	23	1.327300000000e+02	8.000000000000e+00
GASS10827	24	1.662300000000e+02	9.300000000000e+00
GASS10831	1	4.120000000000e+01	2.700000000000e+00
GASS10831	2	4.990000000000e+01	2.000000000000e+00
GASS10831	3	8.250000000000e+01	1.700000000000e+00
GASS10831	4	9.380000000000e+01	1.700000000000e+00
GASS10831	5	1.088000000000e+02	1.900000000000e+00
GASS10831	6	1.134000000000e+02	2.500000000000e+00
GASS10831	7	1.265000000000e+02	3.300000000000e+00
GASS10831	8	1.297000000000e+02	3.400000000000e+00
GASS10831	9	1.400000000000e+02	3.100000000000e+00
GASS10831	10	1.418000000000e+02	2.600000000000e+00
GASS10831	11	1.444000000000e+02	2.100000000000e+00
GASS10831	12	1.470000000000e+02	2.100000000000e+00
GASS10831	13	1.565000000000e+02	2.200000000000e+00
GASS10831	14	1.589000000000e+02	2.700000000000e+00
GASS10831	15	1.496000000000e+02	4.000000000000e+00
GASS10831	16	1.560000000000e+02	7.100000000000e+00
GASS10831	17	1.488000000000e+02	1.010000000000e+01
GASS10831	18	1.271000000000e+02	1.660000000000e+01
GASS10841	2	2.210000000000e+01	1.800000000000e+00
GASS10841	3	1.300000000000e+01	2.700000000000e+00
GASS10841	4	2.900000000000e+01	2.800000000000e+00
GASS10841	6	3.970000000000e+01	5.200000000000e+00
GASS10841	7	9.000000000000e+00	7.900000000000e+00
GASS10841	8	5.670000000000e+01	9.000000000000e+00
GASS10841	9	3.050000000000e+01	7.600000000000e+00
GASS10841	10	7.000000000000e+01	7.800000000000e+00
GASS10841	11	4.100000000000e+01	5.700000000000e+00
GASS10841	12	8.530000000000e+01	5.000000000000e+00
GASS10841	13	9.680000000000e+01	4.300000000000e+00
GASS10841	14	8.190000000000e+01	3.800000000000e+00
GASS10841	15	9.970000000000e+01	3.200000000000e+00
GASS10841	16	1.093000000000e+02	2.700000000000e+00
GASS10841	17	1.241000000000e+02	2.700000000000e+00
GASS10841	18	1.247000000000e+02	2.700000000000e+00
GASS10841	19	1.320000000000e+02	3.100000000000e+00
GASS10841	20	1.348000000000e+02	3.400000000000e+00
GASS10841	21	1.303000000000e+02	3.600000000000e+00
GASS10841	22	1.660000000000e+02	4.600000000000e+00
GASS10841	23	1.657000000000e+02	5.500000000000e+00
GASS10841	24	1.384000000000e+02	6.000000000000e+00
GASS10841	25	1.461000000000e+02	6.600000000000e+00
GASS10841	26	1.420000000000e+02	6.800000000000e+00
GASS10841	27	1.343000000000e+02	7.900000000000e+00
GASS10841	28	1.483000000000e+02	6.100000000000e+00
GASS10841	29	1.331000000000e+02	6.000000000000e+00
GASS10841	30	1.274000000000e+02	6.600000000000e+00
GASS10841	31	1.424000000000e+02	5.600000000000e+00
GASS10841	32	1.395000000000e+02	7.100000000000e+00
GASS10841	33	1.311000000000e+02	4.500000000000e+00
GASS10841	34	1.417000000000e+02	5.400000000000e+00
GASS10841	35	1.499000000000e+02	5.300000000000e+00
GASS10850	0	1.900000000000e+01	1.350000000000e+01
GASS10850	1	3.210000000000e+01	6.100000000000e+00
GASS10850	2	1.650000000000e+01	7.100000000000e+00
GASS10850	3	4.210000000000e+01	5.900000000000e+00
GASS10850	4	3.300000000000e+01	5.300000000000e+00
GASS10850	5	4.260000000000e+01	5.500000000000e+00
GASS10850	6	5.290000000000e+01	5.300000000000e+00
GASS10850	7	5.040000000000e+01	5.400000000000e+00
GASS10850	8	6.160000000000e+01	6.200000000000e+00
GASS10850	9	6.050000000000e+01	7.100000000000e+00
GASS10850	10	7.720000000000e+01	6.900000000000e+00
GASS10850	11	7.750000000000e+01	7.400000000000e+00
GASS10850	12	9.090000000000e+01	7.500000000000e+00
GASS10850	13	8.690000000000e+01	7.300000000000e+00
GASS10850	14	1.104000000000e+02	6.500000000000e+00
GASS10850	15	9.320000000000e+01	5.800000000000e+00
GASS10850	16	1.185000000000e+02	5.600000000000e+00
GASS10850	17	1.203000000000e+02	5.000000000000e+00
GASS10850	18	1.195000000000e+02	6.100000000000e+00
GASS10850	19	1.214000000000e+02	5.900000000000e+00
GASS10850	20	1.214000000000e+02	8.000000000000e+00
GASS10850	21	1.368000000000e+02	6.800000000000e+00
GASS10850	22	1.275000000000e+02	8.100000000000e+00
GASS10850	23	1.492000000000e+02	7.600000000000e+00
GASS10850	24	1.355000000000e+02	7.600000000000e+00
GASS10850	25	1.438000000000e+02	6.900000000000e+00
GASS10850	26	1.328000000000e+02	6.300000000000e+00
GASS10850	27	1.428000000000e+02	6.300000000000e+00
GASS10850	28	1.428000000000e+02	5.200000000000e+00
GASS10850	29	1.566000000000e+02	4.800000000000e+00
GASS10850	30	1.476000000000e+02	4.400000000000e+00
GASS10850	31	1.533000000000e+02	4.300000000000e+00
GASS10850	32	1.464000000000e+02	4.400000000000e+00
GASS10850	33	1.610000000000e+02	4.900000000000e+00
GASS10850	34	1.638000000000e+02	5.300000000000e+00
GASS10850	35	1.707000000000e+02	6.900000000000e+00
GASS10850	36	1.936000000000e+02	8.700000000000e+00
GASS10850	37	1.810000000000e+02	9.300000000000e+00
GASS10884	0	4.775000000000e+01	5.500000000000e+00
GASS10884	1	5.565000000000e+01	5.200000000000e+00
GASS10884	2	8.075000000000e+01	5.700000000000e+00
GASS10884	3	1.004500000000e+02	6.100000000000e+00
GASS10884	4	1.059500000000e+02	6.800000000000e+00
GASS10884	5	1.370500000000e+02	8.100000000000e+00
GASS10884	6	1.367500000000e+02	7.700000000000e+00
GASS10884	7	1.398500000000e+02	8.200000000000e+00
GASS10884	8	1.481500000000e+02	6.600000000000e+00
GASS10884	9	1.479500000000e+02	7.200000000000e+00
GASS10884	10	1.655500000000e+02	7.700000000000e+00
GASS10884	11	1.552500000000e+02	9.900000000000e+00
GASS10884	12	1.590500000000e+02	1.260000000000e+01
GASS10884	13	1.060500000000e+02	2.540000000000e+01
GASS10884	14	1.402500000000e+02	2.720000000000e+01
GASS10884	15	1.245500000000e+02	2.540000000000e+01
GASS10943	1	1.240000000000e+01	6.400000000000e+00
GASS10943	2	3.440000000000e+01	6.100000000000e+00
GASS10943	3	5.180000000000e+01	7.900000000000e+00
GASS10943	4	5.970000000000e+01	1.210000000000e+01
GASS10943	5	6.210000000000e+01	1.280000000000e+01
GASS10943	6	6.470000000000e+01	1.180000000000e+01
GASS10943	7	7.480000000000e+01	1.070000000000e+01
GASS10943	8	7.850000000000e+01	3.800000000000e+00
GASS10943	9	1.063000000000e+02	2.200000000000e+00
GASS10943	10	1.039000000000e+02	2.300000000000e+00
GASS10943	11	9.580000000000e+01	3.300000000000e+00
GASS10943	12	1.138000000000e+02	5.000000000000e+00
GASS10943	13	8.920000000000e+01	6.000000000000e+00
GASS10943	14	1.071000000000e+02	8.300000000000e+00
GASS10943	15	7.010000000000e+01	1.240000000000e+01
GASS10943	16	9.340000000000e+01	1.680000000000e+01
GASS10943	17	1.040000000000e+02	1.590000000000e+01
GASS10943	18	1.640000000000e+02	2.510000000000e+01
GASS10943	19	1.965000000000e+02	2.730000000000e+01
GASS10948	2	1.995000000000e+01	4.300000000000e+00
GASS10948	3	2.175000000000e+01	4.000000000000e+00
GASS10948	4	2.085000000000e+01	4.100000000000e+00
GASS10948	5	3.425000000000e+01	4.500000000000e+00
GASS10948	6	2.475000000000e+01	4.800000000000e+00
GASS10948	7	3.785000000000e+01	4.900000000000e+00
GASS10948	8	5.275000000000e+01	5.200000000000e+00
GASS10948	9	4.905000000000e+01	5.600000000000e+00
GASS10948	10	5.595000000000e+01	6.400000000000e+00
GASS10948	11	5.685000000000e+01	5.900000000000e+00
GASS10948	12	6.015000000000e+01	6.300000000000e+00
GASS10948	13	6.075000000000e+01	6.400000000000e+00
GASS10948	14	7.325000000000e+01	6.100000000000e+00
GASS10948	15	7.005000000000e+01	6.600000000000e+00
GASS10948	16	8.905000000000e+01	6.700000000000e+00
GASS10948	17	8.055000000000e+01	6.300000000000e+00
GASS10948	18	9.285000000000e+01	6.500000000000e+00
GASS10948	19	8.575000000000e+01	6.300000000000e+00
GASS10948	20	9.175000000000e+01	5.900000000000e+00
GASS10948	21	8.855000000000e+01	5.800000000000e+00
GASS10948	22	9.495000000000e+01	6.000000000000e+00
GASS10948	23	1.044500000000e+02	5.800000000000e+00
GASS10948	24	1.029500000000e+02	5.900000000000e+00
GASS10948	25	1.053500000000e+02	6.400000000000e+00
GASS10948	26	1.013500000000e+02	6.400000000000e+00
GASS10948	27	1.037500000000e+02	6.400000000000e+00
GASS10948	28	1.160500000000e+02	6.900000000000e+00
GASS10948	29	1.045500000000e+02	6.200000000000e+00
GASS10948	30	1.133500000000e+02	6.400000000000e+00
GASS10948	31	1.149500000000e+02	4.600000000000e+00
GASS10948	32	1.205500000000e+02	5.500000000000e+00
GASS10948	33	1.291500000000e+02	7.500000000000e+00
GASS10948	34	1.112500000000e+02	1.070000000000e+01
GASS10948	35	1.386500000000e+02	1.220000000000e+01
GASS10948	36	1.389500000000e+02	1.750000000000e+01
GASS10949	2	1.823000000000e+01	9.400000000000e+00
GASS10949	3	2.807000000000e+01	8.000000000000e+00
GASS10949	4	2.923000000000e+01	6.900000000000e+00
GASS10949	5	3.417000000000e+01	8.600000000000e+00
GASS10949	6	4.193000000000e+01	7.800000000000e+00
GASS10949	7	4.647000000000e+01	7.800000000000e+00
GASS10949	8	3.683000000000e+01	7.300000000000e+00
GASS10949	9	5.537000000000e+01	7.600000000000e+00
GASS10949	10	4.953000000000e+01	7.300000000000e+00
GASS10949	11	5.977000000000e+01	7.100000000000e+00
GASS10949	12	6.553000000000e+01	6.700000000000e+00
GASS10949	13	6.337000000000e+01	6.300000000000e+00
GASS10949	14	5.213000000000e+01	6.500000000000e+00
GASS10949	15	6.677000000000e+01	6.300000000000e+00
GASS10949	16	6.733000000000e+01	5.300000000000e+00
GASS10949	17	9.687000000000e+01	5.300000000000e+00
GASS10949	18	7.083000000000e+01	5.700000000000e+00
GASS10949	19	7.067000000000e+01	5.600000000000e+00
GASS10949	20	7.263000000000e+01	5.000000000000e+00
GASS10949	21	6.887000000000e+01	4.600000000000e+00
GASS10949	22	8.123000000000e+01	4.500000000000e+00
GASS10949	23	8.967000000000e+01	4.300000000000e+00
GASS10949	24	9.253000000000e+01	3.900000000000e+00
GASS10949	25	9.737000000000e+01	3.800000000000e+00
GASS10949	26	9.473000000000e+01	3.500000000000e+00
GASS10949	27	8.067000000000e+01	3.200000000000e+00
GASS10949	28	8.953000000000e+01	3.100000000000e+00
GASS10949	29	9.947000000000e+01	2.700000000000e+00
GASS10949	30	9.693000000000e+01	2.400000000000e+00
GASS10949	31	1.045700000000e+02	2.300000000000e+00
GASS10949	32	7.703000000000e+01	1.900000000000e+00
GASS10949	33	1.052700000000e+02	1.800000000000e+00
GASS10949	34	1.122300000000e+02	1.600000000000e+00
GASS10949	35	9.637000000000e+01	1.600000000000e+00
GASS10949	36	1.173300000000e+02	1.700000000000e+00
GASS10949	37	9.877000000000e+01	1.800000000000e+00
GASS10949	38	1.016300000000e+02	2.000000000000e+00
GASS10949	39	8.867000000000e+01	2.300000000000e+00
GASS10949	40	1.079300000000e+02	2.600000000000e+00
GASS10949	41	1.229700000000e+02	2.900000000000e+00
GASS10949	42	1.288300000000e+02	3.200000000000e+00
GASS10949	43	8.887000000000e+01	3.500000000000e+00
GASS10949	44	9.243000000000e+01	4.300000000000e+00
GASS10949	45	7.597000000000e+01	4.100000000000e+00
GASS10949	46	9.543000000000e+01	4.500000000000e+00
GASS10949	47	1.008700000000e+02	4.800000000000e+00
GASS10949	48	1.042300000000e+02	5.400000000000e+00
GASS10949	49	1.121700000000e+02	5.500000000000e+00
GASS10949	50	9.843000000000e+01	5.200000000000e+00
GASS10949	51	9.417000000000e+01	5.800000000000e+00
GASS10949	52	9.783000000000e+01	5.800000000000e+00
GASS10949	53	8.997000000000e+01	6.200000000000e+00
GASS10949	54	1.441300000000e+02	6.000000000000e+00
GASS10949	55	1.203300000000e+02	6.500000000000e+00
GASS10949	56	1.075700000000e+02	7.900000000000e+00
GASS10949	57	1.043300000000e+02	7.000000000000e+00
GASS10949	58	9.933000000000e+01	8.000000000000e+00
GASS10949	59	1.108700000000e+02	8.500000000000e+00
GASS10949	60	1.150300000000e+02	9.800000000000e+00
GASS10949	61	1.064700000000e+02	8.200000000000e+00
GASS10949	62	1.292300000000e+02	8.600000000000e+00
GASS10949	63	1.299700000000e+02	7.000000000000e+00
GASS10949	64	1.133300000000e+02	8.100000000000e+00
GASS10949	65	1.322300000000e+02	9.200000000000e+00
GASS10949	66	1.113700000000e+02	8.300000000000e+00
GASS10949	67	1.160300000000e+02	9.300000000000e+00
GASS11019	2	2.686000000000e+01	2.200000000000e+00
GASS11019	3	2.724000000000e+01	1.900000000000e+00
GASS11019	4	4.306000000000e+01	1.100000000000e+00
GASS11019	5	4.454000000000e+01	2.100000000000e+00
GASS11019	6	4.966000000000e+01	2.200000000000e+00
GASS11019	7	5.114000000000e+01	2.600000000000e+00
GASS11019	8	5.806000000000e+01	2.800000000000e+00
GASS11019	9	6.564000000000e+01	2.600000000000e+00
GASS11019	10	6.606000000000e+01	2.700000000000e+00
GASS11019	11	8.064000000000e+01	2.800000000000e+00
GASS11019	12	7.296000000000e+01	3.000000000000e+00
GASS11019	13	8.384000000000e+01	2.800000000000e+00
GASS11019	14	8.266000000000e+01	2.600000000000e+00
GASS11019	15	8.814000000000e+01	2.500000000000e+00
GASS11019	16	8.326000000000e+01	2.500000000000e+00
GASS11019	17	9.354000000000e+01	2.500000000000e+00
GASS11019	18	8.716000000000e+01	2.500000000000e+00
GASS11019	19	1.029400000000e+02	2.800000000000e+00
GASS11019	20	9.616000000000e+01	2.700000000000e+00
GASS11019	21	9.904000000000e+01	2.400000000000e+00
GASS11019	22	1.006600000000e+02	2.300000000000e+00
GASS11019	23	1.012400000000e+02	2.500000000000e+00
GASS11019	24	1.023600000000e+02	2.900000000000e+00
GASS11019	25	1.014400000000e+02	3.200000000000e+00
GASS11019	26	9.594000000000e+01	3.200000000000e+00
GASS11019	27	1.101600000000e+02	3.100000000000e+00
GASS11019	28	1.028400000000e+02	3.000000000000e+00
GASS11019	29	1.064600000000e+02	2.800000000000e+00
GASS11019	30	1.109600000000e+02	2.600000000000e+00
GASS11019	31	1.050600000000e+02	2.400000000000e+00
GASS11019	32	1.034400000000e+02	2.400000000000e+00
GASS11019	33	1.014600000000e+02	2.400000000000e+00
GASS11019	34	9.664000000000e+01	2.400000000000e+00
GASS11019	35	1.158600000000e+02	2.300000000000e+00
GASS11019	36	1.255600000000e+02	3.800000000000e+00
GASS11019	37	1.273600000000e+02	5.000000000000e+00
GASS11087	2	3.696000000000e+01	8.100000000000e+00
GASS11087	3	3.284000000000e+01	9.800000000000e+00
GASS11087	4	5.626000000000e+01	1.090000000000e+01
GASS11087	5	6.064000000000e+01	1.060000000000e+01
GASS11087	6	8.646000000000e+01	1.190000000000e+01
GASS11087	7	6.824000000000e+01	1.020000000000e+01
GASS11087	8	9.566000000000e+01	1.180000000000e+01
GASS11087	9	8.144000000000e+01	1.180000000000e+01
GASS11087	10	9.236000000000e+01	1.110000000000e+01
GASS11087	11	1.211400000000e+02	1.140000000000e+01
GASS11087	12	1.193600000000e+02	1.070000000000e+01
GASS11087	13	1.047400000000e+02	1.070000000000e+01
GASS11087	14	1.404600000000e+02	1.260000000000e+01
GASS11087	15	1.273400000000e+02	9.500000000000e+00
GASS11087	16	1.538600000000e+02	1.190000000000e+01
GASS11087	17	1.421400000000e+02	1.410000000000e+01
GASS11087	18	1.570600000000e+02	1.110000000000e+01
GASS11087	19	1.565400000000e+02	9.500000000000e+00
GASS11087	20	1.775400000000e+02	9.400000000000e+00
GASS11087	21	1.875400000000e+02	7.900000000000e+00
GASS11087	22	1.884400000000e+02	7.700000000000e+00
GASS11087	23	1.943400000000e+02	8.400000000000e+00
GASS11087	24	2.141400000000e+02	7.800000000000e+00
GASS11087	25	2.099400000000e+02	8.900000000000e+00
GASS11087	26	2.303400000000e+02	1.170000000000e+01
GASS11087	27	2.106400000000e+02	1.230000000000e+01
GASS11087	28	2.238400000000e+02	1.410000000000e+01
GASS11087	29	2.261400000000e+02	2.520000000000e+01
GASS11087	30	1.117400000000e+02	5.720000000000e+01
GASS11087	31	2.033400000000e+02	3.880000000000e+01
GASS11120	1	1.855000000000e+01	5.700000000000e+00
GASS11120	2	3.815000000000e+01	8.300000000000e+00
GASS11120	3	5.935000000000e+01	9.300000000000e+00
GASS11120	4	5.945000000000e+01	8.400000000000e+00
GASS11120	5	9.485000000000e+01	6.800000000000e+00
GASS11120	6	9.445000000000e+01	5.300000000000e+00
GASS11120	7	1.066500000000e+02	4.600000000000e+00
