#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table4&-out=Name,mue,e_mue,reff,e_reff,n,e_n,Class,mu0,e_mu0,hi,e_hi,ho,e_ho,rB,e_rB,alpha,e_alpha,ClassD,magPS,e_magPS&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table4:
#Name: J/MNRAS/453/2965/table4
#Title: Decomposition parameters for the GHASP sample in the Rc band obtained at the OHP observatory
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	mue	(F8.5)	? Sersic function surface brightness at the effective radius	[ucd=phot.mag.sb]
#Column	e_mue	(F8.5)	? Error on mue	[ucd=stat.error]
#Column	reff	(F9.5)	? Effective radius of Sersic function	[ucd=phys.angSize]
#Column	e_reff	(F8.5)	? Error on reff	[ucd=stat.error]
#Column	n	(F8.5)	? Sersic index n	[ucd=stat.fit.param]
#Column	e_n	(F8.5)	? Error on n	[ucd=stat.error]
#Column	Class	(a7)	Visual classification of the component	[ucd=src.class]
#Column	mu0	(F8.5)	? Central surface brightness of the disk	[ucd=phot.mag.sb]
#Column	e_mu0	(F8.5)	? Error on mu0	[ucd=stat.error]
#Column	hi	(F9.5)	? (Inner) Disk scale length	[ucd=src.morph.scLength]
#Column	e_hi	(F8.5)	? Error on hi	[ucd=stat.error]
#Column	ho	(F8.5)	? Outer disc scale length	[ucd=src.morph.scLength]
#Column	e_ho	(F9.5)	? Error on ho	[ucd=stat.error]
#Column	rB	(F9.5)	? Break radius	[ucd=stat.fit.param]
#Column	e_rB	(F8.5)	? Error on rB	[ucd=stat.error]
#Column	alpha	(F8.5)	? Smoothing parameter of the broken disk	[ucd=stat.fit.param]
#Column	e_alpha	(F8.5)	? Error on alpha	[ucd=stat.error;pos.eq.ra]
#Column	ClassD	(A8)	Classification of the disk according to breaks/truncation (1)	[ucd=meta.code.class]
#Column	magPS	(F8.5)	? Magnitude of the central point source	[ucd=phot.mag;em.opt.R]
#Column	e_magPS	(F8.5)	? Error on magPS	[ucd=stat.error]
Name	mue	e_mue	reff	e_reff	n	e_n	Class	mu0	e_mu0	hi	e_hi	ho	e_ho	rB	e_rB	alpha	e_alpha	ClassD	magPS	e_magPS
UGC 1317  	18.61900	 0.11391	  1.58220	 0.12107	 0.98405	 0.10281	bulge  	18.98900	 0.05137	 25.73200	 0.54531	        	         	         	        	        	        	Type I  	        	
UGC 1437  	20.59500	 0.05927	  5.52190	 0.23532	 3.24480	 0.12778	bulge  	19.48300	 0.06669	 15.98900	 0.70666	        	         	         	        	        	        	Type I  	        	
UGC 1437  	21.34800	 0.09851	  6.28840	 0.11362	 0.05085	 0.05000	ring   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1655  	18.44000	 0.06326	  8.61220	 0.53280	 1.52530	 0.09889	bulge  	18.73900	 0.29999	 25.69500	 8.96866	        	         	         	        	        	        	Type I  	12.93200	 0.26408
UGC 1736  	25.38300	 0.05039	  8.10670	 0.10101	 5.82340	 0.05015	bulge  	19.55900	 0.05006	 28.39700	 0.14723	        	         	         	        	        	        	Type I  	        	
UGC 1736  	23.19300	 0.17411	  0.10000	 0.53485	 2.17860	 0.05002	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1810  	22.11300	 0.07900	  4.22590	 1.77053	 4.26310	 0.06719	bulge  	20.80300	 0.06724	 39.91700	 1.56949	        	         	         	        	        	        	Type I  	        	
UGC 1810  	20.69800	 0.07604	  8.51110	 0.10433	 0.00065	 0.05007	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1886  	19.72600	 0.05009	  4.28280	 0.10009	 0.19672	 0.05013	bulge  	20.25400	 0.05012	 23.83000	 0.19598	        	         	         	        	        	        	Type I  	12.67500	 0.10001
UGC 1886  	21.88000	 0.05139	 18.45100	 0.10796	 0.05595	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1886  	22.84100	 0.05427	 27.71700	 0.34463	 0.14413	 0.05499	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 1913  	21.23500	 0.05000	  9.23470	 0.10000	 0.85611	 0.05000	bulge  	20.18600	 0.05000	 74.42000	 0.10004	54.95200	  0.12663	236.33000	 0.18426	 1.00000	 0.67026	Type II 	        	
UGC 1913  	21.48500	 0.05000	 23.69000	 0.10000	 0.13948	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2023  	23.35100	 0.10789	 20.99500	 0.35920	 0.21589	 0.05592	bar    	22.07900	 0.08108	 33.13000	 3.46154	        	         	         	        	        	        	Type I  	        	
UGC 2045  	16.80600	 0.05207	  1.25990	 0.10010	 0.06148	 0.05002	bulge  	18.46500	 0.05009	 22.27500	 0.50335	        	         	         	        	        	        	Type I  	        	
UGC 2045  	19.43800	 0.05139	  9.81200	 0.11602	 0.05106	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2053  	        	        	         	        	        	        	---    	22.46700	 0.05000	101.84000	 0.10080	16.27100	  0.10000	 28.75700	 0.10000	16.56000	 2.11157	Type II 	        	
UGC 2080  	22.93700	 0.08524	  6.25260	 0.51257	 2.33300	 0.27414	bulge  	21.05100	 0.08935	 71.59400	12.14641	        	         	         	        	        	        	Type I  	        	
UGC 2080  	21.19500	 0.06741	  5.04040	 0.10864	 0.05086	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2080  	22.00600	 0.09944	 14.70200	 0.29018	 0.11627	 0.06959	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2080  	23.12900	 0.25446	 30.56400	 2.02527	 0.07990	 0.05918	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2141  	20.32400	 0.09576	  9.80100	 0.69852	 0.60536	 0.05791	bulge  	19.22600	 0.17402	 19.30600	 0.89318	        	         	         	        	        	        	Type I  	        	
UGC 2183  	19.05100	 0.05103	  7.14610	 0.10126	 2.35370	 0.08267	bulge  	21.36200	 0.12121	 29.59000	 7.36558	        	         	         	        	        	        	Type I  	        	
UGC 2183  	22.34500	 0.32683	 16.07800	 2.98498	 0.63326	 0.16949	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 2193  	20.99100	 0.05105	  5.07380	 0.11574	 0.05441	 0.05001	bulge  	20.07400	 0.05002	500.00000	 0.10000	21.50100	  0.38048	 14.83100	 0.14144	 1.00000	 0.60620	Type II 	12.69800	 0.10012
UGC 2455  	        	        	         	        	        	        	---    	19.31000	 0.05003	 29.96400	 0.10531	21.34200	  0.27023	 34.03200	 0.18557	 1.00000	 0.44533	Type II 	        	
UGC 2503  	18.13900	 0.05010	  8.34820	 0.11827	 0.68178	 0.05001	bulge  	19.81700	 0.06711	 44.41100	 1.15394	20.72400	  4.49811	 88.32000	 8.60068	 0.24462	 0.22716	Type II 	        	
UGC 2800  	20.30800	 0.11272	  2.16930	 0.25306	 0.00659	 0.05131	nucleus	20.08500	 0.05168	 26.75300	 1.34931	        	         	         	        	        	        	Type I  	        	
UGC 2855  	18.44300	 0.15017	  3.00500	 0.29564	 1.06760	 0.14907	bulge  	18.08300	 0.05966	 38.84100	 2.88114	        	         	         	        	        	        	Type I  	        	
UGC 3013  	21.50400	 0.05003	 27.18300	 0.10025	 3.10650	 0.05008	bulge  	20.62600	 0.05016	 51.60700	 0.12862	        	         	         	        	        	        	Type I  	        	
UGC 3013  	21.47300	 0.05806	 38.36600	 0.45964	 0.13657	 0.05000	arms   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3056  	16.64400	 0.05215	  6.84660	 0.12426	 0.35906	 0.08991	bulge  	16.80900	 0.05253	 22.97400	 0.52207	        	         	         	        	        	        	Type I  	        	
UGC 3056  	19.64300	 0.19501	 15.31000	 0.32052	 0.05138	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3273  	20.87200	 0.13041	  2.21990	 0.15548	 0.05634	 0.05026	bulge  	20.84700	 0.05650	 43.64400	 3.03655	        	         	         	        	        	        	Type I  	        	
UGC 3273  	21.64000	 0.07051	 10.24500	 0.17976	 0.36000	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3273  	22.07800	 0.07725	 19.36700	 0.56783	 0.58841	 0.06024	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3334  	20.07400	 0.05202	  5.15770	 0.25881	 2.97050	 0.18148	nucleus	19.78900	 0.07094	 39.70100	 2.12356	        	         	         	        	        	        	Type I  	        	
UGC 3334  	21.23700	 0.06861	 17.87700	 1.23346	 0.34987	 0.09448	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3334  	20.76700	 0.12600	  7.01720	 0.35315	 0.05258	 0.05001	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3382  	18.33600	 0.05020	  1.72000	 0.10003	 2.34070	 0.05065	bulge  	19.32200	 0.05447	 11.09100	 0.29687	        	         	         	        	        	        	Type I  	        	
UGC 3382  	25.09900	 0.62637	  5.69260	 0.52916	 0.05292	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3384  	22.66700	 0.10510	  8.13730	 0.26298	 0.61615	 0.05457	bulge  	22.33600	 0.21012	 20.83800	 7.81994	        	         	         	        	        	        	Type I  	        	
UGC 3463  	19.71300	 0.11710	  1.71360	 0.10435	 1.00360	 0.15116	bulge  	20.05900	 0.05011	 29.04100	 0.55089	18.34600	  2.63260	 58.05100	 1.51321	 1.00000	 1.56001	Type II 	        	
UGC 3463  	20.90700	 0.06085	  6.40680	 0.10421	 0.17447	 0.05649	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3618  	20.72300	 0.05000	  8.33360	 0.10000	 3.59690	 0.05000	bulge  	20.66600	 0.05000	 15.93000	 0.10000	 9.17570	  0.10000	 46.33300	 0.10000	27.99500	12.70839	Type II 	        	
UGC 3618  	21.71500	 0.05000	  9.94690	 0.10000	 0.12536	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3708  	15.97100	 0.05012	  0.60165	 0.10000	 0.01000	 0.05000	bulge  	19.92100	 0.05009	  9.19120	 0.10066	15.95100	  0.33784	 30.65800	 0.32656	 1.00000	 0.61579	Type III	        	
UGC 3708  	19.19900	 0.05001	  5.89180	 0.10001	 0.44137	 0.05001	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3740  	19.07700	 0.20749	  3.06080	 0.19480	 0.68867	 0.08831	bulge  	19.61100	 0.05341	 30.70600	 1.64165	        	         	         	        	        	        	Type I  	        	
UGC 3809  	19.86700	 0.05019	  6.94490	 0.10713	 1.31830	 0.05028	bulge  	20.47600	 0.05526	 65.87900	13.65937	        	         	         	        	        	        	Type I  	12.54200	 0.10006
UGC 3809  	22.88900	 0.17203	 17.63100	 0.96026	 0.07533	 0.08679	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3851  	20.88700	 0.08868	  1.22960	 0.17621	 2.66980	 0.08979	nucleus	21.87300	 0.06325	500.00000	 0.10000	78.42800	  9.40443	 48.69500	 5.30474	 0.05281	 0.10257	Type II 	        	
UGC 3851  	23.24800	 0.12428	  9.35490	 0.14236	 0.04149	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3876  	22.44400	 0.05189	  8.30580	 0.42352	 1.06300	 0.07136	bulge  	21.25300	 0.06772	 50.00000	 2.18069	18.73100	  3.72254	 37.21800	 0.28478	 1.00000	 1.40257	Type II 	        	
UGC 3876  	22.92500	 0.13239	  7.87450	 0.11764	 0.05085	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 3915  	17.01200	 1.12421	  0.34257	 0.31503	 1.17300	 0.59031	bulge  	19.65700	 0.13106	  9.84800	 0.54532	        	         	         	        	        	        	Type I  	        	
UGC 3915  	20.86800	 0.08865	 13.38100	 0.26739	 0.16936	 0.07272	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4026  	19.71100	 0.05135	  4.19060	 0.11886	 2.61500	 0.15707	bulge  	20.34600	 0.06915	 47.52900	 3.59099	 9.06890	  0.74237	 27.79700	 0.54533	 1.00000	 1.11858	Type II 	        	
UGC 4026  	21.22300	 0.07731	  8.33230	 0.11138	 0.05097	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4165  	20.35200	 0.06593	  1.64310	 0.10420	 0.05816	 0.05019	bulge  	20.19500	 0.05247	 31.04800	 1.75855	        	         	         	        	        	        	Type I  	        	
UGC 4165  	22.12800	 0.11465	  6.89070	 0.24381	 0.04140	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4256  	30.00000	 0.05000	  1.00290	 0.11759	 8.41600	 0.05000	bulge  	20.17100	 0.05000	500.00000	 0.11755	14.47500	  0.10000	  9.40350	 0.10000	 7.28080	 0.10960	Type II 	        	
UGC 4274  	        	        	         	        	        	        	---    	19.92700	 0.31934	 20.05000	 3.69685	        	         	         	        	        	        	Type I  	        	
UGC 4278  	22.54400	 0.07920	 34.11000	 0.93157	 0.36000	 0.05000	bar    	20.38700	 0.05772	 48.03900	 5.04539	        	         	         	        	        	        	Type I  	        	
UGC 4305  	23.50100	 0.09241	 12.80300	 0.69784	 0.14319	 0.08011	bar    	21.53700	 0.06249	 69.35000	11.81042	        	         	         	        	        	        	Type I  	        	
UGC 4325  	        	        	         	        	        	        	---    	21.02700	 0.06379	 38.09200	 4.96911	        	         	         	        	        	        	Type I  	        	
UGC 4393  	18.68300	 0.28939	  0.66993	 0.10289	 0.37181	 0.08963	bulge  	20.61600	 0.11753	 17.36400	 1.70943	        	         	         	        	        	        	Type I  	        	
UGC 4393  	20.51700	 0.05403	  9.93180	 0.30254	 0.70580	 0.05257	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4456  	20.52300	 0.05000	  0.97791	 0.10000	 2.28130	 0.05000	bulge  	21.06200	 0.05000	 17.10200	 0.10002	10.71800	  0.10038	 39.64100	 0.10132	 4.01910	 1.01116	Type II 	        	
UGC 4456  	22.27400	 0.05000	  4.21130	 0.10000	 0.05088	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4456  	22.41300	 0.05000	 11.93500	 0.10000	 0.18999	 0.05000	arms   	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4543  	20.65900	 0.18537	  1.34100	 0.10321	 0.05128	 0.05000	nucleus	21.69800	 0.07395	 23.59400	 9.84591	        	         	         	        	        	        	Type I  	        	
UGC 4543  	22.42600	 0.12899	  7.05930	 0.32457	 0.17830	 0.06547	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 4555  	18.83900	 0.05000	  1.61710	 0.10000	 0.07940	 0.05018	bulge  	20.51700	 0.05000	 29.62100	 0.10079	 9.30370	  0.10222	 29.32000	 0.10301	 1.00000	 0.10366	Type II 	        	
UGC 4936  	30.00000	 0.05000	  0.10000	 0.10000	 6.91490	 0.15666	nucleus	21.03500	 0.20322	 39.60600	14.52334	        	         	         	        	        	        	Type I  	        	
UGC 4936  	21.51900	 0.18510	  7.90740	 1.63915	 0.95662	 0.25044	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5251  	19.27200	 0.07117	  1.79870	 0.10064	 0.05113	 0.05000	nucleus	20.95700	 0.17339	 59.00400	 8.41539	        	         	         	        	        	        	Type I  	        	
UGC 5251  	20.70600	 0.05421	  9.76320	 0.21833	 0.19668	 0.05851	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5251  	21.62600	 0.12472	 36.63900	 1.38880	 0.18653	 0.07079	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5253  	17.12100	 0.05823	  2.47880	 0.10460	 0.10753	 0.05581	nucleus	20.80000	 0.10152	 55.00000	 7.39318	        	         	         	        	        	        	Type I  	        	
UGC 5253  	19.72300	 0.05200	 17.90000	 0.15971	 1.89100	 0.05487	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5272  	23.66700	 0.38915	 16.08800	 1.04589	 0.05097	 0.05000	bar    	22.24300	 0.23764	104.94000	53.69009	        	         	         	        	        	        	Type I  	        	
UGC 5316  	21.53000	 0.05000	  1.57110	 0.10000	 0.05125	 0.05000	nucleus	22.03600	 0.05000	102.80000	 0.10789	23.19700	  0.10355	112.70000	 0.10123	 1.00000	 0.20671	Type II 	        	
UGC 5316  	21.37400	 0.05000	 14.15500	 0.10000	 0.67779	 0.05000	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5316  	22.64500	 0.05000	 28.69000	 0.10000	 0.05094	 0.05000	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5414  	22.81700	 0.18214	 15.00000	 1.57727	 0.57710	 0.43716	bar    	21.20200	 0.08688	 29.89900	 2.50989	        	         	         	        	        	        	Type I  	        	
UGC 5721  	20.79400	 0.07686	 10.83000	 0.54579	 0.53625	 0.06427	bar    	21.57600	 0.10097	 24.79600	 6.45497	        	         	         	        	        	        	Type I  	        	
UGC 5721  	22.50000	 0.23189	 27.65700	 2.76611	 0.36018	 0.12942	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5721  	22.38900	 0.09706	  4.71580	 0.39072	 2.01520	 0.20865	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5786  	18.55500	 0.06010	  6.25570	 0.10918	 0.05144	 0.05000	arm    	21.11700	 0.08233	 33.00000	 6.92162	        	         	         	        	        	        	Type I  	11.82600	 0.10275
UGC 5786  	19.27200	 0.06770	 10.48500	 0.22565	 0.16768	 0.05299	arm    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5786  	20.34600	 0.06600	 18.71100	 0.26342	 0.86757	 0.05956	bulge  	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5789  	19.75000	 0.09275	  1.10380	 0.10552	 0.34540	 0.12414	nucleus	21.60000	 0.13237	 95.00000	14.81734	        	         	         	        	        	        	Type I  	        	
UGC 5789  	21.09800	 0.06913	 20.56800	 0.45922	 0.67119	 0.05073	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5829  	        	        	         	        	        	        	---    	22.29700	 0.09817	 53.37400	10.42448	        	         	         	        	        	        	Type I  	        	
UGC 5842  	21.44000	 0.05329	  3.79830	 0.10157	 1.06960	 0.09720	bulge  	20.41800	 0.05021	 33.15400	 0.25615	15.36300	  2.31546	 62.55600	 3.09322	 1.00000	 2.63080	Type II 	        	
UGC 5931  	18.42500	 0.15673	  1.07070	 0.10688	 0.36233	 0.08352	bulge  	19.29400	 0.05384	 17.49600	 0.58998	        	         	         	        	        	        	Type I  	        	
UGC 5931  	20.38100	 0.09563	  4.68000	 0.13533	 0.05253	 0.05001	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
UGC 5935  	17.94400	 0.05112	  1.41830	 0.10051	 0.05084	 0.05000	bulge  	20.10000	 0.10484	 24.19100	15.89931	        	         	         	        	        	        	Type I  	        	
UGC 5935  	20.17500	 0.06273	  8.51150	 0.33184	 0.06840	 0.05102	bar    	        	        	         	        	        	         	         	        	        	        	        	        	
