#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:33:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:33:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table3&-out=Name,Data,PA,e_PA,e,e_e,i,e_i,r,e_r,Rmag,e_Rmag,reff,e_reff,Rmagtot,e_Rmagtot,Phot&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table3:
#Name: J/MNRAS/453/2965/table3
#Title: Isophotal and integrated photometric parameters in the Rc band at the isophote of 22.5mag/arcsec^2^
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Data	(A4)	Data source	[ucd=meta.code]
#Column	PA	(I3)	[]? Position angle at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=pos.posAng]
#Column	e_PA	(I3)	? Error in PA	[ucd=stat.error]
#Column	e	(F5.2)	? Ellipticity at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.ellipticity]
#Column	e_e	(F5.2)	? rms uncertainty on e	[ucd=stat.error]
#Column	i	(F4.1)	? Inclination at the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=src.orbital.inclination]
#Column	e_i	(F5.1)	? Error in inclination	[ucd=stat.error]
#Column	r	(I3)	? Isophotal radius to the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phys.angSize]
#Column	e_r	(I3)	? Error in isophotal radius	[ucd=stat.error]
#Column	Rmag	(F6.3)	? Integrated magnitude within the isophote of 22.5 or 23.5mag/arcsec^2^	[ucd=phot.mag;em.opt.R]
#Column	e_Rmag	(E9.2)	? Error in the integrated magnitude	[ucd=stat.error;phot.mag;em.opt.R]
#Column	reff	(F5.1)	Effective radius	[ucd=phys.angSize]
#Column	e_reff	(F4.1)	? Error in the effective radius	[ucd=stat.error]
#Column	Rmagtot	(F6.3)	Total magnitude	[ucd=phot.mag;em.opt.R]
#Column	e_Rmagtot	(F6.3)	? Error in total magnitude	[ucd=stat.error]
#Column	Phot	(A1)	[0/1] Photometry flag (1)	[ucd=meta.code]
Name	Data	PA	e_PA	e	e_e	i	e_i	r	e_r	Rmag	e_Rmag	reff	e_reff	Rmagtot	e_Rmagtot	Phot
UGC 2023  	OHP 	 24	  2	 0.16	 0.02	34.0	  2.0	 26	  2	14.300	 1.00e-01	 34.0	14.0	13.000	 0.700	1
UGC 2045  	OHP 	-27	  2	 0.50	 0.01	61.9	  0.7	 83	  5	10.570	 2.00e-02	 38.0	 3.0	10.340	 0.060	1
UGC 2053  	OHP 	 41	  2	 0.78	 0.01	85.0	  1.0	 12	  6	18.000	 1.00e+00	 38.0	11.0	14.200	 0.500	1
UGC 2080  	OHP 	  6	 11	 0.15	 0.02	33.0	  2.0	 96	 13	11.100	 1.00e-01	 77.0	18.0	10.700	 0.200	1
UGC 2082  	SDSS	-48	  2	 0.81	 0.01	    	     	 81	 20	12.600	 2.00e-01	117.0	12.0	11.500	 0.100	1
UGC 2141  	OHP 	 21	  2	 0.48	 0.01	60.3	  0.7	 57	  1	11.760	 2.00e-02	 29.2	 0.9	11.480	 0.030	1
UGC 2141  	SDSS	 23	  2	 0.50	 0.02	62.0	  1.0	 55	  6	11.870	 7.00e-02	 29.0	 8.0	11.600	 0.300	1
UGC 2183  	OHP 	-25	  2	 0.23	 0.01	40.0	  1.0	 40	  2	11.760	 2.00e-02	 21.0	 1.0	11.380	 0.050	1
UGC 2183  	SDSS	-25	  2	 0.22	 0.03	40.0	  3.0	 36	  7	11.890	 7.00e-02	 14.0	 2.0	11.700	 0.100	1
UGC 2193  	OHP 	 85	  2	 0.04	 0.01	16.0	  2.0	 62	  1	11.170	 1.00e-02	 38.0	 4.0	10.900	 0.100	1
UGC 2455  	OHP 	 38	  2	 0.30	 0.02	47.0	  1.0	 75	  2	11.160	 2.00e-02	 44.0	 7.0	10.900	 0.200	1
UGC 2503  	OHP 	 36	  2	 0.37	 0.01	52.8	  0.8	 99	  3	10.320	 1.00e-02	 39.0	 3.0	10.170	 0.050	1
IC 2542   	SDSS	 -6	  3	 0.29	 0.03	46.0	  3.0	 23	  4	13.600	 9.00e-02	 11.0	    	13.000	      	0
UGC 2800  	OHP 	-75	  2	 0.60	 0.01	69.6	  0.7	 62	  5	12.400	 7.00e-02	 43.0	10.0	12.000	 0.300	1
UGC 2855  	OHP 	-82	  2	 0.50	 0.01	61.9	  0.7	 63	  1	10.182	 6.00e-03	 73.0	20.0	 9.300	 0.300	1
UGC 3013  	OHP 	-16	  2	 0.46	 0.01	59.1	  0.8	 92	  4	10.730	 2.00e-02	 56.0	 3.0	10.500	 0.080	1
UGC 3056  	OHP 	   	   	     	     	    	     	   	   	      	         	 53.0	 5.0	 8.980	 0.070	1
UGC 3273  	OHP 	 39	  2	 0.70	 0.03	77.0	  2.0	 68	 10	12.460	 8.00e-02	 37.0	    	12.000	      	0
UGC 3334  	OHP 	-87	  4	 0.31	 0.02	48.0	  1.0	 95	 11	10.520	 6.00e-02	 45.0	 6.0	10.370	 0.080	1
UGC 3382  	OHP 	 24	  4	 0.03	 0.02	14.0	  3.0	 32	  1	12.360	 2.00e-02	 19.0	 3.0	12.100	 0.300	1
UGC 3384  	OHP 	-39	  2	 0.16	 0.01	34.0	  1.0	 13	  1	15.600	 2.00e-01	 24.0	34.0	14.100	 0.900	1
UGC 3463  	OHP 	-62	  3	 0.50	 0.01	61.8	  0.9	 63	  2	11.920	 3.00e-02	 34.0	 7.0	11.700	 0.100	1
UGC 3521  	SDSS	 70	  2	 0.47	 0.02	60.0	  1.0	 26	  3	13.680	 9.00e-02	 18.0	 8.0	13.400	 0.600	1
UGC 3528  	SDSS	 38	  3	 0.43	 0.08	57.0	  7.0	 32	  8	12.720	 8.00e-02	 14.0	 7.0	12.400	 0.400	1
UGC 3618  	OHP 	  5	  2	 0.15	 0.03	33.0	  3.0	 33	  2	12.470	 2.00e-02	 17.0	 2.0	12.200	 0.100	1
UGC 3708  	OHP 	-28	  3	 0.07	 0.01	22.0	  2.0	 22	  1	12.880	 2.00e-02	  9.0	 2.0	12.700	 0.200	1
UGC 3740  	OHP 	   	   	     	     	    	     	   	   	      	         	 44.0	37.0	11.000	 1.000	1
UGC 3809  	OHP 	 -1	  2	 0.48	 0.02	61.0	  1.0	129	 10	10.510	 5.00e-02	 79.0	10.0	10.200	 0.100	1
UGC 3851  	OHP 	 32	  2	 0.73	 0.01	79.0	  0.9	 86	  8	12.700	 1.00e-01	141.0	 8.0	11.110	 0.050	1
UGC 3876  	OHP 	 -2	  2	 0.48	 0.01	60.8	  0.9	 45	  2	13.000	 5.00e-02	 32.0	    	13.000	      	0
UGC 3876  	SDSS	 -5	  2	 0.44	 0.02	57.0	  1.0	 29	  1	13.490	 2.00e-02	 38.0	14.0	12.500	 0.400	1
UGC 3915  	OHP 	 33	  2	 0.29	 0.01	46.0	  1.0	 27	  1	12.940	 2.00e-02	 17.0	 5.0	12.800	 0.400	1
UGC 3915  	SDSS	 32	  2	 0.29	 0.02	46.0	  1.0	 26	  2	13.090	 4.00e-02	 14.7	 0.4	12.970	 0.020	1
UGC 4026  	OHP 	-44	  2	 0.61	 0.01	69.7	  0.7	 41	  2	12.360	 1.00e-02	 15.0	 5.0	12.200	 0.200	1
UGC 4026  	SDSS	-45	  2	 0.61	 0.01	70.0	  0.9	 40	  4	12.510	 4.00e-02	 17.0	26.0	12.300	 0.800	1
UGC 4165  	OHP 	 77	  4	 0.10	 0.02	26.0	  2.0	 68	  3	11.500	 4.00e-02	 44.0	 5.0	11.200	 0.200	1
UGC 4165  	SDSS	 60	 10	 0.15	 0.04	33.0	  4.0	 70	  8	11.500	 1.00e-01	 50.0	16.0	11.200	 0.400	1
UGC 4256  	OHP 	 64	  5	 0.20	 0.03	38.0	  3.0	 42	  1	12.300	 4.00e-02	 24.0	 2.0	12.060	 0.100	1
UGC 4256  	SDSS	 56	 12	 0.20	 0.05	37.0	  6.0	 43	  3	12.280	 8.00e-02	 21.0	16.0	12.100	 0.600	1
UGC 4273  	SDSS	 45	  2	 0.26	 0.01	43.7	  0.9	 45	  1	12.080	 1.00e-02	 32.0	11.0	11.900	 0.400	1
UGC 4274  	OHP 	-28	  4	 0.11	 0.01	28.0	  1.0	 47	  5	11.370	 5.00e-02	 23.0	 1.0	11.130	 0.070	1
UGC 4278  	OHP 	 -6	  2	 0.87	 0.01	    	     	 94	  5	13.410	 8.00e-02	 80.0	    	13.000	      	0
UGC 4278  	SDSS	 -8	  2	 0.89	 0.01	    	     	 97	 14	12.800	 1.00e-01	 67.0	10.0	12.300	 0.100	1
UGC 4284  	SDSS	-12	  3	 0.57	 0.05	67.0	  4.0	 78	 17	12.200	 3.00e-01	 87.0	19.0	11.200	 0.300	1
UGC 4305  	OHP 	-85	  3	 0.43	 0.09	57.0	  7.0	 65	  5	13.000	 3.00e-01	 94.0	 3.0	11.300	 0.200	1
UGC 4325  	OHP 	 65	  2	 0.46	 0.03	59.0	  2.0	 57	 11	12.700	 3.00e-01	 58.0	    	12.000	      	0
UGC 4325  	SDSS	 63	  6	 0.53	 0.08	64.0	  6.0	 59	 18	12.900	 6.00e-01	 51.0	    	12.000	      	0
UGC 4393  	OHP 	 50	  2	 0.52	 0.02	63.0	  1.0	 32	  2	13.270	 3.00e-02	 27.0	 9.0	12.600	 0.300	1
UGC 4393  	SDSS	 53	  2	 0.48	 0.02	61.0	  2.0	 29	  4	13.300	 9.00e-02	 18.0	    	13.000	      	0
UGC 4456  	OHP 	-21	  3	 0.06	 0.01	20.0	  2.0	 23	  1	13.590	 5.00e-02	 30.0	 6.0	12.600	 0.100	1
UGC 4456  	SDSS	  8	 54	 0.10	 0.04	26.0	  6.0	 25	  4	13.500	 2.00e-01	 21.0	 8.0	13.000	 0.500	1
UGC 4499  	SDSS	-13	  3	 0.52	 0.02	63.0	  1.0	 27	  6	14.200	 3.00e-01	 28.0	    	13.000	      	0
UGC 4543  	OHP 	-22	 11	 0.36	 0.04	52.0	  3.0	 18	  4	14.900	 3.00e-01	 33.0	16.0	13.300	 0.600	1
UGC 4543  	SDSS	-18	 25	 0.40	 0.09	55.0	  7.0	 17	  4	15.000	 4.00e-01	 22.0	    	14.000	      	0
UGC 4555  	OHP 	 87	  2	 0.14	 0.02	31.0	  3.0	 37	  1	12.570	 4.00e-02	 25.0	 2.0	12.340	 0.100	1
UGC 4555  	SDSS	 85	  3	 0.14	 0.01	31.0	  1.0	 37	  3	12.560	 7.00e-02	 29.0	40.0	12.000	 3.000	1
UGC 4770  	SDSS	 68	 10	 0.14	 0.01	31.0	  1.0	 36	  5	12.500	 1.00e-01	 26.0	 4.0	12.100	 0.200	1
UGC 4820  	SDSS	-14	  2	 0.21	 0.02	39.0	  2.0	108	 19	 9.620	 7.00e-02	 46.0	 3.0	 9.400	 0.050	1
UGC 4936  	OHP 	-16	 31	 0.13	 0.06	30.0	  8.0	 51	  7	12.200	 2.00e-01	 53.0	    	11.000	      	0
UGC 4936  	SDSS	 -8	 59	 0.18	 0.06	35.0	  7.0	 50	 12	12.300	 3.00e-01	 49.0	    	12.000	      	0
UGC 5045  	SDSS	-11	 17	 0.01	 0.03	 9.0	  5.0	 20	  1	13.420	 2.00e-02	 16.0	    	13.000	      	0
UGC 5228  	SDSS	-58	  2	 0.77	 0.01	83.0	  1.0	 68	 11	12.500	 1.00e-01	 30.0	    	12.000	      	0
UGC 5251  	OHP 	 79	  2	 0.74	 0.01	80.0	  1.0	 90	  9	11.900	 7.00e-02	 58.0	    	11.000	      	0
UGC 5251  	SDSS	 78	  2	 0.73	 0.02	79.0	  1.0	 85	 15	11.980	 8.00e-02	 47.0	    	12.000	      	0
UGC 5253  	OHP 	 -2	  2	 0.19	 0.01	36.0	  1.0	 96	  2	10.026	 1.00e-02	 50.0	 5.0	 9.620	 0.060	1
UGC 5272  	OHP 	-54	  2	 0.72	 0.02	78.0	  2.0	 30	  3	15.000	 2.00e-01	 34.0	    	14.000	      	0
UGC 5272  	SDSS	-58	  2	 0.75	 0.04	82.0	  3.0	 35	 11	14.900	 2.00e-01	 34.0	    	14.000	      	0
UGC 5279  	SDSS	 80	  3	 0.74	 0.01	81.0	  1.0	 58	  7	13.000	 1.00e-01	 43.0	10.0	12.800	 0.400	1
NGC 5296  	SDSS	 11	  5	 0.41	 0.02	56.0	  1.0	 19	  2	14.310	 9.00e-02	 14.0	14.0	14.000	 1.000	1
UGC 5316  	OHP 	-58	  2	 0.49	 0.02	62.0	  1.0	 54	  1	12.640	 5.00e-02	 64.0	12.0	11.700	 0.100	1
UGC 5351  	SDSS	-77	  2	 0.66	 0.02	74.0	  1.0	 63	  3	11.720	 3.00e-02	 34.0	 7.0	11.400	 0.100	1
UGC 5398  	SDSS	 48	  3	 0.24	 0.01	42.0	  1.0	125	 15	 9.560	 7.00e-02	 61.0	 2.0	 9.320	 0.030	1
UGC 5414  	OHP 	 44	  4	 0.47	 0.01	59.9	  0.8	 35	  3	13.890	 1.00e-01	 64.0	23.0	12.400	 0.400	1
UGC 5414  	SDSS	 53	  3	 0.31	 0.01	48.0	  1.0	 27	  4	14.000	 1.00e-01	 26.0	    	13.000	      	0
UGC 5510  	SDSS	 33	  3	 0.23	 0.02	40.0	  2.0	 48	  7	11.770	 9.00e-02	 35.0	 5.0	11.300	 0.200	1
UGC 5721  	OHP 	-88	  2	 0.48	 0.01	60.5	  0.7	 40	  1	12.740	 2.00e-02	 21.0	 2.0	12.400	 0.100	1
UGC 5721  	SDSS	-89	  2	 0.51	 0.02	63.0	  1.0	 40	  6	12.730	 9.00e-02	 17.0	    	13.000	      	0
UGC 5786  	OHP 	-15	  2	 0.11	 0.01	28.0	  2.0	 52	  2	10.608	 7.00e-03	 16.0	 3.0	10.400	 0.200	1
UGC 5786  	SDSS	-16	  3	 0.12	 0.02	29.0	  3.0	 52	  7	10.710	 3.00e-02	 13.0	 7.0	10.600	 0.300	1
UGC 5789  	OHP 	 26	  2	 0.60	 0.01	69.3	  0.9	 84	  9	12.100	 1.00e-01	105.0	    	11.000	      	0
UGC 5789  	SDSS	 24	  3	 0.61	 0.07	70.0	  5.0	 91	 33	12.100	 3.00e-01	 96.0	31.0	11.300	 0.200	1
UGC 5829  	OHP 	 34	  2	 0.48	 0.01	60.4	  0.7	  2	  8	20.000	 3.00e+00	 61.0	    	13.000	      	0
UGC 5829  	SDSS	 71	  3	 0.77	 0.01	83.0	  2.0	 20	 19	16.000	 2.00e+00	 43.0	    	14.000	      	0
UGC 5840  	SDSS	-48	  2	 0.05	 0.01	18.0	  2.0	120	 14	 9.860	 8.00e-02	 71.0	 7.0	 9.700	 0.100	1
UGC 5842  	OHP 	-76	  2	 0.15	 0.01	33.0	  1.0	 62	  2	11.680	 3.00e-02	 43.1	 0.5	11.390	 0.020	1
UGC 5842  	SDSS	-76	  3	 0.17	 0.02	35.0	  2.0	 64	  7	11.620	 1.00e-01	 45.0	16.0	11.200	 0.400	1
UGC 5931  	OHP 	 29	  2	 0.52	 0.01	63.4	  0.7	 48	  2	12.090	 1.00e-02	 24.0	 3.0	11.800	 0.100	1
UGC 5931  	SDSS	 25	  3	 0.52	 0.01	64.0	  1.0	 49	  6	11.990	 3.00e-02	 20.0	 6.0	11.900	 0.300	1
UGC 5935  	OHP 	-81	  2	 0.65	 0.01	73.0	  1.0	 55	  2	12.630	 2.00e-02	 30.0	 8.0	12.300	 0.100	1
UGC 5935  	SDSS	-85	  3	 0.72	 0.03	79.0	  3.0	 69	  5	12.300	 6.00e-02	 33.0	20.0	12.000	 0.500	1
UGC 5982  	OHP 	 29	  2	 0.48	 0.01	60.8	  0.7	 71	  3	11.370	 2.00e-02	 41.0	 4.0	11.100	 0.100	1
UGC 5982  	SDSS	 29	  3	 0.47	 0.02	60.0	  2.0	 68	  8	11.430	 6.00e-02	 36.0	14.0	11.300	 0.300	1
UGC 6118  	SDSS	-19	  4	 0.45	 0.09	59.0	  6.0	 68	  4	10.890	 6.00e-02	 35.0	    	11.000	      	0
UGC 6277  	SDSS	 29	  3	 0.38	 0.01	53.2	  0.8	 35	  1	11.890	 2.00e-02	 39.0	 3.0	11.000	 0.200	1
UGC 6419  	SDSS	 35	  7	 0.60	 0.30	70.0	 16.0	 45	  3	13.500	 4.00e-01	 43.0	    	13.000	      	0
UGC 6521  	SDSS	 16	  2	 0.35	 0.05	51.0	  4.0	 35	  6	12.790	 9.00e-02	 18.0	    	13.000	      	0
UGC 6523  	OHP 	 29	  7	 0.07	 0.01	22.0	  2.0	 23	  1	12.790	 2.00e-02	  9.0	 1.0	12.600	 0.200	1
UGC 6523  	SDSS	 36	 11	 0.09	 0.02	25.0	  3.0	 23	  2	12.700	 4.00e-02	  9.0	10.0	12.500	 0.600	1
UGC 6537  	OHP 	  6	  2	 0.36	 0.01	52.0	  0.9	128	  2	10.130	 2.00e-02	 79.0	 2.0	 9.900	 0.070	1
UGC 6537  	SDSS	  3	  4	 0.42	 0.02	56.0	  2.0	132	 16	10.280	 8.00e-02	 79.0	 2.0	 9.980	 0.070	1
UGC 6628  	OHP 	-58	  2	 0.32	 0.02	48.0	  2.0	 45	  1	13.540	 2.00e-02	 57.0	 3.0	12.300	 0.100	1
UGC 6628  	SDSS	 63	  6	 0.39	 0.09	54.0	  7.0	 30	 11	14.000	 7.00e-01	 44.0	31.0	13.000	 1.000	1
UGC 6702  	OHP 	-87	 14	 0.02	 0.01	11.0	  3.0	 17	  1	13.730	 3.00e-02	 10.0	 4.0	13.300	 0.300	1
UGC 6702  	SDSS	 55	 20	 0.07	 0.05	22.0	  7.0	 18	  3	13.700	 1.00e-01	  8.0	    	13.000	      	0
UGC 6778  	OHP 	  3	  2	 0.17	 0.01	34.0	  1.0	 79	  2	10.372	 9.00e-03	 43.0	 7.0	10.100	 0.100	1
UGC 6778  	SDSS	 11	  2	 0.12	 0.07	28.0	  9.0	 74	 11	10.470	 5.00e-02	 32.0	10.0	10.300	 0.200	1
UGC 6787  	OHP 	-71	  2	 0.39	 0.01	54.2	  1.0	 90	  2	10.280	 1.00e-02	 36.8	 0.5	10.005	 0.008	1
UGC 6787  	SDSS	-73	  2	 0.42	 0.03	56.0	  2.0	 87	 10	10.360	 5.00e-02	 30.0	 1.0	10.170	 0.030	1
UGC 7021  	SDSS	-88	  6	 0.20	 0.20	40.0	 14.0	 47	 14	11.590	 1.00e-01	 21.0	    	11.000	      	0
UGC 7045  	OHP 	-81	  2	 0.61	 0.01	69.8	  0.7	108	  3	10.650	 1.00e-02	 58.8	 0.5	10.480	 0.030	1
UGC 7045  	SDSS	-81	  2	 0.61	 0.01	70.1	  0.7	108	  8	10.780	 3.00e-02	 56.0	 6.0	10.700	 0.300	1
UGC 7154  	OHP 	-76	  2	 0.54	 0.01	65.3	  0.9	116	  8	11.160	 8.00e-02	 89.0	10.0	10.600	 0.100	1
UGC 7154  	SDSS	-77	  4	 0.58	 0.06	68.0	  5.0	116	 35	11.400	 2.00e-01	 61.0	    	11.000	      	0
UGC 7278  	OHP 	-24	  2	 0.02	 0.01	13.0	  2.0	109	  4	 9.860	 3.00e-02	 82.0	 4.0	 9.410	 0.050	1
UGC 7278  	SDSS	-57	 11	 0.04	 0.04	17.0	  6.0	109	 12	 9.930	 1.00e-01	 84.0	 6.0	 9.480	 0.080	1
UGC 7323  	OHP 	  3	  3	 0.34	 0.02	50.0	  2.0	 90	  2	11.440	 4.00e-02	 92.0	 2.0	10.650	 0.050	1
