#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T23:34:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T23:34:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/453/2965/table1&-out=Name,_RA,_DE,Mtype,TType,e_TType,Dist,Seeing&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74532965
#Name: J/MNRAS/453/2965
#Title: Surface photometry of GHASP galaxies (Barbosa+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/453/2965	    IVOID of underlying data collection
#INFO	creator=Barbosa C.E.	    First author or institution
#INFO	cites=bibcode:2015MNRAS.453.2965B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/453/2965	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74532965	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_453_2965_table1:
#Name: J/MNRAS/453/2965/table1
#Title: Photometric sample of the GHASP survey
#Column	Name	(A10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Mtype	(a11)	Morphological classification according to the Hubble type from the Hyperleda data base	[ucd=src.morph.type]
#Column	TType	(F4.1)	Morphological classification according to the de Vaucouleurs numerical type from the Hyperleda data base	[ucd=src.morph.type]
#Column	e_TType	(F4.1)	Error on TType	[ucd=meta.note]
#Column	Dist	(F5.1)	Distance to the galaxy according to Epinat et al. (2008, Cat. J/MNRAS/390/466)	[ucd=pos.distance]
#Column	Seeing	(F4.1)	? Seeing (FWHM of the PSF) (OHP Rc-band observation log)	[ucd=instr.obsty.seeing]
Name	_RAJ2000	_DEJ2000	Mtype	TType	e_TType	Dist	Seeing
UGC 3013  	065.862917	+75.295556	SB(r)b     	 3.1	 0.5	 36.3	 2.8
UGC 3056  	067.704583	+64.848056	IB         	 9.6	 1.2	  2.5	 2.1
UGC 3273  	079.435000	+53.551389	SAB(r)m    	 8.8	 1.2	 12.2	 2.2
UGC 3334  	085.519167	+69.378333	SABb       	 4.2	 1.0	 55.6	 2.6
UGC 3382  	089.948750	+62.158056	SB(r)a     	 1.0	 0.4	 62.8	 2.3
UGC 3384  	090.404167	+73.116667	Sm         	 8.8	 0.5	 17.0	 2.4
UGC 3463  	096.731667	+59.080000	SABc       	 4.7	 0.9	 38.6	 2.0
UGC 3521  	103.749583	+84.041944	Sc         	 4.8	 1.8	 62.6	
UGC 3528  	104.045417	+84.078889	SBab       	 2.0	 0.3	 61.8	
UGC 3618  	104.656667	+45.210556	Sab        	 2.0	 0.3	 80.0	 1.8
UGC 3708  	107.299583	+20.602778	Sbc pec    	 4.5	 1.7	 70.0	 2.1
UGC 3740  	111.810000	+85.754444	SAB(r)c pec	 5.4	 0.6	 17.1	 4.5
UGC 3809  	111.767083	+80.178056	SB(r)bc    	 4.0	 0.3	 32.9	 2.0
UGC 3851  	112.227917	+69.215833	IB         	 9.8	 0.6	  3.4	 2.3
UGC 3876  	112.322917	+27.899444	Scd        	 6.5	 0.8	 14.5	 2.7
UGC 3915  	113.732083	+31.276389	SBc        	 4.6	 1.6	 63.6	 1.9
UGC 4026  	116.834583	+26.930278	Sab        	 2.0	 0.4	 64.7	 2.1
UGC 4165  	120.471667	+50.737222	SBcd       	 6.9	 0.4	 11.0	 2.2
UGC 4256  	122.563333	+33.956667	SABc       	 5.2	 0.6	 71.7	 3.4
UGC 4273  	123.241250	+36.254722	SBb pec    	 3.1	 0.4	 35.4	
UGC 4274  	123.310833	+45.989722	SBd        	 8.4	 1.6	  6.9	 2.5
UGC 4278  	123.495417	+45.742222	SBc        	 6.5	 0.8	  9.6	 4.2
UGC 4284  	123.667083	+49.061667	SABc       	 6.0	 0.4	  9.8	
UGC 4305  	124.770833	+70.720000	I          	 9.8	 0.8	  3.4	 1.4
UGC 4325  	124.835417	+50.009722	SABm       	 9.0	 0.5	 10.9	 2.4
UGC 4393  	126.518333	+45.967778	SBc        	 4.6	 1.3	 31.5	 2.1
UGC 4456  	128.014583	+24.010833	S(r)c      	 5.2	 0.6	 74.0	 2.1
UGC 4499  	129.422917	+51.652500	SBd        	 7.9	 0.8	 12.2	
UGC 4543  	130.840000	+45.735556	Sd         	 8.0	 0.5	 30.3	 2.0
UGC 4555  	131.034583	+34.717222	SABb       	 4.0	 0.6	 58.0	 3.8
UGC 4770  	136.497500	+35.377500	SBa        	 1.1	 0.6	 95.9	
UGC 4820  	137.583750	 +7.038056	S(r)ab     	 1.7	 0.8	 17.1	
UGC 4936  	140.085000	+64.102778	SAB(r)c    	 6.9	 0.3	 25.6	 1.9
UGC 5045  	142.041667	+44.664722	SAB(r)c    	 5.0	 0.5	105.1	
UGC 5228  	146.515000	 +1.668333	SBc        	 4.9	 0.5	 24.7	
UGC 5251  	147.150000	+33.421389	SBbc pec   	 4.3	 0.8	 21.5	 2.0
UGC 5253  	147.592500	+72.278611	Sab        	 2.3	 0.9	 21.1	 1.7
UGC 5272  	147.593333	+31.487778	IB         	 9.8	 0.6	  7.1	 2.1
UGC 5279  	147.730833	+28.551111	IB         	 9.7	 1.1	 21.3	
NGC 5296  	206.577917	+43.851389	S0-a       	-1.1	 0.8	 32.8	
UGC 5316  	148.919167	+72.203611	SBc        	 6.5	 0.8	 17.6	 1.6
UGC 5351  	149.587917	+32.370000	SABa       	 2.1	 0.6	 19.3	
UGC 5398  	150.829583	+68.733889	Sd         	 7.9	 3.8	  3.8	
UGC 5414  	150.989167	+40.756944	IAB(r)     	 9.9	 0.2	 10.0	 2.0
UGC 5510  	153.381667	+22.737500	SAB(r)c    	 4.6	 1.0	 18.6	
UGC 5721  	158.072083	+27.668889	SBcd       	 6.6	 0.8	  6.5	 2.1
UGC 5786  	159.691250	+53.503333	SAB(r)b    	 4.0	 0.1	 14.2	 2.4
UGC 5789  	159.789583	+41.686667	SBc        	 5.9	 0.4	 14.1	 2.0
UGC 5829  	160.674583	+34.448889	IB         	 9.7	 0.9	  9.0	 2.1
UGC 5840  	160.880000	+24.922222	SB(r)bc    	 4.0	 0.3	  6.9	
UGC 5842  	160.912083	+14.871944	SBc        	 6.0	 0.4	 15.2	 3.7
UGC 5931  	162.458750	+32.982778	SBc pec    	 5.9	 0.5	 21.2	 2.4
UGC 5935  	162.479583	+32.990833	SBm pec    	 9.4	 1.5	 26.4	 2.4
UGC 5982  	163.047500	+32.950556	SBc        	 5.1	 0.7	 20.8	 3.5
UGC 6118  	165.796667	+27.972500	SB(r)ab    	 2.1	 0.6	 19.8	
UGC 6277  	168.775833	+14.786944	SABc       	 5.1	 0.5	 16.9	
UGC 6419  	171.101250	 +3.325000	SBm        	 8.9	 0.9	 18.8	
UGC 6521  	173.056250	 +0.819167	S(r)bc     	 3.7	 0.9	 78.6	
UGC 6523  	173.090000	 +0.803889	Sa         	 1.4	 1.1	 80.0	 3.7
UGC 6537  	173.337917	+47.029167	SB(r)c     	 5.1	 0.5	 14.3	 1.9
UGC 6628  	175.023750	+45.942222	SAB(r)m    	 8.8	 1.0	 15.3	 1.9
UGC 6702  	175.995833	+20.076944	Sa         	 1.3	 1.0	 99.8	 2.5
UGC 6778  	177.159167	+48.710833	SABc pec   	 5.1	 0.8	 15.5	 2.0
UGC 6787  	177.314167	+56.084444	Sab        	 1.7	 0.8	 18.9	 2.1
UGC 7021  	180.675833	 +1.976944	SAB(r)a    	 1.3	 0.8	 26.8	
UGC 7045  	181.015833	+31.895833	SABc       	 5.3	 0.6	 11.4	 2.3
UGC 7154  	182.506250	+39.883889	SBcd       	 6.9	 0.4	 16.2	 2.0
UGC 7278  	183.913333	+36.326944	IB         	 9.8	 0.5	  2.9	 2.7
UGC 7323  	184.375833	+45.619167	SBd        	 8.0	 0.4	  8.1	 1.8
UGC 7524  	186.453750	+33.546944	SB(r)m     	 8.8	 0.7	  4.6	 2.2
UGC 7592  	187.046250	+44.093611	IB         	 9.8	 0.5	  2.9	 2.5
UGC 7699  	188.200000	+37.621667	SBc        	 6.0	 0.6	  9.3	 2.0
UGC 7766  	188.990000	+27.960000	SBc        	 6.0	 0.4	 13.0	
UGC 7831  	189.997500	+61.609167	SBc        	 4.9	 0.4	  5.2	 2.0
UGC 7853  	190.386667	+41.150833	SBm        	 8.6	 1.1	  8.9	
UGC 7861  	190.469583	+41.273889	SAB(r)m pec	 8.8	 0.7	 10.2	 2.0
UGC 7876  	190.663333	+19.945278	SABc       	 6.5	 0.9	 14.5	 2.2
UGC 7901  	190.927500	+16.393333	Sc pec     	 5.2	 0.6	 20.7	 2.8
UGC 7971  	192.095417	+51.164722	Sm         	 8.7	 0.5	  8.4	 2.0
UGC 7985  	192.491250	 +5.311389	SBcd       	 6.9	 0.5	 13.7	
UGC 8334  	198.955417	+42.029167	Sbc        	 4.0	 0.2	  9.8	 2.0
UGC 8403  	200.485000	+38.734722	SBc        	 5.8	 0.6	 19.1	 2.0
UGC 8490  	202.402083	+58.418611	Sm         	 8.9	 0.4	  4.7	 2.9
UGC 8709  	206.598750	+43.872222	SABc pec   	 4.9	 0.8	 35.0	 2.2
UGC 8852  	208.817083	+59.506667	SAB(r)a    	 2.3	 0.6	 30.6	
UGC 8863  	209.069583	+47.235833	SBa        	 1.1	 0.4	 25.5	
UGC 8900  	209.658333	+37.424444	Sb pec     	 3.2	 0.6	 49.2	 3.0
UGC 8937  	210.190417	+59.328333	SBb        	 3.1	 0.4	 49.0	 2.3
UGC 9013  	211.256667	+53.662222	Sc pec     	 6.0	 0.3	  7.2	 2.0
UGC 9179  	214.950833	+56.729167	SABc       	 6.9	 0.4	  5.7	
UGC 9219  	215.824583	+41.775833	IB         	 9.7	 1.4	 10.2	
UGC 9248  	216.550833	+48.563889	Sb         	 3.1	 0.5	 54.9	
UGC 9358  	218.023333	+57.921389	SABb       	 3.3	 0.8	 29.1	
UGC 9363  	218.351250	 +4.450556	S(r)cd     	 6.9	 0.4	 22.3	 2.3
UGC 9366  	218.195000	+49.457778	Sc         	 4.7	 0.9	 37.7	 2.2
UGC 9406  	219.046667	+48.585000	SB(r)cd    	 6.9	 0.4	 33.8	
UGC 9465  	220.108750	+33.989167	SABd       	 7.9	 0.9	 26.4	
UGC 9576  	223.427083	 +3.582500	SABc pec   	 6.9	 0.4	 27.4	
UGC 9649  	224.440417	+71.682222	SBb        	 3.1	 0.7	  7.7	 2.0
UGC 9736  	226.965833	+54.752778	SABc       	 5.0	 0.7	 45.4	
UGC 9753  	227.444583	+57.000278	Sbc        	 3.5	 0.7	 12.4	 2.3
UGC 9858  	231.672917	+40.564444	SABb       	 4.0	 0.5	 38.2	 2.3
UGC 9866  	232.002917	+64.763333	S(r)bc     	 4.0	 0.3	  7.4	 1.8
UGC 9943  	234.625000	+12.186667	SB(r)c     	 5.0	 0.6	 28.0	
UGC 9969  	234.904583	+59.331944	SB(r)b     	 3.1	 0.3	 36.0	 2.3
UGC 9992  	235.449583	+67.254167	I          	 9.8	 0.6	 10.4	 3.2
UGC 10075 	237.855000	+62.310000	Sc         	 6.0	 0.4	 14.7	
UGC 10310 	244.076250	+47.046389	SBm        	 9.2	 0.6	 12.7	 1.9
UGC 10359 	245.242500	+65.390556	SBc pec    	 5.6	 0.6	 16.0	 2.6
UGC 10445 	248.448333	+28.984722	SB(r)c pec 	 6.0	 0.9	 16.9	 2.6
UGC 10521 	250.765833	+36.832500	Sc         	 4.9	 0.7	 18.0	
UGC 10652 	254.860833	+49.921944	S(r)bc     	 3.8	 2.6	 18.2	 1.9
UGC 10757 	257.553750	+72.410556	Sc         	 6.0	 0.4	 19.5	 2.8
UGC 10791 	258.661250	+72.398611	SABm       	 8.8	 0.5	 21.7	
UGC 10897 	262.406250	+75.704444	SABc       	 5.2	 0.5	 20.5	 2.1
UGC 11283 	278.469167	+49.278611	SBd        	 7.8	 0.9	 31.3	 2.1
UGC 11283c	278.469167	+49.278611	Sc         	 5.4	 2.2	 31.3	 2.1
UGC 11300 	278.709583	+70.523889	SABc       	 6.4	 0.9	  8.4	 3.0
UGC 11466 	295.745000	+45.298056	Sc         	 4.8	 1.9	 14.2	 3.0
UGC 11470 	295.919583	+56.109444	Sab        	 2.2	 0.6	 50.8	 2.4
UGC 11557 	306.002917	+60.194722	SABd       	 7.8	 0.9	 19.7	
UGC 11597 	308.717917	+60.153889	SABc       	 5.9	 0.3	  5.9	 3.4
UGC 11670 	315.890000	+29.897500	S(r)a      	 0.5	 1.0	 12.8	 1.8
UGC 11707 	318.632500	+26.734444	Sd         	 7.9	 1.0	 15.9	 2.4
UGC 11852 	328.997083	+27.898333	SBa        	 1.0	 0.5	 80.1	 2.1
UGC 11861 	329.100000	+73.260833	SABd       	 7.8	 0.9	 25.1	 2.6
UGC 11891 	330.891250	+43.749167	I          	 9.9	 0.5	  9.0	 2.6
UGC 11909 	331.567500	+47.251111	Sbc        	 4.5	 1.6	 17.7	 2.4
UGC 11914 	331.968333	+31.359444	S(r)ab     	 2.5	 0.7	 15.0	 2.7
UGC 11951 	333.125417	+45.328333	SBa        	 1.1	 0.8	 17.4	 2.6
UGC 12060 	337.641667	+33.819722	IB         	 9.9	 0.5	 15.7	 2.5
UGC 12082 	338.545000	+32.860556	SABm       	 8.7	 0.8	 10.1	 3.7
UGC 12101 	339.014167	+33.948056	Scd        	 6.6	 0.9	 15.1	 1.9
UGC 12212 	342.626250	+29.138333	Sm         	 8.7	 0.5	 15.5	 2.2
UGC 12276 	344.635417	+35.802500	SB(r)a     	 1.1	 0.5	 77.8	 2.0
UGC 12276c	344.635417	+35.802500	S?         	 5.1	 5.0	 77.8	 2.0
UGC 12343 	346.236250	+12.322778	SBbc       	 4.4	 0.9	 26.9	 2.7
UGC 12632 	352.494583	+40.990278	SABm       	 8.7	 0.5	  8.0	 2.4
UGC 12754 	355.976667	+26.075556	SBc        	 6.0	 0.4	  8.9	 2.3

