hrs	ugc	ngc	ra_deg	dec_deg	distance_Mpc	morphology	effective_radius_kpc	D25_kpc	i_magnitude	IRAC1_magnitude	log_stellar_mass	E_BV	Virgo_distance_deg	environment	HI_deficiency	HI_deficiency_missing	ellipticity	inclination_deg	position_angle_deg	Halpha_flux_1e16_W_m2	Halpha_SFR_proxy_Msun_year	specific_growth_per_year	curve_coverage_reff	spatial_beams
26	5990		1.631597500000e+02	3.448313890000e+01	2.241000000000e+01	Sab	8.900000000000e-01	4.400000000000e+00	1.375500000000e+01	1.416900000000e+01	8.940000000000e+00	1.930000000000e-02	3.302000000000e+01	Leo Cl.	4.400000000000e-01	False	7.100000000000e-01	7.800000000000e+01	1.940000000000e+02	1.550000000000e+00	5.355364744381e-02	6.148781425698e-11	2.900000000000e+00	413
27	6001	3442	1.632837917000e+02	3.391036110000e+01	2.477000000000e+01	Sa?	4.300000000000e-01	2.230000000000e+00	1.304300000000e+01	nan	8.940000000000e+00	1.830000000000e-02	3.255000000000e+01	Leo Cl.	3.000000000000e-02	False	1.200000000000e-01	2.900000000000e+01	2.400000000000e+01	8.600000000000e-01	3.621797030980e-02	4.158379377447e-11	2.440000000000e+00	262
38	6167	3526	1.667359583000e+02	7.173916700000e+00	2.027000000000e+01	SAc pec sp	1.610000000000e+00	5.630000000000e+00	1.274500000000e+01	1.325300000000e+01	9.100000000000e+00	3.340000000000e-02	2.073000000000e+01	Leo Cl.	3.000000000000e-02	False	7.600000000000e-01	7.700000000000e+01	2.340000000000e+02	4.260000000000e+00	1.243915101882e-01	9.880768870248e-11	2.610000000000e+00	756
39	6169		1.667639583000e+02	1.206005560000e+01	2.224000000000e+01	Sb:	1.010000000000e+00	6.020000000000e+00	1.336700000000e+01	1.363600000000e+01	9.080000000000e+00	1.550000000000e-02	2.094000000000e+01	Leo Cl.	1.600000000000e-01	False	6.600000000000e-01	7.300000000000e+01	2.000000000000e+00	5.000000000000e-02	1.686604342291e-03	1.402856388102e-12	2.210000000000e+00	536
40	6209	3547	1.674830833000e+02	1.072083330000e+01	2.263000000000e+01	Sb:	1.000000000000e+00	6.290000000000e+00	1.247600000000e+01	1.287400000000e+01	9.180000000000e+00	2.410000000000e-02	2.015000000000e+01	Leo Cl.	3.000000000000e-01	False	4.800000000000e-01	6.000000000000e+01	9.000000000000e+00	2.380000000000e+00	8.478513361634e-02	5.601698226876e-11	2.290000000000e+00	1616
47	6343	3626	1.700158333000e+02	1.835680560000e+01	2.134000000000e+01	SA(s)cd:	1.460000000000e+00	8.350000000000e+00	1.062400000000e+01	1.076200000000e+01	9.110000000000e+00	1.940000000000e-02	2.283000000000e+01	Leo Cl.	-1.500000000000e-01	False	2.300000000000e-01	4.000000000000e+01	3.000000000000e+01	7.870000000000e+00	2.466250614647e-01	1.914419928504e-10	2.430000000000e+00	3339
48	6352	3629	1.701325833000e+02	2.696338890000e+01	2.153000000000e+01	SA(s)c	1.450000000000e+00	7.170000000000e+00	1.233400000000e+01	1.312200000000e+01	9.920000000000e+00	1.840000000000e-02	4.435000000000e+01	Ursa Major Cl.	9.000000000000e-02	False	1.000000000000e-01	2.600000000000e+01	3.100000000000e+02	6.300000000000e-01	2.004944028600e-02	2.410472898984e-12	2.010000000000e+00	21553
50	6368	3640	1.702785417000e+02	3.234833300000e+00	1.787000000000e+01	SA(s)c:;HII	1.270000000000e+00	1.034000000000e+01	9.753000000000e+00	nan	9.870000000000e+00	4.220000000000e-02	1.749000000000e+01	Leo Cl.	-3.200000000000e-01	False	3.400000000000e-01	4.900000000000e+01	2.100000000000e+02	5.550000000000e+00	1.285333219636e-01	1.733866805051e-11	2.040000000000e+00	1443
52	6405	3659	1.709395417000e+02	1.781855560000e+01	1.856000000000e+01	SAB(rs)c pec	9.100000000000e-01	5.640000000000e+00	1.224400000000e+01	1.256300000000e+01	9.110000000000e+00	1.930000000000e-02	4.384000000000e+01	Ursa Major Cl.	-6.500000000000e-01	False	1.500000000000e-01	3.200000000000e+01	1.600000000000e+02	1.070000000000e+00	2.535790470391e-02	1.968400041016e-11	3.230000000000e+00	1683
61	6547	3729	1.734555833000e+02	5.312550000000e+01	1.514000000000e+01	Scd:;HII	1.250000000000e+00	6.210000000000e+00	1.084500000000e+01	1.111600000000e+01	8.540000000000e+00	1.140000000000e-02	4.778000000000e+01	Ursa Major Cl.	-8.000000000000e-02	False	6.800000000000e-01	7.200000000000e+01	1.710000000000e+02	2.580000000000e+00	3.995260488027e-02	1.152245711067e-10	2.530000000000e+00	737
62	6575		1.741102917000e+02	5.819138890000e+01	1.739000000000e+01	SAB(rs)c pec	1.010000000000e+00	4.930000000000e+00	1.337900000000e+01	1.412300000000e+01	9.110000000000e+00	1.540000000000e-02	2.759000000000e+01	Ursa Maj. SS	-1.700000000000e-01	False	6.500000000000e-01	7.000000000000e+01	3.050000000000e+02	1.336000000000e+01	2.754731442647e-01	2.138352339441e-10	2.100000000000e+00	3925
63	6577	3755	1.741390417000e+02	3.641033330000e+01	2.244000000000e+01	SAB(rs)bc	2.400000000000e+00	1.031000000000e+01	1.240800000000e+01	1.297500000000e+01	9.940000000000e+00	2.510000000000e-02	4.403000000000e+01	Ursa Major Cl.	2.700000000000e-01	False	5.000000000000e-01	6.100000000000e+01	3.000000000000e+00	9.500000000000e-01	3.335361830374e-02	3.829507764546e-12	2.120000000000e+00	7844
64	6579	3756	1.742000833000e+02	5.429355560000e+01	1.841000000000e+01	Sc;HII	2.230000000000e+00	1.117000000000e+01	1.088800000000e+01	1.126600000000e+01	9.060000000000e+00	1.140000000000e-02	4.793000000000e+01	Ursa Major Cl.	2.400000000000e-01	False	6.800000000000e-01	7.200000000000e+01	5.400000000000e+01	1.280000000000e+00	2.930833794574e-02	2.552649523287e-11	2.270000000000e+00	1059
65	6629	3795	1.750285000000e+02	5.861311110000e+01	1.733000000000e+01	SAB(s)d	9.800000000000e-01	5.390000000000e+00	1.278700000000e+01	1.316500000000e+01	9.040000000000e+00	1.440000000000e-02	4.555000000000e+01	Ursa Major Cl.	-1.800000000000e-01	False	4.500000000000e-01	5.700000000000e+01	1.150000000000e+02	6.150000000000e+00	1.256451951364e-01	1.145897798774e-10	2.420000000000e+00	2923
66	6640	3794	1.752225833000e+02	5.620202780000e+01	1.976000000000e+01	SA(rs)b:	1.440000000000e+00	6.440000000000e+00	1.256600000000e+01	1.334700000000e+01	9.770000000000e+00	1.320000000000e-02	2.714000000000e+01	Ursa Maj. SS	-5.000000000000e-02	False	5.500000000000e-01	6.500000000000e+01	8.700000000000e+01	1.860000000000e+01	4.926749358168e-01	8.366820824778e-11	2.190000000000e+00	2220
67	6651	3813	1.753277083000e+02	3.654675000000e+01	2.097000000000e+01	SB(s)m:	1.440000000000e+00	6.830000000000e+00	1.123500000000e+01	1.122200000000e+01	8.990000000000e+00	1.900000000000e-02	4.421000000000e+01	Ursa Major Cl.	6.000000000000e-02	False	3.600000000000e-01	5.100000000000e+01	4.000000000000e+01	4.610000000000e+00	1.393706836195e-01	1.426170438772e-10	2.700000000000e+00	2664
76	6919		1.791562917000e+02	5.563319440000e+01	1.833000000000e+01	Im:	9.700000000000e-01	3.870000000000e+00	1.368100000000e+01	nan	8.720000000000e+00	1.440000000000e-02	4.165000000000e+01	Ursa Major Cl.	2.400000000000e-01	False	6.000000000000e-01	6.700000000000e+01	3.530000000000e+02	1.280000000000e+00	2.925556861504e-02	5.574533677765e-11	2.910000000000e+00	1494
78	6993	4030	1.800985000000e+02	-1.100000000000e+00	2.083000000000e+01	Im:	1.760000000000e+00	1.263000000000e+01	9.800000000000e+00	9.835000000000e+00	9.200000000000e+00	2.660000000000e-02	1.079000000000e+01	Coma I Cl.	-3.000000000000e-01	False	1.600000000000e-01	3.300000000000e+01	1.780000000000e+02	5.860000000000e+00	1.778892892342e-01	1.122405535467e-10	3.400000000000e+00	3047
80	7001	4019	1.802932917000e+02	1.410450000000e+01	2.154000000000e+01	SB(rs)b:	1.170000000000e+00	7.520000000000e+00	1.336300000000e+01	1.397600000000e+01	9.510000000000e+00	3.170000000000e-02	7.426000000000e+00	Virgo Out.	7.700000000000e-01	False	1.200000000000e-01	2.900000000000e+01	1.610000000000e+02	3.520000000000e+00	1.156132754410e-01	3.572791770333e-11	2.540000000000e+00	4608
83			1.808997500000e+02	1.605555560000e+01	1.700000000000e+01	SB(r)a:;HII	4.500000000000e-01	1.480000000000e+00	1.337900000000e+01	nan	8.530000000000e+00	3.000000000000e-02	8.446000000000e+00	Crater Cl.	6.800000000000e-01	False	6.600000000000e-01	7.500000000000e+01	3.270000000000e+02	2.800000000000e-01	5.705970448038e-03	1.683951263334e-11	2.390000000000e+00	307
84	7035		1.809172500000e+02	2.641222200000e+00	1.760000000000e+01	SA(s)b:	7.500000000000e-01	2.820000000000e+00	1.355900000000e+01	1.418100000000e+01	9.390000000000e+00	2.700000000000e-02	6.833000000000e+00	Virgo Out.	3.800000000000e-01	False	2.200000000000e-01	3.900000000000e+01	4.000000000000e+01	3.200000000000e-01	6.941430151532e-03	2.827801743489e-12	2.390000000000e+00	961
86	7095	4100	1.815358333000e+02	4.958230560000e+01	1.531000000000e+01	SB(rs)dm	2.170000000000e+00	1.196000000000e+01	1.044400000000e+01	1.048300000000e+01	9.230000000000e+00	2.310000000000e-02	7.673000000000e+00	Virgo Out.	-2.100000000000e-01	False	4.100000000000e-01	5.400000000000e+01	3.370000000000e+02	1.811000000000e+01	2.946066024841e-01	1.734772286986e-10	2.780000000000e+00	8208
95	7268	4207	1.838770833000e+02	9.584888900000e+00	1.700000000000e+01	Scd	8.200000000000e-01	4.850000000000e+00	1.200200000000e+01	1.187100000000e+01	9.660000000000e+00	1.730000000000e-02	3.904000000000e+00	Virgo N Cl.	2.700000000000e-01	False	4.300000000000e-01	5.600000000000e+01	1.250000000000e+02	3.130000000000e+00	6.194636458850e-02	1.355238791899e-11	2.170000000000e+00	1570
106	7385	4276	1.850312500000e+02	7.692000000000e+00	2.300000000000e+01	S(s)c II	1.280000000000e+00	7.020000000000e+00	1.247900000000e+01	1.300400000000e+01	9.370000000000e+00	2.920000000000e-02	2.433000000000e+00	Virgo B	4.000000000000e-01	False	1.200000000000e-01	2.900000000000e+01	6.000000000000e+00	3.850000000000e+00	1.433474743572e-01	6.114909663271e-11	2.110000000000e+00	3969
112	7413	4300	1.854227917000e+02	5.384833300000e+00	2.300000000000e+01	Sa	1.180000000000e+00	7.230000000000e+00	1.185100000000e+01	nan	1.004000000000e+01	2.160000000000e-02	3.306000000000e+00	Virgo B	9.400000000000e-01	False	4.800000000000e-01	6.100000000000e+01	2.200000000000e+02	8.200000000000e-01	3.000151378019e-02	2.736170576462e-12	2.690000000000e+00	1380
117	7431	4307	1.855234583000e+02	9.043555600000e+00	2.300000000000e+01	Sb	2.220000000000e+00	1.321000000000e+01	1.118800000000e+01	1.123200000000e+01	1.035000000000e+01	2.280000000000e-02	2.187000000000e+00	Virgo B	1.500000000000e+00	False	6.900000000000e-01	7.500000000000e+01	2.400000000000e+01	1.000000000000e-02	3.668844592512e-04	1.638812681627e-14	2.500000000000e+00	2560
121	7447	4316	1.856760000000e+02	9.332472200000e+00	2.300000000000e+01	Sbc	1.630000000000e+00	8.300000000000e+00	1.194500000000e+01	1.176200000000e+01	1.009000000000e+01	2.210000000000e-02	2.214000000000e+00	Virgo B	3.700000000000e-01	False	7.300000000000e-01	7.700000000000e+01	1.130000000000e+02	3.080000000000e+00	1.128184250069e-01	9.170225863115e-12	2.640000000000e+00	1116
134	7482	4356	1.860605417000e+02	8.535805600000e+00	2.300000000000e+01	Sc	2.470000000000e+00	1.070000000000e+01	1.195800000000e+01	1.222700000000e+01	9.960000000000e+00	2.690000000000e-02	1.484000000000e+00	Virgo B	1.460000000000e+00	False	7.500000000000e-01	7.700000000000e+01	3.900000000000e+01	7.800000000000e-01	2.888842859051e-02	3.167553207033e-12	2.210000000000e+00	1440
139	7498	4376	1.863252500000e+02	5.741194400000e+00	2.300000000000e+01	Im	1.270000000000e+00	6.160000000000e+00	1.293800000000e+01	1.353400000000e+01	9.000000000000e+00	2.300000000000e-02	2.521000000000e+00	Virgo B	1.800000000000e-01	False	4.000000000000e-01	5.400000000000e+01	3.410000000000e+02	4.950000000000e+00	1.816914600756e-01	1.816914600756e-10	2.070000000000e+00	1772
141	7503	4380	1.863423750000e+02	1.001680560000e+01	2.300000000000e+01	SA(rs)b:?	2.940000000000e+00	1.178000000000e+01	1.089300000000e+01	1.114800000000e+01	1.032000000000e+01	2.360000000000e-02	2.299000000000e+00	Virgo B	1.140000000000e+00	False	4.700000000000e-01	5.900000000000e+01	3.350000000000e+02	9.000000000000e-02	3.308048174176e-03	1.583331403014e-13	2.150000000000e+00	5544
142	7507	4383	1.863562500000e+02	1.647000000000e+01	1.700000000000e+01	Sa? pec;HII	6.900000000000e-01	6.430000000000e+00	1.157700000000e+01	1.176800000000e+01	9.420000000000e+00	2.370000000000e-02	4.296000000000e+00	Virgo A	-2.800000000000e-01	False	4.100000000000e-01	5.600000000000e+01	2.000000000000e+02	1.412000000000e+01	2.835999718694e-01	1.078217021016e-10	4.020000000000e+00	3019
146	7518		1.864755000000e+02	7.554833300000e+00	2.300000000000e+01	SAB(s)cd: sp	1.900000000000e+00	7.230000000000e+00	1.283500000000e+01	1.308500000000e+01	9.380000000000e+00	2.930000000000e-02	1.067000000000e+00	Virgo B	4.000000000000e-01	False	7.300000000000e-01	7.500000000000e+01	1.560000000000e+02	2.160000000000e+00	8.044203841244e-02	3.353382295809e-11	2.020000000000e+00	972
151	7538	4413	1.866343750000e+02	1.261097220000e+01	1.700000000000e+01	(R')SB(rs)ab:	1.370000000000e+00	7.220000000000e+00	1.153700000000e+01	1.209700000000e+01	9.680000000000e+00	3.220000000000e-02	1.094000000000e+00	Virgo A	9.200000000000e-01	False	3.400000000000e-01	5.000000000000e+01	2.370000000000e+02	2.210000000000e+00	4.526512879245e-02	9.457225844867e-12	2.230000000000e+00	4599
153	7541	4416	1.866946667000e+02	7.919000000000e+00	1.700000000000e+01	SB(rs)cd:;Sbrst	9.800000000000e-01	5.390000000000e+00	1.205800000000e+01	1.251400000000e+01	9.340000000000e+00	2.530000000000e-02	7.544000000000e-01	Virgo S Cl.	5.300000000000e-01	False	1.100000000000e-01	2.700000000000e+01	2.830000000000e+02	6.160000000000e+00	1.241801553691e-01	5.676128240374e-11	2.170000000000e+00	4003
156	7551	4419	1.867351250000e+02	1.504741670000e+01	1.700000000000e+01	SB(s)a;LINER;HII	1.310000000000e+00	8.700000000000e+00	1.056300000000e+01	1.038900000000e+01	1.024000000000e+01	3.300000000000e-02	2.828000000000e+00	Virgo A	1.360000000000e+00	False	6.500000000000e-01	7.400000000000e+01	3.140000000000e+02	2.200000000000e-01	4.514338985878e-03	2.597730943152e-13	3.230000000000e+00	4002
157	7549	4420	1.867436667000e+02	2.494361100000e+00	1.700000000000e+01	SB(r)bc:	9.200000000000e-01	4.970000000000e+00	1.180100000000e+01	1.205300000000e+01	9.280000000000e+00	1.780000000000e-02	5.550000000000e+00	Virgo S Cl.	2.800000000000e-01	False	5.100000000000e-01	6.100000000000e+01	8.000000000000e+00	4.100000000000e+00	8.123727430979e-02	4.263392760813e-11	2.690000000000e+00	10712
159	7561	4424	1.867982917000e+02	9.420555600000e+00	2.300000000000e+01	SB(s)a:;HII	2.590000000000e+00	1.448000000000e+01	1.089900000000e+01	1.150600000000e+01	1.017000000000e+01	2.070000000000e-02	1.561000000000e+00	Virgo B	9.800000000000e-01	False	4.900000000000e-01	6.200000000000e+01	9.200000000000e+01	1.020000000000e+00	3.724169917916e-02	2.517847878970e-12	2.370000000000e+00	4404
160	7566	4430	1.868600417000e+02	6.262777800000e+00	2.300000000000e+01	SB(rs)b:	1.910000000000e+00	1.010000000000e+01	1.150600000000e+01	1.202200000000e+01	9.830000000000e+00	1.860000000000e-02	1.833000000000e+00	Virgo B	6.500000000000e-01	False	1.100000000000e-01	2.800000000000e+01	6.000000000000e+01	7.570000000000e+00	2.750585793013e-01	4.068414518821e-11	2.180000000000e+00	1538
165	7579		1.869807917000e+02	5.721222200000e+00	2.300000000000e+01	Sdm:	1.060000000000e+00	6.320000000000e+00	1.377600000000e+01	1.406900000000e+01	8.860000000000e+00	1.970000000000e-02	2.326000000000e+00	Virgo B	6.800000000000e-01	False	7.200000000000e-01	7.500000000000e+01	3.120000000000e+02	6.000000000000e-02	2.185649743995e-03	3.017036514544e-12	3.240000000000e+00	8418
168	7590		1.870782083000e+02	8.729472200000e+00	2.300000000000e+01	Sbc	8.300000000000e-01	5.890000000000e+00	1.349900000000e+01	1.421800000000e+01	8.640000000000e+00	2.150000000000e-02	8.160000000000e-01	Virgo B	-3.000000000000e-02	False	5.000000000000e-01	6.100000000000e+01	1.740000000000e+02	1.040000000000e+00	3.804193991521e-02	8.714904960030e-11	2.380000000000e+00	3093
169	7595		1.871136667000e+02	1.841530560000e+01	2.430000000000e+01	Scd:	1.420000000000e+00	3.890000000000e+00	1.267900000000e+01	1.319500000000e+01	9.280000000000e+00	3.230000000000e-02	6.053000000000e+00	Coma I Cl.	3.100000000000e-01	False	2.800000000000e-01	4.400000000000e+01	2.390000000000e+02	6.600000000000e-01	2.762677092928e-02	1.449873548630e-11	2.070000000000e+00	442
171	7600	4451	1.871689583000e+02	9.258944400000e+00	2.300000000000e+01	Sbc:	8.900000000000e-01	6.560000000000e+00	1.204000000000e+01	1.238600000000e+01	9.690000000000e+00	1.880000000000e-02	1.289000000000e+00	Virgo B	7.800000000000e-01	False	3.400000000000e-01	4.900000000000e+01	1.700000000000e+02	1.140000000000e+00	4.144137602343e-02	8.461242990635e-12	3.110000000000e+00	824
172	7602		1.871802500000e+02	1.499950000000e+01	1.700000000000e+01	SAb:	1.310000000000e+00	7.220000000000e+00	1.156300000000e+01	1.182900000000e+01	9.770000000000e+00	3.690000000000e-02	2.660000000000e+00	Virgo A	1.480000000000e+00	False	5.600000000000e-01	6.600000000000e+01	4.000000000000e+01	3.800000000000e-01	7.867832097420e-03	1.336149591808e-12	2.520000000000e+00	813
177	7627	4470	1.874074167000e+02	7.824194400000e+00	1.700000000000e+01	Sa?;HII	7.300000000000e-01	4.550000000000e+00	1.205200000000e+01	1.247400000000e+01	9.200000000000e+00	2.410000000000e-02	1.799000000000e-01	Virgo S Cl.	3.200000000000e-01	False	3.400000000000e-01	5.100000000000e+01	1.000000000000e+00	2.330000000000e+00	4.684113477304e-02	2.955475800884e-11	2.580000000000e+00	1711
189	7676		1.879781667000e+02	1.512394440000e+01	1.700000000000e+01	SB(s)c II.5	1.100000000000e+00	4.180000000000e+00	1.250700000000e+01	1.306300000000e+01	8.940000000000e+00	3.070000000000e-02	2.746000000000e+00	Virgo A	4.200000000000e-01	False	3.600000000000e-01	5.100000000000e+01	1.070000000000e+02	2.600000000000e-01	5.306948030080e-03	6.093191599832e-12	2.320000000000e+00	3457
198	7714	4525	1.884632917000e+02	3.027752780000e+01	1.677000000000e+01	Scd:	1.350000000000e+00	7.320000000000e+00	1.207400000000e+01	1.269000000000e+01	9.290000000000e+00	2.290000000000e-02	1.790000000000e+01	Coma I Cl.	3.600000000000e-01	False	4.600000000000e-01	5.800000000000e+01	2.310000000000e+02	5.140000000000e+00	1.002773591672e-01	5.142838520550e-11	2.180000000000e+00	1944
199	7716		1.884860833000e+02	1.535483330000e+01	1.700000000000e+01	SB(rs)c pec?	1.210000000000e+00	4.850000000000e+00	1.258700000000e+01	1.316900000000e+01	9.070000000000e+00	3.770000000000e-02	3.065000000000e+00	Virgo A	1.000000000000e+00	False	3.000000000000e-01	4.600000000000e+01	1.530000000000e+02	6.200000000000e-01	1.286065761229e-02	1.094619489012e-11	2.860000000000e+00	3636
212	7768	4561	1.890339167000e+02	1.932261110000e+01	2.014000000000e+01	SB(rs)dm	1.180000000000e+00	4.420000000000e+00	1.226200000000e+01	1.309400000000e+01	9.140000000000e+00	2.630000000000e-02	7.058000000000e+00	Coma I Cl.	-5.300000000000e-01	False	2.100000000000e-01	3.800000000000e+01	2.210000000000e+02	3.670000000000e+00	1.040779287219e-01	7.539779421624e-11	2.380000000000e+00	2505
226	7821	4591	1.898018333000e+02	6.012305600000e+00	1.700000000000e+01	Sb	6.900000000000e-01	4.850000000000e+00	1.252000000000e+01	1.280800000000e+01	9.310000000000e+00	2.160000000000e-02	3.083000000000e+00	Virgo S Cl.	7.900000000000e-01	False	4.700000000000e-01	5.900000000000e+01	2.200000000000e+02	1.300000000000e-01	2.598452839508e-03	1.272667163919e-12	2.490000000000e+00	1753
237	7871	4630	1.906297917000e+02	3.960361100000e+00	1.700000000000e+01	IB(s)m?	1.050000000000e+00	5.710000000000e+00	1.179200000000e+01	1.222100000000e+01	9.510000000000e+00	2.980000000000e-02	5.145000000000e+00	Virgo S Cl.	3.100000000000e-01	False	2.500000000000e-01	4.200000000000e+01	1.940000000000e+02	8.920000000000e+00	1.816922240712e-01	5.614826501706e-11	2.260000000000e+00	1528
239	7875	4634	1.906706667000e+02	1.429583330000e+01	1.700000000000e+01	SBcd: sp	1.800000000000e+00	7.220000000000e+00	1.182500000000e+01	1.160900000000e+01	9.570000000000e+00	2.780000000000e-02	3.524000000000e+00	Virgo E Cl.	4.500000000000e-01	False	8.000000000000e-01	8.000000000000e+01	3.360000000000e+02	1.650000000000e+00	3.345456836507e-02	9.004413510493e-12	3.110000000000e+00	1661
256		4691	1.920567917000e+02	-3.332722200000e+00	1.599000000000e+01	(R)SB(s)0/a pec;HII	1.330000000000e+00	6.560000000000e+00	1.038100000000e+01	1.080500000000e+01	9.980000000000e+00	2.760000000000e-02	1.224000000000e+01	Virgo Out.	7.500000000000e-01	False	2.200000000000e-01	4.000000000000e+01	2.510000000000e+02	3.469000000000e+01	6.219777819886e-01	6.512906917736e-11	3.110000000000e+00	16276
268	8007	4746	1.929807083000e+02	1.208302780000e+01	1.700000000000e+01	Sb: sp	9.800000000000e-01	5.440000000000e+00	1.206500000000e+01	1.178300000000e+01	9.420000000000e+00	3.580000000000e-02	5.284000000000e+00	Virgo Out.	1.500000000000e-01	False	6.200000000000e-01	7.000000000000e+01	1.190000000000e+02	2.270000000000e+00	4.688105149511e-02	1.782367866680e-11	2.490000000000e+00	6435
271	8014	4758	1.931835000000e+02	1.584886110000e+01	1.700000000000e+01	Im:;HII	2.110000000000e+00	7.420000000000e+00	1.223400000000e+01	1.253500000000e+01	9.330000000000e+00	2.610000000000e-02	6.478000000000e+00	Virgo Out.	2.300000000000e-01	False	7.800000000000e-01	7.900000000000e+01	3.380000000000e+02	7.100000000000e-01	1.433936222127e-02	6.707023614535e-12	2.130000000000e+00	1208
273	8020	4771	1.933386250000e+02	1.269166700000e+00	1.700000000000e+01	SAd? sp;NLAGN	1.800000000000e+00	9.890000000000e+00	1.133800000000e+01	1.157600000000e+01	9.880000000000e+00	1.970000000000e-02	8.947000000000e+00	Virgo Out.	4.200000000000e-01	False	7.400000000000e-01	7.600000000000e+01	3.130000000000e+02	4.700000000000e-01	9.353396494228e-03	1.233017795691e-12	2.500000000000e+00	2241
