#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F386%2F140%2Ftable1.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33860140
#Name: J/A+A/386/140
#Title: HI survey of polar ring galaxies. IV. (van Driel+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/386/140	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/386/140	    IVOID of underlying data collection
#INFO	creator=van Driel W.	    First author or institution
#INFO	cites=bibcode:2002A&A...386..140V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/386/140	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33860140	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_386_140_table1:
#Name: J/A+A/386/140/table1
#Title: Basic data for the Parkes polar ring galaxy H I survey sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Type	(A1)	[KGP] Type of polar-ring galaxy (1)	[ucd=src.class]
#Column	PRC	(a4)	PRC (Whitmore et al., 1990AJ....100.1489W) designation (2)	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Identification in other catalogues	[ucd=meta.id]
#Column	RAJ2000	(A10)	Optical centre right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Optical centre declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Vopt	(I5)	? Optical systemic velocity (3)	[ucd=phys.veloc;pos.heliocentric]
#Column	n_Vopt	(A1)	[:)] Note on Vopt (4)	[ucd=meta.note]
#Column	e_Vopt	(I3)	? rms uncertainty on Vopt	[ucd=stat.error]
#Column	n_e_Vopt	(A1)	[)] Note on e_Vopt (4)	[ucd=meta.note]
#Column	BTmag	(F5.2)	Total blue magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	n_BTmag	(A1)	[)] Note on BTmag (4)	[ucd=meta.note]
#Column	D25	(F4.1)	Blue major axis diameter at the 25mag/arcsec^2^ isophotal level (3)	[ucd=phys.angSize;src]
#Column	n_VHI	(A1)	[*] Note concerning C-14 data (5)	[ucd=meta.note]
#Column	VHI	(I5)	? Centre velocity of the HI profile (5)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_VHI	(I2)	? rms uncertainty on VHI	[ucd=stat.error]
#Column	u_e_VHI	(A1)	Uncertainty flag on e_VHI	[ucd=meta.code.error]
#Column	W50	(I3)	? Width of the HI profile measured at the 50% level of the peak flux (5)	[ucd=spect.line.width]
#Column	W20	(I3)	? Width of the HI profile measured at the 20% level of the peak flux	[ucd=spect.line.width]
#Column	u_W20	(A1)	Uncertainty flag on W20	[ucd=meta.code.error]
#Column	l_IHI	(A1)	Limit flag on IHI	[ucd=meta.code.error]
#Column	IHI	(F4.1)	Integrated HI line flux (5)	[ucd=phot.flux]
#Column	rms	(F4.1)	rms noise level of the spectrum (5)	[ucd=instr.det.noise]
#Column	n_rms	(A1)	[/]	[ucd=meta.note]
#Column	rms2	(F4.1)	? Second value of rms (6)	[ucd=instr.det.noise]
#Column	Dist	(F5.1)	? Distance	[ucd=pos.distance]
#Column	logLB	(F5.2)	? Blue luminosity	[ucd=phys.luminosity;em.opt.B]
#Column	l_logMHI	(A1)	Limit flag on logMHI	[ucd=meta.code.error]
#Column	logMHI	(F5.2)	? HI mass	[ucd=phys.mass]
#Column	n_logMHI	(A2)	[m c?] Notes on logMHI (7)	[ucd=meta.note]
#Column	l_MHI/LB	(A1)	Limit flag on MHI/LB	[ucd=meta.code.error]
#Column	MHI/LB	(F5.2)	? Ratio of the total HI mass and blue luminosity	[ucd=phys.composition.massLightRatio]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
recno	Type	PRC	Name	RAJ2000	DEJ2000	Vopt	n_Vopt	e_Vopt	n_e_Vopt	BTmag	n_BTmag	D25	n_VHI	VHI	e_VHI	u_e_VHI	W50	W20	u_W20	l_IHI	IHI	rms	n_rms	rms2	Dist	logLB	l_logMHI	logMHI	n_logMHI	l_MHI/LB	MHI/LB	Simbad	NED
      21	P	C-22	ESO 202-G1  	04 16 31.1	-47 50 51	10052	 	 50	 	14.73	 	 1.3	 	 9780	30	:	220	315	:	 	 1.4	 3.1	 	    	128.2	10.52	 	     	m 	 	     	Simbad	NED
      22	P	C-42	NGC 4672    	12 46 15.4	-41 42 22	 3346	 	 63	 	14.10	 	 2.2	 	 3202	 6	 	343	377	 	 	12.7	 4.8	 	    	 46.5	 9.89	 	 9.81	  	 	 0.84	Simbad	NED
      23	P	C-48	ESO 326-IG6 	14 11 08.5	-40 06 22	 8598	 	 45	 	15.32	 	 0.9	 	     	  	 	   	   	 	<	 5.3	 5.1	 	    	111.3	10.16	<	10.20	  	<	 1.10	Simbad	NED
      24	P	C-52	ESO 232-G4  	19 22 46.6	-51 00 08	 5600	:	200	 	14.81	 	 1.3	 	 4951	20	 	320	385	 	 	 2.5	 3.6	 	    	 64.5	 9.89	 	 9.54	  	 	 0.45	Simbad	NED
      25	P	C-53	IC 4982     	20 20 37.1	-71 01 45	     	 	   	 	15.58	 	 0.6	 	 6180	16	 	190	235	 	 	 2.9	 4.6	 	    	 80.0	 9.77	 	 9.63	  	 	 0.74	Simbad	NED
      26	P	C-55	ESO 143-G37 	20 37 48.0	-61 44 50	     	 	   	 	16.42	 	 0.7	 	 3265	 9	 	 90	151	 	 	 4.8	 5.1	 	    	 42.2	 8.87	 	 9.31	  	 	 2.70	Simbad	NED
      27	P	C-56	PGC 128148  	20 44 11.6	-61 59 19	     	 	   	 	15.75	 	 0.8	 	 3335	24	 	259	485	 	 	 5.7	 4.4	 	    	 42.6	 9.15	 	 9.38	  	 	 1.70	Simbad	NED
      28	P	C-61	PGC 263886  	21 20 56.6	-72 20 17	     	 	   	 	16.11	 	 0.5	 	     	  	 	   	   	 	<	 4.4	 4.3	/	 5.5	     	     	 	     	  	<	 1.80	Simbad	NED
      29	P	C-62	ESO 236-IG2 	21 19 46.8	-52 14 16	     	 	   	 	16.35	 	 0.5	 	     	  	 	   	   	 	<	 4.1	 4.2	/	 4.8	     	     	 	     	  	<	 2.10	Simbad	NED
      30	P	C-65	ESO 287-IG50	21 41 57.9	-46 00 38	17700	 	 35	 	15.76	 	 0.6	 	     	  	 	   	   	 	<	 7.0	 4.7	 	    	235.3	10.63	<	11.00	  	<	 2.10	Simbad	NED
      31	P	C-67	ESO 75-G55  	22 06 24.9	-67 31 03	     	 	   	 	14.93	 	 1.0	 	 3541	10	 	173	193	 	 	 3.3	 3.0	 	    	 45.2	 9.53	 	 9.20	  	 	 0.47	Simbad	NED
      32	P	C-68	PGC 127657  	22 24 14.5	-66 02 18	     	 	   	 	14.73	 	 0.9	 	     	  	 	   	   	 	<	 4.6	 5.0	/	 5.2	     	     	 	     	  	<	 0.54	Simbad	NED
      33	P	C-72	ESO 240-IG16	23 44 48.1	-49 06 41	13664	 	 60	 	15.88	 	 0.6	 	     	  	 	   	   	 	<	 4.6	 4.1	 	    	179.0	10.35	<	10.50	  	<	 1.60	Simbad	NED

