#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:27 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F702%2FA258%2Fuciprg.dat&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37020258
#Name: J/A+A/702/A258
#Title: Catalogue of inspected PRGs - CIPRG (Dobrycheva+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/702/a258	    IVOID of underlying data collection
#INFO	creator=Dobrycheva D.V.	    First author or institution
#INFO	cites=bibcode:2025A&A...702A.258D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/702/A258	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-ny/lcfi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-08-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_702_A258_uciprg:
#Name: J/A+A/702/A258/uciprg
#Title: *Catalog of inspected polar ring galaxies (updated version, 12-Jun-2026)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a24)	Colloquial name	[ucd=meta.id;meta.main]
#Column	SDSSobjID	(I19)	? Long object SDSS identification	[ucd=meta.id]
#Column	RAJ2000	(F13.9)	Right ascension (J2000) from SDSS	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination (J2000) from SDSS	[ucd=pos.eq.dec;meta.main]
#Column	Catalogue	(a25)	Name of the catalogue or publication from which the object was taken (1)	[ucd=meta.id;meta.table]
#Column	Type	(a23)	Type assigned to the object in the study it was taken from (2)	[ucd=src.class]
#Column	SDSS	(I1)	Availability in SDSS (3)	[ucd=meta.code]
#Column	DESILegacy	(I1)	Availability in DESI Legacy Survey (4)	[ucd=meta.note]
#Column	VisualSDSS	(a10)	Type assigned after visual inspection through SDSS (5)	[ucd=src.class]
#Column	VisualDESI	(a11)	Type assigned after visual inspection through DESI Legacy Survey (6)	[ucd=src.class]
#Column	ArtifactSDSS	(I1)	[0/1] Presence of an artifact in the SDSS image (7)	[ucd=meta.code]
#Column	ArtifactDESI	(I1)	[0/1]? Presence of an artifact in the DESI Legacy Survey image (8)	[ucd=meta.code]
#Column	zph	(F9.6)	? Photometric redshift taken from SDSS	[ucd=src.redshift]
#Column	zsp	(F12.9)	? Spectroscopic redshift taken from SDSS	[ucd=src.redshift]
#Column	kconf	(A3)	Available kinematic confirmation (9)	[ucd=meta.code]
#Column	Sloan	(a5)	Display the SDSS data for this object	[ucd=meta.ref.url]
recno	Name	SDSSobjID	RAJ2000	DEJ2000	Catalogue	Type	SDSS	DESILegacy	VisualSDSS	VisualDESI	ArtifactSDSS	ArtifactDESI	zph	zsp	kconf	Sloan
      20	C40                     	1237665228379193489	185.065500000	+33.66080600000	Whitmore et al. 1990     	possible_candidates    	1	1	strong    	 strong    	0	0	 0.026312	 0.021588680	no 	Sloan
      21	C45                     	                   	201.365063000	-43.01911300000	Whitmore et al. 1990     	possible_candidates    	0	0	          	           	0	1	         	 0.001820000	yes	Sloan
      22	C46                     	                   	202.522092000	-20.93297900000	Whitmore et al. 1990     	possible_candidates    	0	1	          	 good      	0	1	         	 0.017810000	yes	Sloan
      23	D19                     	1237667735578607717	175.185000000	+22.43777800000	Whitmore et al. 1990     	related_objects        	1	1	good      	 good      	0	0	 0.023603	            	no 	Sloan
      24	RM01                    	1237679502173012124	003.851331439	+18.77355559000	Reshetnikov et al. 2019  	candidates             	1	1	strong    	 strong    	0	0	 0.047603	            	no 	Sloan
      25	RM02                    	1237678919136182309	012.309435010	+12.14948365000	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.033162	            	no 	Sloan
      26	RM03                    	1237680240920952898	017.070203770	-08.38823964200	Reshetnikov et al. 2019  	candidates             	1	1	good      	 strong    	0	0	 0.060567	            	no 	Sloan
      27	RM04                    	1237679504329080935	024.774854680	+19.43330924000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.068183	 0.087992770	no 	Sloan
      28	RM05                    	1237678617967657108	029.620306450	+01.59721659000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.072601	 0.059557370	no 	Sloan
      29	RM06                    	1237680314989740241	030.819099740	+29.64179757000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 weak      	0	0	 0.037517	            	no 	Sloan
      30	RM07                    	1237649962461298718	063.991535880	-05.28217079700	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.044692	            	no 	Sloan
      31	RM08                    	1237657879149413085	115.787012800	+24.03515444000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 weak      	0	0	 0.080750	 0.087907930	no 	Sloan
      32	RM09                    	1237663787417468938	117.879247700	+50.03799148000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.074187	 0.060149930	no 	Sloan
      33	RM10                    	1237658424612028985	124.417004400	+04.49786823600	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.088364	 0.110456200	no 	Sloan
      34	RM11                    	1237664835394601204	138.844788800	+27.28664002000	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.031094	 0.045791970	no 	Sloan
      35	RM12                    	1237661066022355139	138.994172100	+09.58202794100	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.073238	 0.045010910	no 	Sloan
      36	RM16                    	1237671763169116283	191.305898100	-15.68390819000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.036359	            	no 	Sloan
      37	RM18                    	1237671957523136723	209.299980300	-07.07509402600	Reshetnikov et al. 2019  	candidates             	1	1	good      	 merger    	0	0	 0.027287	            	no 	Sloan
      38	RM19                    	1237661388677709923	211.146722300	+55.92690279000	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.128225	            	no 	Sloan
      39	RM20                    	1237668336861512146	242.766422500	+14.01211538000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.041065	 0.031345370	no 	Sloan
      40	RM21                    	1237659162277249455	246.141694400	+36.67097570000	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.079460	 0.050253310	no 	Sloan
      41	RM22                    	1237662199368384632	252.738623200	+04.82541544900	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 good      	0	0	 0.070625	            	no 	Sloan
      42	RM23                    	1237668572015166725	269.247905600	+04.02872056500	Reshetnikov et al. 2019  	candidates             	1	0	weak      	           	0	 	 0.117313	            	no 	Sloan
      43	RM24                    	1237666209264829255	311.105130200	+02.38951313300	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.070880	            	no 	Sloan
      44	RM25                    	1237669761713374436	313.056176700	+03.82341893000	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 weak      	0	0	 0.033546	            	no 	Sloan
      45	RM26                    	1237678877781787568	318.187577800	+09.49389416500	Reshetnikov et al. 2019  	candidates             	1	1	weak      	 good      	0	0	 0.098926	 0.095934790	no 	Sloan
      46	RM28                    	1237680247340007885	332.862206400	+17.89677990000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.078149	 0.020495140	no 	Sloan
      47	RM29                    	1237669763336765592	342.148959900	+07.40690516700	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.081862	            	no 	Sloan
      48	RM30                    	1237666246302236732	356.030513500	+25.61604116000	Reshetnikov et al. 2019  	candidates             	1	1	good      	 good      	0	0	 0.090013	 0.095805240	no 	Sloan
      49	SPRC001                 	1237657190369329307	002.298264077	-00.61520395780	Moiseev et al. 2011      	best_candidates        	1	1	dust lane 	 good      	0	0	 0.065754	 0.073332350	yes	Sloan
      50	SPRC002                 	1237678581442019331	006.672962013	+25.85047202000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 weak      	0	0	 0.030944	 0.028500000	yes	Sloan
      51	SPRC003                 	1237652900752523443	010.264329260	-09.94112983700	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.063797	 0.036828030	yes	Sloan
      52	SPRC004                 	1237657584950444172	040.743456730	-00.95256759080	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 strong    	0	0	 0.061498	 0.043012230	yes	Sloan
      53	SPRC006                 	1237663917338919229	117.673437500	+50.96112879000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.022320	 0.018671030	no 	Sloan
      54	SPRC007                 	1237657118404903342	118.143088000	+29.34716208000	Moiseev et al. 2011      	best_candidates        	1	1	ring      	 strong    	0	0	 0.079204	 0.060066450	yes	Sloan
      55	SPRC008                 	1237674371288596970	118.915127100	+18.59089788000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.073907	            	no 	Sloan
      56	SPRC010                 	1237667253454242210	125.159111900	+15.61660024000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.072172	 0.042439450	yes	Sloan
      57	SPRC011                 	1237660765912695090	132.133376300	+32.33678989000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.075832	 0.065795560	no 	Sloan
      58	SPRC012                 	1237653614257307843	135.458934100	+52.20627834000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.089493	 0.062470000	yes	Sloan
      59	SPRC013                 	1237655107828908189	138.723562800	+49.63997854000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.045270	 0.031767970	yes	Sloan
      60	SPRC014                 	1237667430630228069	139.566535600	+20.36813449000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.040629	 0.031880990	yes	Sloan
      61	SPRC015                 	1237667292654731283	144.144273300	+21.23271996000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.031675	 0.034273600	no 	Sloan
      62	SPRC016                 	1237661384383201420	145.530610800	+36.40479183000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.074402	 0.060119390	no 	Sloan
      63	SPRC017                 	1237668289081376896	149.799377500	+16.47820811000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.052454	 0.026399820	no 	Sloan
      64	SPRC018                 	1237671260669935710	152.178413700	+14.36726673000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.100215	 0.081849170	no 	Sloan
      65	SPRC019                 	1237661851459518589	154.322906800	+41.09936303000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.100783	 0.105157500	no 	Sloan
      66	SPRC020                 	1237654605324157077	156.501691900	+04.24248315000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.171133	 0.074280730	no 	Sloan
      67	SPRC021                 	1237665127996850247	157.243999400	+31.56173425000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 weak      	0	0	 0.079005	 0.081182370	no 	Sloan
      68	SPRC022                 	1237658300608676014	160.481914000	+07.75387190900	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.089237	 0.159853800	no 	Sloan
      69	SPRC023                 	1237658298998521962	161.598533300	+06.61948789400	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.062790	 0.027816130	no 	Sloan
      70	SPRC024                 	1237657612337348713	169.104638500	+56.83805929000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.060171	 0.047104310	no 	Sloan
      71	SPRC025                 	1237667735040163896	171.223557000	+21.89690465000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 weak      	0	0	 0.093659	 0.072837640	no 	Sloan
      72	SPRC026                 	1237654606942896535	175.022933500	+06.07881301800	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.230615	            	no 	Sloan
      73	SPRC027                 	1237667783904919793	176.183423600	+23.16248950000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.074909	 0.048351590	yes	Sloan
      74	SPRC028                 	1237671129664913484	178.117896700	+05.01241480400	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.081236	 0.077287240	no 	Sloan
      75	SPRC029                 	1237661357542473926	178.389825800	+47.31867330000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 good      	0	0	 0.042266	 0.047328360	no 	Sloan
      76	SPRC030                 	1237661971721027749	181.802861700	+07.66235750600	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.097866	 0.075172890	no 	Sloan
      77	SPRC031                 	1237665225694576692	184.297983500	+31.51048154000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.042724	 0.049710620	no 	Sloan
      78	SPRC032                 	1237654609605099736	184.850658200	+64.63161788000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.064725	 0.034872380	no 	Sloan
      79	SPRC033                 	1237664290465251349	184.877387400	+14.87766374000	Moiseev et al. 2011      	best_candidates        	1	1	no ring   	 strong    	0	0	         	 0.004530000	yes	Sloan
      80	SPRC034                 	1111111111111111111	186.499166700	+15.70236111000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	         	            	no 	Sloan
      81	SPRC035                 	1237668589725614140	191.062457800	+17.01366034000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.111715	 0.067568640	no 	Sloan
      82	SPRC036                 	1237661816560484577	193.074172500	+12.10842525000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.133014	 0.130063600	no 	Sloan
      83	SPRC037                 	1237661151377817682	193.290653600	+49.80904308000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 good      	0	0	 0.072064	 0.067619720	yes	Sloan
      84	SPRC038                 	1237665440979747035	197.062166300	+28.73540370000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 strong    	0	0	 0.055511	 0.038906540	no 	Sloan
      85	SPRC039                 	1237661874017861702	197.070519000	+45.37643656000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 strong    	0	0	 0.068531	 0.029329800	yes	Sloan
      86	SPRC040                 	1237664852564049932	197.881071000	+36.28175537000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.003630	 0.003652072	yes	Sloan
      87	SPRC041                 	1237667444051148967	201.388408300	+27.37963395000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.048827	 0.061098730	no 	Sloan
      88	SPRC042                 	1237651736304681016	204.769101900	+02.16376677800	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.037887	 0.023369240	no 	Sloan
      89	SPRC043                 	1237662224074539140	205.395133100	+37.44049451000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.113377	 0.062839090	no 	Sloan
      90	SPRC044                 	1237665440983351413	206.275478800	+27.50397081000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.064967	 0.113442800	no 	Sloan
      91	SPRC045                 	1237651505956061389	208.164068700	+01.10252312400	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.070630	 0.071577830	no 	Sloan
      92	SPRC046                 	1237667912750137490	208.751493200	+24.16825159000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.103939	 0.128476600	no 	Sloan
      93	SPRC047                 	1237665548887654430	209.923738300	+25.01277084000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 strong    	0	0	 0.039181	 0.031227350	no 	Sloan
      94	SPRC048                 	1237665442596782260	213.586758500	+27.46788678000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.051609	 0.056299880	no 	Sloan
      95	SPRC049                 	1237665126944014463	213.692709100	+30.42161535000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 strong    	0	0	 0.071166	 0.068383570	no 	Sloan
      96	SPRC050                 	2222222222222222222	213.998666700	+19.40850000000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 artifact  	0	0	         	            	no 	Sloan
      97	SPRC051                 	1237667736131534996	214.566895100	+20.52618826000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.090972	 0.075438350	no 	Sloan
      98	SPRC054                 	1237665567146049789	219.952568500	+21.77230795000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.069386	 0.039378590	no 	Sloan
      99	SPRC055                 	1237668297682256064	220.952911600	+16.15825087000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.109896	 0.085807180	no 	Sloan
     100	SPRC056                 	1237661852020703346	227.808696100	+37.04379713000	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.047027	 0.055038300	no 	Sloan
     101	SPRC057                 	1237665129097068685	227.972317000	+27.72964692000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.076550	 0.070358190	no 	Sloan
     102	SPRC058                 	1237651538186207377	234.508119200	+56.70605684000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.043999	 0.045853380	no 	Sloan
     103	SPRC059                 	1237665584857022614	234.689773600	+65.46064177000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.070324	            	no 	Sloan
     104	SPRC060                 	1237662500004888857	236.851322100	+38.93065774000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.074904	 0.078279580	yes	Sloan
     105	SPRC061                 	1237668330961830101	237.478358500	+09.82865650600	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.042101	 0.045833570	no 	Sloan
     106	SPRC062                 	1237662503219560603	237.861105900	+35.17940681000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 weak      	0	0	 0.177564	            	no 	Sloan
     107	SPRC063                 	3333333333333333333	237.867916700	+04.50322222200	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	         	            	no 	Sloan
     108	SPRC064                 	1237665569826210018	239.624092100	+57.09763898000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.122585	 0.100202700	no 	Sloan
     109	SPRC065                 	1237662663755628846	244.000665800	+24.35157648000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.065413	 0.066808970	no 	Sloan
     110	SPRC066                 	1237651715334537232	247.994678800	+48.28960401000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 weak      	0	0	 0.077735	 0.087382200	no 	Sloan
     111	SPRC067                 	1237665583795732606	259.433862400	+40.69778646000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 good      	0	0	 0.034357	            	yes	Sloan
     112	SPRC068                 	1237656563292570128	267.738354900	+51.42192151000	Moiseev et al. 2011      	best_candidates        	1	1	good      	 strong    	0	0	 0.098682	            	no 	Sloan
     113	SPRC069                 	1237656568648696286	312.023606000	+00.06884942445	Moiseev et al. 2011      	best_candidates        	1	1	strong    	 strong    	0	0	 0.069858	 0.024652240	yes	Sloan
     114	SPRC070                 	1237656494038057056	355.638404700	+13.55707637000	Moiseev et al. 2011      	best_candidates        	1	1	weak      	 good      	0	0	 0.087656	            	no 	Sloan
     115	SPRC073                 	1237678433254834393	008.040836183	+01.14348663100	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.063277	 0.058991300	no 	Sloan
     116	SPRC074                 	1237663783665795195	012.050774810	-00.21545009840	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.062305	 0.056283180	no 	Sloan
     117	SPRC075                 	1237680331646566475	016.750618500	+28.75940100000	Moiseev et al. 2011      	good_candidates        	1	1	strong    	 strong    	0	0	 0.036282	            	no 	Sloan
     118	SPRC077                 	1237666407381729357	029.743304050	-00.48980527400	Moiseev et al. 2011      	good_candidates        	1	1	good      	 good      	0	0	 0.102390	 0.080988560	no 	Sloan
     119	SPRC078                 	1237657609102557752	113.036590100	+27.46143949000	Moiseev et al. 2011      	good_candidates        	1	1	weak      	 weak      	0	0	 0.080993	            	no 	Sloan
