#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:28:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:28:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F319%2F401%2Ftable1&-out.max=unlimited&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33190401
#Name: J/A+A/319/401
#Title: HI survey of polar ring galaxies. II. (Huchtmeier 1997)
#INFO	ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/319/401	    IVOID of underlying data collection
#INFO	creator=Huchtmeier W.K.	    First author or institution
#INFO	cites=bibcode:1997A&A...319..401H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=1997	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/319/401	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33190401	    Dataset identifier that can be used for citation
#INFO	publication_date=1999-02-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_319_401_table1:
#Name: J/A+A/319/401/table1
#Title: Optical and HI data
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	PRC	(a4)	PRC identifier (=1990AJ....100.1489W)	[ucd=meta.id]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	MType	(a4)	Morphological type	[ucd=src.morph.type]
#Column	RA1950	(A8)	Right ascension (1950.0)	[ucd=pos.eq.ra;meta.main]
#Column	DE1950	(A9)	Declination (1950.0)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I5)	? Heliocentric optical radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I3)	? rms uncertainty on HRV	[ucd=stat.error]
#Column	BT	(F5.2)	? Total blue apparent magnitude	[ucd=phot.mag;em.opt.B]
#Column	D25	(F5.2)	? Major axis diameter	[ucd=phys.angSize;src]
#Column	SHI	(F5.2)	? HI-flux	[ucd=phot.flux]
#Column	SMax	(F6.2)	? Maximum intensity	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_SMax	(F4.1)	? rms uncertainty on SMax	[ucd=stat.error]
#Column	VHI	(I4)	? HI-velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_VHI	(I2)	? rms uncertainty on VHI	[ucd=stat.error]
#Column	dv20	(I3)	? linewidth at 20% of the peak	[ucd=spect.line.width]
recno	PRC	Name	MType	RA1950	DE1950	HRV	e_HRV	BT	D25	SHI	SMax	e_SMax	VHI	e_VHI	dv20
      33	B-16	NGC5122   	Sc  	13 21 37	-01 23 29	 2939	   	     	     	 5.40	 21.00	 4.0	2842	10	386
      34	C-46	E576-69   	Sa  	13 27 22	-20 40 36	     	   	14.60	 0.90	 4.60	 19.00	 4.2	5365	25	464
      35	D-43	E510-13   	Sa  	13 52 15	-26 32 18	 3559	 77	12.89	 1.95	 3.10	 28.00	 3.0	3452	10	571
      36	D-46	NGC5544   	S0  	14 14 56	+36 48 11	 3121	 29	     	 0.98	 2.20	 18.00	 2.2	3078	12	234
      37	A-06	UGC9796   	S0  	15 14 00	+43 22 00	     	   	16.04	 1.38	 7.30	 43.00	 3.6	5480	 6	214
      38	C-49	NGC6028   	S0  	15 59 16	+19 29 48	 4480	 67	14.21	 1.32	 1.10	  8.00	 1.8	4474	25	293
      39	C-50	UGC10205  	Sa  	16 04 40	+30 14 06	 6605	 58	13.82	 1.44	 3.90	 13.00	 1.6	6560	35	595
      40	D-28	NGC6240   	S0/a	16 50 28	+02 29 03	 7351	 44	13.17	 2.14	     	      	 4.9	    	  	
      41	C-51	NGC6285   	S0  	16 57 47	+59 03 00	     	   	14.48	 1.32	     	      	 2.8	    	  	
      42	C-60	E464-31   	S0  	21 15 25	-27 33 36	     	   	15.02	 0.65	     	      	 4.2	    	  	
      43	D-35	NGC7252   	S0  	22 17 58	-24 55 48	 4760	 25	12.47	 1.95	 3.80	 26.00	 4.8	4750	15	223
      44	B-21	E603-21   	Sbc 	22 48 41	-20 30 42	     	   	15.50	 0.83	17.20	 54.60	 3.5	3449	10	355

