#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:26:54 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:26:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A2/efeds_cl&-out=ID,RAJ2000,DEJ2000,z,T300kpc&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610002
#Name: J/A+A/661/A2
#Title: Galaxy clusters and groups in eFEDS (Liu+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	creator=Liu A.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...2L	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610002	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-06-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A2_efeds_cl:
#Name: J/A+A/661/A2/efeds_cl
#Title: eFEDS cluster catalog
#Column	ID	(A22)	Cluster ID (eFEDS JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	T300kpc	(F5.2)	? Temperature within 300kpc	[ucd=phys.temperature]
ID	RAJ2000	DEJ2000	z	T300kpc
eFEDS J084151.9-010156	130.4665	-01.0323	 0.270	
eFEDS J084201.3+040534	130.5056	+04.0928	 0.758	
eFEDS J084201.8+005941	130.5076	+00.9950	 0.087	
eFEDS J084210.5+020558	130.5439	+02.0997	 0.421	
eFEDS J084220.9+013844	130.5875	+01.6457	 0.421	
eFEDS J084223.1+003340	130.5963	+00.5613	 1.077	
eFEDS J084240.7-011643	130.6698	-01.2787	 0.210	
eFEDS J084246.9-000917	130.6956	-00.1548	 0.420	
eFEDS J084253.7+002006	130.7238	+00.3350	 0.345	
eFEDS J084255.6+042332	130.7317	+04.3924	 0.484	
eFEDS J084258.3-004037	130.7432	-00.6772	 0.407	
eFEDS J084301.4+025741	130.7560	+02.9615	 0.539	
eFEDS J084307.1+002839	130.7797	+00.4777	 0.264	
eFEDS J084324.2-001438	130.8511	-00.2441	 0.330	
eFEDS J084346.2+010833	130.9425	+01.1425	 0.342	
eFEDS J084349.1+040404	130.9547	+04.0678	 0.213	
eFEDS J084353.9+031402	130.9747	+03.2341	 0.374	
eFEDS J084412.6-020514	131.0526	-02.0874	 0.382	
eFEDS J084417.9+010415	131.0748	+01.0711	 0.340	 2.46
eFEDS J084430.8+021736	131.1285	+02.2935	 0.050	
eFEDS J084434.3+031026	131.1430	+03.1739	 0.724	
eFEDS J084438.5+041946	131.1606	+04.3295	 0.577	
eFEDS J084439.0+043302	131.1625	+04.5507	 0.517	
eFEDS J084441.3+021701	131.1723	+02.2839	 0.651	
eFEDS J084454.0+010021	131.2253	+01.0059	 0.295	
eFEDS J084459.2-011902	131.2471	-01.3174	 0.447	
eFEDS J084501.0+012728	131.2542	+01.4578	 0.420	
eFEDS J084528.6+032739	131.3695	+03.4609	 0.334	 6.68
eFEDS J084531.6+022831	131.3818	+02.4753	 0.076	 1.45
eFEDS J084544.3-002914	131.4349	-00.4874	 0.156	 1.72
eFEDS J084545.2+005535	131.4384	+00.9265	 0.293	
eFEDS J084552.4+011714	131.4684	+01.2872	 0.668	
eFEDS J084557.6+041103	131.4901	+04.1843	 0.284	
eFEDS J084558.1+012443	131.4924	+01.4120	 0.350	
eFEDS J084559.7+031321	131.4988	+03.2227	 0.391	
eFEDS J084607.6+000651	131.5318	+00.1143	 0.229	
eFEDS J084630.7+024702	131.6281	+02.7839	 0.206	
eFEDS J084637.1-002256	131.6546	-00.3824	 0.256	
eFEDS J084640.3-010423	131.6681	-01.0733	 0.244	
eFEDS J084645.6+014947	131.6902	+01.8298	 0.051	 0.50
eFEDS J084647.4+044607	131.6975	+04.7688	 0.245	
eFEDS J084649.0+004946	131.7045	+00.8295	 0.416	
eFEDS J084655.7-003705	131.7322	-00.6181	 0.365	
eFEDS J084657.6-011314	131.7403	-01.2206	 0.804	
eFEDS J084717.7+033421	131.8241	+03.5725	 0.716	
eFEDS J084729.7+013053	131.8740	+01.5149	 0.351	
eFEDS J084751.7+025522	131.9656	+02.9230	 0.269	
eFEDS J084759.1+014903	131.9966	+01.8178	 0.576	
eFEDS J084823.2+041205	132.0971	+04.2015	 0.872	
eFEDS J084833.2-012216	132.1385	-01.3712	 0.629	
eFEDS J084852.9+035939	132.2205	+03.9944	 0.688	
eFEDS J084905.3+021435	132.2723	+02.2433	 0.395	
eFEDS J084910.6+024117	132.2943	+02.6882	 0.830	
eFEDS J084925.4+013840	132.3562	+01.6447	 0.506	
eFEDS J084934.9+014437	132.3958	+01.7438	 0.325	
eFEDS J084939.6-005126	132.4151	-00.8573	 0.613	
eFEDS J084957.4+004524	132.4894	+00.7567	 1.066	
eFEDS J085018.3+020018	132.5764	+02.0053	 0.421	
eFEDS J085020.4+032819	132.5851	+03.4722	 0.294	
eFEDS J085022.2+001607	132.5927	+00.2687	 0.196	
eFEDS J085027.8+001503	132.6160	+00.2509	 0.197	 3.56
eFEDS J085030.5+003330	132.6272	+00.5584	 0.192	
eFEDS J085051.8+015331	132.7161	+01.8921	 0.268	
eFEDS J085056.4+005607	132.7354	+00.9353	 0.295	
eFEDS J085119.9+022951	132.8333	+02.4977	 0.381	
eFEDS J085121.2+012856	132.8384	+01.4825	 0.327	
eFEDS J085128.4+011501	132.8685	+01.2505	 0.197	
eFEDS J085130.0-004609	132.8750	-00.7693	 0.484	
eFEDS J085131.0+045239	132.8795	+04.8778	 0.395	
eFEDS J085138.2-003537	132.9096	-00.5938	 0.458	
eFEDS J085141.9+021438	132.9248	+02.2440	 0.107	
eFEDS J085204.5+012132	133.0188	+01.3590	 0.401	
eFEDS J085217.0-010131	133.0709	-01.0254	 0.460	
eFEDS J085230.6+002457	133.1275	+00.4159	 0.270	
eFEDS J085231.1-011230	133.1296	-01.2084	 0.546	
eFEDS J085239.6+003240	133.1652	+00.5446	 0.452	
eFEDS J085245.7-020519	133.1905	-02.0888	 0.761	
eFEDS J085255.1-013737	133.2297	-01.6271	 0.343	
eFEDS J085256.8+052741	133.2370	+05.4615	 0.273	
eFEDS J085325.6+030834	133.3570	+03.1430	 0.335	
eFEDS J085327.2-002117	133.3634	-00.3549	 0.193	
eFEDS J085335.2+032214	133.3967	+03.3708	 0.295	
eFEDS J085340.5+022411	133.4191	+02.4032	 0.196	
eFEDS J085412.8-022123	133.5536	-02.3566	 0.377	
eFEDS J085419.5-000925	133.5814	-00.1572	 0.282	 1.97
eFEDS J085433.0+004009	133.6376	+00.6693	 0.109	
eFEDS J085434.5-014038	133.6438	-01.6774	 0.595	
eFEDS J085436.6+003835	133.6526	+00.6431	 0.106	 3.39
eFEDS J085438.5+001211	133.6608	+00.2032	 0.178	
eFEDS J085440.4-020931	133.6686	-02.1588	 0.472	
eFEDS J085447.0-012132	133.6962	-01.3591	 0.353	 1.79
eFEDS J085508.9-003445	133.7874	-00.5793	 0.174	
eFEDS J085517.2+013508	133.8219	+01.5857	 0.324	
eFEDS J085519.1-014315	133.8296	-01.7211	 0.365	
eFEDS J085524.3+015012	133.8516	+01.8368	 0.264	
eFEDS J085530.1-010634	133.8756	-01.1097	 0.754	
eFEDS J085541.2+002740	133.9219	+00.4611	 0.170	
eFEDS J085542.6+032807	133.9279	+03.4687	 0.738	
eFEDS J085547.0+025458	133.9458	+02.9162	 0.970	
eFEDS J085604.8+002520	134.0202	+00.4223	 0.168	 1.87
eFEDS J085616.1-013945	134.0672	-01.6626	 0.514	
eFEDS J085620.7+014649	134.0865	+01.7805	 0.724	
eFEDS J085623.6-013612	134.0984	-01.6036	 0.425	
eFEDS J085624.3+004632	134.1016	+00.7757	 0.319	
eFEDS J085626.2+021348	134.1094	+02.2302	 0.125	 1.03
eFEDS J085627.2+014217	134.1134	+01.7050	 0.732	
eFEDS J085635.0+031342	134.1459	+03.2284	 0.390	
eFEDS J085650.4-022200	134.2101	-02.3669	 0.318	
eFEDS J085705.9+011453	134.2749	+01.2482	 0.106	 1.10
eFEDS J085728.3+032354	134.3680	+03.3984	 0.200	
eFEDS J085740.1-020037	134.4172	-02.0103	 0.717	
eFEDS J085744.0-022448	134.4337	-02.4134	 0.162	
eFEDS J085751.6+031039	134.4653	+03.1775	 0.201	 5.79
eFEDS J085801.1-004103	134.5048	-00.6842	 0.245	
eFEDS J085805.0+010906	134.5209	+01.1517	 0.071	 1.29
eFEDS J085830.0-010656	134.6251	-01.1157	 0.224	
eFEDS J085837.9+012657	134.6581	+01.4494	 0.750	
eFEDS J085841.8-020541	134.6744	-02.0948	 0.575	
eFEDS J085849.8+022800	134.7076	+02.4668	 0.215	 1.81
eFEDS J085901.1-012025	134.7547	-01.3406	 1.301	
eFEDS J085901.5+010649	134.7564	+01.1137	 0.162	
eFEDS J085907.3-005056	134.7808	-00.8489	 0.623	
eFEDS J085913.1+031334	134.8048	+03.2263	 0.189	 1.27
eFEDS J085931.9+030839	134.8830	+03.1443	 0.196	 2.62
eFEDS J085939.1-004932	134.9133	-00.8258	 0.812	
eFEDS J085948.9+041120	134.9539	+04.1889	 0.208	 1.63
eFEDS J085950.1-001221	134.9589	-00.2058	 0.427	
eFEDS J085954.2-013308	134.9758	-01.5524	 0.577	
eFEDS J090004.3+033324	135.0183	+03.5568	 0.698	
eFEDS J090010.4+023631	135.0435	+02.6086	 0.200	
eFEDS J090020.8-002602	135.0867	-00.4340	 0.490	
eFEDS J090033.7+033932	135.1408	+03.6591	 0.809	
eFEDS J090034.1-010649	135.1422	-01.1137	 0.273	
eFEDS J090044.6-011104	135.1862	-01.1845	 0.430	
eFEDS J090051.6-003457	135.2152	-00.5826	 0.350	
eFEDS J090053.0-002837	135.2212	-00.4772	 0.295	
eFEDS J090059.3+035925	135.2471	+03.9905	 0.412	
eFEDS J090104.4+011643	135.2686	+01.2788	 0.251	
eFEDS J090105.2-012525	135.2718	-01.4237	 0.405	
eFEDS J090115.3+005040	135.3140	+00.8445	 0.312	
eFEDS J090119.0+030204	135.3294	+03.0345	 0.193	
eFEDS J090121.9-003709	135.3414	-00.6194	 0.555	
eFEDS J090129.1-013853	135.3715	-01.6483	 0.311	
eFEDS J090131.1+030056	135.3800	+03.0157	 0.193	 3.49
eFEDS J090133.2+021651	135.3886	+02.2809	 0.354	
eFEDS J090133.5-010540	135.3898	-01.0946	 0.270	
eFEDS J090137.7+030253	135.4072	+03.0483	 0.188	
eFEDS J090140.9-012132	135.4207	-01.3591	 0.295	
eFEDS J090144.7+040827	135.4366	+04.1408	 0.844	
eFEDS J090146.2-013756	135.4427	-01.6322	 0.295	
eFEDS J090153.9-012209	135.4748	-01.3694	 0.295	 2.38
eFEDS J090200.5+022339	135.5024	+02.3943	 0.202	
eFEDS J090210.6+032513	135.5445	+03.4204	 0.535	
eFEDS J090223.3+015205	135.5974	+01.8682	 0.561	
eFEDS J090224.4-005150	135.6020	-00.8641	 0.409	
eFEDS J090248.5+044005	135.7022	+04.6681	 0.226	
eFEDS J090255.2+030220	135.7300	+03.0389	 0.200	
eFEDS J090255.5+044036	135.7317	+04.6767	 0.484	
eFEDS J090256.2+014625	135.7345	+01.7737	 0.118	
eFEDS J090257.4+004819	135.7395	+00.8055	 0.521	
eFEDS J090323.7+030738	135.8489	+03.1273	 0.407	
eFEDS J090327.2+032545	135.8634	+03.4294	 0.364	
eFEDS J090328.7-013622	135.8697	-01.6062	 0.443	
eFEDS J090333.8+043950	135.8909	+04.6640	 0.222	
eFEDS J090335.0+022006	135.8959	+02.3351	 0.345	
eFEDS J090336.7+033124	135.9033	+03.5235	 0.617	
eFEDS J090408.6+012555	136.0360	+01.4320	 0.841	
eFEDS J090409.7+003831	136.0404	+00.6421	 0.311	
eFEDS J090417.0+040439	136.0712	+04.0776	 0.536	
eFEDS J090418.6+020642	136.0778	+02.1117	 0.808	
eFEDS J090419.1-010436	136.0796	-01.0767	 0.306	
eFEDS J090430.7+042648	136.1282	+04.4468	 0.457	 2.79
eFEDS J090452.4+033326	136.2187	+03.5574	 0.808	
eFEDS J090540.0+043440	136.4171	+04.5780	 0.236	 3.87
eFEDS J090540.7+013219	136.4199	+01.5388	 0.644	
eFEDS J090553.5+002244	136.4732	+00.3791	 0.367	
eFEDS J090600.3-002521	136.5016	-00.4226	 0.299	
eFEDS J090601.0+000055	136.5043	+00.0154	 0.200	
eFEDS J090609.4+042924	136.5392	+04.4901	 0.406	
eFEDS J090614.6-010819	136.5612	-01.1389	 0.894	
eFEDS J090627.5+035846	136.6148	+03.9795	 0.463	
eFEDS J090628.9-012938	136.6207	-01.4941	 0.431	 2.46
eFEDS J090634.9+045033	136.6454	+04.8427	 0.884	
eFEDS J090636.9+010852	136.6542	+01.1479	 0.786	
eFEDS J090644.8+011124	136.6867	+01.1902	 0.441	
eFEDS J090656.3+044717	136.7347	+04.7882	 0.120	 1.58
eFEDS J090700.7+011032	136.7531	+01.1757	 0.799	
eFEDS J090703.9+010756	136.7663	+01.1323	 0.307	
eFEDS J090718.6+035258	136.8278	+03.8829	 0.729	
eFEDS J090723.8-011210	136.8494	-01.2029	 0.251	 2.15
eFEDS J090734.3-012744	136.8930	-01.4625	 0.922	
eFEDS J090739.7-010633	136.9157	-01.1094	 0.218	
eFEDS J090750.1+025006	136.9591	+02.8351	 0.648	
eFEDS J090751.9+024647	136.9666	+02.7797	 0.618	
eFEDS J090752.9+013407	136.9705	+01.5687	 0.163	
eFEDS J090754.5+005738	136.9772	+00.9607	 0.738	
eFEDS J090757.5+025427	136.9900	+02.9077	 0.798	
eFEDS J090803.8+020045	137.0162	+02.0127	 0.468	
eFEDS J090805.9+011952	137.0250	+01.3314	 0.659	
eFEDS J090806.4+032613	137.0270	+03.4370	 0.740	
eFEDS J090806.9+042351	137.0289	+04.3977	 0.205	
eFEDS J090811.6-014811	137.0486	-01.8032	 0.040	
eFEDS J090816.3+033416	137.0681	+03.5713	 0.137	
eFEDS J090817.2-013034	137.0717	-01.5096	 0.331	
eFEDS J090821.6-014115	137.0903	-01.6876	 0.200	
eFEDS J090821.9+025141	137.0913	+02.8615	 0.812	
eFEDS J090838.0+015226	137.1585	+01.8741	 0.264	
eFEDS J090843.9-013034	137.1831	-01.5095	 0.255	
eFEDS J090849.7+042241	137.2072	+04.3783	 0.796	
eFEDS J090913.8-001214	137.3079	-00.2040	 0.310	 3.12
eFEDS J090915.3-010104	137.3139	-01.0178	 0.822	
eFEDS J090916.0-015540	137.3168	-01.9280	 0.326	
eFEDS J090930.6+034055	137.3775	+03.6822	 0.740	
eFEDS J090932.5-005020	137.3857	-00.8390	 1.134	
eFEDS J090938.1+040816	137.4089	+04.1380	 0.170	
eFEDS J091011.7+013914	137.5491	+01.6541	 0.290	
eFEDS J091032.4+035301	137.6354	+03.8837	 0.357	
eFEDS J091033.8+005100	137.6409	+00.8501	 0.366	 2.31
eFEDS J091057.2+041730	137.7384	+04.2918	 0.468	
eFEDS J091104.1+052237	137.7671	+05.3770	 0.159	
eFEDS J091108.0-015422	137.7836	-01.9063	 1.202	
eFEDS J091111.0+040015	137.7960	+04.0043	 0.503	
eFEDS J091117.1+030441	137.8216	+03.0782	 0.213	
eFEDS J091135.9+034626	137.8997	+03.7741	 0.927	
eFEDS J091139.3-014144	137.9141	-01.6958	 0.589	
eFEDS J091159.7+031036	137.9988	+03.1768	 0.243	
eFEDS J091213.4-021621	138.0559	-02.2726	 0.160	
eFEDS J091214.1+022443	138.0589	+02.4122	 0.181	
eFEDS J091215.3-021743	138.0641	-02.2956	 0.159	 3.11
eFEDS J091248.2+002446	138.2011	+00.4130	 0.308	
eFEDS J091254.4+032028	138.2270	+03.3414	 0.619	
eFEDS J091300.9-013152	138.2538	-01.5311	 0.592	
eFEDS J091302.1+035000	138.2590	+03.8336	 0.455	
eFEDS J091305.9+035021	138.2747	+03.8394	 0.456	
eFEDS J091315.0+034850	138.3125	+03.8139	 0.453	
eFEDS J091320.3+032834	138.3348	+03.4763	 0.399	
eFEDS J091322.9+040617	138.3454	+04.1050	 0.088	 0.83
eFEDS J091331.0+024513	138.3792	+02.7537	 0.156	
eFEDS J091336.6+031723	138.4026	+03.2899	 0.142	 1.84
eFEDS J091351.1-004507	138.4632	-00.7520	 0.294	 1.58
eFEDS J091354.7+025323	138.4782	+02.8898	 0.423	
eFEDS J091358.1+025707	138.4924	+02.9521	 0.417	
eFEDS J091402.7-010208	138.5116	-01.0358	 0.516	
eFEDS J091403.3+013846	138.5140	+01.6464	 0.168	
eFEDS J091412.6+001856	138.5528	+00.3158	 0.165	 1.81
eFEDS J091414.9+022709	138.5623	+02.4527	 0.348	
eFEDS J091417.7+031159	138.5740	+03.1998	 0.231	
eFEDS J091423.9+022833	138.5999	+02.4759	 0.319	
eFEDS J091431.6+010910	138.6318	+01.1528	 0.543	
eFEDS J091433.8+022718	138.6411	+02.4550	 0.316	
eFEDS J091439.5-014416	138.6648	-01.7380	 0.484	
eFEDS J091445.7+032755	138.6906	+03.4655	 0.122	
eFEDS J091445.8+042621	138.6909	+04.4394	 0.348	
eFEDS J091446.1+001047	138.6925	+00.1799	 0.533	
eFEDS J091450.6-022606	138.7110	-02.4351	 0.504	
eFEDS J091453.6+041613	138.7235	+04.2704	 0.143	 2.81
eFEDS J091509.5+051521	138.7897	+05.2560	 0.249	
eFEDS J091512.2+043506	138.8012	+04.5851	 0.361	
eFEDS J091517.4-005909	138.8229	-00.9860	 0.405	
eFEDS J091520.5+045203	138.8357	+04.8676	 0.149	
eFEDS J091522.5+041201	138.8438	+04.2003	 0.460	
eFEDS J091543.5-004944	138.9316	-00.8291	 0.296	
