#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/716/198/table2&-out=UGC,Type,HRV,Dist,KMag,B-K,mu0,hR,Sel,Ha,HI&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17160198
#Name: J/ApJ/716/198
#Title: The DiskMass survey. I. (Bershady+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/716/198	    IVOID of underlying data collection
#INFO	creator=Bershady M.A.	    First author or institution
#INFO	cites=bibcode:2010ApJ...716..198B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/716/198	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17160198	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_716_198_table2:
#Name: J/ApJ/716/198/table2
#Title: DiskMass sample
#Column	UGC	(I5)	UGC number	[ucd=meta.id;meta.main]
#Column	Type	(a6)	Hubble morphological type	[ucd=src.morph.type]
#Column	HRV	(I5)	NED heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.1)	NED distance (2)	[ucd=pos.distance;pos.heliocentric]
#Column	KMag	(F5.1)	? Absolute K-band magnitude applying distance modulus and Galactic extinction corrections	[ucd=phys.magAbs;em.IR.K]
#Column	B-K	(F4.1)	? Rest-frame B-K color index, corrected for Galactic extinction	[ucd=phot.color;em.opt.B;em.IR.K]
#Column	mu0	(F4.1)	Estimated disk central surface brightness from POSS images, calibrated to R band	[ucd=phot.mag.sb]
#Column	hR	(F4.1)	Estimated disk radial scale length	[ucd=phys.angSize;src]
#Column	Sel	(a6)	Disk-mass Phase-A sample selection (3)	[ucd=meta.code]
#Column	Ha	(A3)	H{alpha} IFU observations (D=DensePak or S=SparsePak)	[ucd=meta.code]
#Column	HI	(a5)	21cm aperture-synthesis observations (V: VLA, W: Westerbork and/or G: GMRT)	[ucd=meta.code]
UGC	Type	HRV	Dist	KMag	B-K	mu0	hR	Sel	Ha	HI
 2200	Sb    	 4088	 54.0	-25.0	 3.9	20.2	17.7	4     	S  	
 3080	SABc  	 3541	 47.5	-22.7	 3.0	20.1	13.6	p     	S  	
 3091	SABd  	 5511	 73.9	-23.5	 3.4	21.0	 9.6	p     	D  	G
 3134	SABbc 	 8665	115.7	-25.1	 3.6	19.5	 8.0	4     	S  	
 3140	Sc    	 4633	 62.1	-24.5	 3.5	20.0	12.9	p     	S  	V
 3701	Scd   	 2915	 43.2	-21.5	 2.5	21.7	16.8	4,d   	S  	V,W
 3714	S     	 3064	 45.2	-23.9	 3.3	20.7	15.4	4,d   	S  	
 3965	SBab  	 4664	 66.2	-23.8	 4.7	19.7	 7.9	4     	S  	
 3997	Im    	 5915	 83.1	-23.1	    	21.6	12.0	4     	S  	W
 4036	SABbc 	 3470	 50.9	-23.7	 2.8	20.5	20.6	4,dD  	S  	W
 4066	Scd   	 2296	 35.5	-21.5	 2.4	20.5	11.8	4,d   	S  	
 4099	SBb   	 4673	 66.6	-23.8	 3.2	20.0	11.6	4     	S  	
 4107	Sc    	 3504	 51.1	-23.4	 3.4	20.1	11.4	4,d   	S  	W
 4112	Sa    	 4610	 65.8	-24.7	 3.7	20.2	13.8	d     	S  	
 4139	Sc    	 4889	 69.6	-22.9	 2.7	20.8	11.7	4,d   	S  	
 4189	SBbc  	 4856	 69.3	-23.3	 2.8	20.5	12.3	4     	S  	G
 4227	SABb  	 3928	 56.9	-23.7	 3.1	20.5	12.5	4,d   	   	
 4256	SABc  	 5260	 74.8	-24.8	 3.2	20.2	18.9	p,4   	S  	W
 4300	Scd   	 7668	107.5	-24.6	 3.3	20.8	11.2	4     	   	
 4308	SBc   	 3566	 52.1	-23.8	 3.6	20.2	22.4	4     	   	
 4344	Sdm   	 5041	 72.2	-23.0	 2.7	20.9	12.5	4,d   	   	
 4368	Scd   	 3870	 56.4	-23.7	 3.3	20.7	15.8	p,4,d 	S  	G
 4380	Scd   	 7485	105.0	-24.3	 3.4	21.0	 9.7	4     	S,D	W
 4390	SBcd  	 2169	 34.0	     	    	21.0	16.5	4     	   	
 4397	Sc    	 3641	 53.4	-23.7	 3.5	19.0	10.5	4,d   	S  	
 4445	Sc    	 6330	 89.5	-24.0	 3.5	21.2	12.3	4,d   	S,D	
 4456	Sc    	 5487	 78.5	-23.8	 3.0	20.9	12.3	4,d   	   	
 4458	Sa    	 4741	 68.4	-24.9	 3.8	20.9	19.1	p,d   	S  	G
 4473	S     	 3528	 52.0	-22.4	 3.0	21.1	 9.5	4     	   	
 4542	Sdm   	 5185	 74.6	-22.4	 2.4	21.9	11.4	4     	   	
 4549	Scd   	 1289	 22.4	-21.3	 3.2	19.4	10.0	d     	   	
 4555	SABbc 	 4244	 61.9	-24.1	 3.1	20.5	20.0	4,d   	S  	W
 4584	Scd   	 4108	 60.1	     	    	20.3	12.3	4,d   	   	
 4622	Scd   	12849	178.2	-25.2	 3.4	20.5	 8.8	4     	S  	V,W
 4630	SABab 	 3486	 51.5	-24.9	 3.7	19.7	19.1	4     	   	
 4643	Sbc   	 7699	108.9	-24.8	 3.4	20.8	11.3	4,d   	   	
 4658	Sc    	 4382	 63.9	-22.8	 2.8	21.2	16.9	d     	   	
 4673	SBcd  	 3818	 56.3	     	    	22.2	14.4	4     	   	
 4731	S0/a  	 8891	125.5	-25.6	 3.9	20.4	10.5	d     	   	
 4770	SBa   	 7065	100.4	-25.4	 4.2	20.2	13.4	4,d   	   	
 4810	S     	 6889	 98.0	-24.9	 3.9	20.8	12.4	4     	   	
 4864	Sa    	 8368	118.6	-25.3	 3.6	20.7	11.6	4,d   	   	
 4875	S0/a  	 6337	 90.9	-25.1	 3.4	20.8	14.0	d     	   	
 4962	SBa   	 8652	122.7	-24.8	 3.5	20.6	 8.1	4     	   	
 4978	Scd   	 4135	 61.3	-22.0	 2.1	21.5	 9.6	4     	D  	
 4999	SBbc  	 5086	 74.5	-24.4	 3.4	19.6	 9.1	4     	   	
 5015	SABdm 	 1650	 27.6	     	    	21.8	14.8	4     	   	
 5140	Sc    	 4423	 65.4	-23.5	 2.7	20.9	16.4	4     	   	
 5180	Sc    	 1892	 29.5	-23.5	 2.8	19.6	17.6	4     	S  	G
 5202	SABab 	 4429	 64.6	-24.9	 4.1	19.9	14.0	4     	   	
 5277	SBbc  	 3365	 50.6	-23.3	 3.6	20.6	11.7	4,d   	S,D	
 5302	Sdm   	 4386	 64.1	-23.0	 2.8	21.1	19.3	4,d   	S  	
 5319	SBc   	 2457	 38.2	-22.5	 3.2	21.1	18.7	4     	   	
 5474	SABcd 	 5893	 85.9	     	    	21.2	11.3	4     	   	
 5544	Sb    	 1302	 23.0	-22.6	 3.7	19.4	 9.6	4     	S  	
 5577	Sm    	 2007	 33.4	-21.8	 3.3	20.3	 9.2	p     	S  	
 5674	SABbc 	 9689	138.5	-25.2	 3.3	20.6	11.9	4     	   	
 5730	Scd   	 5779	 85.4	-23.9	 3.2	20.7	 9.2	p     	D  	
 5857	SABc  	 8290	120.1	-25.3	 3.3	19.8	 8.3	4     	   	
 5868	Sb    	 7229	104.5	-24.8	 4.1	20.2	10.0	4,d   	S  	
 5889	SABm  	  573	  5.6	     	    	21.9	19.9	4,d   	   	
 5890	SABc  	 2731	 42.3	-23.2	 3.3	19.6	10.3	4,d   	   	
 5912	Sc    	 6295	 92.4	-24.4	 3.4	20.3	10.6	4,d   	   	
 5980	Sb    	 3636	 55.9	-24.1	 3.1	20.6	15.4	4,d   	   	
 6077	SBb   	 1434	 26.3	-22.7	 3.2	19.3	13.5	p,4   	S  	G
 6105	Sbc   	 7166	101.6	-24.9	 3.3	19.9	 9.2	4     	S  	
 6109	SABc  	 6705	 97.0	-23.9	 3.5	20.7	11.2	4     	   	
 6128	SABc  	 1376	 25.9	-22.5	 3.3	19.4	10.8	4,d   	S  	G
 6135	S     	 6479	 94.3	-25.0	 3.5	19.8	 8.8	p     	D  	
 6155	SABbc 	 6425	 95.2	-24.2	 2.9	20.8	11.8	4     	   	
 6157	Sdm   	 2958	 46.9	     	    	21.1	15.4	4     	S  	
 6180	SABb  	11856	169.1	-26.0	 3.8	20.5	12.1	4,d   	   	
 6249	Scd   	 1058	 20.5	     	    	21.1	13.7	4,d   	S  	
 6257	SBab  	 5336	 78.8	-23.9	 3.6	20.0	 8.8	4     	   	
 6311	SABc  	 7414	109.1	-24.8	 3.1	21.0	15.3	4     	S  	
 6335	Scd   	 2927	 45.8	-21.4	 2.4	21.2	12.6	4,d   	   	
 6425	Sbc   	 6745	 99.3	-24.4	 3.7	21.4	12.3	4     	   	
 6429	Sc    	 3726	 56.3	-23.0	 3.0	20.7	16.3	4,d   	   	
 6445	SABbc 	 1239	 24.9	-22.3	 2.6	20.0	15.2	p,4   	S  	G
 6463	SABbc 	 2507	 41.1	-22.6	 2.4	20.2	12.7	4,d   	S  	W
 6510	SABcd 	 4745	 72.4	-24.2	 3.1	21.2	17.2	4,d   	S  	
 6528	Sc    	 3250	 50.1	-22.9	 3.3	20.8	14.9	d     	   	
 6582	SABbc 	 5785	 84.7	-24.2	 3.7	20.0	 9.1	4     	   	
 6616	Scd   	 1154	 22.2	-19.7	 1.6	21.2	19.4	d     	S  	
 6641	SABb  	 3495	 54.9	-22.8	 2.9	20.9	11.9	4,d   	S  	
 6663	SABab 	 5788	 86.7	-24.7	 3.5	20.6	13.0	4     	   	
 6693	SBbc  	 6909	101.9	-25.1	 3.4	19.8	13.0	p     	S  	G
 6716	Sbc   	11203	159.4	-25.6	 3.9	21.1	13.3	4,d   	   	
 6743	SABbc 	 6750	 99.8	-24.6	 3.4	20.8	11.7	4,d   	   	
 6758	S     	 3108	 49.4	-23.0	 3.0	20.9	15.8	4     	   	
 6771	SABab 	 5964	 89.7	-25.1	 3.8	20.6	15.6	d     	   	
 6784	Sbc   	 6411	 94.6	-24.9	 3.7	20.7	16.1	4,d   	   	
 6813	Scd   	  954	 19.2	-20.9	 3.1	21.2	20.4	p     	S  	
 6821	Sbc   	 6438	 95.7	-24.5	 3.3	20.3	 9.7	4     	   	
 6849	Sm    	  995	 19.9	     	    	21.8	19.3	4,d   	   	
 6883	SABcd 	 5150	 77.9	-22.7	 2.5	21.3	10.7	4     	   	
 6903	SBcd  	 1892	 31.3	-21.7	 2.3	21.4	26.9	p     	S  	G
 6909	Sab   	 5807	 85.1	-24.3	 3.8	20.3	10.1	4     	   	
 6910	SABbc 	 9978	141.2	-25.9	 3.3	19.6	 9.9	4     	   	
 6918	SABb  	 1109	 21.8	-22.9	 3.1	18.6	10.1	p,4   	S  	V,W,G
 6958	SABbc 	 5904	 89.2	-24.7	 3.6	19.7	 9.8	4     	   	
 6995	Im    	 1269	 28.5	-22.1	 2.4	20.1	12.6	4,d   	S  	
 7020	Sbc   	 6132	 90.6	-24.5	 3.5	20.3	11.7	4     	S  	
 7025	Sb    	 3410	 53.3	-24.5	 3.8	19.9	14.4	4     	S  	
 7072	Sdm   	 3154	 50.5	-22.2	 2.5	21.2	12.0	4     	D  	
 7163	SABab 	 6520	 96.8	-25.1	 3.7	19.9	10.6	4,d   	S  	
 7169	SABc  	 2167	 14.1	-21.2	 3.0	19.8	12.7	p,4,d 	S  	
 7205	S     	 9274	132.1	-25.9	 4.3	20.1	10.5	4     	   	
 7208	S     	 7078	103.6	-24.4	 3.4	20.3	 8.6	4     	D  	
 7244	SBcd  	 4350	 65.4	-22.5	 3.0	21.2	12.4	4,d   	S  	W
 7309	SBm   	 2027	 13.6	-19.9	 2.6	19.6	10.8	d     	   	
 7357	SABc  	 6682	 99.3	-23.7	 2.8	20.7	10.1	4     	   	
 7385	Sc    	 2618	 42.2	-22.7	 3.0	20.5	14.4	4     	   	
 7414	SABdm 	  232	  1.3	-14.0	 1.2	19.3	10.7	d     	S  	
 7415	SAB0/a	 1267	 14.1	-20.1	 3.7	20.9	13.6	d     	S  	
 7416	SBb   	 6901	101.2	-24.9	 3.7	20.3	13.6	4     	S  	W
 7439	SABcd 	 1273	 13.6	-19.9	 2.8	20.4	12.1	4     	   	
 7474	Scd   	 1231	 13.7	-20.1	 3.3	20.6	12.5	4,d   	   	
 7536	SBbc  	 2294	 13.6	-21.1	 3.5	19.4	11.3	d     	   	
 7537	SBc   	 1281	 13.8	     	    	21.3	21.0	4     	   	
 7541	SBcd  	 1392	 13.8	-20.1	 2.4	20.4	16.2	4,d   	S  	
 7690	Im    	  537	  8.9	-18.4	 2.1	20.8	14.3	d     	   	
 7715	Im    	 1138	 13.5	     	    	21.2	14.1	d     	   	
 7768	SBcd  	 1407	 14.1	-20.4	 2.7	19.8	12.9	d     	S  	
 7856	SBb   	 6927	102.2	-25.3	 3.7	18.9	 7.6	4     	   	
 7861	SABm  	  609	 10.2	     	    	19.9	13.0	d     	S  	
 7917	SBbc  	 6985	102.9	-25.4	 4.0	20.6	16.4	4,d   	S  	W
 7943	Scd   	  836	 13.6	     	    	20.8	17.4	4     	   	
 8022	SBbc  	 2830	 45.7	-23.5	 3.2	20.2	18.9	4     	   	
 8099	Sab   	 4665	 71.5	-24.8	 3.6	19.6	11.4	4     	S  	
 8128	SABbc 	 7985	117.2	     	    	20.5	12.3	d     	   	
 8150	Sc    	 7088	103.4	-24.4	 3.4	20.8	11.3	4     	   	
 8196	Sb    	 8329	119.7	-25.4	 4.0	20.3	10.7	4,d   	S  	W
 8230	SABab 	 7152	104.1	-25.0	 4.3	20.0	 9.7	4     	S  	W
 8319	Scd   	 7477	110.2	-24.8	 3.2	20.7	10.8	4,d   	S  	
 8360	SABcd 	 5733	 87.8	-24.3	 3.2	19.3	 7.9	4     	   	
 8447	Scd   	 5579	 84.2	-23.9	 3.5	20.9	14.0	4,d   	S  	
 8523	Sa    	 6866	103.1	-25.5	 4.1	20.5	14.8	d     	   	
 8573	Sc    	 6852	102.7	-25.3	 3.1	19.8	16.9	p,4   	S  	
 8589	SBbc  	 7018	105.5	-25.1	 3.4	20.7	13.8	d     	   	
 8611	SABcd 	 2640	 43.7	     	    	20.8	11.5	4,d   	S  	
 8740	SABab 	 7034	105.6	-25.7	 4.3	20.0	12.0	4,d   	S  	
 8768	SABb  	 4364	 68.4	-24.4	 3.5	20.0	11.2	4,d   	S  	
 8775	Scd   	 4055	 62.6	-23.5	 3.5	20.1	 9.8	4     	S  	
 8909	SABcd 	 1670	 29.8	     	    	21.0	13.6	4     	S  	
 9149	S0/a  	 5149	 79.1	-25.2	 3.6	20.4	14.4	d     	   	
 9177	Scd   	 9009	132.4	-24.6	 2.8	20.8	11.4	d     	S  	G
 9216	Scd   	 5517	 83.2	-23.8	 3.6	20.2	10.8	d     	S  	
 9317	SBc   	 4496	 70.1	-22.8	 2.8	21.2	11.0	4     	S  	
 9318	Sb    	 3562	 57.0	-24.6	 3.9	20.3	13.0	d     	S  	
 9406	SBcd  	 2279	 38.7	-22.3	 3.2	19.7	11.2	d     	S  	
 9505	SBb   	 4561	 70.3	-24.3	    	20.2	12.9	d     	S  	
 9535	Sa    	 1792	 31.6	-22.0	 3.0	21.7	17.3	d     	   	
 9544	S0    	10178	147.4	-25.6	 3.8	21.2	15.4	d     	S  	
 9564	Sc    	 1962	 31.9	-22.9	 3.3	19.6	11.7	d     	S  	
 9569	SBcd  	 2493	 41.9	-21.8	 2.6	20.7	14.6	4     	S  	
 9601	SBcd  	 1839	 30.4	-21.1	 2.3	20.7	14.5	4     	   	
 9610	S     	 4171	 64.3	-24.0	 4.1	20.2	 9.2	dD    	S  	
 9661	SBdm  	 1242	 22.0	-20.6	 3.1	20.3	11.3	d     	   	
 9761	SB0/a 	 5578	 83.5	-25.1	 4.3	19.6	10.0	4     	   	
 9774	SBb   	 5381	 81.2	-24.4	 3.7	19.5	 9.4	4     	S  	
 9823	SABbc 	 5568	 83.7	-24.3	 3.7	20.3	14.0	4,d   	S  	
 9837	SABc  	 2657	 43.2	-21.9	 2.8	21.1	16.6	p,4,d 	S  	W
 9896	Scd   	 6471	 93.6	-24.5	 3.6	20.5	11.6	p,d   	S  	
 9908	Scd   	 1899	 33.0	-22.8	 3.2	19.8	10.2	4,d   	S  	
 9965	Sc    	 4528	 70.6	-23.6	 3.2	20.9	15.9	4,d   	S,D	G
10020	Scd   	 2093	 36.3	-21.6	 2.1	21.3	16.3	p,4,d 	S  	
10055	Scd   	13989	199.3	-25.9	 3.3	21.1	12.6	4     	S  	
10076	SBb   	 4869	 75.2	-24.3	 3.5	19.4	 8.8	4     	S  	
10104	Sbc   	 9841	142.3	-25.2	 2.8	21.5	17.2	4,d   	S  	
10149	Sc    	 9392	135.6	-25.6	 4.0	18.9	 8.8	p     	S  	G,W
10269	Sa    	10202	147.0	-26.0	 3.8	20.9	14.2	4,d   	S  	
10316	E/S0  	 8857	128.4	-25.4	 4.2	21.0	12.5	d     	S  	
10436	Sc    	 9064	130.6	-24.9	 3.6	20.4	 8.9	p,4   	S,D	
10443	Scd   	 3351	 52.2	-23.6	 3.3	20.5	13.6	d     	S  	G,W
10458	Scd   	 5439	 81.1	-23.9	 3.6	20.7	12.0	4     	S  	
10500	S0/a  	 5218	 77.3	-24.4	 3.8	21.0	15.1	4,d   	S  	
10537	SBa   	 4437	 65.7	-24.0	 3.2	20.6	12.4	4,d   	S  	
10586	S0/a  	 9384	134.4	-25.1	 3.7	20.9	11.2	p,4,d 	S  	
10897	Sc    	 1313	 23.7	-22.5	 3.1	20.2	25.6	4     	S  	
11014	Sbc   	 4743	 71.6	-23.9	 3.1	20.4	10.1	4,d   	S  	
11318	SBbc  	 5886	 85.1	-24.7	 3.7	20.6	16.9	4     	S  	V,W
12158	Sb/Ia 	 9289	126.7	-25.0	 3.8	20.7	11.9	4,d   	S  	
12193	SBbc  	 9566	130.4	-25.3	 3.4	20.3	12.5	4     	S  	
12213	SABdm 	 3206	 44.8	-21.8	    	21.5	15.5	4,d   	S  	
12224	Scd   	 3506	 48.7	-23.1	 3.7	21.2	20.6	4,dD  	S  	
12270	SABcd 	 2116	 30.3	-21.2	 2.5	20.8	18.4	4,d   	S  	
12303	Sb    	 7962	108.4	-25.0	 3.8	20.5	10.3	4,d   	S  	
12359	S     	10703	145.2	-25.8	    	20.8	13.5	d     	S  	
12391	SABc  	 4887	 66.8	-23.8	 3.4	20.6	15.4	4,d   	S  	G
12418	S     	 4475	 61.3	-24.7	 4.2	19.9	13.7	4,d   	S  	
12438	Scd   	 4604	 64.4	     	    	21.0	14.4	4,d   	S  	
12586	Sb    	 4265	 58.3	-24.2	 3.6	20.1	12.7	4,d   	S  	
12702	SABb  	 2571	 35.6	-23.5	 3.4	19.6	14.3	4     	S  	G
12753	SABbc 	11867	160.2	-26.2	 4.2	20.5	13.7	4,d   	   	
12760	S0/a  	 1663	 23.6	-23.3	 3.8	20.0	12.4	4,d   	S  	
12784	SABbc 	 9953	134.3	     	    	20.5	 8.9	4     	D  	
12808	Sab   	 4211	 57.2	-24.9	 3.7	19.6	13.4	4     	S  	
12852	Sbc   	 7334	 98.2	-25.0	 3.7	20.3	10.6	d     	   	
12893	Sdm   	 1108	 16.5	-19.3	 2.5	21.5	19.8	d     	   	

