#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-28T19:22:51 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-28T19:22:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VIII%2F77%2Ftable3&-out=UGC%2FAGC,OName,Sabs,e_Sabs,SNR,HRV,Tel&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_8077
#Name: VIII/77
#Title: HI spectral properties of galaxies (Springob+, 2005)
#INFO	ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/viii/77	    IVOID of underlying data collection
#INFO	creator=Springob C.M.	    First author or institution
#INFO	cites=bibcode:2005ApJS..160..149S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VIII/77	    Dataset landing page
#INFO	publication_date=2006-06-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VIII_77_table3:
#Name: VIII/77/table3
#Title: Properties of detected galaxies derived from spectra in digital archive
#Column	UGC/AGC	(I6)	Entry number in the UGC (Cat. <VII/26>) or AGC	[ucd=meta.id;meta.main]
#Column	OName	(a8)	Other name	[ucd=meta.id]
#Column	Sabs	(F6.2)	Self-absorption corrected line flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	e_Sabs	(F6.2)	Uncertainty in Sabs	[ucd=stat.error]
#Column	SNR	(F5.1)	Ratio of peak flux to rms noise	[ucd=instr.det.noise;stat.max]
#Column	HRV	(I6)	Heliocentric velocity of the profile midpoint	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Tel	(a5)	Code indicating the telescope used (G1)	[ucd=meta.id;instr.tel]
UGC/AGC	OName	Sabs	e_Sabs	SNR	HRV	Tel
100002	408-013 	  1.87	  0.31	  3.9	  5538	AOlf
100003	I5379   	  0.82	  0.12	  4.9	  6281	AOlf
100920	        	  1.12	  0.06	  9.3	 12082	AOG
     3	456-021 	  7.85	  0.93	 12.5	  7886	AOlf
100006	499-039 	  1.60	  0.20	  9.9	  4948	AOlf
     4	408-014 	  1.52	  0.20	  5.3	  8631	AOlf
100009	456-022 	  1.16	  0.18	  4.1	  7880	AOlf
     5	382-021 	  5.32	  0.61	  6.4	  7288	AOlf
     6	478-015 	  1.18	  0.15	  5.9	  6622	AOlf
     7	I5381   	  5.13	  0.61	 13.4	 11231	AOlf
100011	478-016 	  0.35	  0.05	  6.6	  7760	AOlf
     8	N7814   	 24.39	  1.54	 10.4	  1051	GB140
100012	382-022 	  5.25	  0.70	  4.5	  8004	AOlf
    10	408-015 	  7.99	  0.94	 11.6	 11944	AOlf
    11	M+401014	  2.14	  0.23	 13.3	  4465	AOlf
100014	408-016 	  3.28	  0.34	 12.5	  6181	AOlf
100015	456-025 	  0.32	  0.06	  4.4	  6295	AOlf
    13	478-017 	  0.95	  0.12	  7.1	  7719	AOlf
100016	478-018 	  1.64	  0.21	  5.6	  7514	AOlf
    14	478-019 	  9.30	  1.08	 13.5	  7254	AOlf
100018	408-017 	  1.54	  0.19	  6.5	 12039	AOlf
100019	433-019 	  1.40	  0.17	  5.9	 17342	AOlf
    17	        	  7.32	  1.64	 12.4	   877	AOlf
100020	456-027 	  3.06	  0.33	  9.6	  6412	AOlf
    15	M+101017	  3.88	  0.50	  6.2	 11563	AOlf
    16	N7816   	 10.19	  1.20	 56.1	  5242	AOlf
101122	n95     	  0.74	  0.06	  8.8	  7983	AOG
    19	N7817   	 22.47	  1.40	 11.4	  2310	GB140
    21	N7818   	  5.42	  0.54	 28.4	  6199	AOlf
    23	433-021 	  2.30	  0.29	  7.5	  7975	AOlf
    24	478-020 	  5.23	  0.55	 17.8	  4444	AOlf
    26	N7819   	 12.18	  1.42	 28.7	  4955	AOlf
    25	M+101020	  4.66	  0.55	 11.0	  5071	AOlf
100022	478-000 	  2.32	  0.27	  9.1	  6492	AOlf
    27	408-020 	 12.46	  1.50	 21.6	  3113	AOlf
    30	        	  3.37	  0.46	  7.0	  4770	AOlf
100025	478-021 	  1.24	  0.18	  5.9	  7583	AOlf
400054	M-301018	  7.16	  0.81	 11.4	 10075	GB300
    31	456-029 	  2.53	  0.30	 13.0	  1034	AOlf
    34	N7824   	  2.67	  0.32	  8.1	  6137	AOlf
100030	478-023 	  1.36	  0.18	  3.8	 14447	AOlf
    35	        	  3.92	  0.77	  9.7	  3112	AOlf
    36	408-026 	  2.96	  0.38	  8.3	  6299	AOlf
    37	N7825   	  1.98	  0.25	  6.6	  5627	AOlf
100035	499-049 	  1.30	  0.20	  5.7	 10421	AOlf
    40	478-024 	  2.76	  0.31	 10.6	  7526	AOlf
    41	M+401022	  4.72	  0.54	 16.8	  6597	AOlf
    42	        	  2.16	  0.23	 14.1	  5483	AOlf
100038	408-029 	  1.43	  0.18	  7.0	 11539	AOlf
100767	0003+250	  0.65	  0.09	  7.5	 10295	AOlf
    44	        	  0.84	  0.12	  6.5	  6232	AOlf
    46	456-030a	  3.19	  0.38	  7.6	  5453	AOlf
    48	M+801021	 13.30	  1.46	 16.4	  4312	GB300
    49	N7834   	  3.93	  0.47	 11.7	  5229	AOlf
    47	FGC 26  	  6.51	  0.82	 18.6	   880	AOlf
    50	478-025 	  3.61	  0.41	  8.6	  7558	AOlf
    51	408-031 	  2.56	  0.28	 13.4	  5371	AOlf
100040	408-033 	  1.27	  0.16	  7.0	  5285	AOlf
    52	408-032 	  7.26	  0.95	 16.7	  5254	AOlf
    53	456-031 	  2.45	  0.28	  9.3	  7894	AOlf
100042	N7838   	  0.98	  0.16	  4.1	 11525	AOlf
    56	433-022 	  2.12	  0.23	 12.5	  5430	AOlf
100044	433-023 	  2.92	  0.35	 10.0	  5412	AOlf
    57	N   1   	 15.27	  1.75	 11.0	  4554	AOlf
    58	N   3   	  1.38	  0.18	  6.1	  3961	AOlf
    59	N   2   	  2.47	  0.27	 11.5	  7547	AOlf
    60	N7831   	  7.65	  0.96	 14.7	  5074	AOlf
100046	478-028 	  0.56	  0.08	  4.6	  7054	AOlf
    63	518-013 	  1.98	  0.22	 15.6	   441	AOff
100049	456-032 	  0.74	  0.11	  4.9	  7843	AOlf
    65	N7836   	  1.50	  0.16	 10.4	  4894	AOlf
    66	408-036 	  2.87	  0.36	 10.6	  6420	AOlf
    68	478-029 	  3.48	  0.37	 10.1	  8775	AOlf
    69	478-030 	  8.41	  0.87	 25.5	  4640	AOlf
    67	408-037 	  2.63	  0.32	 10.2	 11826	AOlf
 20097	N   7   	 16.10	  1.04	 15.7	  1497	GB140
101097	        	  1.95	  0.16	 12.6	  4954	AOG
100055	456-033 	  1.26	  0.14	 16.2	 12624	AOlf
 20098	N  10   	  7.35	  0.79	  9.9	  6804	Nanc
    74	N  12   	  3.77	  0.45	 15.1	  3934	AOlf
    75	N  14   	 20.92	  3.16	 57.9	   863	AOlf
    77	N  13   	  5.93	  0.80	 11.8	  4811	AOlf
    76	M+401029	  4.76	  0.69	 11.2	  4580	AOlf
    82	N  15   	  1.16	  0.16	  5.6	  6326	AOlf
    81	433-028 	  6.20	  0.74	  7.5	  6674	AOlf
    79	478-032 	  7.24	  0.81	 16.8	  4339	AOlf
100056	433-027 	  1.43	  0.20	  5.2	 10883	AOlf
    85	549-021 	  8.62	  1.19	  5.3	  5168	GB300
    86	N  22   	  6.61	  0.87	 11.3	  8315	AOlf
100061	478-035 	  2.00	  0.22	  8.6	 17233	AOlf
    88	408-039a	  1.87	  0.24	  5.5	  3982	AOlf
    89	N  23   	  9.64	  1.17	 18.3	  4565	AOlf
 20114	N  24   	 64.70	  4.22	 17.9	   554	GB140
    90	        	  1.20	  0.17	  7.5	   906	AOlf
    92	499-059 	  4.69	  0.50	 19.2	  8172	AOlf
    91	499-058 	  5.38	  0.61	 21.3	  8204	AOlf
    93	499-060 	 12.14	  2.02	 21.9	  4955	AOlf
 20116	UA  3   	  8.79	  0.92	 24.9	  1545	Nanc
101063	        	  0.74	  0.06	  9.6	  8051	AOG
100064	433-030 	  1.75	  0.26	  5.8	 11475	AOlf
    94	N  26   	 11.90	  1.36	 33.1	  4592	AOlf
    95	499-062 	  4.72	  0.69	  8.7	  7037	AOlf
    96	N  27   	  5.62	  0.65	 12.4	  7849	AOlf
101121	n95     	  1.29	  0.08	 10.5	 12886	AOG
100066	456-036 	  1.52	  0.19	 10.4	 10434	AOlf
    99	M+201023	 15.46	  2.81	 84.3	  1733	AOlf
    98	N  21   	  6.02	  0.63	 16.1	  4788	AOlf
100068	518-017 	  2.53	  0.32	  7.1	  6170	AOlf
   100	N  29   	 11.96	  1.32	 24.8	  4765	AOlf
   101	478-037 	  3.72	  0.43	 10.9	 10231	AOlf
   102	499-069 	  2.69	  0.41	  4.5	  6794	AOlf
100072	382-030 	  1.82	  0.25	  4.8	 12760	AOlf
100073	499-070 	  2.27	  0.29	  5.8	  8138	AOlf
   105	499-071 	  1.85	  0.26	  6.7	  8045	AOlf
   106	N  36   	 12.12	  1.61	 26.9	  6029	AOlf
101105	        	  2.22	  0.15	  9.2	  7403	AOG
100075	433-032 	  1.11	  0.17	  4.6	 11464	AOlf
   107	        	  1.93	  0.28	  5.3	  7445	AOlf
   108	499-072 	  1.27	  0.14	  8.3	  8042	AOlf
   109	M+001037	  2.35	  0.30	  7.9	  6236	AOlf
100078	478-038 	  2.86	  0.33	  8.0	  7573	AOlf
   110	478-039 	  3.19	  0.38	  9.4	  4512	AOlf
100079	478-040 	  4.30	  0.47	  9.5	 10749	AOlf
   112	        	  3.78	  0.49	 11.8	  5015	GB300
   111	433-033 	  5.41	  0.61	 16.8	  6351	AOlf
100080	499-074 	  3.05	  0.40	  6.2	  7504	AOlf
   113	478-041 	  5.99	  0.70	 12.3	  7633	AOlf
   116	408-041 	  6.73	  0.74	 18.1	  8480	AOlf
100086	N  41   	  2.16	  0.27	  6.1	  5946	AOlf
   117	499-078 	  8.89	  0.98	 16.7	  4754	AOlf
100089	456-038a	  2.55	  0.25	 12.7	 12503	AOlf
   122	456-039 	 21.97	  3.17	 57.4	   854	AOlf
   123	I   4   	  2.32	  0.30	  6.6	  5003	AOlf
100726	K0011+15	  3.11	  0.36	 17.1	  1943	AOlf
100090	499-081 	  3.98	  0.50	  5.3	  7137	AOlf
   128	M+601019	 12.06	  1.57	 12.1	  4537	AOlf
100093	499-082 	  1.17	  0.15	  8.4	  6954	AOlf
100094	382-034 	  0.93	  0.14	  5.8	 11849	AOlf
   127	M+401042	  9.78	  1.13	 26.4	  4683	AOlf
100091	456-041 	  0.57	  0.10	  8.3	  5355	AOlf
   132	433-036 	  3.80	  0.46	 11.1	  1679	AOlf
 20156	N  45   	241.65	 10.18	 52.7	   468	GB140
   135	        	  2.99	  0.41	  9.3	  5836	AOlf
400160	N  47   	  7.94	  0.97	  6.9	  5698	Nanc
   139	382-035 	 19.40	  2.96	 15.9	  3956	AOlf
100099	433-037 	  1.78	  0.22	  7.5	 11495	AOlf
   140	N  52   	  6.01	  0.87	  9.5	  5400	AOlf
   142	408-042 	  2.25	  0.30	  8.1	 12591	AOlf
100101	478-045 	  3.81	  0.40	 14.2	  7359	AOlf
100103	456-043 	  3.52	  0.37	 12.5	 17007	AOlf
100104	433-038 	  0.46	  0.06	  6.8	  5376	AOlf
100109	456-045 	  3.57	  0.36	 18.1	  5565	AOlf
   144	456-044 	  0.44	  0.07	  4.6	  5620	AOlf
100111	478-046 	  0.41	  0.07	  5.8	 20378	AOlf
   148	456-048 	 10.13	  1.17	 13.4	  4209	AOlf
   149	433-039 	  4.47	  0.53	 15.3	  5475	AOlf
   150	N  60   	  6.10	  0.70	  9.5	 11812	AOlf
100921	        	  1.03	  0.06	  9.6	  8362	AOG
   152	499-093 	  5.64	  0.68	 13.3	  4863	AOlf
   154	        	  1.95	  0.34	  5.6	  4110	AOlf
   155	408-044 	 10.79	  1.27	 16.9	  3968	AOlf
100131	499-095 	  0.30	  0.06	  4.1	  6894	AOlf
   160	M+601021	  4.51	  0.53	 10.5	  4673	AOlf
   158	534-009 	 11.97	  1.30	  9.8	  5059	GB300
100137	478-049 	  2.61	  0.28	  8.6	 18048	AOlf
   161	        	  2.50	  0.28	 13.1	  5681	AOlf
100138	518-022 	  1.01	  0.15	  5.1	 11814	AOlf
   159	        	  3.27	  0.39	 16.1	  1007	AOlf
   163	408-045 	  4.20	  0.46	 10.7	  5654	AOlf
   164	456-053 	  1.86	  0.23	  9.3	  5447	AOlf
100141	478-050 	  1.37	  0.21	  5.7	  7448	AOlf
400180	N  64   	  5.95	  0.73	  8.7	  7310	GB300
   166	499-100 	 10.64	  1.35	 16.3	  4832	AOlf
   165	478-051 	  4.96	  0.61	  7.0	  6047	AOlf
   167	N  63   	  9.36	  1.01	 22.4	  1156	AOlf
100146	478-052 	  3.48	  0.39	  8.6	  5799	AOlf
 20215	294 G  2	  3.25	  0.37	  6.9	  6985	Nanc
   168	456-168 	  2.52	  0.30	  7.0	  5512	AOlf
   169	456-054 	  6.81	  0.85	  9.2	  5424	AOlf
   174	N  70   	  2.23	  0.28	  8.3	  7166	AOlf
100151	456-055 	  7.37	  0.73	 23.9	  5225	AOlf
   175	549-033 	  7.09	  0.72	 22.1	  5282	GB300
100153	408-046 	  0.82	  0.12	  4.7	 11874	AOlf
   181	456-056 	  2.34	  0.32	  6.5	  5356	AOlf
   179	478-053 	  6.70	  0.71	 23.4	  4462	AOlf
   180	433-044 	  2.18	  0.27	  8.3	 10986	AOlf
100160	456-057 	  0.54	  0.07	  7.7	  5447	AOlf
100727	K0017+18	  3.91	  0.50	 21.3	  5287	AOlf
100764	FGC 6b  	  0.59	  0.09	  6.1	 12114	AOlf
100728	FGC 6a  	  0.96	  0.14	  8.6	 10842	AOlf
100162	457-003 	  1.15	  0.16	  6.6	  5255	AOlf
   187	        	  3.79	  0.45	  7.0	  5455	AOlf
   186	I1540   	  0.96	  0.12	  9.5	  5822	AOlf
100163	457-004 	  4.96	  0.51	 22.7	  7721	AOlf
   189	        	  3.03	  0.37	  6.5	  7619	AOlf
100164	457-005 	  1.66	  0.21	  6.0	  5311	AOlf
   188	457-006 	  5.10	  0.63	  9.9	  7818	AOlf
100166	409-001B	  1.89	  0.24	  5.2	 10260	AOlf
   191	434-001 	 20.05	  0.52	 26.2	  1143	GB140
   195	I  13   	  4.80	  0.56	  9.1	  5708	AOlf
   194	N  78b  	  2.21	  0.33	  4.3	  5498	AOlf
   196	549-036 	  5.46	  0.62	  9.6	  5148	GB300
100170	I1542   	  2.94	  0.37	  7.7	  7365	AOlf
   197	457-007 	  2.72	  0.29	 15.9	  7684	AOlf
100173	409-003 	  2.07	  0.24	  6.8	 16437	AOlf
   199	        	  4.69	  0.47	 21.2	  1803	AOlf
   198	I1543   	  3.62	  0.37	 14.9	  5596	AOlf
   200	457-200 	  1.73	  0.21	  9.4	  5235	AOlf
   201	409-201 	  3.33	  0.42	 10.9	 11838	AOlf
100175	409-004 	  0.38	  0.07	  4.2	 11631	AOlf
100176	479-004 	  1.29	  0.21	  4.2	 11668	AOlf
   204	I1544   	  5.32	  0.58	 15.0	  5714	AOlf
100180	500-003 	  1.28	  0.16	  7.8	  6772	AOlf
   205	457-009 	  2.50	  0.28	  8.4	  5272	AOlf
100182	500-005 	  5.18	  0.53	 21.0	  6154	AOlf
100184	I1546   	  1.92	  0.29	  5.5	  5812	AOlf
   207	500-006 	  1.34	  0.16	  7.5	  7028	AOlf
100188	M+402010	  0.99	  0.15	  4.4	  6632	AOlf
100191	479-014B	  1.07	  0.14	  7.3	  5839	AOlf
100192	        	  0.66	  0.08	 12.5	  5331	AOlf
   208	N  91   	  7.94	  1.01	 13.2	  5333	AOlf
   209	N  93   	  1.87	  0.21	 13.6	  5687	AOlf
   210	479-016 	  5.16	  0.57	 17.4	  4485	AOlf
100740	K0019+10	  3.27	  0.39	 16.2	  5446	AOlf
   214	N  95   	 13.14	  1.44	 33.2	  5383	AOlf
   211	457-211 	  2.52	  0.30	 11.9	  5638	AOlf
   212	383-004 	  7.96	  0.85	 16.8	  4916	GB300
   215	500-008 	  2.47	  0.30	  8.1	  7092	AOlf
   217	500-217 	  2.37	  0.34	  7.8	  4757	AOlf
400212	M-202007	  8.83	  1.05	  9.9	  5687	GB300
100201	500-010 	  2.42	  0.30	  7.5	  9182	AOlf
100203	409-007 	  5.27	  0.60	 11.2	  7554	AOlf
   218	I1549   	  2.66	  0.31	  8.6	 12146	AOlf
100202	479-018 	  1.57	  0.22	  4.7	 12536	AOlf
   219	457-010 	  4.97	  0.57	 10.1	  5237	AOlf
100204	479-019 	  1.70	  0.24	  3.8	 12195	AOlf
100729	K0020+20	  0.90	  0.12	  7.4	  5410	AOlf
   222	        	  1.42	  0.23	  4.9	  6117	AOlf
100206	        	  1.81	  0.23	  8.2	  5260	AOlf
   221	479-020 	  2.13	  0.25	  8.5	  3905	AOlf
   223	457-223 	  2.25	  0.29	  8.0	  5722	AOlf
100209	479-021 	  1.51	  0.20	  7.2	 17973	AOlf
100210	434-004 	  0.31	  0.05	  5.7	  5490	AOlf
100211	383-005 	  3.41	  0.39	  8.4	 12082	AOlf
   226	434-005 	  3.52	  0.37	 13.9	  5316	AOlf
   229	500-014 	  2.74	  0.31	  8.9	  7217	AOlf
   228	479-023 	  7.92	  0.82	 16.8	  5681	AOlf
   230	N  99   	 16.00	  1.65	 67.8	  5310	AOlf
100215	479-024a	  2.27	  0.28	  8.5	  7377	AOlf
   231	N 100   	 59.69	  5.04	 37.5	   842	GB140
   232	500-016 	  5.52	  0.64	  9.2	  4846	AOlf
100736	UM 238  	  3.35	  0.37	 26.7	  4280	AOlf
   233	434-008 	  3.26	  0.33	 17.3	  5283	AOlf
100225	457-013 	  3.73	  0.40	 10.9	  5369	AOlf
   234	500-017 	  1.91	  0.23	 13.3	  4668	AOlf
   238	500-018 	 10.45	  1.29	 30.7	  6805	AOlf
100781	o94-A2  	  1.99	  0.10	 35.5	  8319	AOG
   240	409-011 	  8.46	  0.89	 26.6	  8681	AOlf
100227	500-019 	  2.50	  0.33	  7.4	  4853	AOlf
   241	N 105   	  3.92	  0.40	 15.1	  5168	AOlf
100229	409-012 	  1.79	  0.27	  4.0	  8944	AOlf
   242	457-014 	  6.93	  0.83	 16.1	  4394	AOlf
   244	479-027 	  3.77	  0.40	 16.1	  4553	AOlf
100231	409-013 	  1.27	  0.18	  6.2	 13129	AOlf
400228	M-102011	 13.20	  1.49	 12.0	  5329	Nanc
   245	409-014 	  3.54	  0.46	  7.6	 11757	AOlf
   247	        	  3.54	  0.49	  5.5	 11175	AOlf
100233	479-028 	  1.28	  0.18	  6.6	  5583	AOlf
   250	457-016 	  4.01	  0.44	 10.6	 12727	AOlf
   248	479-029a	  7.61	  0.91	  8.5	 10167	AOlf
100236	434-010 	  3.69	  0.36	 28.0	  5275	AOlf
   249	434-011a	  8.14	  0.93	 11.1	  5281	AOlf
   251	N 109   	  0.62	  0.08	  7.3	  5571	AOlf
400234	M-102014	  4.11	  0.33	  6.9	  3986	GB140
   252	M+002026	  2.63	  0.34	  7.4	  5352	AOlf
   253	409-015 	  1.84	  0.22	 11.0	 11438	AOlf
 20302	N 115   	 21.69	  2.24	 15.8	  1831	Nanc
   255	N 112   	  5.78	  0.62	 15.1	  6299	AOlf
100238	434-012 	 22.24	  2.33	 95.1	  2239	AOlf
   256	550-004 	 20.43	  2.16	  4.9	  5187	GB300
   260	434-013 	 46.43	  6.90	 63.6	  2134	AOlf
   265	457-017 	  1.78	  0.22	  9.1	  5597	AOlf
   261	479-032 	  1.88	  0.21	  7.4	  7456	AOlf
100241	500-022 	  3.22	  0.34	 11.6	  9476	AOlf
   268	I1551   	  0.77	  0.12	  7.3	 13076	AOlf
   272	383-019 	 11.18	  1.35	 12.8	  3900	AOlf
100244	383-020 	  3.93	  0.44	 10.4	  1383	AOlf
   271	N 124   	 14.81	  1.49	 15.0	  4041	GB300
   270	        	  3.61	  0.59	 10.3	  4923	AOlf
   275	383-021 	  9.78	  1.12	 20.1	  4389	AOlf
   276	500-024 	  1.59	  0.19	  7.4	  6307	AOlf
   273	        	  2.89	  0.34	  8.7	  5599	AOlf
   277	383-022 	  5.51	  0.70	  6.9	  4363	AOlf
100248	409-017 	  0.72	  0.10	  4.7	 12006	AOlf
100247	500-027 	  2.02	  0.28	  6.0	 14720	AOlf
   282	383-024a	 10.56	  1.24	 33.4	  4088	AOlf
   278	479-034 	  3.21	  0.44	  5.3	  9605	AOlf
   283	383-024b	  6.72	  0.82	 26.1	  4082	AOlf
   281	383-023 	  4.97	  0.56	 13.2	  4289	AOlf
100251	409-018 	  6.95	  0.67	 46.0	  1341	AOlf
   284	500-029 	  6.30	  0.78	 15.2	  4732	AOlf
100254	500-028 	  4.40	  0.56	  6.1	  6067	AOlf
100258	383-026 	  0.91	  0.12	  6.2	  4392	AOlf
100259	434-014 	  0.83	  0.12	  5.0	  5082	AOlf
   287	434-015 	  0.96	  0.13	  7.4	  5552	AOlf
   288	        	  5.58	  0.60	 22.7	   188	GB300
100262	500-032 	  0.92	  0.13	  4.7	  6077	AOlf
   290	FGC 51  	 11.47	  1.76	 37.8	   767	AOlf
   291	500-291 	  2.08	  0.26	  8.9	  4822	AOlf
   294	        	  3.25	  0.44	  9.6	  6335	AOlf
100271	383-030 	  2.32	  0.29	  7.3	  4156	AOlf
100269	434-016 	  3.10	  0.32	 16.6	  5209	AOlf
   299	500-035 	  5.03	  0.56	 15.1	  6306	AOlf
   300	M+002062	  4.49	  0.14	 27.5	  1345	GB140
   301	N 132   	 18.00	  2.06	 16.4	  5364	AOlf
   302	        	  0.92	  0.15	  5.5	  5414	AOlf
100278	479-036 	  0.45	  0.08	  3.3	  9091	AOlf
   303	  303   	  5.25	  0.78	  5.6	  5608	GB300
   305	434-018 	  4.49	  0.50	 13.4	  9976	AOlf
100280	        	  1.56	  0.18	  7.5	 11094	AOlf
   308	N 138   	  1.10	  0.15	  4.8	 12000	AOlf
100284	409-025 	  1.49	  0.18	  5.6	 12602	AOlf
400258	M-202038	 22.84	  2.28	 14.0	  3565	Effs
400257	M-102025	  5.89	  0.63	 10.1	  6119	Nanc
   310	500-037 	  4.18	  0.47	 14.0	  4655	AOlf
100286	409-026 	  7.71	  0.76	 27.8	  4351	AOlf
   311	N 140   	  9.02	  0.94	 32.4	  6429	AOlf
 20348	473 G 24	  7.40	  0.46	 18.1	   539	GB140
   312	409-028 	 23.40	  2.58	 50.1	  4368	AOlf
   313	409-029 	  0.83	  0.10	  8.6	  2085	AOlf
   314	409-030 	  5.27	  0.53	 28.2	  4270	AOlf
400261	M-202040	 26.40	  2.68	 20.1	  3553	GB300
   316	434-020 	  5.80	  0.78	  7.2	 11430	AOlf
