#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340109
#Name: J/A+A/534/A109
#Title: MCXC Meta-Catalogue X-ray galaxy Clusters (Piffaretti+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/534/a109	    IVOID of underlying data collection
#INFO	creator=Piffaretti R.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A.109P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A109	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340109	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A109_mcxc:
#Name: J/A+A/534/A109/mcxc
#Title: MCXC catalogue (table2 of the paper)
#Column	MCXC	(A12)	MCXC name (JHHMM.m+DDMM)	[ucd=meta.id;meta.main]
#Column	OName	(a18)	Other name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	L500	(F9.6)	X-ray luminosity in 10^44^erg/s (1)	[ucd=phys.luminosity;em.X-ray]
#Column	M500	(F7.4)	Total mass (1)	[ucd=phys.mass]
#Column	R500	(F7.4)	Characteristic radius (1)	[ucd=phys.size.radius]
#Column	Notes	(a42)	Notes (losStr = line of sight structure)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
MCXC	OName	RAJ2000	DEJ2000	z	L500	M500	R500	Notes	Simbad
J0027.8+2616	RXC J0027.8+2616  	00 27 49.8	+26 16 26	 0.3668	 8.375561	 5.6843	 1.1083	                                          	Simbad
J0028.6-2338	RXCJ0028.6-2338   	00 28 39.3	-23 38 14	 0.1120	 1.404549	 2.3285	 0.9024	                                          	Simbad
J0029.0+0742	MS0026.4+0725     	00 29 01.3	+07 42 12	 0.1700	 0.858176	 1.6530	 0.7892	                                          	Simbad
J0029.8+1330	BVH2007 1         	00 29 50.6	+13 30 14	 0.2510	 0.819400	 1.5110	 0.7442	                                          	Simbad
J0030.5+2618	BVH2007 2         	00 30 33.6	+26 18 16	 0.5000	 2.790358	 2.6037	 0.8112	                                          	Simbad
J0030.6-2410	RXC J0030.6-2410  	00 30 37.6	-24 10 53	 0.1382	 0.805310	 1.6278	 0.7938	                                          	Simbad
J0034.2-0204	RXC J0034.2-0204  	00 34 13.9	-02 04 31	 0.0822	 1.230023	 2.1930	 0.8933	                                          	Simbad
J0034.6-0208	RXCJ0034.6-0208   	00 34 36.0	-02 08 24	 0.0812	 1.253723	 2.2202	 0.8972	DL,two maxima/E-W                         	Simbad
J0035.4-2015	MACSJ0035.4-2015  	00 35 26.2	-20 15 46	 0.3520	11.900000	10.2000	 1.3500	                                          	Simbad
J0035.9+8513	WARP J0035.9+8513 	00 35 59.3	+85 13 17	 0.8317	 3.208750	 2.1397	 0.6659	                                          	Simbad
J0036.5+2544	ZwCl193           	00 36 35.8	+25 44 38	 0.0341	 0.098812	 0.4869	 0.5493	                                          	Simbad
J0037.0+0909	A68               	00 37 05.3	+09 09 11	 0.2546	 7.857653	 5.9801	 1.1755	                                          	Simbad
J0037.4-2831	RXC J0037.4-2831  	00 37 27.0	-28 31 52	 0.1050	 0.545534	 1.3146	 0.7476	                                          	Simbad
J0039.6+2114	RXC J0039.6+2114  	00 39 36.0	+21 14 20	 0.0619	 0.207666	 0.7517	 0.6292	b                                         	Simbad
J0040.0+0649	A76               	00 40 00.5	+06 49 05	 0.0395	 0.319960	 0.9933	 0.6954	                                          	Simbad
J0040.1-5607	RXCJ0040.1-5607   	00 40 06.5	-56 07 00	 0.0277	 0.072779	 0.4058	 0.5179	                                          	Simbad
J0040.4+2933	RXC J0040.4+2933  	00 40 27.4	+29 33 34	 0.0712	 0.949621	 1.8872	 0.8527	                                          	Simbad
J0041.1-2339	RX J0041.1-2339   	00 41 10.3	-23 39 33	 0.1120	 0.052265	 0.3130	 0.4623	                                          	Simbad
J0041.7+2124	RXC J0041.7+2124  	00 41 47.1	+21 24 50	 0.1014	 1.000012	 1.9071	 0.8473	                                          	Simbad
J0041.8-0918	RXCJ0041.8-0918   	00 41 50.1	-09 18 07	 0.0555	 5.100085	 5.3163	 1.2103	L,losStr                                  	Simbad
J0042.1-2832	RXCJ0042.1-2832   	00 42 08.7	-28 32 09	 0.1082	 2.734146	 3.5046	 1.0355	losStr                                    	Simbad
J0043.4-2037	RXCJ0043.4-2037   	00 43 24.4	-20 37 17	 0.2924	 6.907787	 5.3663	 1.1182	                                          	Simbad
J0043.8+2424	ZwCl235           	00 43 52.1	+24 24 07	 0.0830	 1.839590	 2.8014	 0.9690	                                          	Simbad
J0045.3-2924	BVH2007 3         	00 45 18.8	-29 24 02	 0.2570	 0.931133	 1.6259	 0.7609	                                          	Simbad
J0045.7-2515	MS0043.3-2531     	00 45 45.1	-25 15 42	 0.1120	 0.265261	 0.8427	 0.6431	                                          	Simbad
J0046.3+8530	WARP J0046.3+8530 	00 46 19.4	+85 30 57	 0.6241	 3.352002	 2.6212	 0.7739	                                          	Simbad
J0048.6-2114	RXC J0048.6-2114  	00 48 38.0	-21 14 50	 0.0581	 0.303458	 0.9497	 0.6811	                                          	Simbad
J0049.4-2931	RXCJ0049.4-2931   	00 49 24.0	-29 31 28	 0.1084	 1.438047	 2.3682	 0.9086	                                          	Simbad
J0049.8+2426	A104              	00 49 48.5	+24 26 28	 0.0815	 1.042960	 1.9841	 0.8641	                                          	Simbad
J0050.9-0929	BVH2007 4         	00 50 59.3	-09 29 14	 0.1990	 0.581999	 1.2765	 0.7167	                                          	Simbad
J0051.1-4833	RXC J0051.1-4833  	00 51 11.2	-48 33 35	 0.1873	 2.036335	 2.7638	 0.9311	                                          	Simbad
J0051.3-2831	RXC J0051.3-2831  	00 51 19.2	-28 31 10	 0.1125	 0.706073	 1.5303	 0.7844	                                          	Simbad
J0052.7-8015	RXCJ0052.7-8015   	00 52 44.9	-80 15 59	 0.1141	 3.393306	 3.9812	 1.0783	                                          	Simbad
J0054.0-2823	RX J0054.0-2823   	00 54 02.8	-28 23 58	 0.2920	 0.414816	 0.9661	 0.6315	RDCS/WARP2                                	Simbad
J0055.9+2622	A115              	00 55 59.8	+26 22 41	 0.1971	 7.484993	 6.0676	 1.2059	                                          	Simbad
J0056.0-3732	BVH2007 5         	00 56 03.5	-37 32 43	 0.1630	 1.482321	 2.3188	 0.8857	                                          	Simbad
J0056.3-0112	RXCJ0056.3-0112   	00 56 18.3	-01 13 00	 0.0442	 1.437223	 2.4747	 0.9413	L,losStr                                  	Simbad
J0056.9-2213	BVH2007 6         	00 56 55.0	-22 13 51	 0.1160	 0.128009	 0.5389	 0.5533	                                          	Simbad
J0056.9-2740	RX J0056.9-2740   	00 56 56.1	-27 40 12	 0.5630	 1.141141	 1.4312	 0.6481	RDCS                                      	Simbad
J0057.4-2616	BVH2007 7         	00 57 24.7	-26 16 50	 0.1130	 0.861163	 1.7267	 0.8165	                                          	Simbad
J0057.4+3012	WARP J0057.4+3012 	00 57 29.6	+30 12 52	 0.1230	 0.059800	 0.3371	 0.4721	                                          	Simbad
J0057.8-6648	RXCJ0057.8-6648   	00 57 48.1	-66 48 44	 0.0661	 0.734662	 1.6195	 0.8116	                                          	Simbad
J0058.4-1425	RXC J0058.4-1425  	00 58 28.2	-14 25 39	 0.0957	 0.429935	 1.1444	 0.7160	                                          	Simbad
J0058.9+2657	RXC J0058.9+2657  	00 58 54.2	+26 57 02	 0.0451	 0.233877	 0.8174	 0.6505	                                          	Simbad
J0102.7-2152	RXCJ0102.7-2152   	01 02 42.1	-21 52 25	 0.0569	 1.460216	 2.4774	 0.9379	                                          	Simbad
J0104.5-2400	RXC J0104.5-2400  	01 04 35.0	-24 00 00	 0.1603	 1.395406	 2.2394	 0.8762	                                          	Simbad
J0105.0+0201	RXC J0105.0+0201  	01 05 02.3	+02 01 48	 0.1967	 2.542970	 3.1424	 0.9686	                                          	Simbad
J0105.1+3311	MS0102.3+3255     	01 05 07.0	+33 11 23	 0.0800	 0.645160	 1.4819	 0.7844	                                          	Simbad
J0105.5-2439	RXCJ0105.5-2439   	01 05 34.8	-24 39 17	 0.2300	 5.160525	 4.7167	 1.0959	                                          	Simbad
J0106.8+0103	RXC J0106.8+0103  	01 06 50.3	+01 03 17	 0.2537	 5.363201	 4.7410	 1.0884	C                                         	Simbad
J0106.8-0229	RXCJ0106.8-0229   	01 06 52.4	-02 29 24	 0.1909	 2.779734	 3.3322	 0.9897	                                          	Simbad
J0106.9+3209	BVH2007 8         	01 06 59.0	+32 09 30	 0.1120	 0.210839	 0.7326	 0.6138	                                          	Simbad
J0107.4+3227	IV Zw 038         	01 07 28.3	+32 27 43	 0.0170	 0.069455	 0.3972	 0.5159	                                          	Simbad
J0107.7+5408	RXC J0107.7+5408  	01 07 47.8	+54 08 31	 0.1066	 2.801329	 3.5609	 1.0415	                                          	Simbad
J0107.8-3643	RXCJ0107.8-3643   	01 07 49.1	-36 43 38	 0.1186	 1.156778	 2.0589	 0.8642	                                          	Simbad
J0108.0+7558	RXC J0108.0+7558  	01 08 01.1	+75 58 40	 0.0960	 1.561498	 2.5121	 0.9304	                                          	Simbad
J0108.1+0210	RXCJ0108.1+0210   	01 08 11.5	+02 10 34	 0.0436	 0.192363	 0.7263	 0.6257	                                          	Simbad
J0108.5-4020	RXC J0108.5-4021  	01 08 33.2	-40 21 00	 0.1408	 1.389498	 2.2658	 0.8856	                                          	Simbad
J0108.8-1524	RXCJ0108.8-1524   	01 08 50.1	-15 24 36	 0.0533	 0.491051	 1.2778	 0.7530	B,losStr                                  	Simbad
J0108.9-1537	RXCJ0108.9-1537   	01 08 55.2	-15 37 44	 0.0970	 0.815085	 1.6888	 0.8148	B                                         	Simbad
J0110.0-4555	RXCJ0110.0-4555   	01 10 00.4	-45 55 22	 0.0238	 0.181484	 0.7103	 0.6249	L,losStr                                  	Simbad
J0110.0+1358	RXC J0110.0+1358  	01 10 05.5	+13 58 49	 0.0581	 0.075898	 0.4079	 0.5139	                                          	Simbad
J0110.3+1938	RX J0110.3+1938   	01 10 18.0	+19 38 23	 0.3170	 0.362004	 0.8715	 0.6045	WARPS2                                    	Simbad
J0110.9+3308	RXC J0110.9+3308  	01 10 58.1	+33 08 58	 0.0177	 0.025452	 0.2153	 0.4205	                                          	Simbad
J0111.6-3811	RX J0111.6-3811   	01 11 36.6	-38 11 12	 0.1220	 0.052725	 0.3124	 0.4604	WARPS1                                    	Simbad
J0111.7+3327	A156              	01 11 42.0	+33 27 11	 0.1173	 1.074001	 1.9696	 0.8519	                                          	Simbad
J0112.1+3927	MS0109.4+3910     	01 12 08.6	+39 27 16	 0.2080	 0.469870	 1.1127	 0.6825	                                          	Simbad
J0112.2+3302	RXC J0112.2+3302  	01 12 17.3	+33 02 18	 0.1249	 0.649432	 1.4414	 0.7658	                                          	Simbad
J0113.0+1531	RXC J0113.0+1531  	01 13 05.8	+15 31 01	 0.0442	 0.200634	 0.7449	 0.6309	                                          	Simbad
J0113.1+2828	BVH2007 9         	01 13 11.0	+28 28 16	 0.2620	 1.125536	 1.8180	 0.7883	                                          	Simbad
J0113.9-3145	RXC J0113.9-3145  	01 13 54.2	-31 45 07	 0.0191	 0.009035	 0.1144	 0.3405	                                          	Simbad
J0115.2+0019	RXCJ0115.2+0019   	01 15 12.0	+00 19 48	 0.0450	 0.467516	 1.2471	 0.7489	L,losStr                                  	Simbad
J0116.1-1555	RXC J0116.1-1555  	01 16 11.8	-15 55 24	 0.0448	 0.104413	 0.5000	 0.5523	                                          	Simbad
J0116.6-0330	BVH2007 10        	01 16 39.7	-03 30 11	 0.0810	 0.077727	 0.4075	 0.5099	                                          	Simbad
J0117.6-2238	RX J0117.6-2238   	01 17 36.6	-22 38 13	 0.2070	 0.387547	 0.9901	 0.6567	                                          	Simbad
J0117.8-5455	RXCJ0117.8-5455   	01 17 50.5	-54 55 26	 0.2510	 4.935834	 4.5164	 1.0719	X *                                       	Simbad
J0118.1-2658	RXCJ0118.1-2658   	01 18 11.1	-26 58 23	 0.2275	 4.979596	 4.6241	 1.0896	                                          	Simbad
J0120.9-1351	RXCJ0120.9-1351   	01 20 58.9	-13 51 31	 0.0519	 0.763259	 1.6737	 0.8243	B                                         	Simbad
J0121.9+0021	RXC J0121.9+0021  	01 21 58.3	+00 21 27	 0.1756	 1.062813	 1.8755	 0.8216	                                          	Simbad
J0122.6-2832	BVH2007 11        	01 22 36.0	-28 32 05	 0.2560	 0.734899	 1.4085	 0.7256	                                          	Simbad
J0122.9-1245	RXC J0122.9-1245  	01 22 55.1	-12 45 50	 0.1230	 0.644413	 1.4366	 0.7654	                                          	Simbad
J0123.2+3327	RXJ0123.2+3327    	01 23 12.2	+33 27 40	 0.0146	 0.059605	 0.3624	 0.5007	                                          	Simbad
J0123.6+3315	RXJ0123.6+3315    	01 23 41.0	+33 15 40	 0.0164	 0.140515	 0.6106	 0.5955	                                          	Simbad
J0124.5+0400	RX J0124.5+0400   	01 24 35.1	+04 00 49	 0.3160	 0.341836	 0.8423	 0.5979	                                          	Simbad
J0124.8+0932	BVH2007 12        	01 24 48.1	+09 32 29	 0.0079	 0.000829	 0.0268	 0.2107	                                          	Simbad
J0125.0+0841	A193              	01 25 03.8	+08 41 17	 0.0491	 0.828139	 1.7624	 0.8393	                                          	Simbad
J0125.4+0144	A189              	01 25 24.7	+01 44 28	 0.0181	 0.061808	 0.3697	 0.5035	                                          	Simbad
J0125.4+0145	RXC J0125.5+0145  	01 25 29.9	+01 45 46	 0.0183	 0.036561	 0.2683	 0.4525	                                          	Simbad
J0125.6-0124	RXCJ0125.6-0124   	01 25 40.8	-01 24 26	 0.0180	 0.069782	 0.3981	 0.5161	L                                         	Simbad
J0126.0-3758	RXC J0126.0-3758  	01 26 04.6	-37 58 36	 0.0810	 0.293404	 0.9159	 0.6680	                                          	Simbad
J0126.9+1912	BVH2007 13        	01 26 54.5	+19 12 42	 0.0427	 0.009721	 0.1177	 0.3413	                                          	Simbad
J0127.2-1746	RXC J0127.2-1746  	01 27 13.9	-17 46 17	 0.1459	 1.047931	 1.9006	 0.8337	                                          	Simbad
J0128.6-4324	RX J0128.6-4324   	01 28 36.9	-43 24 57	 0.2880	 0.276745	 0.7572	 0.5831	                                          	Simbad
J0131.7+0033	RXC J0131.7+0033  	01 31 42.4	+00 33 43	 0.0798	 0.246166	 0.8236	 0.6450	                                          	Simbad
J0131.8-1336	RXCJ0131.8-1336   	01 31 53.0	-13 36 34	 0.2060	 5.701343	 5.1051	 1.1349	                                          	Simbad
J0132.6-0804	RXCJ0132.6-0804   	01 32 40.9	-08 04 20	 0.1489	 1.995234	 2.8084	 0.9487	X *                                       	Simbad
J0132.9-4259	BVH2007 14        	01 32 54.6	-42 59 46	 0.0876	 0.092198	 0.4501	 0.5260	                                          	Simbad
J0136.4-1811	RX J0136.4-1811   	01 36 24.2	-18 11 59	 0.2510	 0.135518	 0.5044	 0.5162	WARPS2                                    	Simbad
J0137.2-0912	RXCJ0137.2-0912   	01 37 15.4	-09 12 10	 0.0409	 0.296426	 0.9472	 0.6842	losStr                                    	Simbad
J0137.4-1259	RXC J0137.4-1259  	01 37 29.2	-12 59 10	 0.2143	 1.970695	 2.6543	 0.9099	                                          	Simbad
J0137.9-1248	RXC J0137.9-1248  	01 37 56.4	-12 48 01	 0.2108	 2.437859	 3.0300	 0.9521	                                          	Simbad
J0139.6+0119	RX J0139.6+0119   	01 39 39.5	+01 19 27	 0.2550	 0.308755	 0.8307	 0.6087	RDCS/WARPS2                               	Simbad
J0139.8+1810	BVH2007 15        	01 39 53.7	+18 10 07	 0.1760	 0.337531	 0.9316	 0.6506	                                          	Simbad
J0141.5-3034	BVH2007 16        	01 41 32.3	-30 34 42	 0.4420	 2.729783	 2.6969	 0.8396	see 400SD paper Sec. 4.1                  	Simbad
J0142.0+2131	RXJ0142.0+2131    	01 42 02.6	+21 31 19	 0.2803	 5.586698	 4.7601	 1.0792	                                          	Simbad
J0142.8+2025	BVH2007 17        	01 42 50.6	+20 25 13	 0.2710	 0.799864	 1.4658	 0.7313	                                          	Simbad
J0142.9+4438	RXC J0142.9+4438  	01 42 57.4	+44 38 39	 0.3410	13.154815	 7.6442	 1.2354	                                          	Simbad
J0144.4+0212	RX J0144.4+0212   	01 44 29.1	+02 12 37	 0.1660	 0.117979	 0.4944	 0.5286	WARPS1                                    	Simbad
J0144.6-2213	RXC J0144.6-2213  	01 44 41.8	-22 13 43	 0.2781	 3.661889	 3.6857	 0.9918	                                          	Simbad
J0145.0-5300	RXCJ0145.0-5300   	01 45 02.3	-53 00 50	 0.1168	 2.010759	 2.8880	 0.9680	                                          	Simbad
J0145.2-6033	RXCJ0145.2-6033   	01 45 16.7	-60 33 54	 0.1805	 4.237381	 4.3428	 1.0850	                                          	Simbad
J0150.0-3927	MS0147.8-3941     	01 50 01.7	-39 27 10	 0.3730	 0.977842	 1.5266	 0.7134	                                          	Simbad
J0150.7+3305	A260              	01 50 44.9	+33 05 24	 0.0363	 0.149289	 0.6253	 0.5966	                                          	Simbad
J0152.5-2853	MACSJ0152.5-2852  	01 52 33.9	-28 53 33	 0.4130	 8.600000	 7.9000	 1.2100	                                          	Simbad
J0152.6-1358	BVH2007 18        	01 52 41.3	-13 58 13	 0.8330	 6.291151	 3.2223	 0.7629	                                          	Simbad
J0152.7+0100	RXC J0152.7+0100  	01 52 43.6	+01 00 58	 0.2270	 5.525089	 4.9286	 1.1133	                                          	Simbad
J0152.7+3609	RXC J0152.7+3609  	01 52 46.8	+36 09 05	 0.0163	 0.419185	 1.1891	 0.7437	L                                         	Simbad
J0152.9+3732	RXC J0152.9+3732  	01 52 58.8	+37 32 07	 0.2993	 5.161802	 4.4682	 1.0493	                                          	Simbad
J0152.9-1345	RXCJ0152.9-1345   	01 52 59.0	-13 45 12	 0.0050	 0.001819	 0.0434	 0.2476	losStr                                    	Simbad
J0153.5-0118	RXC J0153.5-0118  	01 53 32.0	-01 18 44	 0.2438	 3.621345	 3.7602	 1.0111	                                          	Simbad
J0154.2-5937	BVH2007 19        	01 54 12.5	-59 37 33	 0.3600	 0.845525	 1.4120	 0.6985	                                          	Simbad
