#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FA%2BA%2F566%2FA1%2Fgroups&-out.max=unlimited&-out.all=	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35660001
#Name: J/A+A/566/A1
#Title: Flux- and volume-limited groups for SDSS galaxies (Tempel+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/a+a/566/a1	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/566/a1	    IVOID of underlying data collection
#INFO	creator=Tempel E.	    First author or institution
#INFO	cites=bibcode:2014A&A...566A...1T	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/566/A1	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35660001	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_566_A1_groups:
#Name: J/A+A/566/A1/groups
#Title: Flux limited groups
#Column	GroupID	(I6)	[1/82458] Group/cluster ID	[ucd=meta.id;meta.main]
#Column	Ngal	(I3)	[2/849] Richness	[ucd=meta.number]
#Column	RAJ2000	(F9.5)	Right ascension of group centre (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination of group centre (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zcmb	(F8.5)	CMB-corrected redshift of group	[ucd=src.redshift]
#Column	Dist.c	(F7.3)	Comoving distance to group center (G1)	[ucd=pos.distance]
#Column	sig.v	(F7.1)	rms radial velocity deviation {sigma}_V_	[ucd=phys.veloc.dispersion]
#Column	sig.sky	(F7.4)	rms deviation of the projected distance in the sky from group center {sigma}_sky_ (G1)	[ucd=phys.angSize]
#Column	Rvir	(F7.4)	Virial radius (projected harmonic mean) (G1)	[ucd=phys.size.radius]
#Column	Rmax	(F8.4)	Maximum radius of the group (G1)	[ucd=phys.size.radius]
#Column	MNFW	(E9.2)	Mass (NFW profile) (G1)	[ucd=phys.mass]
#Column	MHer	(E9.2)	Mass (Hernquist profile) (G1)	[ucd=phys.mass]
#Column	Lrgroup	(E9.2)	Observed luminosity (G1)	[ucd=phys.luminosity]
GroupID	Ngal	RAJ2000	DEJ2000	zcmb	Dist.c	sig.v	sig.sky	Rvir	Rmax	MNFW	MHer	Lrgroup
    29	  6	180.61502	+62.29650	 0.00463	 13.882	  189.3	 0.0411	 0.0576	  0.1008	 2.89e+00	 4.71e+00	 1.49e+00
    30	 22	183.14277	+13.25182	 0.00842	 25.197	  253.8	 0.1543	 0.1896	  0.4304	 1.92e+01	 3.18e+01	 3.05e+00
    31	 10	233.61435	+15.77629	 0.00669	 20.028	  108.8	 0.1804	 0.0906	  0.3845	 4.17e+00	 6.82e+00	 1.81e+00
    32	  6	137.35181	+60.17816	 0.00503	 15.058	  208.6	 0.0754	 0.1298	  0.1591	 6.40e+00	 1.05e+01	 6.78e-01
    33	  3	174.42134	+54.31321	 0.00480	 14.385	   71.2	 0.1006	 0.2082	  0.1800	 1.01e+00	 1.63e+00	 4.42e-01
    34	  8	223.13842	+03.24801	 0.00606	 18.137	  106.8	 0.1226	 0.1037	  0.3114	 2.75e+00	 4.47e+00	 1.57e+00
    35	  7	153.76450	+03.58359	 0.00533	 15.969	  111.3	 0.1116	 0.0917	  0.2546	 2.71e+00	 4.42e+00	 1.97e+00
    36	  2	217.98468	+57.96477	 0.00651	 19.486	   45.9	 0.0115	 0.0326	  0.0164	 7.74e-02	 7.74e-02	 7.68e-01
    37	  5	131.14325	+50.17418	 0.01154	 34.516	  153.2	 0.0987	 0.0873	  0.2004	 4.52e+00	 7.39e+00	 2.49e+00
    38	  2	168.49238	+48.36002	 0.00736	 22.035	    1.7	 0.0147	 0.0416	  0.0208	 1.36e-04	 1.36e-04	 9.27e-01
    39	  8	134.48246	+02.94646	 0.01372	 41.004	  123.7	 0.1957	 0.2500	  0.4696	 5.84e+00	 9.57e+00	 6.69e+00
    40	  3	185.73472	+39.62494	 0.00437	 13.103	   33.9	 0.0457	 0.0042	  0.0915	 1.05e-01	 1.68e-01	 3.16e-01
    41	  6	227.97023	+56.38389	 0.00255	  7.644	  123.9	 0.0627	 0.0980	  0.1299	 1.90e+00	 3.08e+00	 5.34e-01
    42	  3	160.65049	+13.64931	 0.00524	 15.697	   68.7	 0.0303	 0.0678	  0.0534	 2.84e-01	 4.56e-01	 5.26e-01
    43	 20	147.08786	+32.83770	 0.00584	 17.491	   90.4	 0.2629	 0.2086	  0.6304	 4.20e+00	 6.86e+00	 2.10e+00
    44	 16	208.77323	+05.19168	 0.00499	 14.931	  191.2	 0.1011	 0.1195	  0.2678	 7.19e+00	 1.18e+01	 2.21e+00
    45	 17	192.82510	+04.34344	 0.00353	 10.586	  157.8	 0.1985	 0.2121	  0.4861	 9.60e+00	 1.58e+01	 5.37e-01
    46	 12	172.30450	+16.86662	 0.00476	 14.243	   94.7	 0.1968	 0.2549	  0.5037	 3.45e+00	 5.63e+00	 1.01e+00
    47	  8	190.46095	+03.92075	 0.00387	 11.598	   96.1	 0.0788	 0.1096	  0.1876	 1.43e+00	 2.32e+00	 4.13e-01
    48	  2	189.10950	+05.39652	 0.00424	 12.710	  136.4	 0.0539	 0.1525	  0.0770	 3.21e+00	 3.20e+00	 2.67e-01
    49	 10	141.30672	+11.33844	 0.01258	 37.621	  204.2	 0.1160	 0.1042	  0.2930	 9.39e+00	 1.54e+01	 4.78e+00
    50	  5	213.01914	-03.13961	 0.00672	 20.113	  116.1	 0.1080	 0.0493	  0.2767	 2.86e+00	 4.65e+00	 1.15e+00
    51	 51	125.14461	+21.09444	 0.01631	 48.733	  318.2	 0.2475	 0.2677	  0.6854	 4.79e+01	 8.00e+01	 2.00e+01
    52	680	194.70555	+27.88183	 0.02402	 71.670	  840.2	 0.7008	 0.6838	  2.6930	 9.12e+02	 1.58e+03	 2.46e+02
    53	  3	182.27067	+02.83097	 0.00553	 16.559	   26.2	 0.0882	 0.1329	  0.1724	 1.21e-01	 1.94e-01	 6.37e-01
    54	 75	181.13443	+01.90312	 0.02122	 63.330	  463.9	 0.2855	 0.3079	  0.9102	 1.16e+02	 1.96e+02	 3.00e+01
    55	  2	132.09008	+60.27139	 0.00510	 15.263	  111.4	 0.0214	 0.0606	  0.0306	 8.51e-01	 8.49e-01	 3.54e-01
    56	 43	214.30136	+10.89445	 0.02535	 75.603	  407.8	 0.3240	 0.2776	  1.0095	 1.02e+02	 1.72e+02	 2.13e+01
    57	 13	233.88822	+56.94801	 0.01139	 34.068	  154.2	 0.2246	 0.2594	  0.5626	 1.04e+01	 1.71e+01	 2.31e+00
    58	  3	181.21513	+18.62678	 0.00388	 11.622	   52.9	 0.0683	 0.1365	  0.1272	 3.80e-01	 6.10e-01	 2.19e-01
    59	  4	197.95963	+23.01704	 0.00944	 28.260	   33.1	 0.1091	 0.1956	  0.2341	 2.39e-01	 3.83e-01	 1.26e+00
    60	  2	163.13900	+22.96805	 0.00530	 15.871	   19.3	 0.0068	 0.0192	  0.0097	 8.11e-03	 8.11e-03	 3.39e-01
    61	  9	193.77193	+08.10699	 0.01019	 30.492	  133.3	 0.0982	 0.1258	  0.2368	 3.42e+00	 5.57e+00	 2.06e+00
    62	  4	209.43765	+37.57126	 0.01153	 34.485	  229.2	 0.0945	 0.0782	  0.1712	 9.63e+00	 1.59e+01	 3.68e+00
    63	  5	183.50898	+66.77436	 0.00462	 13.848	   97.6	 0.1412	 0.2414	  0.2883	 2.64e+00	 4.29e+00	 2.82e-01
    64	  9	189.63970	+07.92860	 0.00741	 22.193	  152.5	 0.2169	 0.3012	  0.4971	 9.79e+00	 1.61e+01	 2.61e+00
    65	  4	174.38805	+47.01543	 0.00325	  9.729	   73.0	 0.0833	 0.0877	  0.1487	 8.78e-01	 1.42e+00	 3.56e-01
    66	  2	197.39066	+01.64831	 0.02037	 60.801	  210.0	 0.0183	 0.0516	  0.0259	 2.57e+00	 2.57e+00	 4.88e+00
    67	  5	190.03805	-01.16798	 0.00474	 14.208	   65.9	 0.1447	 0.2650	  0.2751	 1.24e+00	 2.01e+00	 3.05e-01
    68	  3	137.07230	+03.40297	 0.01377	 41.168	   36.3	 0.0663	 0.1375	  0.1202	 1.75e-01	 2.79e-01	 2.43e+00
    69	 13	214.41161	+36.47554	 0.01105	 33.041	  261.7	 0.1358	 0.1188	  0.4266	 1.80e+01	 2.97e+01	 4.74e+00
    70	 27	207.47303	+60.23871	 0.00672	 20.121	  213.1	 0.2248	 0.2210	  0.6025	 1.97e+01	 3.26e+01	 4.43e+00
    71	  6	193.70067	+58.68108	 0.00882	 26.401	   77.5	 0.0738	 0.0699	  0.1575	 8.77e-01	 1.42e+00	 1.24e+00
    72	  3	183.22461	+10.20946	 0.00281	  8.430	  111.7	 0.0762	 0.1745	  0.1315	 1.87e+00	 3.03e+00	 1.50e-01
    73	513	247.05742	+40.07081	 0.03044	 90.688	  604.7	 0.9193	 0.9312	  2.7388	 6.23e+02	 1.07e+03	 2.40e+02
    74	 43	201.12011	+13.97673	 0.02425	 72.345	  268.1	 0.2836	 0.3268	  0.7931	 3.90e+01	 6.51e+01	 1.99e+01
    75	  2	218.11674	+08.10709	 0.00799	 23.926	   89.8	 0.0088	 0.0250	  0.0125	 2.28e-01	 2.28e-01	 6.77e-01
    76	 37	153.41028	+38.92539	 0.02366	 70.580	  361.0	 0.3056	 0.2102	  1.1877	 7.57e+01	 1.27e+02	 2.32e+01
    77	 16	175.16130	+17.75719	 0.01245	 37.240	  144.9	 0.1626	 0.1770	  0.4958	 6.65e+00	 1.09e+01	 4.12e+00
    78	  2	143.03128	+08.45565	 0.00872	 26.102	   42.0	 0.0048	 0.0135	  0.0068	 2.69e-02	 2.69e-02	 7.90e-01
    79	  2	209.26220	+29.19184	 0.00843	 25.217	   89.2	 0.0116	 0.0327	  0.0164	 2.94e-01	 2.94e-01	 7.35e-01
    80	  2	176.67798	+56.02832	 0.00824	 24.649	   72.3	 0.0405	 0.1146	  0.0576	 6.76e-01	 6.76e-01	 7.54e-01
    81	  3	178.88361	+11.96314	 0.02206	 65.847	   96.1	 0.0267	 0.0589	  0.0449	 4.90e-01	 7.89e-01	 5.88e+00
    82	  7	208.03555	+38.07743	 0.01206	 36.080	  197.7	 0.1092	 0.1363	  0.1950	 8.30e+00	 1.36e+01	 2.74e+00
    83	  4	148.92570	+04.41508	 0.00753	 22.532	  164.0	 0.0728	 0.1260	  0.1591	 3.83e+00	 6.26e+00	 6.45e-01
    84	  8	210.36840	+49.72433	 0.00691	 20.680	  100.1	 0.1473	 0.1537	  0.3545	 2.90e+00	 4.72e+00	 6.02e-01
    85	  3	200.37297	+38.75333	 0.00400	 11.968	   39.0	 0.0289	 0.0624	  0.0512	 8.82e-02	 1.41e-01	 1.79e-01
    86	 17	143.37378	+10.12881	 0.01197	 35.798	  157.1	 0.1588	 0.1794	  0.4546	 7.63e+00	 1.25e+01	 3.43e+00
    87	  2	123.40461	+45.86698	 0.00224	  6.718	   93.6	 0.0113	 0.0319	  0.0162	 3.17e-01	 3.15e-01	 5.64e-02
    88	  3	202.81944	+62.76446	 0.00985	 29.473	   65.1	 0.0538	 0.0720	  0.1059	 4.54e-01	 7.30e-01	 1.49e+00
    89	  8	120.40277	+08.46997	 0.01534	 45.832	  153.4	 0.1400	 0.2189	  0.2787	 6.42e+00	 1.05e+01	 2.76e+00
    90	245	176.15086	+19.95235	 0.02261	 67.471	  685.8	 0.5274	 0.5098	  2.0279	 4.62e+02	 7.92e+02	 1.12e+02
    91	 10	154.62227	+21.73410	 0.00559	 16.737	  143.6	 0.1090	 0.1138	  0.2647	 4.39e+00	 7.18e+00	 2.27e+00
    92	  3	210.49988	+59.34756	 0.01046	 31.290	   26.3	 0.0534	 0.1185	  0.0916	 7.39e-02	 1.18e-01	 1.14e+00
    93	  2	217.25420	+28.89285	 0.01481	 44.267	   86.4	 0.0492	 0.1390	  0.0697	 1.17e+00	 1.17e+00	 2.57e+00
    94	 11	217.18922	+27.12853	 0.01506	 45.004	  262.5	 0.1757	 0.2060	  0.4017	 2.33e+01	 3.87e+01	 3.03e+00
    95	 15	212.06518	+50.85826	 0.00699	 20.919	  181.9	 0.1504	 0.1301	  0.4014	 9.67e+00	 1.59e+01	 1.30e+00
    96	 73	189.02603	+26.93494	 0.02454	 73.197	  458.0	 0.5197	 0.4489	  1.7579	 2.05e+02	 3.48e+02	 2.66e+01
    97	  6	187.06482	+02.86304	 0.00625	 18.711	  165.5	 0.1475	 0.2513	  0.2988	 7.86e+00	 1.29e+01	 5.73e-01
    98	 27	210.42031	+38.80667	 0.01933	 57.722	  202.1	 0.2628	 0.3091	  0.6907	 2.07e+01	 3.43e+01	 1.35e+01
    99	 12	187.94372	+64.14359	 0.00922	 27.600	  173.8	 0.1394	 0.1816	  0.3881	 8.18e+00	 1.34e+01	 2.53e+00
   100	  4	178.80830	+58.42921	 0.01133	 33.894	   72.8	 0.0393	 0.0846	  0.0630	 4.13e-01	 6.64e-01	 2.02e+00
   101	 10	146.22097	+68.52878	 0.01515	 45.284	   55.7	 0.1469	 0.1770	  0.3505	 9.02e-01	 1.46e+00	 3.36e+00
   102	  3	182.76426	+16.15315	 0.00847	 25.344	  112.6	 0.0789	 0.1026	  0.1551	 1.97e+00	 3.19e+00	 7.68e-01
   103	  2	170.58989	+16.73400	 0.00608	 18.219	   20.7	 0.0439	 0.1243	  0.0626	 5.99e-02	 5.99e-02	 3.45e-01
   104	  4	163.69455	+36.37589	 0.00279	  8.358	   65.0	 0.0551	 0.0634	  0.0896	 4.63e-01	 7.44e-01	 7.55e-02
   105	  2	161.09978	+15.15864	 0.00526	 15.741	   19.7	 0.0661	 0.1869	  0.0942	 8.20e-02	 8.20e-02	 2.54e-01
   106	  9	155.19077	+58.08678	 0.00789	 23.630	  175.8	 0.2204	 0.2865	  0.5419	 1.32e+01	 2.18e+01	 8.00e-01
   107	  3	123.37784	+36.29583	 0.00906	 27.103	   93.1	 0.0612	 0.0614	  0.1215	 1.05e+00	 1.69e+00	 7.79e-01
   108	  2	195.09003	-00.45284	 0.00513	 15.358	   32.7	 0.0846	 0.2394	  0.1207	 2.89e-01	 2.89e-01	 2.36e-01
   109	  5	159.14579	+13.77300	 0.01108	 33.128	   35.8	 0.1063	 0.1714	  0.2278	 2.71e-01	 4.35e-01	 1.47e+00
   110	  6	219.56772	+51.29213	 0.00770	 23.045	   87.5	 0.0942	 0.1267	  0.2319	 1.42e+00	 2.30e+00	 6.54e-01
   111	 12	213.31817	+20.55749	 0.01703	 50.873	  126.7	 0.1386	 0.1253	  0.3366	 4.35e+00	 7.10e+00	 4.61e+00
   112	  2	217.68339	+07.21609	 0.00531	 15.910	    2.0	 0.0121	 0.0343	  0.0171	 1.55e-04	 1.55e-04	 2.42e-01
   113	  2	218.50830	+04.35666	 0.00624	 18.677	   85.9	 0.0415	 0.1175	  0.0591	 9.79e-01	 9.79e-01	 3.41e-01
   114	  2	217.53304	+35.35169	 0.01114	 33.332	   43.0	 0.0272	 0.0770	  0.0386	 1.60e-01	 1.60e-01	 1.07e+00
   115	 38	214.61235	+07.47537	 0.02555	 76.190	  237.6	 0.2717	 0.2781	  0.8137	 2.95e+01	 4.90e+01	 2.14e+01
   116	 11	183.35866	+28.75216	 0.01398	 41.788	  120.4	 0.2008	 0.1650	  0.5058	 5.68e+00	 9.30e+00	 6.77e+00
   117	  2	216.54016	+46.33723	 0.00816	 24.431	    9.6	 0.0889	 0.2514	  0.1261	 2.62e-02	 2.62e-02	 5.64e-01
   118	  4	241.42995	+21.42125	 0.01500	 44.824	   49.7	 0.0602	 0.1149	  0.1110	 2.97e-01	 4.76e-01	 2.19e+00
   119	  7	155.63767	+21.61670	 0.01468	 43.871	  146.9	 0.0706	 0.0723	  0.1742	 2.99e+00	 4.86e+00	 2.26e+00
   120	  3	176.39140	+10.87513	 0.01118	 33.452	   59.8	 0.1203	 0.2304	  0.2258	 8.53e-01	 1.38e+00	 1.22e+00
   121	 11	184.90231	+65.88726	 0.00908	 27.164	  153.7	 0.1117	 0.1339	  0.2428	 5.15e+00	 8.43e+00	 2.49e+00
   122	  3	233.79079	+12.04452	 0.00661	 19.804	   38.1	 0.0590	 0.1246	  0.1023	 1.71e-01	 2.74e-01	 6.64e-01
   123	  4	160.10771	+09.28275	 0.02027	 60.514	  222.0	 0.0697	 0.1235	  0.1485	 6.69e+00	 1.10e+01	 3.58e+00
   124	 12	161.15723	+21.98347	 0.02052	 61.251	  114.3	 0.1897	 0.1968	  0.4165	 4.84e+00	 7.92e+00	 7.60e+00
   125	  7	201.01172	+31.56672	 0.01709	 51.053	  210.0	 0.0904	 0.1413	  0.1983	 7.76e+00	 1.27e+01	 3.55e+00
   126	  7	159.39433	+21.69898	 0.00523	 15.649	   68.8	 0.1953	 0.2545	  0.4440	 1.82e+00	 2.95e+00	 8.62e-01
   127	 12	140.06293	+01.16071	 0.01833	 54.741	  192.6	 0.2296	 0.2464	  0.6482	 1.65e+01	 2.72e+01	 4.44e+00
   128	  6	176.16567	+16.37781	 0.01223	 36.584	  112.6	 0.1010	 0.1450	  0.2345	 2.51e+00	 4.09e+00	 1.58e+00
   129	  6	210.59519	+08.07026	 0.01817	 54.281	  238.4	 0.1127	 0.1404	  0.2310	 1.24e+01	 2.05e+01	 2.85e+00
   130	 55	181.54305	+28.12364	 0.02874	 85.660	  405.6	 0.3104	 0.3341	  0.9688	 9.68e+01	 1.63e+02	 2.30e+01
   131	  9	216.93805	+04.75873	 0.02835	 84.498	  214.6	 0.2170	 0.2297	  0.5027	 1.93e+01	 3.19e+01	 1.12e+01
   132	  2	166.69924	+11.72510	 0.00601	 18.001	  133.1	 0.0758	 0.2144	  0.1080	 4.30e+00	 4.29e+00	 3.61e-01
   133	  3	226.89489	+19.56742	 0.01607	 48.021	  163.5	 0.0237	 0.0445	  0.0447	 1.25e+00	 2.02e+00	 3.39e+00
   134	  8	227.30828	+52.52030	 0.01196	 35.774	   77.5	 0.1325	 0.0987	  0.4135	 1.57e+00	 2.54e+00	 1.85e+00
   135	 14	175.77811	+08.88258	 0.02210	 65.961	  221.4	 0.1745	 0.1250	  0.5530	 1.65e+01	 2.73e+01	 8.35e+00
   136	  2	231.45228	+18.17520	 0.01491	 44.553	  180.7	 0.0632	 0.1788	  0.0897	 6.60e+00	 6.60e+00	 2.55e+00
   137	  4	231.57893	+41.59037	 0.00858	 25.686	  119.5	 0.0562	 0.0169	  0.1346	 1.58e+00	 2.56e+00	 1.03e+00
   138	  2	186.62618	+04.14168	 0.00875	 26.194	   58.9	 0.0570	 0.1611	  0.0809	 6.32e-01	 6.32e-01	 5.99e-01
   139	  5	202.60079	-01.69912	 0.01473	 44.031	  170.1	 0.0860	 0.1363	  0.1906	 4.86e+00	 7.95e+00	 2.92e+00
   140	 21	144.42546	+17.06480	 0.02941	 87.635	  352.7	 0.2559	 0.2378	  0.6765	 6.07e+01	 1.02e+02	 1.52e+01
   141	  4	122.00789	+39.10525	 0.01340	 40.058	   88.2	 0.0684	 0.0698	  0.1539	 1.05e+00	 1.70e+00	 2.35e+00
   142	  4	213.85181	+14.24594	 0.01868	 55.796	  315.5	 0.0749	 0.1012	  0.1698	 1.44e+01	 2.38e+01	 4.07e+00
   143	  3	222.71674	+40.49516	 0.01649	 49.281	   46.3	 0.0959	 0.1923	  0.1762	 4.09e-01	 6.57e-01	 2.10e+00
   144	  2	182.89106	+20.10215	 0.00914	 27.345	   34.5	 0.0398	 0.1124	  0.0565	 1.51e-01	 1.51e-01	 7.14e-01
   145	  6	171.02763	+53.77932	 0.01026	 30.691	   87.8	 0.0982	 0.1060	  0.2780	 1.49e+00	 2.42e+00	 1.03e+00
